Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CTSH,25,1.0437301906762553,0.01646340526491636,0.6285484933801535,0.026192736818731185,0.0004312216412440676,0.4312216412440676
PKI,25,1.1053230512150654,0.001938098376081921,0.05180323186720104,0.03741269234032131,7.250947826962926e-05,0.07250947826962925
CTAS,25,0.7445206794004817,0.0014645287197658692,0.060364518635413894,0.024261416356373924,3.5531541036107025e-05,0.03553154103610703
CNP,25,0.71013960111915,0.0080674396911755,0.3618663783447651,0.022293974168247584,0.00017985529207896185,0.17985529207896186
DFS,25,1.329201753416609,0.01710136912595168,0.44449853547863627,0.038473398135129774,0.0006579477830385553,0.6579477830385553
HD,25,0.6166093695435954,0.005893873798464282,0.1321343949223648,0.04460514464782021,0.0002628970933164968,0.2628970933164968
NRG,25,0.3832158679139926,1.8417993321049827e-05,0.00039687129747004694,0.0464079751759823,8.547417768346883e-07,0.0008547417768346883
JWN,25,0.8967553179185662,0.0019289633628584288,0.04769414356132386,0.040444449125671356,7.801586059441166e-05,0.07801586059441165
CMA,25,1.2720503083478392,-0.002315572882903901,-0.04705877614970674,0.04920597330320354,-0.00011394001745779141,-0.1139400174577914
MRK,25,0.8531459421528222,-0.005045296169694341,-0.15742864917772267,0.03204814495993458,-0.00016169238301216694,-0.16169238301216693
OMC,25,0.7031924089487169,0.007221019898653804,0.18107710573262764,0.03987814952883176,0.00028796091126918595,0.28796091126918594
AN,25,0.43843296541656995,0.02344049749666376,0.4149630653847406,0.056488153891311926,0.0013241104298804545,1.3241104298804545
TMO,25,0.4444208467699885,0.0015450092909177742,0.040169892990986784,0.038461872210225685,5.942394991089083e-05,0.05942394991089083
APD,25,0.531265410316864,0.0078783071675135,0.25026080784085947,0.03148038734264498,0.0002480121612376612,0.24801216123766123
TROW,25,1.2065345597028028,0.005997097689052113,0.19249044654652195,0.03115530041436476,0.00018684138011671126,0.18684138011671125
ATI,25,0.5764289391418153,0.006998881681786431,0.14033533992983094,0.04987255302396347,0.00034905209778334043,0.34905209778334045
LLY,25,1.111587718853777,-0.0007105563311919894,-0.033199042609797835,0.02140291632934882,-1.5207977703791219e-05,-0.015207977703791219
FLS,25,1.7311657746999392,0.0036340489348521024,0.07547813994526814,0.048147038831207016,0.00017496869518083066,0.17496869518083066
HBAN,25,0.9844745515117064,0.006972793789554852,0.12160774243498129,0.0573384033774241,0.00039980886297309373,0.39980886297309376
WY,25,0.6255295839824703,0.014626923239476355,0.2024856351157078,0.07223684401670266,0.0010566027724943367,1.0566027724943368
ECL,25,0.4198044742186301,0.004938746665507774,0.19173600318771492,0.025758055781900296,0.0001272125121028233,0.1272125121028233
PRU,25,1.647114387496148,-0.00014894385491153383,-0.003966530218506443,0.03755016266272569,-5.5928659795415105e-06,-0.00559286597954151
BBT,25,1.3755267753535478,-0.008244604946395931,-0.15441740604877327,0.05339168140016447,-0.0004401933205681916,-0.4401933205681916
RSG,25,0.6052452813394006,0.0010826576250088952,0.03395770383745818,0.03188253334769454,3.451786783348187e-05,0.03451786783348187
STX,25,2.265915967575771,-0.011829216307368612,-0.15287172369161134,0.07738001522918476,-0.0009153449380135039,-0.9153449380135039
VTR,25,0.5857492058768745,0.004242290041812182,0.11316679380128257,0.03748705692998172,0.0001590309683109078,0.1590309683109078
FISV,25,0.9909233340770592,0.006565795290636027,0.23476445222527542,0.02796758720666797,0.00018362945237199293,0.18362945237199294
CAG,25,0.4106188116911234,-0.0008864472195989361,-0.03804529984420452,0.02329978271242274,-2.0654027602686496e-05,-0.020654027602686496
HAS,25,0.7295152563113307,0.00769924361678561,0.24128284082755125,0.03190961939265455,0.00024567993342295384,0.24567993342295386
AFL,25,1.6251173966489263,-0.0018156071696331217,-0.039522247744036405,0.04593886414031404,-8.340693109795608e-05,-0.08340693109795608
LSI,25,0.9544362696744926,0.004490625098436295,0.10626225909672071,0.04225983088077296,0.00018977305720887226,0.18977305720887225
NDAQ,25,1.021518395002342,0.006181293047957945,0.15231674858970726,0.0405818342709532,0.0002508482100524245,0.25084821005242447
CAT,25,0.9883014819878609,0.021638283374457827,0.6080641463972213,0.0355855274524318,0.0007700097270452676,0.7700097270452676
EXPD,25,0.8791491190415556,0.009950547539421907,0.20470981508927016,0.04860806275987625,0.0004836768392913523,0.4836768392913523
ADS,25,1.3169847607243068,0.009762718153017047,0.17865707701859648,0.05464501219842997,0.0005334838525614502,0.5334838525614503
AKAM,25,-0.8034856881026716,0.008764014994221794,0.10614215313642172,0.08256865661051398,0.000723632944587295,0.723632944587295
PGR,25,0.5135930305341618,0.005766091296495288,0.1849806269871722,0.03117132529178392,0.0001797367074651787,0.1797367074651787
COL,25,1.0038572619490551,-0.0009327300188501122,-0.029759238095906596,0.031342536923968156,-2.923412505590316e-05,-0.029234125055903157
STT,25,1.079098248367359,-0.002758133663007853,-0.06368200747765533,0.04331103512990892,-0.00011945762397151749,-0.11945762397151749
NI,25,0.7307405111794203,0.007815696742565987,0.25877658143338217,0.030202488568611106,0.00023605349152308028,0.23605349152308028
RL,25,0.7617584955518483,0.012855757347596041,0.23915705350727864,0.053754456157843494,0.0006910542447172257,0.6910542447172258
BXP,25,0.850872482471751,0.00764151728150347,0.19367111192207054,0.039456154331257556,0.00030150488518397264,0.3015048851839726
CVS,25,0.6393194401392707,-0.0038003138700360944,-0.09963749781232419,0.03814140211744692,-0.0001449492994895576,-0.1449492994895576
PFE,25,1.3891700907377909,0.006661792482288173,0.28453507035760384,0.023412904686637145,0.00015597191242996885,0.15597191242996886
MOS,25,1.0477296220604861,0.009803601910118085,0.14685548455420394,0.06675679794920839,0.0006544570718882264,0.6544570718882263
PNW,25,0.4845761073264174,0.005587679684969709,0.28907886244568426,0.01932925720578962,0.00010800569781434502,0.10800569781434502
GMCR,25,0.805415206680805,0.026843985346050248,0.2340801513134444,0.11467860557773171,0.0030784308076341063,3.0784308076341063
LEN,25,1.1245102848554591,0.0032255013766395637,0.05413914062749554,0.05957799365218285,0.00019216890054253897,0.19216890054253896
SPG,25,0.7774230109703022,0.00849924725354152,0.24999293779828013,0.033997949415673426,0.0002889569781972059,0.2889569781972059
RRC,25,1.094823034768324,0.006592079563881112,0.0883569437290573,0.07460737419908316,0.000491817746772607,0.49181774677260703
AIG,25,2.1648300622887096,0.007625887810698423,0.11132110321765878,0.068503523503428,0.0005224001848746846,0.5224001848746845
LLTC,25,0.5881790987259045,0.005177372109150543,0.1389303023513943,0.03726596733414928,0.00019293977989633972,0.19293977989633973
MDLZ,25,0.8072771197710367,0.0011900104007146368,0.06737711218380175,0.01766193833698811,2.1017890317796428e-05,0.02101789031779643
IBM,25,0.7141567589353662,0.009138986014126113,0.4608570069874216,0.019830415672459436,0.00018122989148491408,0.18122989148491409
PLL,25,1.3511808019077678,0.01177026710329127,0.3189941928690804,0.03689806073718073,0.0004343000304700816,0.4343000304700816
HPQ,25,0.8908508481035144,-0.009722327608220425,-0.21337237684167984,0.04556507150611297,-0.00044299855267441996,-0.44299855267441995
COST,25,0.4501459754832747,0.006878687627532847,0.2784934886991834,0.02469963538344305,0.00016990107631666224,0.16990107631666224
AZO,25,-0.2988769194766288,0.018821927273276733,0.7019120355573141,0.026815222306784115,0.0005047141640750386,0.5047141640750386
ADI,25,0.18661499727464245,0.012717053595310257,0.4156830956615628,0.03059314590378271,0.0003890546761075512,0.3890546761075512
AMAT,25,0.6321178674943418,0.005634251017324817,0.12933070436441016,0.043564682068454555,0.0002454543542636223,0.24545435426362228
MTB,25,0.5831070228514978,0.004401605746819825,0.08845783434039178,0.04975936591305351,0.00021902111096100684,0.21902111096100685
BSX,25,0.9049079787275037,-0.0012671254015922612,-0.02335544752038699,0.05425395512058531,-6.874656467014018e-05,-0.06874656467014018
SLM,25,1.3005975057054275,0.0056115553131698085,0.1442393675843366,0.03890446420522982,0.00021831455281688203,0.21831455281688203
ALXN,25,0.9612092236165163,0.020747786907947752,0.7661110786678539,0.02708195650169278,0.000561890662547432,0.5618906625474319
MCD,25,0.33050203166953646,0.005383854321460725,0.21849928964588095,0.024640145650753693,0.00013265895464323194,0.13265895464323194
MYL,25,0.7595033569974743,-0.0014827706937755015,-0.04502554559121682,0.03293176516365739,-4.883025627896816e-05,-0.04883025627896816
CLF,25,0.8703474878590505,0.010590740833174513,0.15221873093819493,0.06957580560486114,0.000736859325420415,0.736859325420415
MJN,25,0.5873021295241049,0.004076811395997613,0.15077390242939906,0.027039237761366616,0.0001102338726446284,0.1102338726446284
IPG,25,1.150408408501143,0.012937442094869349,0.2939805070890723,0.04400782290966479,0.000569348660615053,0.5693486606150531
NUE,25,1.0642183436524617,0.0007092924131946639,0.022035001882767972,0.0321893511499698,2.2831662556332507e-05,0.022831662556332507
VZ,25,0.8781308312732101,0.01107398773494794,0.4951647457571907,0.022364249130890645,0.00024766142057680313,0.24766142057680313
NTRS,25,1.002702399045323,-0.003274624224566559,-0.10326348482895309,0.031711347239449524,-0.0001038427458639433,-0.10384274586394329
SYK,25,1.046201403266312,0.0016027168803249851,0.0491814392865008,0.03258784011969521,5.22290814531673e-05,0.0522290814531673
WMT,25,0.4249886098356416,-0.002166963387556701,-0.08602474315542882,0.025190001249308574,-5.458581043975924e-05,-0.05458581043975924
X,25,1.1984024726610263,-0.0071381259392209965,-0.1232594722609545,0.05791137839783024,-0.0004133787123175945,-0.4133787123175945
AIV,25,0.9608022994036544,0.011087410793842331,0.19961172509023525,0.055544887399927155,0.0006158489841007092,0.6158489841007092
SNA,25,0.6892078592978936,0.01248399196462646,0.3314331612042916,0.03766669550887659,0.0004702307240668469,0.47023072406684685
IGT,25,0.6858768828993657,-0.004566181686977557,-0.07799238303835684,0.05854650812159308,-0.0002673339932213011,-0.26733399322130114
PG,25,0.4209340537700847,-0.0010506142761653385,-0.05022450802005931,0.020918358737246977,-2.1977126323299616e-05,-0.021977126323299616
APA,25,1.2555862158963735,0.00811946693970238,0.18331029435591947,0.044293567735685574,0.00035964015887136706,0.3596401588713671
PLD,25,1.4060685058565643,0.009391450786867104,0.25160840951203745,0.037325663339634114,0.0003505421303413434,0.3505421303413434
TWX,25,0.9033298585173011,0.004803263993586538,0.11298326744949708,0.042513056154386504,0.00020420143188368728,0.20420143188368728
C,25,1.2055366248358061,0.002074819691727621,0.03977652828870775,0.05216191007591395,0.00010822655818363166,0.10822655818363165
KDP,25,-0.2635379583644132,0.0038834334983337657,0.09117054283504346,0.04259526572480909,0.0001654158817861517,0.1654158817861517
LNC,25,1.9051677360292885,-0.0017742371065191914,-0.031043739876591894,0.05715281449890741,-0.00010140264422596957,-0.10140264422596958
SEE,25,0.6204178503630433,0.00867432843466743,0.2559152327605643,0.03389531893470046,0.0002940191288373935,0.2940191288373935
ADM,25,1.1778761887310247,0.007402777015958862,0.20315262266651515,0.03643948534255882,0.0002697533845672643,0.2697533845672643
TEL,25,1.3902708009319311,0.007318971446253077,0.16607257621392515,0.0440709213592568,0.0003225538150384653,0.3225538150384653
BAC,25,1.4803164689335826,-0.01301577572833306,-0.2303233039119042,0.05651089363198538,-0.0007355331177216067,-0.7355331177216067
PFG,25,1.3785285702696761,0.0032154689429919493,0.06046857542586241,0.05317586730539534,0.00017098534983715972,0.1709853498371597
SCHW,25,0.9628999835675915,-0.0019846768877913685,-0.048189894260387216,0.04118450389343978,-8.173793301246356e-05,-0.08173793301246356
LUV,25,0.5423918305278965,-0.0018302125103427588,-0.053967754633654816,0.03391307499759163,-6.206813412478443e-05,-0.06206813412478443
DIS,25,0.7379181594088897,0.007674478327210649,0.2645879335845179,0.02900539802870177,0.0002226012985433902,0.2226012985433902
FTR,25,0.2393998070589664,0.002966252351994406,0.0824661254893409,0.03596934298044361,0.00010669414821543433,0.10669414821543433
CBRE,25,1.3447825894623269,0.020387874979322745,0.43895229000079294,0.046446676424187046,0.0009469490321413826,0.9469490321413826
RTN,25,0.7893757449624514,-0.005833047205912435,-0.16888534131623006,0.0345385050025764,-0.00020146473010167093,-0.20146473010167093
PSA,25,0.6906009922172444,0.006410794356529949,0.22129670308628452,0.028969226685814444,0.00018571575495045602,0.18571575495045603
GILD,25,1.6549219296377673,-0.005130078458501842,-0.14654586991339927,0.03500663963804263,-0.00017958680791165923,-0.17958680791165924
FIS,25,0.5709994029300841,0.012130449073220603,0.308344009810002,0.03934063476924765,0.0004772195665765304,0.4772195665765304
ICE,25,0.76612265228406,0.005022850123364492,0.12081381925392516,0.041575129024002795,0.00020882564194710712,0.20882564194710712
MKC,25,0.3513614900863898,0.010977812254979739,0.4871479238395511,0.022534864089034757,0.0002473835071609086,0.2473835071609086
EL,25,1.1215939036234865,0.013760052602883618,0.3233457892170596,0.04255522435038298,0.0005855621255887837,0.5855621255887837
RHI,25,1.3141053766383655,-0.0024080498754126592,-0.06288967531735758,0.03829006690304913,-9.220439083542986e-05,-0.09220439083542986
EXPE,25,1.05075500192516,-0.005112854350307066,-0.06642701504873467,0.07696950324436501,-0.0003935338595039255,-0.3935338595039255
ROP,25,0.8078093059749003,0.015174571002772941,0.4750456865391074,0.03194339288358893,0.0004847272833814921,0.4847272833814921
PRGO,25,1.0321330600160878,0.009280729769768226,0.21285244915087284,0.04360170534467242,0.00040465564480496373,0.40465564480496374
WAT,25,0.7778560201134103,0.008326118109902983,0.2908645361289051,0.028625415187133782,0.00023833858779308647,0.23833858779308648
PCL,25,0.8725593711354588,0.002362493002116839,0.06604902861218458,0.035768777403048915,8.450348630897799e-05,0.084503486308978
PDCO,25,0.6401376191754813,-7.580065993129342e-06,-0.0002818161254729862,0.02689720462378558,-2.0388258607899838e-07,-0.00020388258607899839
RIG,25,2.338632591375415,-0.005187953444094896,-0.055783052366226195,0.09300232282082753,-0.0004824917209871375,-0.4824917209871375
CB,25,0.9336362388624107,0.006418178324597675,0.275544266478614,0.02329273044444136,0.0001494968976592099,0.1494968976592099
PAYX,25,0.5493674513290484,0.0010020373158090394,0.03413834323597736,0.029352253824462778,2.9412053635210293e-05,0.02941205363521029
EQT,25,1.3403919920061267,0.006483130434723601,0.11952071499227976,0.0542427347020336,0.00035166272420939204,0.35166272420939204
TXT,25,1.1589173241438446,0.007822521094126367,0.13207712001830607,0.05922692055249354,0.0004633038353620272,0.4633038353620272
DUK,25,0.4044171603378362,0.005065350937689448,0.25643269521391027,0.019753140033348902,0.00010005658639023485,0.10005658639023485
FLIR,25,0.7223297935280695,0.00681794124434722,0.1326871125524848,0.05138359794852241,0.0003503303517361861,0.3503303517361861
NFLX,25,-0.556974952469874,0.04543710832596847,0.583432700728367,0.07787891948676179,0.0035385929010293723,3.5385929010293724
CBS,25,1.150605895646166,0.02090514835458646,0.4749276429466063,0.04401754386180617,0.0009201932846355745,0.9201932846355745
GRMN,25,1.0314364012568575,-0.003974070225139633,-0.08268946136849947,0.048060177915895265,-0.00019099452207047273,-0.19099452207047274
PNR,25,0.9644939607796768,0.0016145953338079558,0.053959147175485715,0.029922551009877445,4.831281123617866e-05,0.04831281123617866
F,25,0.9877073525328388,0.0037449325828468696,0.05222835639041908,0.07170305254970365,0.0002685230977829665,0.2685230977829665
ALL,25,1.1759338758715907,-0.001018917977357766,-0.03430887397765275,0.029698380017410164,-3.0260213298141856e-05,-0.030260213298141856
DVN,25,1.090966788533799,0.013792182904856287,0.3198024203801902,0.043127199876910716,0.0005948182288766481,0.5948182288766481
KMB,25,0.4914564283383937,0.0023373768614600434,0.11105426494819277,0.021047159805617898,4.919514432910314e-05,0.04919514432910314
MUR,25,0.999658209826941,0.010531728579787953,0.2025373485943961,0.05199894564078119,0.0005476387819238554,0.5476387819238554
FE,25,0.6554147229843937,-0.0003333787680929366,-0.009119142425707622,0.0365581271275152,-1.2187703385555984e-05,-0.012187703385555984
CPB,25,0.3312574782555219,-0.0015160627866831846,-0.0884104181562356,0.017148010588571756,-2.5997460718982854e-05,-0.025997460718982852
SYY,25,0.5155640105016331,-0.00214548330601393,-0.07484778406680341,0.028664620239111364,-6.149946419624245e-05,-0.061499464196242457
MHK,25,1.3478914451346062,0.0022646679914257862,0.04019118874742733,0.05634737518359045,0.00012760809697913696,0.12760809697913697
IFF,25,0.7793909454407114,0.009812234810153026,0.333236673948481,0.02944524290765792,0.00028892363745193256,0.28892363745193256
ETFC,25,0.8099558301800175,-0.0029117963479667512,-0.042564115214497704,0.06840965290346193,-0.00019919497748997352,-0.19919497748997353
XEL,25,0.42744122471208257,0.005344152030877974,0.3037293614469921,0.017595111665918588,9.403095174294356e-05,0.09403095174294357
KMX,25,0.7990706519682323,0.008763753765039243,0.1448120183479623,0.06051813837703174,0.0005303660630548778,0.5303660630548779
HIG,25,1.4461493515075379,-0.0031889398138057407,-0.06916555692507259,0.04610589367855934,-0.0001470289200026523,-0.1470289200026523
NFX,25,1.3473155167978998,0.01452165864631128,0.3102947176464722,0.046799567702780646,0.0006796073469747147,0.6796073469747147
GIS,25,0.2540138896965315,0.0019215285971168371,0.06135414945539015,0.031318641268329485,6.017966481993864e-05,0.06017966481993864
PWR,25,0.46417823792498664,0.006007911269903904,0.10173666253573344,0.05905355178909784,0.0003547884993215748,0.3547884993215748
XOM,25,0.8621955914313908,0.008847027116882688,0.29680698378620013,0.029807341471639676,0.00026370635828177816,0.2637063582817782
HUM,25,0.800957226174594,0.012412296347870626,0.30170925693034106,0.04113992548374606,0.0005106409468335709,0.5106409468335709
ETN,25,0.9578623525669784,0.0137952647869869,0.30816356385324833,0.04476604766148276,0.0006175594809570304,0.6175594809570304
FOSL,25,0.9216253173909051,0.03271247098838859,0.5776437500646173,0.05663087497221125,0.0018525358545755217,1.8525358545755217
HST,25,1.4709364435680958,0.0056758519539193775,0.12961809510836483,0.04378904001925183,0.00024854010835352434,0.24854010835352433
LM,25,1.5066099935803223,0.0055402184072984705,0.1039149886131039,0.053314911363997755,0.0002953762533223068,0.29537625332230677
ZION,25,1.9242518037190888,0.0006424572852661106,0.009893349444240467,0.06493829909547215,4.172008334667576e-05,0.04172008334667576
BBBY,25,0.7717678811918317,0.001838769160268522,0.044031123275772445,0.04176066889668202,7.678823007940378e-05,0.07678823007940379
BEN,25,1.3976715280440768,0.0019200465558973855,0.05095508504331687,0.037681156929973834,7.234957558562516e-05,0.07234957558562516
AIZ,25,1.0233592470254815,0.005077590778429357,0.11816509006090402,0.042970311923871025,0.00021818565957088058,0.21818565957088057
IVZ,25,1.4757005178657727,0.00574032227044782,0.17138090027332287,0.033494527460720534,0.00019226938192090016,0.19226938192090015
SO,25,0.3417468736483003,0.0065389488884542435,0.3255789675630616,0.020084064205368887,0.00013132866931134054,0.13132866931134055
PBCT,25,0.588761908434443,-0.009326733928934709,-0.29000853216007866,0.032160205285913956,-0.00029994967780163907,-0.29994967780163906
GPS,25,0.8765816498671157,-0.0014614928736704496,-0.02597181384669116,0.05627226817108291,-8.224151891731014e-05,-0.08224151891731013
VFC,25,0.887564070650609,0.007252779385440736,0.1792618757133072,0.04045912917390241,0.00029344113802536325,0.29344113802536326
T,25,0.714779621857296,0.006707593163722559,0.356664499695883,0.01880645023388064,0.0001261460170226663,0.1261460170226663
CNX,25,1.4335399481158522,0.009592531090772311,0.1400632661937977,0.06848712979104503,0.000656964921838358,0.6569649218383581
DHR,25,1.0346923959226382,0.00886896549664837,0.2783301394122133,0.03186491234969429,0.0002826088081831632,0.2826088081831632
CCE,25,1.097223110464375,-0.003183739596685873,-0.047227438226978787,0.06741292172962188,-0.00021462518823888268,-0.21462518823888269
JEC,25,0.9855202095336739,0.0016835102072438814,0.03328548010219095,0.05057791571806314,8.514843737248004e-05,0.08514843737248004
VRTX,25,1.3307566100679933,0.0037027991681856122,0.07950807315560715,0.04657136088480946,0.00017244439634554444,0.17244439634554445
MRO,25,0.8963172398959768,0.02005649934303067,0.5834517198032331,0.0343755938362726,0.0006894540751934906,0.6894540751934906
BKNG,25,1.556989877993432,0.023925576895508324,0.34224179466032095,0.06990840180479635,0.001672598843022748,1.6725988430227479
STI,25,1.5079725681632175,0.0023940953318756526,0.04050586401039104,0.05910490716261456,0.00014150278232895935,0.14150278232895935
CMG,25,-0.24084444957022771,0.03258489790167049,0.549542990825409,0.05929453827211633,0.001932106475723604,1.932106475723604
TE,25,0.6504929923412257,0.004511263351825416,0.18562164596006725,0.024303541370363255,0.0001096396755036926,0.1096396755036926
ROST,25,0.08110009308377315,0.011404946721834995,0.26400241312240924,0.04320016088847982,0.0004926955333078123,0.49269553330781235
TAP,25,0.3508727941249595,0.0033385873012154958,0.10242466464270701,0.03259554046734401,0.00010882305748053052,0.10882305748053052
EBAY,25,0.5908220014127192,0.005537480942062893,0.09250439068667275,0.05986181737923372,0.000331483672894756,0.331483672894756
MSFT,25,1.229939243424934,-0.006569277648523509,-0.1718848337989206,0.03821906507591342,-0.0002510716499506635,-0.2510716499506635
THC,25,1.553867874752223,0.007449731681168763,0.07756386118189351,0.09604642635954573,0.0007155201053137504,0.7155201053137504
MA,25,1.0835490534750338,-0.0019055007035444869,-0.04743225188323963,0.040173102222410044,-7.654987454836693e-05,-0.07654987454836693
IP,25,1.0359277487268888,0.003494994496176379,0.06630841482344546,0.05270815937135948,0.0001842147269064888,0.18421472690648882
GOOGL,25,1.4507401755904632,-0.0007564347376520853,-0.0185608810638761,0.040754247336043097,-3.082792839184796e-05,-0.030827928391847958
MCO,25,1.414323475461317,0.0026002227321721945,0.05158786421788905,0.05040376785497003,0.0001310610229636232,0.13106102296362318
CVC,25,0.321484098943429,0.014631845350346591,0.3452354602347665,0.04238222035591786,0.0006201300938521014,0.6201300938521014
RAI,25,1.550989952487383,-0.01909479412710254,-0.13195337998343026,0.14470863974458498,-0.0027631816843358982,-2.763181684335898
M,25,0.5154384576327647,0.002057200648465175,0.03912738540730302,0.05257700270668237,0.00010816144406254224,0.10816144406254224
MAC,25,0.7303536334456151,0.009331821681485114,0.20592719726880837,0.045316120479723526,0.0004228819556134756,0.42288195561347564
SLB,25,0.910050742876297,0.012294303771935656,0.26853229643841275,0.04578333382984837,0.0005628742137960941,0.5628742137960941
BRCM,25,0.40062762656256057,0.00790497291401359,0.17000181727913397,0.0464993435983925,0.000367576051664704,0.367576051664704
WHR,25,1.141962223107847,-0.00371299253838277,-0.057322907827651176,0.06477327614897639,-0.00024050269102775598,-0.24050269102775598
DD,25,0.8172950837412633,0.008560462492749653,0.1966754662324543,0.043525827886595106,0.00037260121708907433,0.37260121708907434
HRL,25,0.30464968678903287,0.011802374419077772,0.4590573558047008,0.025710021351011567,0.00030343929830712224,0.30343929830712224
XRX,25,1.0607174690269259,0.003149004676830428,0.059813375573917124,0.05264716539762751,0.0001657861700589941,0.1657861700589941
CSX,25,1.1135545757802094,0.01674349255102418,0.5621510569946365,0.02978468570447592,0.0004986996632274889,0.4986996632274889
LEG,25,0.913798953847057,0.004345014826437877,0.08193358060673041,0.05303094035757247,0.00023042022211359516,0.23042022211359514
JBL,25,1.4768158479832971,0.009173280634142352,0.12414428152781198,0.07389209169563937,0.0006778328937678795,0.6778328937678796
AMZN,25,0.842249955317854,0.008010855114753627,0.19490944295106918,0.041100395103815995,0.0003292493103357993,0.3292493103357993
UNP,25,0.8921688812194856,0.010958486014796359,0.43191444051187805,0.025371890788854025,0.00027803751037859737,0.27803751037859736
CL,25,0.3282877761123832,-0.0018950453113264598,-0.06692451816655959,0.028316159208051854,-5.3660404741992225e-05,-0.053660404741992226
TRV,25,0.6846681884490056,0.003888989489843929,0.18143022027125594,0.021435180335610624,8.336119103809899e-05,0.08336119103809898
PEP,25,0.6896234576256859,-0.0012917924902482822,-0.06505785980975597,0.019856055732939547,-2.5649903681762658e-05,-0.02564990368176266
MMC,25,1.0076856527296585,0.007939871785965781,0.29559583267230466,0.02686056739767324,0.00021326946123581807,0.21326946123581808
AAPL,25,0.9536166510495334,0.014854189777389892,0.41732023519018213,0.035594223631692595,0.0005287233528040179,0.5287233528040179
TGNA,25,1.144169569637107,-0.005185578401381504,-0.0826370185867215,0.06275127648681589,-0.0003254016640091515,-0.3254016640091515
USB,25,1.2213506554087283,0.0004252834845448112,0.010568497422912116,0.040240676373049226,1.711369506837043e-05,0.017113695068370433
CTL,25,0.5370600097256168,0.0052131393821183624,0.15610032258408926,0.03339608333807325,0.00017409843725821653,0.17409843725821653
INTC,25,0.5189638881934764,-0.0030840098468727954,-0.08008477406310294,0.0385093156964237,-0.00011876310880410379,-0.11876310880410379
TPR,25,0.6415815923909234,0.010371771768836673,0.20281978356408623,0.05113787021451702,0.0005303903186093614,0.5303903186093614
EA,25,0.7267195731495437,0.0010652340410524552,0.01730798801701744,0.06154580416886719,6.556068568462544e-05,0.06556068568462545
