Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CTSH,25,1.0676481503933173,0.01809652698534894,0.6169339160097427,0.029333007175866073,0.0005308255559194944,0.5308255559194944
PKI,25,1.0886258363613204,0.008382629285453153,0.2228585356575005,0.03761412709960534,0.00031530528337190883,0.31530528337190883
CTAS,25,0.8422352546198703,-0.007063127810331674,-0.1560574165732769,0.04525980222808043,-0.00031967576780726634,-0.31967576780726636
CNP,25,0.4850585610431736,0.00823639093505208,0.2778617645438391,0.029642045023983862,0.0002441434709319463,0.24414347093194633
DFS,25,1.6156700911805593,0.008081079135732396,0.11607269671294296,0.06962084421728866,0.0005626115516164068,0.5626115516164069
HD,25,0.9213249697767598,-0.0009240360943117958,-0.026094548510760717,0.03541107806217637,-3.2721114267943564e-05,-0.032721114267943566
NRG,25,1.3360310204798653,-0.013326938909190731,-0.24083476108452623,0.05533644250180874,-0.0007374653886735506,-0.7374653886735506
JWN,25,1.8734767247161381,0.005840174668467167,0.1096020715711256,0.053285258068112525,0.0003111952143721265,0.3111952143721265
CMA,25,0.9154331376762455,0.012679589997428664,0.236836484337834,0.053537317246028435,0.0006788312322419072,0.6788312322419072
MRK,25,0.6547468958943448,0.004611080133695449,0.09130343399001713,0.050502811692708205,0.00023287251169200904,0.23287251169200904
OMC,25,1.303776108931093,0.00023434787534731133,0.006983587887759328,0.033556945099534136,7.863998787222195e-06,0.007863998787222194
AN,25,1.524358223305618,-0.012405412419631003,-0.2537240361006408,0.0488933276101218,-0.0006065418935716924,-0.6065418935716924
TMO,25,1.0272091240703625,-0.00031440203795903357,-0.01037010127790617,0.030318126075477885,-9.532080625229164e-06,-0.009532080625229164
APD,25,1.304851404332177,-0.010018334880205641,-0.3196593867204594,0.03134065601197761,-0.0003139811872933219,-0.3139811872933219
TROW,25,1.4677456598812877,0.002818843418084589,0.0781317310940621,0.036078087335489964,0.00010169847902272685,0.10169847902272686
ATI,25,1.535417194949512,0.009663135935139677,0.11226674440960084,0.0860730039510552,0.000831735137524861,0.831735137524861
