Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.7425857605457974,0.007027742524200183,0.22859357784311155,0.030743394414271194,0.00021605666026343207,0.21605666026343207
EMR,25,0.7403586479407981,0.007596773053528455,0.26280439912334064,0.028906567313445545,0.00021959663163678955,0.21959663163678955
MNST,25,-0.32720238690716624,-0.0036500116683887774,-0.03654662780332562,0.0998727348534367,-0.0003645366475689425,-0.3645366475689425
FE,25,0.005827939154756354,-0.008354382261320011,-0.1981396834588125,0.042164104209122984,-0.00035225504426914547,-0.35225504426914545
PAYX,25,0.6618215315653192,0.005651871914001746,0.3000644543377918,0.01883552627542901,0.00010645598194153914,0.10645598194153914
URBN,25,1.1171097017228644,0.008293942678252652,0.17872536805060638,0.04640607412767621,0.0003848893187376899,0.3848893187376899
MDT,25,0.8401591905580756,0.011615681653396652,0.5672318076816274,0.02047783903528244,0.00023786405918334004,0.23786405918334005
TDC,25,1.7605056293687977,-0.012582236551116836,-0.2577315413802227,0.048819156878259946,-0.0006142541800683492,-0.6142541800683492
XRX,25,0.9061604628097834,0.010779121701176857,0.36903431836985384,0.02920899538230425,0.00031484731599497036,0.31484731599497034
AES,25,0.7729626820846344,-0.0015837696183180626,-0.04123873982812475,0.03840489852306142,-6.082451147541291e-05,-0.060824511475412915
WFC,25,0.5414454755461685,0.008667686041941066,0.5059484629299317,0.017131559194283878,0.0001484909765049815,0.14849097650498153
FSLR,25,-0.581984800452931,0.05137596742828657,0.35657780314124804,0.14408066619877474,0.00740228361367408,7.40228361367408
WDC,25,1.4130921761484372,0.014644946216350783,0.3030535454589514,0.048324616015206594,0.0007077114024685042,0.7077114024685043
XOM,25,0.5880133950032053,0.001485011349638278,0.14420719019442346,0.010297762182566289,1.5292293716986783e-05,0.015292293716986783
CAG,25,0.21100470014535438,0.015859467374894406,0.5883946587981844,0.026953792217094378,0.00042747278829669103,0.42747278829669105
BIIB,25,0.5540802950563949,0.013311506029394238,0.28486847084368067,0.04672860422204752,0.0006220280968469626,0.6220280968469626
NDAQ,25,0.8111697081542213,0.011078332575471956,0.29924465862086114,0.037020986862485825,0.00041013080473479603,0.410130804734796
PRU,25,1.5954428115919312,0.014841694557895291,0.5055939765232571,0.02935496712194826,0.0004356774557810147,0.4356774557810147
HD,25,0.25534536652855644,0.015377048275174603,0.45349243979047954,0.03390805871489067,0.0005214058557763288,0.5214058557763288
CMCSA,25,0.5586820705877397,0.009817321260252804,0.3391022513678004,0.028950917372720843,0.0002842204566270346,0.2842204566270346
