Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.9205555136691402,0.002972264061950635,0.08247429955520492,0.03603866996119346,0.0001071164435661552,0.1071164435661552
LRCX,25,0.8821989970338378,-0.00828322336591828,-0.16763855975325104,0.04941120573995889,-0.0004092840539234229,-0.40928405392342293
THC,25,1.8841246297167542,0.00036150400233352895,0.003785133786525173,0.09550626813257153,3.452589817786378e-05,0.03452589817786378
CVX,25,0.7135487291228187,0.007585039130381566,0.22750302525067587,0.033340387988352836,0.0002528881475137598,0.25288814751375976
JCI,25,0.9165155952601912,0.007962601915706111,0.30880665331579066,0.025785072407631796,0.00020531626694962973,0.20531626694962973
OKE,25,0.6894324811092029,0.01841864198342752,0.7439882107375607,0.024756631513244007,0.00045598353255808083,0.45598353255808083
FITB,25,1.16111924954803,-0.001255892868286686,-0.020497448825208788,0.06127069173321346,-7.69494247827348e-05,-0.0769494247827348
PM,25,0.32690585443149317,0.009755951309869771,0.36231536102423106,0.026926684207621298,0.00026269542006579266,0.26269542006579266
CLX,25,0.23092045973710149,0.002594972576107041,0.11351410272336339,0.022860354033992163,5.932199179830763e-05,0.059321991798307626
TEL,25,1.1471091934997635,0.0005723120974763964,0.013285312304975079,0.04307855806009748,2.465437991963311e-05,0.02465437991963311
FLS,25,1.0038515407005066,-0.0050109995553683775,-0.09966520722878172,0.05027832374707872,-0.0002519446579412788,-0.2519446579412788
CTAS,25,0.558929840074742,0.0024735179646853647,0.06553957218489599,0.03774083171777863,9.335262525609265e-05,0.09335262525609266
JPM,25,1.242067813273143,-0.009060916674980418,-0.220258119912005,0.041137719138801015,-0.00037274544531542316,-0.37274544531542314
HSY,25,0.2402959870725947,0.008045392443505493,0.3965122062120105,0.020290402962282867,0.00016324425466843204,0.16324425466843204
ADBE,25,1.4159123334331107,-0.0036994200517847615,-0.08931353642315581,0.041420597592926954,-0.0001532321892921816,-0.1532321892921816
CVC,25,0.2961721529258869,-0.030466835900847603,-0.345046527147596,0.08829776132717083,-0.0026901534047671215,-2.6901534047671216
WY,25,1.0670973378946476,-0.0020804664385781443,-0.04595963683343796,0.04526725148238116,-9.417699747577075e-05,-0.09417699747577075
LH,25,0.8314865445217547,-0.0003800454698346746,-0.015605499564532367,0.02435330367112557,-9.255362735719424e-06,-0.009255362735719424
BRK.B,25,0.49611846820814565,-0.0028826561168764342,-0.12672924433513047,0.022746573863041148,-6.55705502842772e-05,-0.06557055028427719
EQR,25,0.5783985947515349,0.003922914902822897,0.11864829273027042,0.033063391074164644,0.00012970486958270203,0.12970486958270203
CAH,25,0.9908813175523672,0.005501091449324021,0.22015661306787818,0.024987173324781925,0.00013745672551973513,0.13745672551973512
HRB,25,0.6200588648087675,0.00845086528660304,0.1525548024669044,0.05539560308785684,0.00046814077916560956,0.46814077916560953
SNDK,25,0.6202122241901331,0.002333651037032126,0.04088271193564253,0.057081610454456984,0.00013320855943250737,0.13320855943250737
NOV,25,0.6038884106478258,0.0021263298787306774,0.030311516248923826,0.070149241670026,0.00014916042853327534,0.14916042853327535
STZ,25,0.9564558874731027,-0.0050225199672499065,-0.10099160262055099,0.049732055308803105,-0.0002497802408008403,-0.24978024080084033
NFX,25,0.8361790381399776,-0.020649259615015788,-0.28530170407842886,0.0723769235158138,-0.0014945298838141806,-1.4945298838141805
CSX,25,0.6541912523079714,0.0011985956860874833,0.031405332325801866,0.038165355922782127,4.574483096704004e-05,0.04574483096704004
VNO,25,0.8935485262773424,-0.0035938492992332468,-0.1031532531725666,0.03483990265649735,-0.00012520935974740752,-0.12520935974740752
AGN,25,0.8521232503127041,0.006340251718562557,0.23877646716389925,0.02655308453914986,0.0001683532398824818,0.1683532398824818
MLM,25,0.8623984768936916,-0.005339941308896659,-0.13844345124531088,0.03857128134890761,-0.000205968378612107,-0.205968378612107
SPLS,25,0.6270799267331516,-0.018036729298529824,-0.3068724638678788,0.058775978369617995,-0.0010601264111090442,-1.060126411109044
QCOM,25,0.6615477728045468,0.005824387265488571,0.16215531823824947,0.03591857071829732,0.00020920366588620158,0.20920366588620157
SJM,25,0.2814708657794071,0.007176561974751084,0.234227963681414,0.030639219425193445,0.00021988425706289804,0.21988425706289805
TWX,25,0.9551981295642824,0.003787412931434636,0.09730894197166977,0.03892153027968685,0.00014741190709251074,0.14741190709251073
CME,25,0.9890479234840278,-0.006850671444793368,-0.16109118922125343,0.04252666752235715,-0.00029133622683763364,-0.29133622683763366
