Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.4977404341950523,0.012020519144830127,0.4135412348381313,0.02906728067766981,0.0003494038038740808,0.34940380387408077
LRCX,25,0.9213146329917266,0.0007938209249719781,0.022557177127532482,0.035191501156546255,2.7935749999241984e-05,0.027935749999241984
THC,25,1.0136796349751904,0.0004474958867518586,0.006593258538577259,0.06787173354928419,3.03723215900228e-05,0.0303723215900228
CVX,25,0.7584290035350199,-0.003622906805589639,-0.19404898375229968,0.018670063277498115,-6.763989930883712e-05,-0.06763989930883713
JCI,25,0.5950522047971669,0.004506028074676094,0.19502844396976113,0.023104466112516115,0.00010410937295340004,0.10410937295340005
OKE,25,0.4968438252592226,0.0034453124757922553,0.0555383508529676,0.06203483580046131,0.00021372939371705338,0.21372939371705338
FITB,25,0.5530576838976288,0.006039004972359208,0.2192282223791937,0.027546658485939315,0.0001663544075684685,0.16635440756846848
PM,25,0.5687795643467392,-0.008904222420864319,-0.383352085307383,0.023227270079213606,-0.00020682077901480473,-0.20682077901480472
CLX,25,0.5047539358270492,0.0022515331084391587,0.0957554412687961,0.023513369878572818,5.294113077258274e-05,0.05294113077258274
TEL,25,0.7924020898235817,0.005072519736574549,0.17000286114431354,0.029837849212834975,0.00015135307902904078,0.15135307902904077
FLS,25,0.928811540969115,0.0025924898538484346,0.07560310246904457,0.03429078661037648,8.889851636788278e-05,0.08889851636788278
CTAS,25,0.37574377758856314,0.00684950728944353,0.4126294499085853,0.016599656885762717,0.00011369947084129322,0.11369947084129323
JPM,25,0.7250708033320675,0.00318585654778346,0.11080574455778998,0.028751727272785015,9.159887859208643e-05,0.09159887859208643
HSY,25,0.296771789216298,0.007508760601291634,0.32970051976951065,0.02277448821294219,0.00017100817980792105,0.17100817980792105
ADBE,25,0.6318880573918149,0.011059982817016293,0.4070867550007698,0.02716861376881539,0.0003004844014452505,0.30048440144525046
CVC,25,-0.06687050713966548,0.006751420076308217,0.12573213522442156,0.053696853745921716,0.00036253001641480193,0.3625300164148019
WY,25,0.9774677158720642,-0.010341490054915312,-0.2582874025970499,0.04003869314156566,-0.0004140597469353072,-0.4140597469353072
LH,25,0.22386933473200277,0.0059127857026102775,0.24668636144898998,0.023968839087332067,0.00014172260906374342,0.14172260906374343
BRK.B,25,0.48962724569906196,0.0034646566175055016,0.18967278327785883,0.018266493260817473,6.328712675471091e-05,0.06328712675471092
EQR,25,0.42067532511051636,-0.00868718128144132,-0.23453556709190776,0.03703993125288781,-0.00032177259744596033,-0.3217725974459603
CAH,25,0.9077057678429252,0.006305588063193106,0.17904783464360627,0.03521733773404378,0.0002220660244332266,0.22206602443322662
HRB,25,1.029989980429696,0.0031380281775138415,0.06922934062012061,0.04532800904074788,0.000142240569600469,0.142240569600469
SNDK,25,0.9021219742354994,0.0062144325844041975,0.17226558921394527,0.03607471818812393,0.00022418390418147612,0.22418390418147613
NOV,25,0.37851790192521456,0.0014641033155459778,0.04873453981124307,0.030042415937786466,4.398520078152449e-05,0.04398520078152449
STZ,25,0.28103008569415144,0.02361370789390045,0.29610948509477014,0.07974654336500858,0.001883111580569578,1.883111580569578
NFX,25,1.2216821072700392,-0.010875807280900946,-0.14581129172211285,0.0745882376628832,-0.0008112072982435552,-0.8112072982435552
CSX,25,0.945663729454208,-0.0017062797770739536,-0.05853095783246478,0.029151748754187454,-4.974103936561087e-05,-0.049741039365610876
VNO,25,0.7047786302138824,-0.0021874992341256293,-0.06804119823818834,0.03214962832470943,-7.032728733772552e-05,-0.07032728733772552
AGN,25,0.920241904647052,-0.011826518866093755,-0.23436164301134566,0.05046268968818086,-0.0005967979516311057,-0.5967979516311057
MLM,25,1.4378483297080535,-0.016658896973198795,-0.44812385147277095,0.03717476076858861,-0.0006192905096472301,-0.6192905096472301
SPLS,25,0.5745261514181719,0.0016469376508757311,0.028921208015134158,0.0569456728783219,9.37859727177613e-05,0.0937859727177613
