Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.5438520952068928,0.011998277394751601,0.41968166400336815,0.028588995955408977,0.0003430187039104285,0.3430187039104285
LRCX,25,1.07038753344087,-0.00018837142518725487,-0.005805142454691037,0.03244906161347257,-6.1124759821188724e-06,-0.006112475982118872
THC,25,1.116107413584741,0.0002763983053839826,0.004129871728893768,0.0669266077806293,1.8498400975664403e-05,0.0184984009756644
CVX,25,0.8171745027313424,-0.003486716637880926,-0.20212225152843233,0.017250533335714663,-6.0147721593955865e-05,-0.060147721593955865
JCI,25,0.6723732909931884,0.0041516733232459194,0.1906490256685431,0.02177652525989773,9.040901899450831e-05,0.09040901899450832
OKE,25,0.7412567960391433,0.0004933738830135877,0.008171255100216138,0.06037920453622082,2.9789522595306892e-05,0.029789522595306893
FITB,25,0.9006619110808997,0.0016375359509710283,0.0800908473246471,0.020445981103599766,3.348102911001892e-05,0.03348102911001892
PM,25,0.5671970766748798,-0.008128101111584964,-0.3472580980340115,0.023406512785740345,-0.00019025050259210378,-0.19025050259210377
CLX,25,0.45752139853413765,0.0036170788403206916,0.14894499211528667,0.024284662337092835,8.783953828383132e-05,0.08783953828383133
TEL,25,0.9815661538220016,0.0033276525240037696,0.12823873588646756,0.025948887448093767,8.634888081173896e-05,0.08634888081173896
FLS,25,1.2331026730300683,-0.0006720408071919197,-0.024664108022728067,0.027247723962797746,-1.831158240610121e-05,-0.018311582406101208
CTAS,25,0.4628282507136193,0.00606072333478195,0.40099832752524184,0.015114086315984555,9.160229561919615e-05,0.09160229561919615
JPM,25,0.9019601195038996,0.0015331530206720775,0.06058854117242217,0.025304339583107776,3.8795424667953706e-05,0.03879542466795371
HSY,25,0.32530447539219665,0.007480152941412686,0.3317443397694304,0.022547944440021363,0.00016866207292583562,0.16866207292583563
ADBE,25,0.5841932600902316,0.01260061081504065,0.4492168833350043,0.02805017193809192,0.00035344929988687074,0.35344929988687074
CVC,25,0.07517207446026025,0.00456523799587008,0.08502923028258638,0.05369021900701623,0.00024510862781741645,0.24510862781741644
WY,25,1.2106942405076697,-0.012492145852391471,-0.3501018626452846,0.03568146069833463,-0.00044573801126997025,-0.44573801126997026
LH,25,0.3351054162072871,0.004566333034150022,0.1978180619219936,0.023083498997936207,0.00010540694401804502,0.10540694401804503
BRK.B,25,0.5589435800759817,0.0030889912655948527,0.1817186526153533,0.016998757260947607,5.250901270503424e-05,0.05250901270503424
EQR,25,0.4311705243624046,-0.008285431553507569,-0.22387300097423388,0.03700951663421513,-0.0003066398169011893,-0.3066398169011893
CAH,25,0.8553460786573515,0.008280137975548675,0.22774070484474698,0.036357742816302094,0.000301047126998495,0.30104712699849495
HRB,25,1.1954203330420883,0.0020580956228474882,0.04817897193383191,0.04271771563897291,8.791714357461385e-05,0.08791714357461385
SNDK,25,0.9455459923894306,0.006767060535333776,0.1903290167632538,0.035554539451812424,0.00024059972077632763,0.24059972077632763
NOV,25,0.647333473305454,-0.0020048108611114166,-0.07492046721645132,0.026759187917493297,-5.364711057151195e-05,-0.053647110571511954
STZ,25,-0.6211441618197836,0.03730893037174475,0.4757371818612139,0.07842340644004746,0.0029258934103867694,2.9258934103867693
NFX,25,1.9506477210856585,-0.020024323685890848,-0.3163785083507316,0.06329230070107113,-0.0012673855160629844,-1.2673855160629846
CSX,25,1.0539961378878642,-0.0020545924585907097,-0.07654169117319944,0.026842788904958396,-5.51509916516699e-05,-0.055150991651669895
VNO,25,0.7659126077777952,-0.0021575856445393664,-0.06882670535788643,0.031348088410164496,-6.76361855375218e-05,-0.0676361855375218
AGN,25,0.8777047633151114,-0.009980437219404548,-0.1950687463426775,0.05116369180879392,-0.0005106360140106304,-0.5106360140106304
MLM,25,1.4800654617338755,-0.015379438850202244,-0.41970179637154165,0.03664372891220025,-0.0005635599880485718,-0.5635599880485718
SPLS,25,0.7959949890853192,-0.0008633537376182294,-0.015655123918866455,0.05514831706811188,-4.761250566410959e-05,-0.047612505664109586
QCOM,25,0.5572394287394298,-0.0011527877373778703,-0.04031751738545812,0.028592726242456148,-3.296134419050588e-05,-0.03296134419050588
SJM,25,0.3977936703547439,0.0024975292217724746,0.08483677141468322,0.029439229948585853,7.352533706307255e-05,0.07352533706307254
TWX,25,0.7864496652555444,0.0037648134711626615,0.1419130375201952,0.02652901760789175,9.98768028669023e-05,0.0998768028669023
CME,25,0.4660574048800674,0.012629425111211512,0.3130483398226078,0.0403433703509436,0.000509513574581113,0.509513574581113
HUM,25,0.7866097270013129,0.007035052018532176,0.12638876683998793,0.05566200378739962,0.0003915850921000913,0.3915850921000913
AES,25,0.9931115027605558,0.00034548320394144766,0.010116929994726147,0.03414901596843554,1.1797911448222767e-05,0.011797911448222767
MJN,25,0.36090212630641855,0.00363282811370114,0.0773138766412395,0.04698804757338189,0.00017069950023250834,0.17069950023250835
WBA,25,0.9935231788359212,0.01049374380983494,0.2189254669899439,0.047932951584463035,0.0005029961139765769,0.5029961139765768
ADP,25,0.7818829633660843,0.004238873609970497,0.3003342449504614,0.014113853752074383,5.982684220465118e-05,0.059826842204651176
PFE,25,0.6735001377411368,0.0026000642643375232,0.08360915767188916,0.03109784067603051,8.085638423980878e-05,0.08085638423980877
OMC,25,1.0254934741938009,0.0021209235935475725,0.11990634735045645,0.017688167811072086,3.7515252437131503e-05,0.037515252437131504
BK,25,1.1126301988802758,-0.002264430496119395,-0.10060110184827002,0.022509002928563206,-5.0970072668679296e-05,-0.0509700726686793
TGNA,25,1.427081820552979,-0.0027177564439458714,-0.05801657476596707,0.04684448288974354,-0.00012731189523691264,-0.12731189523691264
TGT,25,0.5543184192094696,-0.006516416197387806,-0.2690559764447019,0.024219555660853723,-0.00015782470480192273,-0.15782470480192273
ORCL,25,0.762964887654165,-0.006360432095628426,-0.15521536660939053,0.040978108254158,-0.0002606384749578827,-0.26063847495788267
GPC,25,1.0244644077247942,-0.003290976964733001,-0.11802722816750276,0.027883201324210443,-9.176297326098928e-05,-0.09176297326098928
