Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.4578484452081713,0.0037038038908431964,0.08224949683169715,0.045031325825884344,0.00016678719980373814,0.16678719980373816
LRCX,25,0.8060569179734153,-0.007112167054924906,-0.14714674178659815,0.04833383987013071,-0.0003437583435623595,-0.3437583435623595
THC,25,1.3660001523803804,0.0024076205259342823,0.02349448729098485,0.10247597643291066,0.0002467232642750335,0.24672326427503352
CVX,25,0.7839791666215823,0.008701159183535194,0.3239542502199352,0.026859222182230687,0.00023370636775352875,0.23370636775352874
JCI,25,0.653362321507358,0.008943692097994742,0.28055947097247746,0.03187806159953911,0.0002851075676271876,0.2851075676271876
OKE,25,0.49646191526703615,0.019163024487836446,0.6760981550672452,0.028343553882247286,0.0005431482171178165,0.5431482171178165
FITB,25,1.1067113976278238,0.0003440280448812397,0.005897086959831556,0.058338641981136134,2.0070128941796875e-05,0.020070128941796876
PM,25,0.22218733413308944,0.010091997786616923,0.3617876294612938,0.027894811665186096,0.000281514377583154,0.281514377583154
CLX,25,0.17996111812147078,0.002861797079552555,0.12361782399696232,0.023150359608521166,6.625163151825731e-05,0.06625163151825732
TEL,25,1.0307142622462608,0.002072766466079885,0.04970538877847334,0.04170104121542591,8.643651983194998e-05,0.08643651983194998
FLS,25,1.1938402656475966,-0.0033244675317319113,-0.08879140520366477,0.03744132130926899,-0.0001244724570378069,-0.12447245703780689
CTAS,25,0.6910292934625827,0.0034462302593535363,0.10818095049792005,0.03185616546620928,0.00010978368137662357,0.10978368137662357
JPM,25,1.0955232396183643,-0.007462504735673831,-0.18470866603971192,0.04040148681529328,-0.0003014962866873899,-0.3014962866873899
HSY,25,0.03681776333661523,0.008130526812228757,0.3698424322882278,0.021983758764306492,0.00017873954006676287,0.17873954006676288
ADBE,25,1.07034475683853,-0.002105721497820057,-0.04353702750366975,0.04836622108945231,-0.00010184579151637754,-0.10184579151637754
CVC,25,-0.376334528139889,-0.030901551428414473,-0.35287361856498967,0.08757115806525857,-0.002706084644599401,-2.7060846445994007
WY,25,1.0102353859488304,-0.0006188776448395052,-0.014683294603500258,0.04214841842729049,-2.608471392999154e-05,-0.02608471392999154
