Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.521587627032789,0.013810643820825391,0.4582848253453126,0.03013550320026246,0.00041619070106016856,0.41619070106016853
LRCX,25,1.5390054218163103,-0.0027314792316338824,-0.09310771515214865,0.029336765778972592,-8.013276644857123e-05,-0.08013276644857123
THC,25,1.487674734066798,-0.0009794696360934246,-0.014732748161644365,0.06648248007411152,-6.511757056477836e-05,-0.06511757056477836
CVX,25,0.9281763036477034,-0.00248595343931126,-0.12425450824542793,0.020006947630431215,-4.9736340271990746e-05,-0.049736340271990746
JCI,25,0.9396777170636867,0.0028768758926583406,0.14042872610437085,0.020486377484619206,5.893676551339961e-05,0.05893676551339961
OKE,25,0.6937717469363617,0.003167945138989277,0.05122716182525968,0.06184112150884748,0.00019590928027359857,0.19590928027359858
FITB,25,0.9075780450509525,0.004116846274307128,0.16337018277004778,0.025199496043300677,0.0001037424514002796,0.1037424514002796
PM,25,0.8164446071984123,-0.00948674974522938,-0.42715638465042327,0.022209078656270486,-0.0002106919712841533,-0.21069197128415332
CLX,25,0.6774508209585218,0.0022960558921242095,0.09846368013369328,0.02331881043859666,5.354129210486739e-05,0.05354129210486739
TEL,25,0.9827991377436949,0.00610484480261549,0.19952201169447886,0.030597349890214755,0.00018679207245108517,0.18679207245108517
FLS,25,1.3812816664894667,0.0010684695539119327,0.0338128899609553,0.03159947449465942,3.3763076417160247e-05,0.03376307641716025
CTAS,25,0.6515268619824565,0.005127180265991992,0.36247857442969456,0.014144781588977603,7.252284502977282e-05,0.07252284502977283
JPM,25,1.1842447396021858,0.0007327566472632926,0.02944287959735992,0.02488739747212081,1.823640593078019e-05,0.01823640593078019
HSY,25,0.5207218753088182,0.006075334920054744,0.2805422884455887,0.0216556831902833,0.00013156552830357067,0.13156552830357066
ADBE,25,0.8301002055751128,0.011330136853052493,0.41753705347420456,0.02713564403153616,0.00030745056047302175,0.3074505604730218
CVC,25,-0.016807674329360898,0.005875786792697323,0.10936720269488208,0.05372530930584261,0.00031567846285284856,0.31567846285284856
WY,25,1.534221096795079,-0.012906160049291278,-0.3569845573096364,0.03615327269772319,-0.00046659992374248815,-0.46659992374248815
LH,25,0.276688316730283,0.006216027446571056,0.25846504732608905,0.02404977969314623,0.0001494940906565842,0.1494940906565842
BRK.B,25,0.9438566432723661,8.923779539653752e-05,0.0076768579251279626,0.01162426037668921,1.0373233691310698e-06,0.0010373233691310698
EQR,25,0.7776097691393332,-0.011189864632188674,-0.3168385581071263,0.035317243895565474,-0.00039519517837336945,-0.3951951783733694
CAH,25,0.9470717770111967,0.009619315197674222,0.25228317954105184,0.0381290390234239,0.000366775244550735,0.36677524455073496
HRB,25,1.7608787216572583,-0.0012840710182127207,-0.03288890422969688,0.03904268166688493,-5.013357600175206e-05,-0.05013357600175206
SNDK,25,1.068668642970696,0.007988429229251684,0.2130181959628615,0.037501158965051136,0.0002995753544072283,0.29957535440722827
NOV,25,0.667031014375038,-0.00039845026140905137,-0.013913658905445174,0.028637345799322134,-1.1410557919801303e-05,-0.011410557919801303
STZ,25,-0.3867270182985069,0.032747084510115765,0.410828294686847,0.07970990541213127,0.002610267008824397,2.6102670088243967
NFX,25,2.4338662050632576,-0.020237777198211074,-0.31335441653741647,0.06458430495998628,-0.0013070427742815206,-1.3070427742815207
CSX,25,1.4529962604302555,-0.003814224412344261,-0.15433311530839178,0.024714231969740225,-9.426562691132215e-05,-0.09426562691132215
VNO,25,1.165668647549478,-0.004745634318628136,-0.1653428392093712,0.028701783163520067,-0.00013620816718662408,-0.13620816718662407
AGN,25,1.395790768405552,-0.013661438432688197,-0.28234126938266874,0.0483862612878328,-0.0006610259295716922,-0.6610259295716922
MLM,25,1.8610471798915382,-0.015712345561477787,-0.4175684714410991,0.03762818947333796,-0.0005912271158578469,-0.5912271158578469
SPLS,25,1.302307244856806,-0.004636378029531846,-0.08801026311935847,0.05267997009898771,-0.0002442442559633412,-0.2442442559633412
QCOM,25,0.4442562449042025,0.0017793554258335653,0.05774784878174006,0.030812497147014065,5.4826383982020727e-05,0.05482638398202073
SJM,25,0.6639706762628845,0.0004551808572587652,0.016163524512403733,0.02816099031553816,1.2818343713082444e-05,0.012818343713082443
TWX,25,1.1931508986758188,0.0011523667769109194,0.049591115282541565,0.023237363595180274,2.6777965790085026e-05,0.026777965790085026
CME,25,0.6381632814511482,0.011902912877019417,0.2967926981392564,0.04010514056324431,0.00047736799404491444,0.4773679940449144
HUM,25,0.835480878922746,0.008689703549657259,0.15278276230234908,0.05687620395592005,0.0004942373514067887,0.49423735140678865
AES,25,1.4046637953287735,-0.0017369922525745912,-0.05417901373032913,0.032060241281251525,-5.5688390721205986e-05,-0.05568839072120599
MJN,25,0.5094815798415345,0.0028877409912287794,0.06170687111895537,0.046797721855997836,0.00013513969969968791,0.13513969969968792
WBA,25,1.4456779060798872,0.007928309812289223,0.17254005185827503,0.04595054728974791,0.0003643101749573683,0.36431017495736834
