Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,-0.0256630119173407,0.0015655885883784843,0.04301595986958246,0.03639552838353717,5.698042390527102e-05,0.05698042390527102
LRCX,25,0.47154290965059087,-0.005265775653138311,-0.09785310056568902,0.05381306900544642,-0.00028336754858953163,-0.2833675485895316
THC,25,1.387396170471312,0.012272461712946693,0.20200652918506606,0.06075279726084206,0.0007455863783380969,0.7455863783380968
CVX,25,1.4095939747681987,-0.0019341989861314307,-0.08532316106186151,0.02266909666800889,-4.384654379177819e-05,-0.043846543791778186
JCI,25,0.3220225321272508,0.006630215448463648,0.3169180777183623,0.02092091273617962,0.000138710158819378,0.138710158819378
OKE,25,1.2428471117142588,0.0009177837874187363,0.030770477144575578,0.029826764892416667,2.7374521249410363e-05,0.027374521249410363
FITB,25,1.49948495186431,0.004160038987150061,0.10676970622062931,0.03896272767252671,0.00016208646616342167,0.16208646616342168
PM,25,0.8743988854587891,0.005504999610962279,0.19958951910757383,0.02758160666740832,0.0001518367339737974,0.1518367339737974
CLX,25,0.1883815288819464,0.006319565374877622,0.5154965096850599,0.012259181694049744,7.747270015805036e-05,0.07747270015805036
TEL,25,0.8192533989037806,0.001912730551165484,0.049200880832428774,0.038875941219019494,7.435920047493212e-05,0.07435920047493212
FLS,25,0.7339740063833222,0.012115516080081878,0.35679946670852764,0.033956093577850385,0.0004113955977592113,0.4113955977592113
CTAS,25,1.6025306645787667,0.007150549093383964,0.21595850653533472,0.033110754506046766,0.0002367600756144717,0.23676007561447168
JPM,25,2.8620045467481,0.001725225697778351,0.032521849974959736,0.05304820294991496,9.152012295015462e-05,0.09152012295015462
HSY,25,0.5814652611388673,0.00878788243014064,0.3373709290722532,0.026048131812384405,0.0002289079198920404,0.2289079198920404
ADBE,25,0.9287934094908517,0.004647571641730782,0.1570398976141039,0.029594846356505645,0.00013754416866787518,0.1375441686678752
CVC,25,1.9806833846829623,-0.011804160223884285,-0.17300596925023995,0.06822978579895395,-0.000805395323612157,-0.805395323612157
WY,25,1.828482875591975,0.01370027707784394,0.4918122155748554,0.027856723855120908,0.00038164483529614144,0.38164483529614146
LH,25,1.049130240375754,-0.00468601401764479,-0.1697472955727123,0.02760582430391362,-0.00012936127965677846,-0.12936127965677846
BRK.B,25,0.7632509335864835,0.002753436501748704,0.16136959561671382,0.01706292000810788,4.698166677674253e-05,0.04698166677674253
EQR,25,0.9638617299172015,-0.0016494883121760044,-0.0568265942215549,0.02902669665095532,-4.787919686682917e-05,-0.04787919686682917
CAH,25,0.4953216401033373,-0.0034003239139298496,-0.13451794609396542,0.025277845913247932,-8.595286395145086e-05,-0.08595286395145085
HRB,25,0.300459219492714,0.008396765251525119,0.2144140470980153,0.039161451244314686,0.0003288295130075567,0.3288295130075567
SNDK,25,1.2995975803392716,-0.012761981857049281,-0.18119354451514122,0.07043287271187987,-0.0008988630436888723,-0.8988630436888723
