Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.48647023709162257,0.007427103915223545,0.21921920225201905,0.03387980541360236,0.000251628835434378,0.251628835434378
LRCX,25,0.8420355154189626,0.015631113068717457,0.5083072776881529,0.03075130684693278,0.0004806771543352316,0.4806771543352316
THC,25,0.20132921755858368,0.005005310664998483,0.08024187864120592,0.062377785138596556,0.00031222019321320123,0.3122201932132012
CVX,25,0.6621983894574225,-0.00237811311264665,-0.10764259189974505,0.022092677913790392,-5.253888704026397e-05,-0.05253888704026397
JCI,25,0.7979738163598666,0.003930996365388833,0.15881237852522823,0.024752455708384045,9.730181342410575e-05,0.09730181342410575
OKE,25,0.91256068721076,0.003860519399315066,0.09266802813777539,0.04165966921811899,0.00016082796118559707,0.16082796118559706
FITB,25,0.35029093253475346,-0.0003987567231785795,-0.015703389166635245,0.02539303579292373,-1.012564374434265e-05,-0.01012564374434265
PM,25,0.4271736457009557,0.0010922959719281281,0.051080648394430675,0.02138375307012002,2.335738734319784e-05,0.023357387343197842
CLX,25,0.09859952774404972,0.0037521631767573134,0.1660623501849042,0.022594905904796726,8.477977391827466e-05,0.08477977391827467
TEL,25,0.9351212018019046,0.0059877209189651715,0.21588433036450633,0.02773578290214627,0.00016607412748705777,0.16607412748705777
FLS,25,1.0212070890712706,-0.0044590382632613765,-0.17249873537537375,0.025849686686444877,-0.00011526474202817588,-0.11526474202817588
CTAS,25,0.4840672905083379,0.010777528101248279,0.521207388538781,0.02067800330203179,0.0002228577616653523,0.2228577616653523
JPM,25,0.3032874695790364,0.0022105977592921638,0.09256540156404958,0.023881468906744446,5.2792321653854754e-05,0.05279232165385475
HSY,25,0.31283301346708814,-0.000278773320105316,-0.012299486598783133,0.02266544362371165,-6.318520970641961e-06,-0.006318520970641961
ADBE,25,1.1887394088512673,0.006399165883383492,0.17772419510784293,0.036006160441466525,0.0002304093934886649,0.2304093934886649
CVC,25,0.5736307840820368,0.005917449878493774,0.13629638166676117,0.04341604528403172,0.0002569122718906737,0.25691227189067367
WY,25,0.42097867186498705,0.005842361509833393,0.21773500411359567,0.026832440349303432,0.00015676481671167086,0.15676481671167086
LH,25,0.5912772721408986,-0.002187907091498305,-0.05725329061340473,0.03821452126257437,-8.360982206859922e-05,-0.08360982206859922
BRK.B,25,0.242755747424928,0.008879595469147912,0.3794271877929443,0.023402633640458997,0.0002078059196399482,0.2078059196399482
EQR,25,-0.04209323040639559,0.0135196847554124,0.45028758972112315,0.03002455555967144,0.0004059225260881226,0.40592252608812257
CAH,25,0.28914963801886784,0.00912696903509481,0.364997592192767,0.025005559571676744,0.00022822496791591226,0.22822496791591226
HRB,25,0.8104785907738573,0.0059471305955099436,0.17960778071915484,0.033111764822756885,0.00019691998964874735,0.19691998964874735
SNDK,25,0.9575520451224077,0.014302563631597627,0.2964875650857144,0.048240011777434116,0.0006899558380357705,0.6899558380357704
NOV,25,0.7228570654910894,-0.0016551661590136692,-0.049908080626339134,0.033164291999242916,-5.489241380479466e-05,-0.054892413804794656
STZ,25,0.38097049800975685,0.010321354408530522,0.29562492393659184,0.03491368140104565,0.0003603564794467126,0.36035647944671256
NFX,25,1.8640021039000756,0.002300582685629068,0.029230385844517863,0.07870517679329712,0.0001810677670000341,0.1810677670000341
CSX,25,0.4785388365659395,0.01266635450202541,0.5112857313171495,0.02477353410468734,0.0003137903652379865,0.3137903652379865
VNO,25,0.21071528725788596,0.009265087229530138,0.4356218912139225,0.021268644704038293,0.000197055848436799,0.197055848436799
AGN,25,0.27981770805606127,0.03047448610897255,0.42318951908937613,0.07201143869193141,0.002194511588104392,2.194511588104392
MLM,25,0.9044766517922386,0.008847221524075874,0.20699596723563715,0.04274103327822082,0.0003781393895803184,0.3781393895803184
SPLS,25,0.3552298996928758,-0.004610696599046464,-0.07890998728433725,0.05842982311519947,-0.00026940218672013666,-0.26940218672013666
QCOM,25,0.45172313683262116,-0.0012380825541506422,-0.04035705030180029,0.03067822214190447,-3.798217162624987e-05,-0.037982171626249873
SJM,25,0.5811832793446958,-0.002204264236187647,-0.09250136279731201,0.023829532555294426,-5.252658637670474e-05,-0.05252658637670474
TWX,25,0.5093101168809051,0.010231581744811827,0.17930429137479428,0.05706267076132084,0.000583841380471738,0.583841380471738
CME,25,-0.03348440224219738,0.002941022188869618,0.08458303236786752,0.03477082940321363,0.00010226178080025143,0.10226178080025143
HUM,25,0.7766849062436687,0.00971423644041879,0.26051213267017787,0.037288998177745246,0.0003622341449249627,0.3622341449249627
AES,25,0.5639490436135752,-0.002430270420168374,-0.10363271219184055,0.02345080398619269,-5.699179525681069e-05,-0.05699179525681069
MJN,25,0.5688028732346236,0.005712264524252153,0.24225724677034638,0.023579333953494618,0.00013469139284804157,0.13469139284804157
WBA,25,0.2427174418930547,0.005605091227756494,0.10938078543479582,0.051243837804564006,0.0002872263857549383,0.2872263857549383
ADP,25,0.4779923042720889,0.006998846940742287,0.31582912737283475,0.022160232651626786,0.00015509607649997548,0.15509607649997548
PFE,25,0.27339464360981247,-0.001115231618657865,-0.04516365235765267,0.02469312290835789,-2.7538551430805575e-05,-0.027538551430805577
OMC,25,0.5931140982540664,0.0020240892735535966,0.08254240814811473,0.024521810290796888,4.963433317771818e-05,0.04963433317771818
BK,25,0.2702958374276732,0.0067748272474906605,0.21517209064944415,0.031485622633690584,0.00021330965412293563,0.21330965412293562
TGNA,25,1.2284995621935728,0.005056186990559489,0.11622603001446265,0.04350305168240127,0.0002199595639661944,0.2199595639661944
TGT,25,0.23054941360603406,0.0051927573791542125,0.13837342026942862,0.037527130348034544,0.00019486928303323836,0.19486928303323836
ORCL,25,0.4817132162454259,0.005414899101237659,0.1688743749311717,0.03206465814274436,0.0001736268885586392,0.1736268885586392
GPC,25,0.6279202265378426,0.008085159929517147,0.4831824092317601,0.016733142132330965,0.00013529013026323744,0.13529013026323744
NI,25,0.4376655106656492,0.010998796197243164,0.5317626684705494,0.02068365616728567,0.00022749531879782674,0.22749531879782672
YUM,25,0.741089321389805,-0.0017371292259833141,-0.0483632184541279,0.03591839587001362,-6.239489521623903e-05,-0.062394895216239026
LMT,25,0.39709591083462603,0.010782752744712189,0.41149024298424025,0.026204151686593357,0.00028255288852146906,0.28255288852146904
PH,25,1.2324936771996058,0.0022036664610998666,0.09831125566646882,0.022415200031378243,4.939562452799291e-05,0.04939562452799291
INTC,25,0.5405427282723374,0.01662440535378321,0.509563252922838,0.03262481204919344,0.0005423681000967823,0.5423681000967823
UNP,25,0.8014570007185631,0.015082148569191132,0.5950792960565675,0.025344771140815226,0.00038225360379792305,0.38225360379792306
CTXS,25,0.43954191297502504,0.0033415703011622244,0.09025186855036524,0.037024943137852644,0.0001237214503916685,0.12372145039166849
PGR,25,0.49974692692091616,0.00013545404868067984,0.0064334407566971575,0.021054681904029864,2.85194190758469e-06,0.0028519419075846903
EA,25,1.1211553769538343,0.02470363029105791,0.413477055753645,0.05974607284080269,0.0014759448948018057,1.4759448948018057
NTRS,25,0.34276487283830637,0.005584138463216559,0.21353000930755375,0.02615153945492296,0.0001460338173425607,0.14603381734256068
AEP,25,0.297073902625079,0.008166588273450947,0.3430409481666904,0.02380645318611538,0.00019441750142218877,0.19441750142218878
EXC,25,0.27374230775977954,0.011489701126118173,0.27157513720330684,0.04230763259273157,0.00048610205384410184,0.4861020538441018
PCL,25,0.3812161732083488,-0.0031706317034516382,-0.11733010625022751,0.02702317252393599,-8.568052753223467e-05,-0.08568052753223467
EOG,25,1.069920153854168,0.003533996587383386,0.08705727843537653,0.040593924493133635,0.00014345879062723312,0.14345879062723313
GS,25,0.39870331537554676,0.004014956660694529,0.1724980400273313,0.02327537553504018,9.344962403457605e-05,0.09344962403457606
CMA,25,0.47392013674386163,0.0019373227032964463,0.0778808943815109,0.024875455253584904,4.819178421760489e-05,0.04819178421760489
GE,25,0.6961683366753503,-0.0003835336909414149,-0.02672434960300737,0.014351469601275337,-5.504272106610646e-06,-0.005504272106610646
RL,25,0.5704744585956542,0.0008626038285899514,0.031619999188806924,0.027280324184679364,2.3532112086879465e-05,0.023532112086879466
FTI,25,0.7298971768642554,0.0025698419069075653,0.06568940207198849,0.03912110364608428,0.00010053505159418174,0.10053505159418175
MMC,25,0.520845009769946,0.006320459679602707,0.42326316649517776,0.01493269478641184,9.438149530532959e-05,0.09438149530532959
CBS,25,0.9492887031896925,-0.005330304633058325,-0.15665131218362005,0.03402655591426114,-0.00018137190863680427,-0.18137190863680427
HOG,25,0.8807679664140162,-0.0006144416190859664,-0.021943489623630515,0.02800108959990968,-1.720503482993972e-05,-0.01720503482993972
BDX,25,0.09002904290248652,0.009037552929277994,0.3299905834843719,0.027387305522025618,0.000247514223245614,0.247514223245614
PCAR,25,0.8314044783490943,0.005894432339555488,0.2196542262169471,0.026835050893733777,0.00015817739182164177,0.15817739182164176
JEF,25,0.7361192156438205,-0.008799791390077135,-0.3657711384098389,0.02405818957814313,-0.00021170704951058739,-0.2117070495105874
HOT,25,0.7991196691588996,-0.0003537563906129983,-0.014511077003716757,0.024378369057127175,-8.624003846680913e-06,-0.008624003846680913
EL,25,0.4834887959744673,-0.0018407863593105384,-0.08079961166663771,0.022782118890685238,-4.193701369016432e-05,-0.04193701369016432
CVS,25,0.3857190894907465,0.011688896479125672,0.5309783821758919,0.022013883938599987,0.00025731801046178257,0.25731801046178254
APD,25,0.6133649000945004,0.010894636695357283,0.41967180415324745,0.025959896727727257,0.00028282364349758283,0.2828236434975828
EIX,25,0.21293042703225323,0.012878347785434802,0.47523159883569877,0.02709909824385903,0.00034899161185608207,0.3489916118560821
