Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.2755326902347889,0.0006893058564294051,0.019445754798220784,0.03544762667132233,2.443425666106566e-05,0.024434256661065662
LRCX,25,0.9342631701930599,-0.005732994867741953,-0.12311108801469293,0.04656765657905434,-0.00026697213617048833,-0.2669721361704883
THC,25,0.7945329829765111,0.016297080227300514,0.27078964912657555,0.06018354202188411,0.000980816012693757,0.9808160126937571
CVX,25,0.4075743492422782,0.0032590124259794864,0.1098960143612699,0.029655419670324677,9.664738120322461e-05,0.09664738120322461
JCI,25,0.26377319816014144,0.007345105149242697,0.36634450507310307,0.0200497210891071,0.00014726730961248045,0.14726730961248044
OKE,25,0.3295330082095115,0.005579075194328865,0.16157329786347716,0.03452968570984394,0.0001926437130117622,0.1926437130117622
FITB,25,0.6562516469419697,0.009069194695227314,0.21909083068095436,0.04139467939867418,0.00037541640681309124,0.37541640681309124
PM,25,0.2856295469062114,0.008635823127465395,0.290203814361307,0.029757786424935474,0.00025698298023063353,0.25698298023063354
CLX,25,0.14864991527201415,0.006753398579568349,0.5715557537453899,0.011815817678876477,7.979692632896298e-05,0.07979692632896297
TEL,25,1.048755158550539,0.0026879911957120263,0.10187439737448406,0.026385345729517642,7.092357701676133e-05,0.07092357701676133
FLS,25,0.8244983940153281,0.013128037853145817,0.50295315322024,0.026101909828164713,0.0003426668602635452,0.34266686026354515
CTAS,25,0.7852133136865547,0.01216536945312545,0.35010332418826534,0.034747940429676175,0.0004227215330622053,0.4227215330622053
JPM,25,1.5779348358076846,0.010196190186040541,0.19630427082985127,0.0519407455728673,0.0005295977202656982,0.5295977202656983
HSY,25,0.2924313806713176,0.010586684729524093,0.403254514136875,0.026253109037561072,0.00027793338855047875,0.2779333885504787
ADBE,25,0.6311189371671518,0.0070677378986923846,0.25959910626215493,0.027225586406892568,0.00019242330886211882,0.1924233088621188
CVC,25,0.6410164817902441,-0.004695687725431377,-0.06448499251761962,0.07281830302063455,-0.0003419320116807362,-0.3419320116807362
WY,25,0.661281475076551,0.020070443006201415,0.5678559514886483,0.03534425051562153,0.000709374765570687,0.7093747655706869
LH,25,0.17054851513995853,-0.00045392218783674886,-0.014204671321269168,0.031955838862464545,-1.450546429060851e-05,-0.01450546429060851
BRK.B,25,0.29445963967282074,0.0053615852160832055,0.28096743428755677,0.01908258595761628,0.00010231291075499242,0.10231291075499242
EQR,25,0.10889002240442658,0.0023706910292921163,0.07238442823747707,0.032751395390102564,7.764343924811533e-05,0.07764343924811533
CAH,25,-0.15063858692452486,-0.0007636032509213899,-0.02923673808906947,0.02611793588583922,-1.9943740749783258e-05,-0.019943740749783258
HRB,25,0.21182471402133476,0.009158508005132845,0.2351688887378264,0.03894438611453845,0.00035667247198498483,0.3566724719849848
SNDK,25,0.8778177580013866,-0.009361063847841805,-0.13646452976971676,0.06859704762577173,-0.0006421413425982943,-0.6421413425982943
NOV,25,0.8587394281455327,0.0003688668247947822,0.008802917847780338,0.04190279077610525,1.5456549383622032e-05,0.015456549383622032
STZ,25,0.2467441986114573,0.024815129903621978,0.3159021863212707,0.07855320722087417,0.0019493080415321283,1.9493080415321282
NFX,25,0.4671216221988409,-0.02271330184792821,-0.35198953075371253,0.06452834491779454,-0.0014656517758650915,-1.4656517758650915
CSX,25,0.7504440371290733,-0.0026509352111544053,-0.08016307128127806,0.03306928201207189,-8.766452409339637e-05,-0.08766452409339637
VNO,25,0.37861851056513585,0.0018896189423122122,0.06136688447072697,0.030792160276828004,5.818544933380785e-05,0.05818544933380785
AGN,25,0.35654518367545884,0.0038466801698624382,0.13409953127030563,0.028685261860525453,0.00011034302796619457,0.11034302796619457
MLM,25,1.1483959344506163,0.0043975703761835825,0.08333830377617474,0.05276769716833122,0.00023204966188687968,0.23204966188687967
SPLS,25,0.8531496672080501,-0.009457205814732762,-0.2065850127737838,0.045778760461624865,-0.00043293915962893694,-0.4329391596289369
QCOM,25,0.4962268007399876,0.004847939402829141,0.13327864074411014,0.03637446612422314,0.00017634120758049514,0.17634120758049512
SJM,25,0.26046709822377206,0.006338317494172504,0.22563257101621473,0.028091323276713497,0.00017805172575924841,0.1780517257592484
TWX,25,0.661513701896782,0.012466869582109122,0.4811121445103913,0.025912606290153326,0.000323049083151882,0.32304908315188197
CME,25,0.4292622211428858,0.004569668622523093,0.0880672679086807,0.051888388626538336,0.00023711274137997636,0.23711274137997637
HUM,25,0.2582994940088179,-0.010917949124088755,-0.2014469512864376,0.054197638903775276,-0.0005917270641971518,-0.5917270641971518
AES,25,0.4147613024208158,-0.005606467307256647,-0.17528027478076572,0.031985728652405496,-0.0001793269419884936,-0.1793269419884936
MJN,25,0.6818917594100925,-0.004986153887752576,-0.11594978982788291,0.043002698798799685,-0.0002144180737994881,-0.2144180737994881
WBA,25,0.1880832145650563,0.0009484231159393792,0.021222651929019933,0.044689189603232475,4.2384260452303455e-05,0.04238426045230345
ADP,25,0.33153399094230557,0.005253602810525254,0.20413622880728155,0.025735768908932925,0.00013520550787099846,0.13520550787099847
PFE,25,0.1185096206381846,0.010774735288359745,0.4175666158026007,0.025803631996896427,0.00027802730424480857,0.2780273042448086
OMC,25,0.5745228298229617,0.0055003707842021755,0.18233092626836161,0.030166965620009627,0.00016592949634433243,0.16592949634433243
