Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,0.3275778286879808,0.012571026690482563,0.2605477708680365,0.04824845228420548,0.0006065325814392214,0.6065325814392214
SPLS,25,0.7320881461109808,-0.010415002109152954,-0.20485494297594528,0.05084086309001544,-0.0005295076963136673,-0.5295076963136673
KSU,25,0.8989416689743931,0.016175988678811187,0.3176389416073064,0.050925710169407966,0.000823773711160763,0.8237737111607629
WMT,25,0.15101199259561693,0.0048476918229075254,0.19191900882401905,0.02525904991179189,0.0001224480897118066,0.12244808971180661
CMG,25,0.6649082817996441,0.023235660817351057,0.3520776439544731,0.0659958427248384,0.0015334570169095903,1.5334570169095902
ED,25,0.02241103041469353,0.00848741400357385,0.39516733334944903,0.021478025351018514,0.0001822928931333487,0.18229289313334868
JCI,25,0.5798681721758451,0.006842838905176696,0.12255343093651987,0.05583555558490357,0.0003820737120485341,0.3820737120485341
LEG,25,0.681125400122849,0.004888951715788301,0.08895242402414397,0.05496142201207821,0.00026870373844811463,0.2687037384481146
BBY,25,0.5461483508426644,-0.008546509003867865,-0.14021534201872207,0.06095273798730743,-0.0005209331240189218,-0.5209331240189218
APA,25,1.014295313360527,-0.0037002992991827634,-0.07519894466675055,0.049206798254694956,-0.00018207988109687537,-0.18207988109687537
ISRG,25,0.6265809282585846,0.016511811772816604,0.31153000004195036,0.05300231685742348,0.0008751642794729609,0.8751642794729609
ETR,25,0.24831170413974804,0.002074776988381921,0.08093118642652579,0.025636310055401554,5.3189626169971195e-05,0.053189626169971194
TEL,25,1.0693369840846927,0.0028261796601026807,0.072199688103897,0.03914393170280381,0.00011062778359491261,0.11062778359491261
CL,25,0.16415501425183918,0.008231947477227993,0.31487335054777715,0.02614367796737032,0.00021521338388895517,0.21521338388895517
SJM,25,0.3115935261678786,0.011615765383344042,0.3870864430989426,0.030008194785511914,0.0003485681502061945,0.34856815020619447
AIZ,25,0.2811522278376709,0.0024796810628683417,0.07711302569410541,0.0321564488041855,7.973773714883412e-05,0.07973773714883411
GT,25,1.2704178166364664,0.010072680373843575,0.1250402966016267,0.08055547409596064,0.0008114095429320472,0.8114095429320473
ZION,25,1.14201591823815,-0.008805319934478417,-0.14146183574638874,0.06224519771017606,-0.0005480888802229636,-0.5480888802229636
ABT,25,0.2540445155130299,0.010342376737841491,0.5136378310969687,0.020135543201234674,0.00020824937360825187,0.20824937360825188
COG,25,0.015445926686811285,-0.00937796327859243,-0.05610134602039855,0.16716111009498036,-0.0015676307520794722,-1.5676307520794723
NBR,25,1.5359329681344702,-0.006328487097045231,-0.06106288019470065,0.10363885681230034,-0.000655877168089161,-0.655877168089161
REGN,25,1.1689327338261584,0.041846367146025854,0.308077355066218,0.13583071413032424,0.0056840219332044304,5.684021933204431
DVN,25,0.8331380057033267,-0.008800739886049524,-0.19026011196785592,0.04625635817735875,-0.0004070901763948742,-0.4070901763948742
PCG,25,0.3059559335166394,-0.002100590667495258,-0.07020930142027594,0.029918979750575083,-6.284752964503763e-05,-0.06284752964503763
ANDV,25,1.1960466931082183,0.015868624022703826,0.17254382656367556,0.0919686571159222,0.001459416041645534,1.4594160416455342
PNC,25,0.6303381677091932,0.00281689768711891,0.0534483838240154,0.052703140592498574,0.00014845935483891198,0.14845935483891198
GWW,25,0.5874163059308415,0.01835510427003178,0.4337773247185982,0.042314577604855616,0.0007766884840794764,0.7766884840794763
AEP,25,0.12025717934872053,0.006995909297145466,0.2883512044056377,0.024261765479931825,0.00016973311068621799,0.169733110686218
HAS,25,0.485229014262653,-0.0064040997781082895,-0.14510593575261335,0.04413396147368115,-0.0002826382928806412,-0.28263829288064124
DOV,25,0.9960221500362963,0.004458936788710524,0.11528948603348867,0.038676005437436996,0.0001724538634853561,0.1724538634853561
ARG,25,0.42995242004770756,0.01077356895860369,0.3633424843059281,0.02965127785478709,0.0003194500866792672,0.3194500866792672
BXP,25,0.647837220891425,0.007349607256596719,0.17577199818151576,0.04181329980106926,0.00030731133164019274,0.30731133164019275
PFG,25,0.9128485687766563,-0.0022668330245488627,-0.05421081257296945,0.04181514566854416,-9.478795312777724e-05,-0.09478795312777724
BAC,25,1.1799927714634924,-0.020529081484228537,-0.27370240165682813,0.07500512001340852,-0.001539786220489604,-1.539786220489604
JBL,25,1.164248727443319,0.009983891215037403,0.19611544275203832,0.05090823585810473,0.0005082622887567839,0.5082622887567839
LRCX,25,0.7880489299573316,-0.0027717598682257304,-0.04968318586323163,0.05578869027956176,-0.0001546328528177642,-0.1546328528177642
WMB,25,0.7620719869552408,0.014482188156397383,0.2904741731105921,0.049857059584032574,0.0007220393178206752,0.7220393178206752
FITB,25,0.7502344752870849,-0.0008154972099768541,-0.015433213572705409,0.05284040204167921,-4.3091200439044666e-05,-0.043091200439044665
MCO,25,0.8953314657746028,0.014088735553666947,0.2531900803571358,0.05564489546270597,0.0007839662170855062,0.7839662170855063
STT,25,0.7678051670859014,-0.003440857834767942,-0.05635860179516803,0.06105293114391898,-0.0002100744564621013,-0.2100744564621013
FOSL,25,1.6611921786914998,0.018519210535497835,0.1848908013707606,0.10016296320962638,0.001854939003538395,1.854939003538395
LOW,25,0.3156776899943013,0.00539971929115233,0.11570296145209086,0.0466688079836936,0.0002519984627646342,0.2519984627646342
MET,25,1.0301412172673718,-0.005253881093462752,-0.11010446853693216,0.0477172376677923,-0.0002507006928150826,-0.2507006928150826
BF.B,25,0.33257169809173825,0.009475659523528778,0.4066363437930499,0.02330253964793477,0.00022080693173736005,0.22080693173736005
JNPR,25,1.253558103094505,-0.016594609261749094,-0.21073833223898053,0.07874509153337396,-0.0013067440252770078,-1.3067440252770077
CMA,25,0.8387701337446284,-0.008570525342553169,-0.15501992118107497,0.05528660624554278,-0.00047383525993118273,-0.47383525993118275
GME,25,0.32322499429314716,0.006999724308761843,0.12965293990096532,0.053988164974188346,0.00037790227075527085,0.37790227075527083
GOOGL,25,0.6258133570747029,0.0010612084013633964,0.01678481679552933,0.06322430648430141,6.709416521151492e-05,0.06709416521151493
HD,25,0.4482857389773478,0.010881222979784081,0.24347804612035606,0.04469077665591778,0.00048629030593277055,0.48629030593277056
GILD,25,0.5408963057305205,0.01164369396225522,0.33001776663341953,0.03528202157427761,0.0004108130615805746,0.4108130615805746
CB,25,0.39160547634222687,0.007255039387107551,0.19392114983064943,0.03741231626072426,0.00027142782803447885,0.27142782803447885
CAH,25,0.5684304443309356,0.0037968068102830197,0.13427071728028867,0.02827725126661256,0.00010736326018515872,0.10736326018515872
JNJ,25,0.2961965272940165,0.006290221393917515,0.3097788733792421,0.020305520919810457,0.0001277262221044314,0.1277262221044314
F,25,0.9867998701880379,-0.006663608186938565,-0.14171092421611176,0.04702254412494298,-0.00031333981000164994,-0.31333981000164995
DIS,25,0.7809055326061078,0.004101270473604358,0.10460966186455278,0.039205465350940806,0.00016079221744773223,0.16079221744773223
PM,25,0.22975586844692414,0.013609083091962815,0.4287204563228452,0.03174348900607295,0.0004319997795124549,0.4319997795124549
BSX,25,0.6004802607850402,-0.0041768895406006585,-0.12154136829549508,0.03436599076658144,-0.00014354294738531283,-0.14354294738531284
PPG,25,0.7751934360531416,0.006290916530401499,0.16060274406693445,0.03917066652223347,0.00024641939353156313,0.24641939353156314
OXY,25,1.0134741407593835,0.006178058807951723,0.12700434374168074,0.048644468574378256,0.00030052838753406836,0.30052838753406835
NFLX,25,1.2671375215171266,-0.01696399418753572,-0.11495531928085202,0.14757032813845086,-0.002503382188793419,-2.503382188793419
PLD,25,1.0307273872527867,0.0042517778718194465,0.07496571419090252,0.05671629914699621,0.00024114510568469064,0.24114510568469064
VRTX,25,0.6650955414606851,-0.0005146180654898983,-0.005131747894882687,0.10028124452548982,-5.160654006262703e-05,-0.051606540062627035
WFC,25,0.5114473320927962,-0.0009609689000115171,-0.022396264664557578,0.042907552415750144,-4.123282344714993e-05,-0.04123282344714993
PFE,25,0.3079728693947013,0.009432833646731564,0.2721764405653674,0.03465705417830285,0.00032691422674969387,0.3269142267496939
