Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
PRGO,25,0.4740488106060296,0.011255938138810167,0.24253601789127865,0.046409346688687916,0.0005223807353904657,0.5223807353904657
SPLS,25,0.9503434041051982,-0.013345673126142123,-0.27734637459798395,0.04811915477707901,-0.0006421825107611368,-0.6421825107611367
KSU,25,1.2057016837925514,0.012574405340614565,0.2858133776707586,0.043995160209399274,0.0005532129774982636,0.5532129774982636
WMT,25,0.30843433478468907,0.00423455357732112,0.19504744518256675,0.021710377048812544,9.19337547970395e-05,0.0919337547970395
CMG,25,1.0232793075551851,0.0205616520254084,0.3575906611931279,0.05750052855631888,0.0011823058594520877,1.1823058594520877
ED,25,0.10003380424333075,0.008392263483526306,0.4019269195563003,0.02088007315556467,0.00017523107547680328,0.17523107547680328
JCI,25,0.943598435803382,0.004506906757002728,0.09924177881940835,0.045413401599783985,0.0002046739665285449,0.20467396652854492
LEG,25,1.1193946385395315,0.0021442718452626543,0.055409395209116856,0.03869870510533643,8.298054380549504e-05,0.08298054380549504
BBY,25,0.8167785069526614,-0.010741092120822329,-0.192448628263969,0.05581277568832284,-0.0005994901651870685,-0.5994901651870685
APA,25,1.3948258028516771,-0.007766679794877828,-0.21342451580684482,0.03639075747936517,-0.00028263536083528466,-0.2826353608352847
ISRG,25,1.0309910136395997,0.013986830855245104,0.3595503526682401,0.03890089594252425,0.0005441002516655773,0.5441002516655773
ETR,25,0.3563659440261052,0.0010781367933909805,0.04543732930248431,0.023727996560133056,2.5582026124934068e-05,0.025582026124934067
TEL,25,1.2551770260343533,-0.0014443676781295495,-0.032965967851553916,0.04381390179816809,-6.328338361001613e-05,-0.06328338361001613
CL,25,0.2917719535104739,0.007568779380834952,0.31949282476890717,0.02368998235346768,0.00017930424996927006,0.17930424996927005
SJM,25,0.4432884479787073,0.010365431667277956,0.3755850290148609,0.02759809594771634,0.0002860661776930344,0.2860661776930344
AIZ,25,0.44757290078902795,0.0013478529682743917,0.047341629140954286,0.02847077704616615,3.8374421350753464e-05,0.03837442135075347
GT,25,1.866157008804924,0.004970360153116919,0.08295461360692293,0.05991662111367029,0.00029780718609279073,0.2978071860927907
ZION,25,1.5844983206326402,-0.01338481658741009,-0.2753728484420343,0.048606159478455556,-0.0006505845296375321,-0.6505845296375321
