Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CNX,25,0.9400998775588133,-0.008638431915307495,-0.12470177393098895,0.06927272678645356,-0.0005984077339324769,-0.5984077339324769
AIV,25,0.9104722988440214,0.013747173157185641,0.3257353183347505,0.04220350813496372,0.0005801789341720391,0.580178934172039
BK,25,0.8832358598149566,-0.002035257088283931,-0.05997644992616724,0.033934270714411935,-6.90649650072527e-05,-0.06906496500725269
A,25,0.8549713131290179,0.0059112154962713,0.131099255070094,0.045089619259169614,0.00026653445608577626,0.26653445608577625
DHI,25,0.7901342041538622,-0.0018687061337583286,-0.026659503435075668,0.07009530910090729,-0.00013098753406455145,-0.13098753406455146
GNW,25,1.1669266807997725,-0.002581908821949144,-0.0416135405757555,0.06204492062502829,-0.00016019432791889495,-0.16019432791889496
VLO,25,1.0506552397838773,0.005788521498680125,0.13413015482119595,0.043156004005188785,0.00024980945698116085,0.24980945698116083
UNP,25,0.7660371991659825,0.009585674261449888,0.3357306651936075,0.028551679233477435,0.00027368709674951795,0.27368709674951797
KIM,25,1.08882291344086,0.0041999922948121726,0.09315359893903503,0.04508674214037489,0.00018936396958775783,0.18936396958775784
WBA,25,0.5214584170315154,-0.000228938405472993,-0.004349569941393907,0.05263472218120606,-1.2050109368679291e-05,-0.012050109368679292
AIZ,25,0.5868891457632162,0.007093537265737571,0.1778034847593841,0.0398953781774133,0.0002829993518321747,0.28299935183217473
ECL,25,0.48170039032303547,0.0017291226836364392,0.07059357025925102,0.02449405345679969,4.235322344635588e-05,0.04235322344635588
CB,25,0.38264965390762506,0.006781450923169608,0.3071208026156015,0.022080728056892346,0.00014973937366566967,0.14973937366566967
LLY,25,0.5380863290693495,-0.0026069714460868355,-0.09714589814745306,0.026835630693638136,-6.995972295604607e-05,-0.06995972295604608
BAC,25,1.1354197773049963,-0.012217965092198576,-0.2427413309965946,0.05033327057257497,-0.0006149701428319068,-0.6149701428319069
GRMN,25,0.9438680711107607,-0.006279399847481218,-0.14118892465914418,0.04447515881745565,-0.000279277305495034,-0.279277305495034
PSA,25,0.6086831249109398,0.005484227440136328,0.16327376416036735,0.033589152968567106,0.00018421055440115232,0.18421055440115233
NFX,25,0.8061069923478198,0.009818730337750537,0.2060071036080742,0.04766209594612107,0.00046798126742695587,0.4679812674269559
ROP,25,0.6974410507041547,0.010656637996784818,0.4089490685538719,0.026058594617830732,0.00027769700954718735,0.27769700954718735
COST,25,0.2858578852787318,0.0062990916665741775,0.22791697548036915,0.02763765907869696,0.00017409214798623819,0.17409214798623818
