Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
CNX,25,1.3184042802894884,-0.009861741932572624,-0.13365490941151334,0.07378510805172946,-0.0007276496940731423,-0.7276496940731423
AIV,25,0.9099755864978906,-0.0038615048364583912,-0.07215889513523287,0.053513913000213645,-0.00020664423386813855,-0.20664423386813854
BK,25,0.9652769448718501,-0.01579843120958917,-0.3299068590118537,0.04788755001005156,-0.0007565481646295608,-0.7565481646295608
A,25,1.2711870331752309,-0.00673230522528119,-0.12012907003712593,0.05604226540004487,-0.0003772936361893173,-0.3772936361893173
DHI,25,1.03471494322679,0.002298585492157384,0.041674227739667634,0.05515604287897755,0.0001267808799664284,0.1267808799664284
GNW,25,0.913513426321701,-0.02870958485117534,-0.4487906790716676,0.06397099180081388,-0.001836580617119308,-1.836580617119308
VLO,25,1.707157220791863,-0.0023950991118956745,-0.04100729245483816,0.058406663023008086,-0.0001398897467351966,-0.1398897467351966
UNP,25,0.8742155382016885,0.006339128504748691,0.21756661638613956,0.0291364944220024,0.00018469998231896665,0.18469998231896664
KIM,25,0.9902850748819698,-0.0014973404645616342,-0.02742849108275655,0.054590697681614946,-8.174086062733304e-05,-0.08174086062733305
WBA,25,0.6033837983628922,-0.004965067694663556,-0.14242602508427213,0.03486067726544901,-0.00017308562250477314,-0.17308562250477313
AIZ,25,0.48248835924315603,0.0031548783169196874,0.15363974981003525,0.02053425835970491,6.478308645305985e-05,0.06478308645305984
ECL,25,0.5230588421168111,0.005567834363876369,0.1362935469193518,0.04085178271258133,0.0002274559596127209,0.22745595961272091
CB,25,0.39734751065616997,0.005666885055919103,0.14296347247749544,0.03963869202191597,0.0002246279114551754,0.22462791145517538
LLY,25,0.3850042471418042,0.009059657457739763,0.35978485466433285,0.025180763837855592,0.00022812909489521217,0.22812909489521216
BAC,25,1.2783881906011834,-0.03573748609111481,-0.5610973466668268,0.0636921316834088,-0.002276196670149275,-2.276196670149275
GRMN,25,0.48078553193118356,0.012186783619036709,0.3882014480946154,0.03139293704042664,0.0003825789308777221,0.3825789308777221
PSA,25,0.6739373598971125,0.01292420724854162,0.303204511809322,0.042625379059891236,0.0005508992330176804,0.5508992330176804
NFX,25,1.1704210986540202,-0.02550365673714682,-0.38233405982692775,0.06670516550027385,-0.0017012256435135526,-1.7012256435135527
ROP,25,0.9111205031420238,0.0059212969742355155,0.1601895107745093,0.03696432397855704,0.00021887673972889113,0.21887673972889113
COST,25,0.3954656575040512,0.00693482352365176,0.29549046061377265,0.023468857536880265,0.00016275238531998916,0.16275238531998917
NWL,25,0.9803652595097894,-0.003631183223038311,-0.061521963862327146,0.05902255056688557,-0.00021432169539940525,-0.21432169539940527
PVH,25,1.3396178109747168,0.005298754961102882,0.08617887341359098,0.061485544556529714,0.00032579683425502416,0.32579683425502415
VNO,25,0.8914697423980119,-0.0017646728611631732,-0.037019074494564604,0.047669286314066944,-8.412069586945101e-05,-0.084120695869451
TXN,25,0.9571358304545184,-0.0029867157600001228,-0.12496204838681946,0.023900982726809645,-7.138544178965307e-05,-0.07138544178965307
AON,25,0.5362269858279392,0.0015659256412119819,0.043860317813488515,0.035702560293131465,5.590755461993133e-05,0.055907554619931334
BBT,25,0.8507971749970001,-0.0013381805119185948,-0.031219610482132322,0.04286345957725723,-5.735904627969607e-05,-0.05735904627969607
CMI,25,1.4482649124403049,-0.007265965405242962,-0.2027810472644153,0.0358315804325073,-0.0002603510238377787,-0.2603510238377787
CELG,25,0.5188519121802112,0.005302581451619814,0.15859017033713635,0.03343575103266115,0.00017729579324676708,0.17729579324676709
BKNG,25,1.0225273658691143,0.007801624226156522,0.1379650787437823,0.056547818456618826,0.00044116483040745837,0.44116483040745835
ESRX,25,0.8521221514528707,-0.007657949229417382,-0.14116323908471512,0.05424889141869067,-0.00041543525623650946,-0.41543525623650945
IFF,25,0.5922049149348689,-0.0013230047965159968,-0.037508622221972474,0.035272017955940364,-4.666504893850747e-05,-0.04666504893850747
GIS,25,0.24410451964381683,0.006574457202925765,0.340867163019479,0.01928744659558206,0.0001268044921963705,0.1268044921963705
EL,25,1.05782495253027,0.014692365647426724,0.29774038399842184,0.04934623059901944,0.0007250128632830307,0.7250128632830307
ADSK,25,1.6067766528430119,-0.008451736171124763,-0.16232141396400315,0.05206790628991837,-0.0004400642069452377,-0.4400642069452377
SHW,25,0.348181227125963,0.003541348996937544,0.1118413892737741,0.031664029031942306,0.00011213337745127016,0.11213337745127015
BA,25,0.8747948941376906,0.00631874011092299,0.18367303174657318,0.03440211146316465,0.0002173780016027421,0.2173780016027421
LOW,25,0.487391423877405,0.0012277554465783113,0.029395644113116043,0.04176657745119792,5.1279142950643125e-05,0.051279142950643126
NTRS,25,0.7014771431600588,-0.011936593542483121,-0.25810560376425695,0.04624693679020435,-0.0005520308870495783,-0.5520308870495784
EIX,25,0.36963513717278007,0.004199482985511641,0.13238012386600667,0.03172291173984925,0.00013321982810238442,0.13321982810238442
