Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.45648863950867735,-0.0038128723010700076,-0.11031583994612297,0.03456323500715919,-0.0001317852013941705,-0.1317852013941705
MRO,25,0.5358089198539161,0.016699435507224525,0.3749412136826855,0.04453881007959113,0.0007437729864926537,0.7437729864926537
T,25,0.3120116344899487,0.009742499036029452,0.4265476525717879,0.02284035318747837,0.00022252211891158024,0.22252211891158025
FDX,25,0.7779443533414423,-0.003923799926056784,-0.11368742185714466,0.03451393181373471,-0.00013542576309866114,-0.13542576309866114
KMB,25,0.05912381388712052,0.005409724578023036,0.2554409664877904,0.021177983517697074,0.0001145670579486526,0.1145670579486526
ETR,25,0.12622148469416308,-0.004220888935267222,-0.1734442700289875,0.02433570699430884,-0.00010271831638418333,-0.10271831638418333
CAM,25,0.8856552616800997,0.002028673471984951,0.04826269216395408,0.04203398900942589,8.52732384251293e-05,0.0852732384251293
CVS,25,0.32791518287429394,0.0010515701985194005,0.026753340923769468,0.03930612634570491,4.1333151084381556e-05,0.041333151084381556
COG,25,0.5757732371808748,0.014145882530433588,0.22591150870369167,0.0626169185076246,0.0008857715736265905,0.8857715736265905
EOG,25,0.6389966512167119,-0.005410053711196705,-0.1009927332348493,0.05356874240264519,-0.00028980977363957095,-0.28980977363957094
UNH,25,0.3925004118338551,0.016500282094420952,0.34512716899357204,0.047809281843957836,0.0007888666371569822,0.7888666371569821
GRMN,25,0.43534766929773666,-0.004873537625565813,-0.133739139724254,0.036440623407733665,-0.00017759474927666433,-0.17759474927666433
PFG,25,0.8391863917287773,-0.002619609326562608,-0.06618554851610473,0.03957977814333875,-0.00010368355596756904,-0.10368355596756904
AMGN,25,0.21209429055011178,0.0036171342183535255,0.10077199867412534,0.0358942391333385,0.00012983428061096288,0.1298342806109629
NKE,25,0.27224234896877336,0.0033572396837540756,0.08914588688938674,0.03766006263328535,0.0001264338567651296,0.12643385676512958
NOV,25,1.0034964754585154,0.015686793218277893,0.35549873875428206,0.04412615716513268,0.0006921979029666678,0.6921979029666677
JNPR,25,0.6765675149988553,0.005909635800329384,0.12578967311274092,0.04698029380387039,0.0002776364261733452,0.2776364261733452
MAC,25,0.5353081139702284,0.005265595087701623,0.14432538397078007,0.03648419247419213,0.0001921109846708666,0.1921109846708666
SYK,25,0.24643109231170937,0.004412489931166418,0.10029380441680928,0.04399563818347769,0.0001941303104998361,0.1941303104998361
IVZ,25,0.7859093901309555,0.003033217118030767,0.08584002507410655,0.03533569701793726,0.00010718084107235602,0.10718084107235602
PAYX,25,0.34449807494301565,0.002344112972661297,0.0829649599342577,0.028254253054769106,6.623116111853935e-05,0.06623116111853936
D,25,-0.0723485026770259,0.010090277004810057,0.4763646135330141,0.021181835758064253,0.00021373059026925915,0.21373059026925914
EIX,25,0.11277387575341358,0.008217874442955754,0.4265041818069134,0.019267980933129848,0.00015834184807772653,0.15834184807772653
SYMC,25,0.1297922002365223,0.010256384968095295,0.22798667034514633,0.044986774676643485,0.00046140167955661634,0.4614016795566163
BMS,25,0.4474717946906618,0.0018387029998164434,0.06916639915489967,0.02658376064508762,4.887964044452492e-05,0.04887964044452492
GWW,25,0.45809892474248226,0.011130258140322414,0.5081209754815548,0.02190474055863189,0.00024380541691436313,0.24380541691436314
