Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.3404996864519827,0.01338827409174442,0.40003517649604237,0.03346774203462298,0.0004480753035913285,0.44807530359132847
MRO,25,-0.09020099600199519,0.014446179008289099,0.3239818984278083,0.044589463418765934,0.0006441473704310511,0.6441473704310512
T,25,0.4715570139781593,0.0026119467301388066,0.09663682312469402,0.02702848299109043,7.059695776919101e-05,0.070596957769191
FDX,25,0.7002964162180538,-0.0006550412312533059,-0.017330255304793454,0.03779755229988591,-2.4758955196878492e-05,-0.024758955196878492
KMB,25,0.615297561369892,0.007382682351774389,0.31831818638754017,0.023192775868565225,0.00017122489709351543,0.17122489709351543
ETR,25,0.5440198535412591,0.0016467840390272698,0.05185150671507021,0.031759617865620204,5.2301231786708675e-05,0.052301231786708674
CAM,25,0.35818869307473933,0.008869920831907805,0.15273777810448338,0.05807286803556979,0.0005151017419573334,0.5151017419573334
CVS,25,0.5498814600740737,0.008466873403759054,0.3416312671979379,0.02478366067955199,0.00020984011745548778,0.20984011745548778
COG,25,-0.43248067272411544,0.03138373890658868,0.7159610710885734,0.043834420855971536,0.0013756880192653362,1.3756880192653362
EOG,25,0.45895984327506023,0.007557600787642813,0.13356132289115444,0.05658524956211962,0.0004276487266596404,0.4276487266596404
UNH,25,-0.1176724170862557,0.005998360901131447,0.14063297300469865,0.04265259258176272,0.0002558456436743347,0.2558456436743347
GRMN,25,0.10706868848831909,-0.007600252891276844,-0.1570845228095583,0.04838320641232761,-0.00036772460442453727,-0.36772460442453725
PFG,25,0.6551379739198278,0.014855583811529294,0.6286921453891987,0.023629345332973395,0.0003510277200055548,0.3510277200055548
AMGN,25,0.8517180357955781,0.013151558406610156,0.2865923407040143,0.04588942738072952,0.0006035174844435596,0.6035174844435596
NKE,25,0.6939756878258349,0.0024086128957235974,0.06953852121339019,0.03463710262592987,8.342737205531636e-05,0.08342737205531636
NOV,25,0.13076221895826354,0.0005714426817838047,0.010649231507202076,0.05366046192134502,3.066387826609113e-05,0.030663878266091127
JNPR,25,-0.01928681939926456,0.00140090201782312,0.01992187108066739,0.07031980139569247,9.851115166814662e-05,0.09851115166814663
MAC,25,1.2140873640968,0.00028266018070386215,0.014470333549403627,0.01953377092095514,5.521419218345028e-06,0.005521419218345028
SYK,25,0.4153848422084943,0.008543481940011003,0.340070698323636,0.025122664146384067,0.00021463502741959423,0.21463502741959423
IVZ,25,0.5539199059027268,0.016201141590225402,0.4187779546517091,0.0386867107264508,0.0006267688781393212,0.6267688781393213
PAYX,25,0.3208710035081555,0.008779936534040987,0.37093956560288194,0.02366945278477129,0.00020781629324577162,0.2078162932457716
D,25,0.8064130702399751,0.00118928995105907,0.06750379833459737,0.01761811898589904,2.0953051866492743e-05,0.020953051866492742
EIX,25,0.7740984033509671,-0.0015427844798170491,-0.04988996440645948,0.030923743846513904,-4.7708672064239625e-05,-0.04770867206423963
SYMC,25,0.6398294057141627,0.013470335492024444,0.30252891710094376,0.044525778299500024,0.0005997771717377669,0.5997771717377669
BMS,25,0.03204745642239713,0.010713461231771554,0.4698379874161077,0.022802458546808124,0.00024429325563030677,0.24429325563030677
GWW,25,0.6797044422994053,0.007883358879454756,0.1902439282071503,0.04143816285621914,0.0003266719091008674,0.3266719091008674
PH,25,-0.028718038842489777,0.005889494366304231,0.12821383959927887,0.0459349348300568,0.0002705335398981715,0.2705335398981715
PKI,25,-0.1359392953545103,0.007488189475143135,0.15203229288304385,0.04925394028559239,0.0003688228372559014,0.3688228372559014
LLY,25,1.0596714486626182,0.007159610707683533,0.20753516752634985,0.03449830114587451,0.00024699440628089424,0.24699440628089422
VLO,25,-0.14784137948454484,0.028876989682361173,0.46369882893753456,0.06227531294078646,0.0017983235692569039,1.798323569256904
AVB,25,0.6385303626825494,-0.00333204459497927,-0.11406248745416318,0.02921244897730532,-9.733718272093789e-05,-0.09733718272093789
