Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.7499650055952096,0.0022968785789142616,0.08681283915486465,0.026457821230991885,6.077040283020822e-05,0.060770402830208216
MRO,25,0.32450076747863177,1.8300183625367256e-05,0.0005722566340349146,0.031978980298288204,5.852212116106759e-07,0.000585221211610676
T,25,0.09845739099943832,0.0014490496614225936,0.04786444959917877,0.030274027457895505,4.386856923776178e-05,0.04386856923776178
FDX,25,0.7459772001977251,0.011609091128995316,0.42474051666726015,0.02733219618435843,0.0003173019562597951,0.3173019562597951
KMB,25,0.17265679113711282,0.004565752831945302,0.18682362192741597,0.02443884121740864,0.00011158170849784507,0.11158170849784507
ETR,25,-0.06567957655140956,0.005444628028837629,0.1845607901533516,0.0295004590320278,0.00016061902610935475,0.16061902610935475
CAM,25,0.35401219670736356,-0.0014762429356080518,-0.030608179547639117,0.048230340955443,-7.119970011744042e-05,-0.07119970011744041
CVS,25,0.6384336783374802,0.00769037570700736,0.29668612182191756,0.025920914870508908,0.00019934157402356754,0.19934157402356756
COG,25,1.3099034040801412,-0.03458637751926743,-0.2530746694032439,0.13666471480856987,-0.004726737419932216,-4.726737419932216
EOG,25,0.2252853959509957,0.017173491073726566,0.4434075835685179,0.03873071122400598,0.000665141523484548,0.665141523484548
UNH,25,0.11544000798108689,0.008877862443334035,0.22772306002075154,0.03898534668612405,0.0003461065451850977,0.3461065451850977
GRMN,25,0.16557552060203312,0.020806258541355312,0.5153989850585475,0.04036922684081691,0.0008399325707646569,0.839932570764657
PFG,25,0.9621623945156513,0.0038538261053824383,0.1653385337735848,0.02330869893076397,8.982767242187791e-05,0.0898276724218779
AMGN,25,0.5214451352910814,0.0020794373450382306,0.06391523565890778,0.03253429833436627,6.765303495109632e-05,0.06765303495109633
NKE,25,0.500011396089996,0.005643067585170161,0.18944878176234883,0.029786771562611697,0.00016808876507184243,0.16808876507184242
NOV,25,0.2252863881997539,0.00471494528271901,0.14779299979836885,0.031902358631000924,0.00015041787533484792,0.1504178753348479
JNPR,25,0.6132229016506978,0.009837667175234634,0.1791350753373576,0.054917593088387444,0.0005402610028685215,0.5402610028685215
MAC,25,0.48749129729333796,-0.001088485832364001,-0.03017962947174975,0.03606690510839108,-3.92583152277005e-05,-0.0392583152277005
SYK,25,0.5459131585264453,0.004776592951231406,0.15821422902578833,0.030190666039606583,0.0001442085225977662,0.1442085225977662
IVZ,25,0.7936327096607635,-0.0011216754092462215,-0.0457733159735331,0.02450500658276086,-2.7486663287299638e-05,-0.027486663287299637
PAYX,25,0.7247161701063258,0.0007306755336464249,0.03318606364888084,0.02201754150107122,1.608767888587752e-05,0.01608767888587752
D,25,0.48788748210903465,0.006641434595797354,0.24100263340870168,0.02755751877837181,0.00018302145858901378,0.18302145858901378
EIX,25,-0.04779699562940185,0.007716160065425087,0.24687148400376943,0.03125577705567351,0.00024117457873081767,0.24117457873081766
SYMC,25,0.23689087829196173,-0.002005059364806497,-0.04595842182507913,0.043627680959931324,-8.747609027350041e-05,-0.08747609027350041
BMS,25,0.21186142908736463,0.0016816031536550106,0.07946419520651098,0.021161771654326488,3.558570195084263e-05,0.03558570195084263
GWW,25,0.3339042787821717,-0.0015605467067864435,-0.04845035072574296,0.03220919319284274,-5.026395036533907e-05,-0.050263950365339066
PH,25,0.6958088239166218,0.006534261211461145,0.2276565672980242,0.028702274171195655,0.00018754815679756685,0.18754815679756684
PKI,25,0.062496038271044545,0.013225497584986427,0.5199943335864661,0.025433926354097962,0.00033637633157284524,0.33637633157284524
LLY,25,0.38512634891165287,0.0035590970907647536,0.09888423388883283,0.03599256373635806,0.00012810102888323696,0.12810102888323696
VLO,25,0.8162042746501333,0.007687168560165273,0.14163688062678417,0.05427377760755058,0.00041721167686616486,0.41721167686616484
