Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.41650801694994016,-0.0030893033154044645,-0.08156319968590311,0.037876190822592276,-0.00011701104188312646,-0.11701104188312647
MRO,25,0.3102510555690224,0.019242230830409053,0.39074908740659864,0.04924446774302078,0.0009475734154318385,0.9475734154318385
T,25,0.5023734516572046,0.008173269650195172,0.3651689035969726,0.022382162253376855,0.00018293544745126903,0.18293544745126902
FDX,25,1.3401615333390235,-0.008666731224762633,-0.29110906864903646,0.0297714230098799,-0.00025802092140534284,-0.25802092140534283
KMB,25,0.1260202856119945,0.00482013814923018,0.22914718496711933,0.021035118323281296,0.00010139217630361896,0.10139217630361895
ETR,25,0.3280265337973479,-0.006038830283174682,-0.26048971607871885,0.02318260534074126,-0.00013999581917455544,-0.13999581917455545
CAM,25,0.9274675536739913,0.0023007198124210433,0.045926523995995214,0.050095666125780945,0.00011525609157201395,0.11525609157201396
CVS,25,0.7439672308145808,-0.0026453055297924882,-0.07311250170037717,0.036181302352821035,-9.571059918901145e-05,-0.09571059918901145
COG,25,0.7236201213390044,0.013178788241104234,0.20555058886079391,0.06411457303111583,0.0008449523811458879,0.8449523811458879
EOG,25,0.5188819026731418,-0.0037890279745966485,-0.06503234418855953,0.05826374586175863,-0.00022076296297499315,-0.22076296297499315
UNH,25,0.80947038773417,0.012843449549246353,0.2833488672116938,0.04532733684673896,0.0005821593639927871,0.5821593639927871
GRMN,25,0.7946985784161676,-0.007951775442018633,-0.2315953225999019,0.034334784281269425,-0.0002730224944548056,-0.2730224944548056
PFG,25,1.0343925708579889,-0.0038368814525871443,-0.08573964708492621,0.04475037608665061,-0.000171701888003169,-0.17170188800316902
AMGN,25,0.5703759408903418,0.0003805334387212084,0.011385840041273682,0.03342163927666068,1.271805132164749e-05,0.012718051321647491
NKE,25,0.5755935207129605,0.0006868022973623052,0.019088095408280263,0.03598066138460183,2.4711600899559716e-05,0.024711600899559715
NOV,25,0.6614420311273966,0.019687017143513,0.33675743279391196,0.058460527449028916,0.0011509134061078446,1.1509134061078445
JNPR,25,0.7557491548068487,0.005669594594517276,0.11147007460206589,0.05086203283488428,0.0002883671064268201,0.28836710642682006
MAC,25,0.7615206457892792,0.0035250166383292954,0.09432948551189645,0.0373691918195052,0.00013172702292467485,0.13172702292467484
SYK,25,0.0964127723058819,0.006020727519643032,0.13338139721180217,0.045139184665178265,0.0002717707313278875,0.27177073132788754
IVZ,25,0.8679020111150572,0.0028490520495026324,0.06763155577157444,0.04212607586797655,0.00012001938278916197,0.12001938278916197
PAYX,25,0.6315484713320139,-0.00011725053422694583,-0.004424243099075117,0.026501829036351312,-3.1073536125033764e-06,-0.0031073536125033763
D,25,0.019800234586565213,0.009162058757521357,0.4282210524488155,0.021395628975099217,0.00019602800982398548,0.1960280098239855
EIX,25,0.2238924168183138,0.00724953427878228,0.38463207831879404,0.018847971054493432,0.00013663901224504634,0.13663901224504635
SYMC,25,0.34871760797292206,0.008278829560250247,0.18700910196782114,0.044269661065346404,0.00036650097865004926,0.36650097865004927
BMS,25,0.6729081897031057,3.9188406780286435e-05,0.0014650814116864278,0.026748279288573727,1.0482224494333378e-06,0.001048222449433338
GWW,25,0.8257766156061118,0.007990249981785841,0.44101262573575356,0.01811796197094241,0.00014476704530831918,0.1447670453083192
PH,25,0.98490101993155,0.005507211221768381,0.15573322802424475,0.035363109669254475,0.00019475211440714418,0.19475211440714418
PKI,25,0.4970054949749876,0.003156715150734306,0.0712672346067439,0.04429405978993313,0.00013982372962641313,0.13982372962641312
LLY,25,0.5036490782567397,0.003583118759693793,0.13886746621847443,0.025802434920621512,9.245318860985716e-05,0.09245318860985716
VLO,25,0.6301437115186975,0.008012287983435486,0.13687489558286844,0.058537308461978625,0.0004690177731725677,0.4690177731725677
AVB,25,0.6158440060043421,0.005957144473771571,0.19027341452366894,0.0313083385226712,0.00018650829581330034,0.18650829581330033
MDLZ,25,0.34255534171060253,0.005695381626649471,0.29795016560168214,0.01911521550977556,0.00010886844720382073,0.10886844720382073
AZO,25,0.223329737031177,0.015697985978180302,0.6096701037297607,0.025748328287946542,0.00040419689642576804,0.40419689642576806
SCHW,25,0.8441545898895744,-0.00469209100623488,-0.12374604560933596,0.03791709854751825,-0.000177910477077332,-0.17791047707733199
NSC,25,0.6185798095438191,0.004893436139147233,0.134190771276553,0.03646626435332411,0.0001784453358462527,0.1784453358462527
ABC,25,0.3241919990406976,0.008717493216737662,0.2209157528860697,0.03946071342967304,0.0003439985016508035,0.34399850165080353
PPL,25,0.3131980116350372,0.0020655999412847533,0.08047080316948776,0.02566893655745156,5.3021753845914e-05,0.053021753845914
KSU,25,1.1963263325095925,0.005117171859016884,0.0951868596011273,0.05375922559542327,0.0002750951963794401,0.2750951963794401
TROW,25,0.8592411580141023,0.0017455338649395007,0.0479736035956995,0.03638529804119146,6.351176991681658e-05,0.06351176991681658
SJM,25,-0.08078702124522193,0.014749960072274186,0.469636765444586,0.03140716646898588,0.00046325445140081036,0.46325445140081034
CHRW,25,0.9840045956067154,0.004062381280379513,0.19958171622671547,0.02035447613730728,8.26876428321286e-05,0.0826876428321286
CME,25,0.9302178893422188,-0.012183589591739558,-0.3268539683311061,0.03727533018475538,-0.00045414732486764105,-0.45414732486764103
DD,25,1.384314096824896,-0.00047224432193846387,-0.012050153078695305,0.039189902306999966,-1.850720884180384e-05,-0.01850720884180384
NEM,25,-0.015798712969283323,0.0018366276225250814,0.03400814806862523,0.054005517113691115,9.91880244997561e-05,0.09918802449975611
JEC,25,0.5890665220068289,-0.0029438634017831707,-0.07388852446640189,0.03984195682675711,-0.00011728927855771541,-0.11728927855771541
