Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.6247609081947707,0.0008738231199368592,0.029760890033109538,0.029361457905483165,2.565672075286406e-05,0.02565672075286406
MRO,25,0.39488997132081183,-0.001701460307713722,-0.05403032041997792,0.031490842447134564,-5.3580418480265915e-05,-0.053580418480265915
T,25,0.33191341524520634,-0.0009526066051424682,-0.032814293485200395,0.029030233595372216,-2.7654392271780356e-05,-0.027654392271780355
FDX,25,0.7455936136603597,0.00909320357313425,0.325214773962724,0.027960610344770216,0.000254251521894079,0.254251521894079
KMB,25,0.3135392294604789,0.0027340041239149594,0.11674814558234811,0.023417966172203857,6.402481608850637e-05,0.06402481608850637
ETR,25,0.3015857166162616,0.0024113211769079467,0.08491302032651327,0.02839754336420695,6.847559768627395e-05,0.06847559768627395
CAM,25,0.5248243003212835,-0.004185728898713756,-0.08878129037704058,0.04714652018389916,-0.00019734255200753808,-0.19734255200753809
CVS,25,0.7155812619959139,0.004850511943735291,0.1948446805134184,0.024894248747023145,0.00012074985087775308,0.12074985087775308
COG,25,1.666616415045836,-0.04217172748772838,-0.31435341352108864,0.13415387164198633,-0.00565750051630954,-5.65750051630954
EOG,25,0.9568395375454696,0.00992881084157325,0.33794827929278426,0.02937967567803872,0.00029170524239401676,0.29170524239401674
UNH,25,0.33965019928116114,0.006500800051185874,0.17100488897630806,0.038015287692076044,0.0002471297841744937,0.2471297841744937
GRMN,25,0.388265922225522,0.018273350385041184,0.4656352942286397,0.039243911729913816,0.0007171177495203429,0.7171177495203429
PFG,25,0.8112224831556211,0.0019422449584290506,0.06873310004428708,0.028257782017362756,5.48835346596099e-05,0.054883534659609906
AMGN,25,0.7617085263018945,-0.001811052426167476,-0.06222551216558184,0.029104660823815683,-5.271006659775288e-05,-0.05271006659775288
NKE,25,0.841251099099151,0.0009299975692255548,0.03916229862487248,0.023747267190156747,2.2084900762595546e-05,0.022084900762595547
NOV,25,0.6481982763593919,0.00020579602630424552,0.007527207305726341,0.027340289425493262,5.626522921774497e-06,0.005626522921774497
JNPR,25,0.5095025821751817,0.00868599885305257,0.15537189970673088,0.05590456748902249,0.00048558700909004935,0.48558700909004937
MAC,25,0.8220458097967803,-0.005700021754343074,-0.18104600584731212,0.03148383046434216,-0.0001794585185567995,-0.1794585185567995
SYK,25,0.6800419852591142,0.0017441543756345854,0.06135312432095409,0.028428126439176298,4.9583041119982585e-05,0.04958304111998259
IVZ,25,0.7035928674667714,-0.0030038689927432646,-0.1104903248909057,0.02718671517808623,-8.166533073799591e-05,-0.08166533073799591
PAYX,25,0.7602213241646163,-0.0020314963677389554,-0.09290425320813828,0.021866559361794637,-4.4421835918434055e-05,-0.04442183591843406
D,25,0.4549321001254562,0.0052858461764638395,0.18722319808680155,0.028232859124717995,0.00014923455045503283,0.14923455045503284
EIX,25,0.22786997008180185,0.005434308069402346,0.17721689245509567,0.03066472949681885,0.00016664158695060285,0.16664158695060285
SYMC,25,0.6973323869022097,-0.006886028538065542,-0.17277401955781324,0.0398556944828233,-0.00027444744961314265,-0.27444744961314266
BMS,25,0.4763455123136264,-0.0013780426559448326,-0.07753622528096542,0.017772888104254054,-2.4491797926996578e-05,-0.02449179792699658
GWW,25,0.6818862986605181,-0.005772403734571589,-0.20632849801034028,0.027976764190287964,-0.00016149317809324693,-0.16149317809324693
PH,25,0.8413004332338725,0.0028948906516067406,0.1103531749770519,0.02623296205305137,7.594155661133279e-05,0.07594155661133278
PKI,25,0.3134737475482436,0.010789991849875646,0.4490806697772699,0.024026845455688724,0.00025924946664510306,0.25924946664510307
LLY,25,0.5784924255774725,0.0005446348910329345,0.0159449900587538,0.03415711700202221,1.8603157696395562e-05,0.01860315769639556
VLO,25,0.21308862832215092,0.01027620117968877,0.1750506959533265,0.05870414352667696,0.0006032555889614566,0.6032555889614566
AVB,25,0.5728953820480412,-0.002566475895114024,-0.07730915700258208,0.033197566687065354,-8.520075467879356e-05,-0.08520075467879357
MDLZ,25,0.8874848783480271,0.00128851959328935,0.052654393309698296,0.024471264642831246,3.153170396485697e-05,0.031531703964856966
AZO,25,0.4656558569902095,0.004745752501612156,0.1779363927648449,0.02667106165226128,0.000126574257556871,0.126574257556871
SCHW,25,0.6568343069511863,0.004442056009904874,0.12146695324775578,0.03657007845454414,0.00016244633678170052,0.1624463367817005
NSC,25,0.4027517376391418,0.00784711146031443,0.3338953720427718,0.023501707772425245,0.00018442052039795883,0.18442052039795884
ABC,25,0.7346114418166628,0.005852977701380052,0.2350477120777454,0.024901232390826655,0.0001457463579203911,0.1457463579203911
PPL,25,0.3704872668692369,0.004017086084043931,0.1920503265194157,0.02091684068882755,8.402474965325303e-05,0.08402474965325303
KSU,25,0.7106677241369405,-0.007811780803401697,-0.20488728680212168,0.038127210942796294,-0.0002978414145301832,-0.2978414145301832
TROW,25,0.936174814495443,-0.0055588836023763456,-0.26963218654351356,0.020616543127277003,-0.00011460496352790487,-0.11460496352790488
