Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WBA,25,0.45114592950154997,-0.009111508226042979,-0.2722728066249352,0.03346462813891798,-0.00030491323456922047,-0.3049132345692205
NVDA,25,1.2294722728644403,-0.014956312429811927,-0.2054607071745426,0.07279402779971096,-0.001088730222796892,-1.088730222796892
FSLR,25,0.7910315970131836,-0.057153639999429774,-0.4712728197593699,0.12127506107526465,-0.006931311181604534,-6.931311181604534
GME,25,0.6854940072609812,0.005220716346197304,0.09397665990894295,0.055553329425155416,0.0002900281750155925,0.2900281750155925
MMC,25,0.5638735185581868,0.0026603258094316023,0.10879008373684802,0.024453752750725477,6.505494958021403e-05,0.06505494958021403
EBAY,25,1.0354843167135983,0.002884858451993418,0.07954264579055217,0.03626807259579581,0.0001046282557654924,0.10462825576549241
CAH,25,0.4661236472747601,0.000997779236650053,0.03269328545609716,0.030519393286121115,3.0451616936048675e-05,0.030451616936048677
MDT,25,0.5526376573307707,-0.0010161299981819969,-0.028427169924835682,0.03574502846638436,-3.6321595710562564e-05,-0.036321595710562565
RRC,25,0.8325807054816491,0.007572288662326738,0.12511439405311855,0.06052292160014656,0.0004582970330436798,0.4582970330436798
MSI,25,0.5659408035672748,0.010046577269814875,0.3098687692026142,0.03242203883814348,0.00032573051843234733,0.32573051843234735
GRMN,25,0.42940311517335183,0.015591525811736447,0.4599218147244069,0.03390038330988748,0.0005285587014038701,0.5285587014038702
AES,25,0.7320561882552654,0.004093446798863179,0.11160501788524803,0.03667798165734851,0.00015013936660403566,0.15013936660403565
CTXS,25,1.2219194793824344,0.002287585302257555,0.04348795839043427,0.0526027292824291,0.0001203332303651179,0.12033323036511791
SRE,25,0.3216283575758862,0.006323094117111949,0.2282283961142497,0.027705115685721458,0.00017518205400629132,0.17518205400629133
BLL,25,0.6406761940882478,0.0036384984028035323,0.14175438636930823,0.025667624798038115,9.339161183142202e-05,0.09339161183142201
CF,25,1.0341148738716142,0.010471075487870862,0.11175554648681162,0.09369624879519124,0.0009811004940647767,0.9811004940647766
TGNA,25,1.1137206939548965,-0.002946344457723289,-0.047824339304178405,0.061607635371260995,-0.0001815173150295521,-0.1815173150295521
JPM,25,0.7665965142503441,-0.007137165913765718,-0.13819914815971865,0.051644065891905476,-0.00036859226673197846,-0.3685922667319785
SLM,25,0.8934190458520578,0.004098764070638915,0.11044811722922486,0.03711031182299205,0.00015210641275028637,0.15210641275028636
EL,25,0.7154645392252956,0.007540573222979529,0.166051952421898,0.045410927803009205,0.0003424244262220278,0.3424244262220278
FMC,25,1.031796178345573,0.009539476338396035,0.27980475136110994,0.034093332196795306,0.00032523253578840453,0.32523253578840455
CAM,25,1.050075842476096,-0.001973393101006698,-0.040573885533562316,0.04863702539344739,-9.597997036491667e-05,-0.09597997036491668
HAL,25,1.4101264740213133,-0.008199243760821349,-0.1541222032700632,0.05319962722343183,-0.000436196711589745,-0.436196711589745
CTSH,25,1.03120693210993,-0.002903660421008068,-0.0607870220818672,0.04776776886845114,-0.00013870137986318293,-0.13870137986318293
KDP,25,0.27959677361401897,0.0038785536740241324,0.10429702998957488,0.03718757546990377,0.00014423400746684496,0.14423400746684495
FCX,25,1.4387800136194646,-0.00674982853280194,-0.099404117281178,0.06790290701650854,-0.00045833297924022644,-0.4583329792402264
HRB,25,0.6234886673436892,0.004564706209410079,0.09195206066036542,0.04964223940853593,0.00022660223847716568,0.22660223847716568
ECL,25,0.6776514208473842,0.010444024448703793,0.36603115833353034,0.028533156839033683,0.0002980009876255676,0.29800098762556765
PCG,25,0.24102364706820179,-0.002296437876039939,-0.0714144529006785,0.03215648629604108,-7.384537309058799e-05,-0.07384537309058799
SHW,25,0.48354006351958667,0.008808039122150165,0.36131197287608063,0.02437793315299591,0.0002147217889287495,0.2147217889287495
CL,25,0.3108857151058597,0.007844075853311603,0.29222488561297394,0.02684260047482879,0.00021055539422469506,0.21055539422469507
