Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
WBA,25,1.3547081059068833,0.013719497139891651,0.32754170796280135,0.041886259997916855,0.0005746584242421784,0.5746584242421784
NVDA,25,0.2853848425743277,0.015234296867323777,0.38859061123863065,0.03920397566674226,0.0005972450036864892,0.5972450036864893
FSLR,25,2.7430254293283016,0.0171683678039971,0.1658558649142223,0.10351378175789125,0.0017771626780021623,1.7771626780021623
GME,25,1.1744608223849782,0.012351047857963832,0.1492762928186236,0.08273951358753817,0.0010219196920643327,1.0219196920643328
MMC,25,0.7002971435417491,0.00808202211290893,0.45180149998914537,0.01788843576903375,0.00014457473345068182,0.14457473345068184
EBAY,25,0.11387454713234549,0.0009041196936181922,0.01855317565551392,0.04873126360712765,4.4058895122103607e-05,0.044058895122103606
CAH,25,0.32886329697753647,0.017023078684247253,0.41138143830721596,0.04138027897975934,0.0007044197450485459,0.704419745048546
MDT,25,0.882267711625998,0.006715277216142055,0.308224668079171,0.021786955787773486,0.00014630544781072958,0.14630544781072957
RRC,25,0.22790387754986394,0.005285651487165954,0.14838917252611464,0.03562019652232878,0.00018827594472139064,0.18827594472139064
MSI,25,0.21681324798758378,0.0015961251948179273,0.04272723655701089,0.03735615320424993,5.962509731078176e-05,0.059625097310781756
GRMN,25,0.5116475884001095,0.01553393172093516,0.33943429044975004,0.04576417927709283,0.0007108976361549958,0.7108976361549958
AES,25,1.0473917080163473,0.00361653960038384,0.12224227212730664,0.029585016193232005,0.00010699538264082071,0.10699538264082072
CTXS,25,0.5627098951575794,-0.009333877142147444,-0.14773754023036006,0.06317877722611041,-0.0005897029446196174,-0.5897029446196175
SRE,25,0.9846714348645664,0.004828932797931972,0.240425078218945,0.0200849796273518,9.698901686831458e-05,0.09698901686831458
BLL,25,0.9779220713794986,0.0036569461769366584,0.116770963352544,0.031317256207743595,0.00011452552036105377,0.11452552036105378
CF,25,0.48546472715298206,0.0061599722311495055,0.16555770842881395,0.0372074021174203,0.00022919656383652237,0.22919656383652237
TGNA,25,0.6626986814042893,0.014370374942559428,0.26984989209856947,0.053253217300936656,0.0007652686995120524,0.7652686995120523
JPM,25,0.7686436490750007,0.003188065986529182,0.09515236307851493,0.033504853514762956,0.0001068156838740585,0.1068156838740585
SLM,25,1.112748103868308,0.004224521804133189,0.12061972385394838,0.03502347434693537,0.00014795743103512786,0.14795743103512785
EL,25,0.7963344018956062,-0.0014013982973484682,-0.05005707466051961,0.02799600869312808,-3.9233558915102604e-05,-0.039233558915102607
FMC,25,0.3326436552497195,0.006606498246734088,0.2458612289505778,0.026870842039360764,0.0001775221708213055,0.1775221708213055
CAM,25,-0.25540097919749355,0.0006052392426349374,0.011277242818805775,0.053669079610988664,3.248263309666894e-05,0.03248263309666894
HAL,25,0.45710955157285643,0.010136537987435522,0.2854549564412128,0.03551011379801724,0.00035994961745176,0.35994961745176
CTSH,25,0.5523379028169395,0.008952061978537006,0.13084548494051876,0.06841704918290865,0.0006124736646740129,0.6124736646740129
KDP,25,1.0590048087389596,0.003939830978547157,0.21080081056435773,0.01868982841194684,7.363476496111896e-05,0.07363476496111897
FCX,25,0.9656653857487698,-0.0007646127181715496,-0.015986436754062083,0.04782883953031402,-3.6570539000264266e-05,-0.03657053900026427
HRB,25,1.2139148435117189,0.0055210324823703645,0.15192279578215442,0.0363410405525126,0.00020064006533356075,0.20064006533356074
ECL,25,0.9534667777862349,0.007869159793226945,0.29599965735493233,0.02658503007586613,0.00020920184977473482,0.20920184977473483
PCG,25,0.8412869169672498,-0.0008352732316380829,-0.036207491361979434,0.023069072178670245,-1.9268978469570086e-05,-0.019268978469570087
SHW,25,0.8521327029586998,0.004261213631840711,0.11372936034897631,0.03746801721881896,0.00015965922573087384,0.15965922573087385
CL,25,0.9712260794411598,-0.0005988992256610896,-0.03763673508252504,0.015912624311006245,-9.53005837809747e-06,-0.00953005837809747
GNW,25,1.5354910475660926,0.015441209615160108,0.2871036468868369,0.05378270106490957,0.0008304699608127635,0.8304699608127635
CTL,25,1.1880707424757782,-0.00990429078636933,-0.3356882989221216,0.02950442663081053,-0.0002922204208366466,-0.2922204208366466
CRM,25,0.5328205974106585,0.014290161466106944,0.23544502581900392,0.06069425937710133,0.0008673307665645535,0.8673307665645535
MUR,25,0.8302665546745279,0.00130166843216269,0.03818658228999373,0.03408706289234411,4.437005371210856e-05,0.044370053712108566
TPR,25,0.7011036397624864,-0.002069768291410614,-0.043477236085508124,0.04760579277256567,-9.8532960368121e-05,-0.09853296036812101
SYK,25,1.04427652391737,0.005473403988701042,0.23588894647197578,0.023203308465966195,0.00012700108110868003,0.12700108110868003
NUE,25,0.72781621033088,0.0013440979922600283,0.043795750214006904,0.03069014654828665,4.1250564357718123e-05,0.04125056435771812
ALXN,25,2.089756779167432,0.01968277407975884,0.2919021917072349,0.06742934667479235,0.0013271965969456757,1.3271965969456758
DTE,25,1.0248332130473128,-0.00020774545619398413,-0.011243146982884974,0.018477518483946475,-3.838620506780235e-06,-0.0038386205067802346
DD,25,0.33430491537368145,0.01556927504083687,0.4248044340821945,0.036650453224375726,0.0005706209866216322,0.5706209866216323
MKC,25,0.9144551686750542,-0.004314792534415458,-0.1855769129216843,0.023250696794575695,-0.00010032193294919262,-0.10032193294919262
TSN,25,0.34623341489937604,0.020423061816348318,0.43524496747848745,0.04692314292492711,0.0009583142485731336,0.9583142485731336
AFL,25,0.8036587618355956,0.006010821020969034,0.2458174211766544,0.024452380112837544,0.0001469788803949691,0.1469788803949691
HOT,25,1.3992352813092999,0.005508590568947991,0.16313071568311038,0.03376795440319593,0.0001860138351581109,0.1860138351581109
GLW,25,1.8285543795104289,0.008896814781344747,0.281264624324139,0.031631474461899456,0.00028141936954835593,0.28141936954835595
DHR,25,0.7016950660828687,0.005715429981886316,0.2855151153018419,0.020017959384896512,0.00011441124524462009,0.11441124524462008
F,25,0.9178301207992791,0.003466044802887802,0.08840859645894855,0.03920483914137487,0.00013588572895401464,0.13588572895401463
CMG,25,1.570716452468622,0.01481490592859715,0.37922461523833023,0.03906630881354173,0.0005787636900501464,0.5787636900501464
L,25,0.7840166620531916,-0.0032562910316189025,-0.16306074271669782,0.019969803751454705,-6.502749285905148e-05,-0.06502749285905148
PRU,25,0.9567541985598681,0.012642988962097175,0.32806178520287776,0.038538438587958614,0.00048724105368402063,0.48724105368402065
GOOGL,25,1.1272593303075613,0.011401622972011631,0.3616352957231764,0.031527959540595604,0.0003594699077587081,0.35946990775870813
CHRW,25,0.9240966893384377,-0.007251531470877869,-0.24330988175679216,0.02980368663417608,-0.00021612237157590995,-0.21612237157590994
UPS,25,0.7730252812807059,0.0029910336507229986,0.12461086233550524,0.024002992954738317,7.179375964568936e-05,0.07179375964568936
DTV,25,1.0643628967170413,0.012287484610914962,0.34438184701730107,0.03567982667302921,0.0004384153211649596,0.43841532116495957
