Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.10338154879303076,0.007769289413874094,0.1920792989259589,0.0404483432484254,0.00031425488500873717,0.31425488500873716
MRO,25,0.7113544472485682,-0.004683234999675261,-0.11450973684900359,0.04089813782255681,-0.0001915355904721406,-0.1915355904721406
T,25,0.19755264296188724,0.0013998374014015883,0.04338076076249091,0.032268622698105265,4.517082494452398e-05,0.045170824944523985
FDX,25,0.6570613607469356,0.013686917415938221,0.3108602978412241,0.044029158792510036,0.0006026234602863151,0.6026234602863151
KMB,25,0.09605613525032192,0.00893316386315915,0.29016271705435215,0.030786739088488144,0.0002750229850897915,0.2750229850897915
ETR,25,0.1873111959366854,0.006918252533410661,0.21719495594211272,0.03185273112536982,0.00022036523780413837,0.22036523780413836
CAM,25,0.618068838183662,0.008618757424771084,0.13977580356824731,0.06166129762625808,0.0005314437667373314,0.5314437667373314
CVS,25,-0.02350917696059904,0.006390731933264298,0.13491145150661035,0.04736982562930298,0.0003027278573223481,0.30272785732234814
COG,25,0.6773798091715406,-0.003100959663549384,-0.04644174884463547,0.06677094943007468,-0.00020705402087955733,-0.20705402087955732
EOG,25,0.7213576896694364,0.013105056422319211,0.26680317323098557,0.04911881767977876,0.000643704877091111,0.643704877091111
UNH,25,-0.08085796124950646,0.013301113811649582,0.16537908686946265,0.08042802789296112,0.0010697823526508031,1.069782352650803
GRMN,25,1.299697926662836,0.004963010320712951,0.057608752638965685,0.0861502826109803,0.00042756474173063277,0.42756474173063275
PFG,25,0.7032568383695468,0.020000955185729724,0.23274075934762797,0.08593662425864887,0.0017188145706101298,1.7188145706101299
AMGN,25,0.3144375561124446,0.003977271237313457,0.09396153328080993,0.042328717917226116,0.00016835279228453822,0.16835279228453823
NKE,25,0.44787999200943523,0.011003456275173367,0.261368252536474,0.0420994369759496,0.0004632393139742783,0.4632393139742783
NOV,25,0.9675424105217619,0.0047918793778043214,0.10052023907824327,0.04767079169075993,0.00022843268362655812,0.22843268362655814
JNPR,25,0.5914141900163818,0.004683938864720155,0.08897329374223553,0.05264432356848552,0.0002465827931693326,0.2465827931693326
MAC,25,0.8478881001632264,0.034311997929721214,0.3861060297977781,0.08886677565665582,0.0030491966223521742,3.049196622352174
SYK,25,0.25528769467271206,0.014531485304473193,0.41784362313383355,0.034777329364241175,0.0005053662505852947,0.5053662505852947
IVZ,25,0.49882885130409527,0.014022645735006261,0.26634788373805623,0.052647858650895225,0.0007382622705681885,0.7382622705681885
PAYX,25,0.344204463003654,0.0033819652039108086,0.08675641721720974,0.038982306005600396,0.00013183680247914388,0.13183680247914387
D,25,0.2704231896051656,0.010385192265308893,0.47634934374593113,0.021801630256570708,0.00022641412191166244,0.22641412191166244
EIX,25,0.3377353329333378,0.0033664099155654003,0.11814937414907253,0.028492829012516836,9.591854211024619e-05,0.0959185421102462
SYMC,25,0.38600697131206807,-0.005831363370241524,-0.1075684293517236,0.054210732697177626,-0.0003161224809242761,-0.3161224809242761
BMS,25,0.391023925966731,0.007295304860692108,0.26152584260136796,0.02789515861272651,0.00020350368621720104,0.20350368621720105
GWW,25,0.3064079301902338,0.009264249795675195,0.4117015345020472,0.02250234458533243,0.00020846734122687878,0.20846734122687877
PH,25,0.6108435632863016,0.011328933537857015,0.2838562659010213,0.03991081014856771,0.0004521469156151529,0.45214691561515286
PKI,25,0.4754761134687045,0.009799210105300616,0.27561799826753297,0.03555359289631317,0.00034839712678929626,0.34839712678929624
