Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BK,25,0.4469650036436383,-0.008875891551827938,-0.23105425123132067,0.03841475110077854,-0.00034096516476097324,-0.3409651647609732
MRO,25,0.3300399159562365,0.01692455550988634,0.4414602717352266,0.038337663870322475,0.0006488479202926366,0.6488479202926366
T,25,0.22861889415644807,0.007390076796550881,0.293267699274717,0.025199081981504768,0.00018622315104590176,0.18622315104590176
FDX,25,0.5664016597750773,-0.005241530603172648,-0.1368908454975053,0.03828985484108336,-0.0002006974459405768,-0.20069744594057679
KMB,25,0.04653267945296752,0.0034137125769009746,0.18696627116373082,0.01825844071047181,6.232906868793839e-05,0.06232906868793839
ETR,25,0.09399804925797516,-0.005385099128805656,-0.21595153728481759,0.024936609373163533,-0.0001342861134107899,-0.13428611341078991
CAM,25,0.618024910402895,0.006872565460549762,0.17551377111732125,0.03915684459856903,0.00026910797773224004,0.26910797773224004
CVS,25,0.40114423399032784,-0.005214761924502577,-0.1366209783476216,0.03816955483391442,-0.00019904514122311018,-0.19904514122311018
COG,25,0.4897340306449491,0.012194484613110713,0.24108022620375918,0.05058268280702552,0.0006168297471801325,0.6168297471801325
EOG,25,0.4123795733857112,-0.004167408929626537,-0.09620991040199076,0.043315796805276995,-0.00018051463840019997,-0.18051463840019996
UNH,25,0.43700253939913847,0.012276135043531842,0.33210038834663225,0.03696513305705182,0.00045378896531049115,0.4537889653104912
GRMN,25,0.6485666953746475,-0.011641709835751347,-0.22088079286522086,0.0527058495432647,-0.0006135862070294553,-0.6135862070294553
PFG,25,0.634895498349086,-0.004133579517015474,-0.09058793879195245,0.04563057259210636,-0.00018861760021641853,-0.18861760021641855
AMGN,25,0.18956953106957625,-0.0037582359764988522,-0.09446203735662613,0.03978567561813473,-0.00014952395745738715,-0.14952395745738714
NKE,25,0.3756198712538988,-0.0023861616883231814,-0.06131085488674513,0.03891907383661435,-9.286720293395026e-05,-0.09286720293395026
NOV,25,1.0211937304902305,0.012535695597609168,0.388155881372431,0.0322955188860872,0.00040484679392282705,0.4048467939228271
JNPR,25,0.6743835937227958,0.0039287080107618414,0.07387992066323114,0.05317693867959305,0.00020891666497830844,0.20891666497830844
MAC,25,0.6131436225923004,-0.00013345143405723604,-0.0036053950839085914,0.037014371782124356,-4.939620995052187e-06,-0.004939620995052187
