Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.18185400859910206,-0.002006849319616524,-0.06902379935302638,0.02907474434075082,-5.8348630898260166e-05,-0.058348630898260166
LRCX,25,1.1950749181750353,-0.010087926263268552,-0.2068085727863994,0.04877905266377805,-0.0004920794864642864,-0.49207948646428634
THC,25,1.3713638945994282,0.005771259193086098,0.09998663130038313,0.05772030838550697,0.0003331188603976217,0.33311886039762173
CVX,25,0.7522643228208413,0.0021330511150773413,0.0895339943974965,0.023823924414758207,5.0817648538418286e-05,0.05081764853841829
JCI,25,0.25128253909075243,0.007187951044111723,0.32043402748037053,0.022431921792550727,0.0001612395556701975,0.1612395556701975
OKE,25,0.11237915285203373,0.009549672548963094,0.33423403778654903,0.028571813368277514,0.00027285146179713656,0.27285146179713654
FITB,25,0.7558152007927756,0.00707462345024352,0.20701386980324554,0.03417463504724361,0.0002417726745087437,0.24177267450874368
PM,25,0.20836562698518443,0.01044845366601263,0.3729079106832066,0.02801885765005618,0.0002927537359312155,0.2927537359312155
CLX,25,-0.04833129967518787,0.004447397271187018,0.2845199480032329,0.015631231842965485,6.951829784369632e-05,0.06951829784369631
TEL,25,1.278892973060521,-0.005433148774320015,-0.16009124243236206,0.03393782627813323,-0.00018438925924612514,-0.18438925924612515
FLS,25,0.8878689427953096,0.01262722450906695,0.41838077628433795,0.030181177589491577,0.0003811045053705302,0.3811045053705302
CTAS,25,0.350298542282688,0.013159355426185576,0.32808042568310825,0.040110151036246676,0.0005278237336839557,0.5278237336839556
JPM,25,1.6483732437862388,0.0048045974584606105,0.085896309037555,0.05593485345639213,0.00026874445475594835,0.2687444547559483
HSY,25,0.03941613783210449,0.0085303378268995,0.30888776351629865,0.027616302212144415,0.00023557638739934381,0.2355763873993438
ADBE,25,0.9139862711425836,0.004073571463768161,0.12581956078105327,0.03237629696432374,0.00013188715941635291,0.1318871594163529
CVC,25,0.7483583253575011,0.007062526847642955,0.12416885039787447,0.05687841052737855,0.0004017053014008687,0.4017053014008687
WY,25,0.5642304677103426,0.016906115080731296,0.39339150900292674,0.0429752922821868,0.0007265452369507135,0.7265452369507135
LH,25,0.5219962330491964,-0.00047337589816990374,-0.017189274903109123,0.027539026563841943,-1.3036311434383518e-05,-0.013036311434383517
BRK.B,25,0.42861471581837074,0.0034675941014225813,0.20132143490328253,0.01722416742702266,5.972642137185873e-05,0.059726421371858726
EQR,25,0.20296982349470488,-0.0011298141006824405,-0.029209782298806417,0.03867930575876313,-4.370042505085811e-05,-0.04370042505085811
CAH,25,0.3606027717000378,-0.0034222983405574935,-0.11446362303260284,0.029898567334206393,-0.00010232181737290102,-0.10232181737290102
HRB,25,0.44119528856807727,0.007134269212707806,0.1805480070471662,0.039514527628344606,0.0002819072779135909,0.28190727791359094
SNDK,25,1.238516961920972,-0.009644893941150673,-0.1501809604729135,0.06422181554026096,-0.0006194125995939591,-0.6194125995939591
NOV,25,1.1175768365576992,-9.085653789711557e-05,-0.002254262691736546,0.04030432576920539,-3.661911501667501e-06,-0.0036619115016675013
STZ,25,0.8814350042370402,0.02088434456242688,0.25732165350840464,0.08116046309233263,0.0016949830760664042,1.6949830760664042
NFX,25,1.2098156658856323,-0.018164669262079495,-0.2600200362373497,0.06985872906155026,-0.0012689607084722815,-1.2689607084722814
CSX,25,0.6370980702504486,-0.00334892826442215,-0.07811901082314619,0.042869568228453336,-0.00014356710872384117,-0.14356710872384118
VNO,25,0.586817493837093,-0.0012819188900119972,-0.03522379162543252,0.03639355193909384,-4.6653581705357144e-05,-0.04665358170535715
AGN,25,0.3664649783391465,0.002727595840271161,0.10039833023120619,0.02716774107686663,7.410261755082537e-05,0.07410261755082537
MLM,25,1.5377277710954156,0.0030219821979658975,0.054833106124836786,0.05511236571362284,0.0001665485880743543,0.1665485880743543
SPLS,25,0.8662990045314468,-0.012379035637568103,-0.2408322212698753,0.051401077365375546,-0.000636295768515379,-0.636295768515379
QCOM,25,0.9594212288481235,0.004196655890208719,0.11686250649407155,0.03591105493207623,0.00015070634020430658,0.1507063402043066
SJM,25,0.26132456528083436,0.004474542004316594,0.16034398368382852,0.02790589270339972,0.000124866089069314,0.124866089069314
TWX,25,0.5881799939760999,0.008886148498936607,0.3203229268451385,0.027741219108030485,0.00024651259253549663,0.24651259253549662
CME,25,1.0882719933256488,-0.00019372573657874402,-0.003887912769820839,0.049827696259674883,-9.652907159927445e-06,-0.009652907159927445
HUM,25,0.5015423123113081,-0.005688476048911825,-0.11755592567091495,0.048389530484716656,-0.0002752626851803993,-0.2752626851803993
AES,25,0.33384184372929643,-0.0033201445671941334,-0.10695690283669367,0.03104189144541209,-0.000103063567237915,-0.103063567237915
MJN,25,0.7850835967852711,-0.007391780867509863,-0.19601375615083416,0.03771052099946408,-0.0002787479076276675,-0.2787479076276675
