Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.46782607947386007,0.015901667078355934,0.4913336178371224,0.032364296887226945,0.0005146462743257542,0.5146462743257542
LRCX,25,0.7242488583851816,0.009438051807916365,0.2938539972543137,0.03211816717180224,0.0003031329257427882,0.3031329257427882
THC,25,1.41298977708909,0.011685640658847479,0.1858672994024154,0.06287087990420127,0.0007346865104660513,0.7346865104660513
CVX,25,0.43711370376212355,9.627213691008277e-05,0.004247174942359528,0.02266733492654262,2.182232771434812e-06,0.002182232771434812
JCI,25,0.6764556492008816,0.005548955658178882,0.2237717874954789,0.024797387196502565,0.00013759960199208546,0.13759960199208546
OKE,25,0.04077616299756044,0.008174820009914999,0.13579227527611656,0.06020092080563881,0.0004921316920172443,0.4921316920172443
FITB,25,0.5894237867044998,0.006140479136205656,0.25376805343126946,0.024197211008944997,0.00014858246935479258,0.14858246935479258
PM,25,0.3792455455708979,-0.0019868294296729884,-0.06496345020167384,0.030583804023724653,-6.07648019056873e-05,-0.0607648019056873
CLX,25,0.36504576636681296,0.006003868506017494,0.24911303690087813,0.02410098074636868,0.0001446991192672569,0.1446991192672569
TEL,25,0.5156865888704174,0.015546210138317147,0.5645258727999396,0.02753852549079981,0.0004281197041793772,0.4281197041793772
FLS,25,0.8812600560939791,0.009970333548769755,0.4361175758567048,0.022861572430746768,0.00022793750258390423,0.22793750258390424
CTAS,25,0.24229503789927623,0.008585154593799018,0.4694527586639967,0.018287579389737286,0.0001570016962072673,0.1570016962072673
JPM,25,0.5418809835487084,0.0053185763538244925,0.17310716344004928,0.030724184072639084,0.00016340891889928932,0.16340891889928932
HSY,25,0.3461496925795999,0.01193347343547938,0.4975036910516143,0.02398670331521485,0.0002862446868168416,0.28624468681684156
ADBE,25,0.34112488014168085,0.01488225251762751,0.49090037512428253,0.03031623781884406,0.0004511739066044864,0.45117390660448636
CVC,25,0.2033097424206932,-0.00666237943273941,-0.08434574752092959,0.07898891916378124,-0.000526254150451092,-0.526254150451092
WY,25,0.8563086222470238,-0.0024603636564481494,-0.06908243739724261,0.03561489358431863,-8.762558980312592e-05,-0.08762558980312593
LH,25,0.13922090131196188,0.005176043811571388,0.2211709809835242,0.023402906604447216,0.00012113446990273219,0.12113446990273219
BRK.B,25,0.3680125509558732,0.008147174532006304,0.45049243109353154,0.018085041988895885,0.00014734199350219717,0.14734199350219718
EQR,25,0.516955355134781,-0.005197146462066022,-0.15504336985502865,0.03352059792640955,-0.00017421145691957706,-0.17421145691957707
CAH,25,0.21081554955039689,0.011519176396165117,0.34049741090972613,0.033830437551312605,0.0003896987777130182,0.3896987777130182
HRB,25,0.7138272178896043,0.012594836661012437,0.28477767079493543,0.04422691085946064,0.000557030718296064,0.557030718296064
SNDK,25,0.8390180891812622,0.011586403906775311,0.3015298837657549,0.038425391745835286,0.0004452121090433178,0.44521210904331776
NOV,25,0.34878174747209334,0.0010386857060619746,0.03249522210598169,0.03196425932016554,3.32008192607142e-05,0.0332008192607142
STZ,25,-0.8109020680922924,0.032605886331488004,0.3810489926874278,0.08556875088824711,0.0027900449649895984,2.7900449649895984
NFX,25,1.5271373145599036,-0.010114553353003203,-0.17164665719782318,0.05892659675478653,-0.0005960162067871938,-0.5960162067871938
CSX,25,0.6208956428719495,0.004958462258392705,0.1599355370191865,0.031002879977811735,0.00015372661027145837,0.15372661027145837
VNO,25,0.6400833189461518,0.00023941642978907857,0.007317766174050134,0.032717146748701006,7.833022467459355e-06,0.007833022467459354
AGN,25,0.16337552963345098,-0.0009521649892824986,-0.01977015101831718,0.04816174587641294,-4.585792824624115e-05,-0.045857928246241145
MLM,25,0.7183306558565579,0.0009661267304663709,0.02634922736482938,0.03666622618908153,3.542422122659776e-05,0.03542422122659776
SPLS,25,0.9174161356518213,0.004021892917584471,0.07330592370079894,0.05486450090991265,0.00022065914763638446,0.22065914763638445
QCOM,25,0.2384752383914538,0.004216945128812063,0.14611880929340715,0.028859700877690703,0.00012169977503515104,0.12169977503515103
SJM,25,0.13665381423799683,0.010536304728490941,0.38306049319996816,0.027505589627564903,0.00028980727405284346,0.28980727405284346
TWX,25,0.5464038177024121,0.014152771150886919,0.5174343803164627,0.02735181829671057,0.00038710402491398633,0.3871040249139863
CME,25,-0.12431714531490011,0.015621959058952308,0.38625209205885136,0.04044498238360885,0.0006318298589367847,0.6318298589367848
HUM,25,0.5833626098227359,0.002744370065567811,0.04405772348054243,0.06229032843196788,0.00017094771272308017,0.17094771272308018
AES,25,0.6900232049720011,0.005853296396014414,0.13348159390258463,0.04385096270491175,0.0002566726819624224,0.2566726819624224
MJN,25,0.27576826699893237,0.007805552867839507,0.14920221286629812,0.05231526207211254,0.0004083495438987534,0.40834954389875344
WBA,25,0.4549614073882639,0.017265114679307397,0.308595035559149,0.055947480321659804,0.0009659396637717504,0.9659396637717504
ADP,25,0.3352019045389607,0.008085551018982095,0.36583641616824214,0.02210154774549203,0.0001787031918946445,0.17870319189464448
PFE,25,0.09793676297270819,0.007928950822503125,0.26988650491544386,0.029378833984260482,0.00023294332988368493,0.23294332988368494
OMC,25,0.4949988144158879,0.009921209277996976,0.388506730496752,0.025536775811609576,0.0002533556971122697,0.2533556971122697
BK,25,0.579268044346646,0.005431413628356997,0.20630715530502977,0.026326831080223708,0.0001429919091205796,0.1429919091205796
TGNA,25,0.7632814875804862,0.013481930182421687,0.2858062507306177,0.04717157216805896,0.0006359638425648368,0.6359638425648368
TGT,25,0.2636798273685537,-0.0012385708933192257,-0.04734421620318561,0.026160975777985044,-3.240222313944156e-05,-0.03240222313944156
ORCL,25,0.17222747975948688,0.0014130699977008367,0.03665607004229151,0.038549413400577964,5.447301950532331e-05,0.054473019505323315
GPC,25,0.7466717101974064,0.003598137054346022,0.10565434460427633,0.03405574155821689,0.00012253722561385194,0.12253722561385194
NI,25,0.2874401099242584,0.007543751491509673,0.23938662719684042,0.03151283586658612,0.00023772500257025853,0.23772500257025853
YUM,25,0.18653742663953995,-0.002981075796695954,-0.08514003422586933,0.03501379608078864,-0.00010437878004688667,-0.10437878004688667
LMT,25,0.1026949197539666,0.015208999912449533,0.5250050465682288,0.028969245175575656,0.0004405932473390592,0.4405932473390592
PH,25,0.6976419010043293,0.009729271458145141,0.3368924488240714,0.028879458391262026,0.0002809760902527958,0.2809760902527958
INTC,25,0.14615793334083607,0.004261767255689336,0.12077443251380704,0.03528699880417262,0.0001503849760551716,0.1503849760551716
UNP,25,0.22662658753218828,0.006744454341410725,0.3035429086232507,0.02221911350853451,0.00014985579656493324,0.14985579656493325
CTXS,25,0.10842940932676659,-0.004538857315654972,-0.07836865070357137,0.05791674700159321,-0.0002628758508271195,-0.2628758508271195
PGR,25,0.3131855736057609,0.005054042372130502,0.1931938525645035,0.02616047200799549,0.0001322161340033431,0.13221613400334312
EA,25,0.6683411006916866,0.022393999361542617,0.3453665967097775,0.06484124282685336,0.001452054750466184,1.4520547504661838
NTRS,25,0.4264606445929197,0.003928246440972314,0.15693098506968572,0.025031681533305632,9.833061389476025e-05,0.09833061389476025
AEP,25,0.38225519250587037,0.0006211522397053708,0.018861574129445634,0.032932152716546745,2.045588041820232e-05,0.020455880418202323
EXC,25,0.08101124024530149,-0.008099768046880331,-0.16166304896307487,0.050102779199286185,-0.00040582089001827874,-0.40582089001827876
PCL,25,0.6744266453115081,-0.0020471284453794274,-0.056324546049425744,0.03634522759549695,-7.440334926453114e-05,-0.07440334926453114
EOG,25,0.8890513013808644,0.009704048609941318,0.2733378883130796,0.035502025240007555,0.0003445133786803969,0.3445133786803969
GS,25,0.6225711431746019,0.006121560375563763,0.1601294698208839,0.03822881810831672,0.0002340200181365061,0.23402001813650608
CMA,25,0.7722290207986742,0.008083922384627554,0.24628125212774002,0.032823945447681184,0.0002653462273563036,0.2653462273563036
