Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.8800943923736273,0.00398949469837338,0.09967310495510896,0.0400257893056525,0.00015968267423311058,0.15968267423311058
LRCX,25,0.5748850095590817,-0.005344605939542189,-0.09508444763873712,0.056209044404910785,-0.0003004151925824768,-0.30041519258247684
THC,25,2.605072756241324,-0.0002369849299069934,-0.0023672533874468903,0.1001096592209693,-2.3724480573494406e-05,-0.023724480573494407
CVX,25,0.8204538844099404,0.009292314328813738,0.25427455950926486,0.03654441225558453,0.0003395821656406445,0.3395821656406445
JCI,25,1.2143053375646553,0.0037051132244289523,0.14256338540931232,0.025989234288953215,9.629305565678294e-05,0.09629305565678294
OKE,25,0.9711297219355103,0.014394416022619011,0.6054017870281622,0.023776632859442502,0.0003422507449958888,0.3422507449958888
FITB,25,1.2427692011884865,-0.00451073553493955,-0.07775066974732962,0.05801539137345467,-0.0002616920874416674,-0.2616920874416674
PM,25,0.4645275379181482,0.008052813196457164,0.289058793399705,0.027858738015701486,0.0002243412131294838,0.2243412131294838
CLX,25,0.4790756857060914,0.0012526729853797344,0.051718150257309956,0.024221148265113734,3.0341178106585198e-05,0.0303411781065852
TEL,25,1.3824223380103273,0.0006755644970332319,0.016045908454876568,0.042101978765055136,2.844260210851828e-05,0.02844260210851828
FLS,25,1.467726946483064,-0.009032853530579657,-0.1899321640542748,0.04755831417788953,-0.000429587286130166,-0.429587286130166
CTAS,25,0.6410370602929749,0.001816384442489608,0.05198199386819151,0.03494256967317059,6.346913993495624e-05,0.06346913993495625
JPM,25,1.092203230560632,-0.005973777854679049,-0.13415260949320731,0.04452971788805588,-0.00026601064259477373,-0.26601064259477375
HSY,25,0.34484220615026107,0.007711107319431066,0.4204305929889031,0.018340975771081895,0.00014142923251389745,0.14142923251389744
ADBE,25,1.3042940459418233,-0.004056030105967459,-0.09578375185823484,0.04234570088641552,-0.00017175543765359427,-0.17175543765359427
CVC,25,0.8846252408550266,-0.019356829827534006,-0.23972191797979123,0.08074701717164554,-0.0015630062704725088,-1.5630062704725087
WY,25,1.6852019095690896,-0.0015251814093048596,-0.03032224971340191,0.05029908478824893,-7.671522902408613e-05,-0.07671522902408613
LH,25,1.147376398131066,-0.0021327378978727284,-0.11567360685037814,0.018437549895296244,-3.932246140561766e-05,-0.03932246140561766
BRK.B,25,0.43288454378533175,-0.001966690973124289,-0.08356672961339137,0.02353437764314677,-4.6284848068874837e-05,-0.04628484806887484
EQR,25,0.6308409654538519,0.00571064755915114,0.19714527524787107,0.028966697538001525,0.00016541860059205774,0.16541860059205774
CAH,25,0.8709461172289694,0.008016442097675647,0.33171682086950427,0.024166522748719083,0.00019372953031726784,0.19372953031726783
HRB,25,0.9177424186365662,0.00855570282954848,0.15345293983743408,0.05575457100145669,0.0004770195408774247,0.4770195408774247
SNDK,25,0.7510352238393683,0.009560444563728315,0.15526433848295845,0.061575276442359966,0.0005886870169234285,0.5886870169234285
NOV,25,0.7254005392301465,0.008514302530639782,0.10974628324533695,0.07758169369258844,0.0006605540109381261,0.660554010938126
STZ,25,1.0175511737545513,-0.002153767431324506,-0.043466192570176435,0.049550404670186725,-0.00010672004778759788,-0.10672004778759787
NFX,25,1.2578437848527857,-0.021311922889547814,-0.3059329161801545,0.06966207871858378,-0.0014846328499760672,-1.4846328499760673
CSX,25,1.1204083909175289,-0.0004804720965011131,-0.012898585022642541,0.03724998483614123,-1.789757830885545e-05,-0.01789757830885545
VNO,25,0.959934770473938,-0.005201798134865214,-0.19604661318581865,0.026533476148015878,-0.00013802178673823963,-0.13802178673823964
AGN,25,1.0138755933892818,0.003039832197202331,0.12111413330102073,0.025098905588888127,7.629646132364366e-05,0.07629646132364366
MLM,25,1.082085099358287,-0.006408633761109181,-0.15568939302469564,0.041162943965570194,-0.0002637982324043986,-0.2637982324043986
SPLS,25,0.552731020949517,-0.014977608591819095,-0.2575392560672307,0.0581566042417595,-0.0008710468553623999,-0.8710468553623999
QCOM,25,0.7265706958992886,0.00396020941484366,0.10711279529244316,0.03697232813345367,0.00014641816196279237,0.14641816196279236
SJM,25,0.24552291451351746,0.007214705972043193,0.2645120845847182,0.027275524985447157,0.00019678489300311894,0.19678489300311894
TWX,25,1.0383188313896339,0.0008554720888313181,0.02021684425330899,0.04231481818391606,3.619914590031211e-05,0.03619914590031211
CME,25,0.9914133791882497,-0.00574732247653633,-0.13920472125324462,0.041286835854372074,-0.00023728875969089867,-0.23728875969089866
