Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
NKE,25,0.1726184630231243,-0.002330115072130695,-0.07988809098815901,0.029167239363324677,-6.796302405292652e-05,-0.06796302405292652
LRCX,25,1.1911127764393403,-0.012432272519207524,-0.24889648064922376,0.049949571351025436,-0.0006209866832535489,-0.6209866832535489
THC,25,1.6882726361751321,0.0018346731142807231,0.03589666141363624,0.05110985373095942,9.376987451501156e-05,0.09376987451501155
CVX,25,0.7371991456167344,0.0007060980472449051,0.02813252562470328,0.025098992414135674,1.7722349531435886e-05,0.017722349531435887
JCI,25,0.2629497261736708,0.006646547954318591,0.2964714418018932,0.022418847204716322,0.00014900794302668833,0.14900794302668832
OKE,25,0.21332228389058364,0.008936377483967679,0.3183215036356295,0.028073433248784883,0.00025087479678211083,0.25087479678211083
FITB,25,0.8659584222890041,0.005155173101822455,0.15892255096324298,0.03243827304920866,0.00016722491269285277,0.16722491269285278
PM,25,0.13258546153595996,0.010330861639251364,0.3627108503244207,0.028482361721495503,0.00029424733810387934,0.2942473381038793
CLX,25,0.0035401596441754623,0.004341701177709831,0.27649510046303966,0.015702633321309813,6.817614158427645e-05,0.06817614158427646
TEL,25,1.5135349599216792,-0.00886816537087786,-0.3368731461583122,0.026324940031611486,-0.0002334539215787733,-0.23345392157877332
FLS,25,1.0729297589693063,0.010156543087077922,0.39898209955668784,0.025456137251177277,0.00025854635482215133,0.2585463548221513
CTAS,25,0.8129006312449817,0.010673976914420466,0.3160706009478949,0.03377086284649454,0.00036046941040354256,0.3604694104035426
JPM,25,1.8792089539000338,0.0006547901852068582,0.012817063946317172,0.05108737757331735,3.345151342296516e-05,0.033451513422965165
HSY,25,0.1404318809623951,0.008060828746619756,0.2949987998655641,0.027324954373689692,0.0002202617777155111,0.22026177771551111
ADBE,25,1.1611045537200186,0.0013106975689985336,0.05118161263224244,0.025608758723886803,3.356533780446842e-05,0.03356533780446842
CVC,25,1.271779702840937,0.0035553459280270715,0.07351731315454005,0.048360661937595736,0.00017193888249652478,0.17193888249652478
WY,25,1.1023682393592995,0.013705438122320928,0.41805002084561904,0.032784206288515375,0.0004493219106766521,0.4493219106766521
LH,25,0.5702564301439004,-0.0016911974099407011,-0.06250576939922513,0.027056660948191875,-4.5758154917225815e-05,-0.04575815491722581
BRK.B,25,0.542013714699655,0.002181586318479866,0.1495598039392485,0.01458671555470901,3.1822179085710624e-05,0.031822179085710625
EQR,25,0.41369341079475375,-0.0023476483089590037,-0.0631085116608494,0.03720018500159644,-8.733295141195998e-05,-0.08733295141195999
CAH,25,0.3896270426628919,-0.004246858077950427,-0.14280846123334684,0.029738140452414272,-0.00012629366200355994,-0.12629366200355993
HRB,25,0.5330645244332191,0.005906900740151333,0.1526902131311572,0.038685522922660726,0.000228511543985006,0.228511543985006
SNDK,25,1.1832177001701154,-0.011875961989488983,-0.17988923471391552,0.06601819174102198,-0.0007840295357311725,-0.7840295357311725
NOV,25,1.2311055068581294,-0.0027377422651825027,-0.07112776572425819,0.03849048592072945,-0.00010537703011259307,-0.10537703011259307
STZ,25,1.2759531810289504,0.01761421226768945,0.22951313552359273,0.07674598766430431,0.0013518201174125323,1.3518201174125324
NFX,25,1.4195495294994107,-0.021366711426618647,-0.318493148111048,0.06708687943003654,-0.0014334259932939492,-1.433425993293949
CSX,25,0.9728290534443478,-0.005908667548014121,-0.1585647603272022,0.03726343442150351,-0.00022017724569389015,-0.22017724569389016
VNO,25,1.0142422873780057,-0.004097913479847111,-0.15033914574466903,0.027257794099794005,-0.0001117000818724429,-0.1117000818724429
AGN,25,0.5154435392196238,0.001426347442805495,0.05675683809906438,0.0251308474992198,3.584532006604703e-05,0.03584532006604703
MLM,25,1.941954975387948,-0.0015816646989673328,-0.03566729943124835,0.04434495249678551,-7.013884594154892e-05,-0.07013884594154891
SPLS,25,1.153391834656244,-0.015202747923488105,-0.32532509316556185,0.04673094158079974,-0.0007104387250801472,-0.7104387250801472
QCOM,25,0.9260685027259242,0.0024315742340611977,0.06465285889086529,0.037609693921899424,9.145076269141867e-05,0.09145076269141868
SJM,25,0.24991385500005456,0.004002793429048286,0.14249954479171703,0.028089868180975083,0.00011243793977763959,0.11243793977763959
TWX,25,0.775567516056809,0.00699818974124132,0.2934473466441209,0.02384819566873915,0.000166894198276086,0.166894198276086
CME,25,1.0604553998126867,-0.0022346927939827215,-0.04361907785572965,0.05123200452274531,-0.00011448779132826914,-0.11448779132826914
HUM,25,0.7208539703347272,-0.007529149649728284,-0.16342646048332976,0.04607056670909355,-0.00034687219120055525,-0.34687219120055524
AES,25,0.4777956067786254,-0.004537494396022056,-0.15398877274320455,0.029466397550871406,-0.00013370361375803703,-0.13370361375803702
MJN,25,0.40940000378948666,-0.007485266243428235,-0.17325344489954014,0.043204140891793044,-0.0003233944973936559,-0.3233944973936559
WBA,25,0.39876333239493833,0.001910675029545119,0.0437598573621483,0.043662734403650684,8.342529634671596e-05,0.08342529634671596
ADP,25,0.5562612086507509,0.0032636590875276678,0.16117590647592073,0.020249050611142367,6.608599804086247e-05,0.06608599804086247
PFE,25,0.042050315599275544,0.012537596505091382,0.5453799557285587,0.0229887372526237,0.00028822351183495896,0.288223511834959
OMC,25,1.011091367856172,0.00018059836027910746,0.007521889347819822,0.024009707126501786,4.336113737827823e-06,0.004336113737827823
BK,25,1.5339050363951487,0.0004157289201500809,0.011149357882878965,0.037287252281001514,1.55013891261444e-05,0.0155013891261444
TGNA,25,1.7869269815316546,0.00940933495127576,0.16031565656181576,0.05869255163888272,0.0005522578775152965,0.5522578775152965
TGT,25,0.16778158889575898,0.006452643175261691,0.21493179132395474,0.03002181824993949,0.00019372008063941892,0.19372008063941892
ORCL,25,0.8933102648401848,-0.005364941845837314,-0.11224377644827939,0.04779723219941211,-0.0002564293711418287,-0.25642937114182873
GPC,25,0.5093884495658179,0.0018695708236252506,0.07442772529866983,0.02511927935621947,4.696227179487999e-05,0.04696227179487999
NI,25,0.16531257502049795,0.006233023434576312,0.27028913977160546,0.023060576684076992,0.000143737114886696,0.143737114886696
YUM,25,0.5669592608164846,0.009178180004492711,0.3336399931045677,0.027509232089020376,0.00025248468389839606,0.25248468389839607
LMT,25,0.5237249912400725,0.007912511556352215,0.3987770690694608,0.019841942202985543,0.00015699959698159584,0.15699959698159582
PH,25,1.0716566619479164,-0.0053977954416039075,-0.16173343745084942,0.03337464117921991,-0.0001801494860223593,-0.1801494860223593
INTC,25,0.6255983452354786,-0.005600040783366746,-0.17753713334099394,0.031542926699231984,-0.00017664167594244693,-0.17664167594244692
UNP,25,0.8799894573435282,0.006113536630702122,0.23625533854578532,0.02587681898886422,0.00015819888077446965,0.15819888077446964
CTXS,25,1.6167368310924133,-0.0121829517441321,-0.22472886164160027,0.05421178061036765,-0.0006604595071395854,-0.6604595071395853
PGR,25,0.7082180106930711,0.004943379485113029,0.1407362297329416,0.03512513795838849,0.0001736368863952626,0.1736368863952626
EA,25,1.220983870705848,-0.03164856160285658,-0.5492854346096818,0.05761769675423092,-0.001823517225140987,-1.823517225140987
NTRS,25,1.3933111532939115,0.0018210169228644983,0.06368359566330259,0.028594756685729226,5.207153582990568e-05,0.052071535829905674
AEP,25,0.2842092478490789,0.0052789958272853234,0.25826884620475526,0.02043992492652459,0.0001079022783971486,0.1079022783971486
EXC,25,-0.015377781481360755,-0.006811862754995386,-0.290851966602401,0.023420377158072665,-0.00015953639487101986,-0.15953639487101987
PCL,25,0.7213658005919575,0.003253502527062247,0.12150683178220868,0.02677629298156577,8.711673688088334e-05,0.08711673688088334
EOG,25,1.2469530020054207,0.005169160099531167,0.10840965828863726,0.04768173040236363,0.00024647449827250024,0.24647449827250023
GS,25,1.866352609563353,-0.0031406832113317178,-0.07390711204665694,0.042495006561060464,-0.00013346335367175378,-0.13346335367175377
CMA,25,1.4079790020540683,0.0005934781959409247,0.01764137039387848,0.0336412751781948,1.9965363301907258e-05,0.01996536330190726
GE,25,0.9271409512923439,0.007252676858917479,0.1980585518375828,0.036618852312244564,0.00026558470276513295,0.26558470276513296
RL,25,1.2443319647124835,-0.0061154424769257355,-0.16901695999562427,0.0361824190725242,-0.00022127150251404238,-0.22127150251404237
FTI,25,0.7103743716943332,-0.006880109733924831,-0.16540758494844005,0.041594886571069044,-0.0002861773839791114,-0.2861773839791114
MMC,25,0.6528737072128996,0.00244581817780576,0.09889711281837256,0.024730936102225518,6.04873730729759e-05,0.0604873730729759
CBS,25,0.9351391207755119,0.00604600467248146,0.22725476214783563,0.026604523554707132,0.0001608510737209024,0.1608510737209024
HOG,25,1.5455220669043337,0.0013675023309936895,0.03411609036401083,0.04008379378770412,5.481468143975575e-05,0.05481468143975575
BDX,25,0.5532853154133508,-0.0026796497914924737,-0.1384688134409964,0.019352009487929294,-5.185660818929011e-05,-0.05185660818929011
PCAR,25,1.4495764136381217,-0.004016939738949575,-0.10322694818697521,0.03891367331400404,-0.00015631388072352443,-0.15631388072352442
JEF,25,2.0818818783082986,-0.014638145880076229,-0.41496641126592104,0.035275495757404164,-0.0005163678528888922,-0.5163678528888922
HOT,25,1.526057296780367,-0.004474725090481012,-0.14562945417661796,0.03072678611466956,-0.00013749392077715546,-0.13749392077715544
EL,25,0.9376426476751134,0.005186660253448794,0.10010590537205341,0.05181173112786966,0.0002687298465032972,0.2687298465032972
CVS,25,0.4844818516959194,0.008185401125751838,0.28554241715104456,0.02866614777384185,0.00023464391825897364,0.23464391825897365
APD,25,0.9805493192369394,-0.00661574713325419,-0.30125578277593285,0.021960564780842167,-0.0001452855434934995,-0.14528554349349948
EIX,25,0.21299436040289027,0.005843471507026065,0.25794283744198654,0.022654133625014145,0.00013237878435413126,0.13237878435413125
IFF,25,0.7006526148698986,0.0003558651554604955,0.009680332452647596,0.03676166673006829,1.3082196245882677e-05,0.013082196245882678
FISV,25,0.6110478222033711,0.007450080114778856,0.35209237229828827,0.021159447636278927,0.0001576395800747461,0.1576395800747461
HON,25,0.9386228298023366,0.003801911414249358,0.17429627016586444,0.021812924686405336,8.293080734340604e-05,0.08293080734340605
CERN,25,0.6595268216295634,0.005389222202299072,0.09779147984655256,0.05510932251721169,0.0002969963844634175,0.2969963844634175
GT,25,1.4923302152745686,-0.016375783560350334,-0.26104315779757176,0.0627320926490212,-0.0010272871715082154,-1.0272871715082155
KSS,25,0.1870266052257382,-0.0002448060423141177,-0.006113535203140653,0.04004328660581779,-9.802838515220171e-06,-0.009802838515220172
WM,25,0.620011036230945,-0.0011491043056012058,-0.04849718848989611,0.02369424581881916,-2.7227159888378465e-05,-0.027227159888378465
PXD,25,1.2377947244948555,0.0036772997937064332,0.0710126574710445,0.05178372313704577,0.00019042427440920946,0.19042427440920945
DTV,25,0.47627582622552067,0.002964195673512785,0.09838485551429273,0.030128576781638567,8.930699694523078e-05,0.08930699694523078
ESRX,25,0.7556648955386861,0.009364729564248615,0.2539587211159226,0.036875006784956865,0.0003453244662209538,0.3453244662209538
AFL,25,1.3000161913836723,-7.940754908832177e-05,-0.002701214059500301,0.029396984962758346,-2.3343425264788905e-06,-0.0023343425264788905
SYK,25,0.9737121538128074,0.00027494542612404487,0.010041883138326933,0.027379867136140885,7.527969236965988e-06,0.007527969236965988
MO,25,-0.03311942269603945,0.00792100848482754,0.3134314316854263,0.025271902190005677,0.00020017895167476665,0.20017895167476665
DE,25,0.9728299995611589,0.0018809893798280015,0.05041806840944598,0.03730784298502781,7.017565643912792e-05,0.07017565643912792
IPG,25,1.6845333336733805,-0.0022861361849232176,-0.048621770906798256,0.04701877661563273,-0.0001074913265918196,-0.1074913265918196
CMCSA,25,0.6486064674037921,0.017123374944380647,0.6052052314518729,0.028293501203388607,0.00048448022959490816,0.48448022959490816
EFX,25,0.6018087601937119,0.012223150402933973,0.45382084831042924,0.026933867072085046,0.0003292167081547264,0.32921670815472637
VTR,25,0.4517699009967564,0.0049728546543059545,0.13890157719666965,0.03580128285559298,0.00017803457607855954,0.17803457607855955
NEM,25,0.9745312142760854,-0.011808154058622625,-0.2110085699885327,0.055960542546989164,-0.0006607907075989542,-0.6607907075989542
MNST,25,0.03614629570614908,0.0010285873480914988,0.015124989314489853,0.06800582312518426,6.99499292631128e-05,0.0699499292631128
DFS,25,1.0065556308037056,0.018014748775425166,0.6399516222903111,0.02815017283799127,0.00050711829166121,0.50711829166121
UNM,25,1.1365045876221236,-0.009700089628946237,-0.33185249005795026,0.029230124587139136,-0.00028353482836051473,-0.28353482836051475
MMM,25,0.765518203082612,0.0024258681080506442,0.13383664641097714,0.018125589463751514,4.3970289419733575e-05,0.04397028941973358
DHR,25,0.6550353074556933,0.0002774158500510799,0.010254789158780205,0.027052321189222597,7.504742678563027e-06,0.007504742678563027
DISCA,25,0.7345694841138506,0.008826664865684172,0.3171069408580756,0.027834978451747715,0.00024569002633711756,0.24569002633711756
INTU,25,0.5301857883334494,0.0024208639423081556,0.1090231709682769,0.022205040642347195,5.375538222854545e-05,0.05375538222854545
VRTX,25,1.3870874143555068,0.003605975469864819,0.026582953549206628,0.1356499180269771,0.0004891502768944529,0.48915027689445295
TXN,25,1.2293777961076355,-0.006527762799350252,-0.24219678288504987,0.026952310107473326,-0.00017593828727611617,-0.17593828727611616
LNC,25,1.8764088091391646,0.003657373297211844,0.09986472680518126,0.036623274445508114,0.00013394498601346227,0.13394498601346227
DLTR,25,0.19567042875920243,-0.000888976055146874,-0.019625987870281074,0.045295862864208655,-4.0266937483497994e-05,-0.040266937483497994
GOOGL,25,0.35392689482432776,0.003854134216296882,0.08700363701913395,0.04429854139832425,0.0001707325241353254,0.17073252413532541
IVZ,25,1.529731037972321,0.002672004715983051,0.12005613178335074,0.02225629525366402,5.9468925878101456e-05,0.05946892587810146
PPL,25,0.09515230425062644,0.0017896229812221038,0.08756578769157614,0.020437467970087893,3.6575362357259955e-05,0.03657536235725996
SWK,25,1.1900355067856925,-0.001333680241914797,-0.03400500003153511,0.03922012176673978,-5.2307101485793306e-05,-0.0523071014857933
SCHW,25,1.5689786999848818,-0.0016425445577382854,-0.041240323041139226,0.03982860551552342,-6.542025923182804e-05,-0.06542025923182804
TJX,25,0.42951376932683055,0.01174328593513564,0.4740932546794457,0.024769991598120853,0.00029088109394764057,0.29088109394764056
LOW,25,0.8656700261559551,0.013489007214007621,0.25666327040005665,0.052555268983296814,0.0007089184024498017,0.7089184024498016
MCO,25,0.8569022000276996,0.00933621504455994,0.2432416158757599,0.03838247419524043,0.0003583470330290373,0.3583470330290373
SBUX,25,0.8379508932417589,0.0005036598285330304,0.008509676335132822,0.05918671976437388,2.9809973127957073e-05,0.029809973127957072
EMN,25,1.4838892323644508,0.01219288837540803,0.28530211684999035,0.04273676098175941,0.0005210845561770857,0.5210845561770857
EMR,25,0.6469639534299081,-0.0014786542503049964,-0.04189323736919267,0.035295774286290056,-5.2190246666228594e-05,-0.052190246666228596
WELL,25,0.36319321525240666,0.004675089847441393,0.1722191053120916,0.027146174281705272,0.00012691080378127498,0.12691080378127498
SO,25,-0.127209064258104,0.004984217755591657,0.2716998212709366,0.018344575025028963,9.143335655853262e-05,0.09143335655853262
ABC,25,0.2438489429457189,-0.0018513845929861278,-0.06322487513861627,0.02928253458669696,-5.421323337739416e-05,-0.054213233377394164
C,25,2.1896382842992246,-0.002553354460600869,-0.04741831353214919,0.05384743299378873,-0.00013749158322659688,-0.13749158322659688
MCK,25,0.46451442790619196,0.003656262669156558,0.1282613079731737,0.028506357271214464,0.00010422672992438104,0.10422672992438105
ALXN,25,0.5979299724137721,0.011454942761381552,0.2185330966909468,0.05241742754225153,0.0006004386321953562,0.6004386321953562
COG,25,-0.44106319808897004,-0.018018826186144865,-0.11442709717277243,0.15746992304574856,-0.002837423172906951,-2.837423172906951
MCD,25,0.13829595541322964,-0.0020715754947963935,-0.08420011727898417,0.02460300011141963,-5.096697212928985e-05,-0.05096697212928985
FIS,25,0.7813031419768712,0.006591448688459563,0.17651280168852657,0.03734260985835347,0.00024614189677450113,0.24614189677450113
DD,25,1.764795764764482,-0.003020254279237242,-0.07713677763437775,0.03915453006804367,-0.00011825663698953214,-0.11825663698953214
PVH,25,1.1143348884345656,0.004023101346336623,0.1061768122708184,0.03789058326666613,0.00015243765655360443,0.15243765655360442
FAST,25,0.8681201491527362,0.002359873194149581,0.04956181004930302,0.04761474998193226,0.0001123647721284962,0.1123647721284962
STJ,25,1.2680717017055072,-0.005651766082404724,-0.12434212802749214,0.04545334853168279,-0.00025689169356308536,-0.25689169356308533
HRL,25,0.28970965829337986,-0.00046785739630614395,-0.026183209591017578,0.017868603720250068,-8.359958412182475e-06,-0.008359958412182475
ADI,25,1.0547173638546188,-0.00022681575027801376,-0.00874591689082593,0.02593390185492538,-5.8822174068612724e-06,-0.0058822174068612725
AMZN,25,0.9846012700765923,0.0005425060142086116,0.009829668816907292,0.055190670643499896,2.994127075230536e-05,0.02994127075230536
TDC,25,1.0157418868774968,0.001118512926059934,0.02181867444798435,0.05126401829434988,5.7339467104003264e-05,0.05733946710400326
TAP,25,0.9136801473334727,-0.0012542891851952116,-0.052352931449711905,0.02395833720218763,-3.005068324796405e-05,-0.03005068324796405
BIIB,25,0.553541815490394,0.006080328374830848,0.28301710558165605,0.021483960703840045,0.00013062953587130954,0.13062953587130954
GIS,25,0.0317369801131328,0.002498362044580783,0.1566526603757684,0.015948417592065604,3.9844921183141154e-05,0.03984492118314115
IP,25,1.0199218711332207,0.0075025200620749835,0.2028805861323782,0.036979980219396844,0.00027744304349116086,0.27744304349116083
MAT,25,0.5302834616996179,0.010057613059256936,0.4297698600445085,0.023402322950742366,0.00023537150892633473,0.23537150892633474
MUR,25,1.186243619006862,-0.0006732832991773983,-0.015408349228797193,0.04369600462579574,-2.9419790155326613e-05,-0.029419790155326614
AVP,25,0.9343343779804919,-0.010273157871395775,-0.15832991652660622,0.06488450254231924,-0.0006665687380242261,-0.6665687380242261
GWW,25,0.5167253055657574,0.004274513921916795,0.1310770883953026,0.03261068714789961,0.00013939483621696998,0.13939483621696996
GILD,25,0.5705181969830914,0.01684878058237215,0.2810249074647703,0.05995475893710361,0.0010101645782002744,1.0101645782002744
ZBH,25,1.1610261744094492,0.0033712596927642537,0.09052016715286876,0.03724318899092324,0.00012555646187510094,0.12555646187510094
CCL,25,0.6710878749863111,0.0015327340423346792,0.03125352965820211,0.04904195011242295,7.51682664397897e-05,0.0751682664397897
V,25,0.5240802040312758,0.014036429506339442,0.5114927339581133,0.027442089739419247,0.0003851889581339992,0.38518895813399917
MTB,25,0.9110384655425907,0.010149482808547586,0.3447562272157989,0.02943959240566394,0.00029879663701193424,0.29879663701193426
NUE,25,1.1214030003574211,-0.00035823192945154316,-0.012340334456544108,0.02902935335448481,-1.039924126290772e-05,-0.01039924126290772
NFLX,25,3.3266675654648097,-0.019507586070948546,-0.15032458071511232,0.1297697687108029,-0.002531494932533073,-2.531494932533073
FCX,25,1.9730408643076907,-0.007560642991246605,-0.1629978256864645,0.04638493157442435,-0.0003506999078076248,-0.35069990780762483
D,25,0.02672909461237602,0.0018703834910698846,0.0979955543449175,0.019086411659927423,3.5698909272492006e-05,0.03569890927249201
GD,25,0.8618928162507592,-0.00026286749846406946,-0.013462151879018967,0.01952641010340655,-5.132858577866012e-06,-0.005132858577866012
GOOG,25,0.35582935697572693,0.003846212348813414,0.08716336474611286,0.044126478595870634,0.00016971980688508843,0.16971980688508842
BBT,25,1.2625341882124592,0.003803499278463897,0.10321911729084117,0.036848787107399424,0.00014015433517526347,0.14015433517526346
TSN,25,0.26352049332453115,-0.006833085585505098,-0.14878888566863946,0.0459247043540788,-0.0003138074353404391,-0.3138074353404391
M,25,0.5049483695026427,0.008044862493572206,0.20344726787874884,0.03954274037421239,0.00031811590892956464,0.31811590892956465
CPB,25,0.3272555536758889,0.0018256331312682473,0.06949178403600924,0.026271208267185098,4.796158821102139e-05,0.047961588211021394
DOV,25,1.03655992689166,-0.0015365368406354816,-0.059840221179072464,0.025677325557293306,-3.9454156687772165e-05,-0.03945415668777216
LEG,25,0.5765649676507365,0.005691822348174399,0.14621729348653922,0.038927148851229346,0.00022156641578213856,0.22156641578213856
KR,25,0.4753240482414987,0.0022673567831776893,0.07835106102706924,0.02893843112595946,6.561374810796456e-05,0.06561374810796455
APH,25,1.063162629044503,0.0055725930907613635,0.16374747450952468,0.03403162770878169,0.0001896444134373198,0.1896444134373198
USB,25,0.8105185319902938,0.008131322584201621,0.29835318185269805,0.027254016644663072,0.00022161120105295573,0.22161120105295573
AIZ,25,0.7301785824871458,-0.0026982326574460868,-0.06477246994288102,0.04165709073353999,-0.00011240052263143238,-0.11240052263143238
VRSN,25,0.5252789456706989,0.006161970996857918,0.12245052962818462,0.05032212613182204,0.00031008348172451337,0.3100834817245134
UPS,25,0.6037685067436731,0.00039934837636214316,0.02127431300807612,0.01877138764530461,7.496323178216789e-06,0.0074963231782167895
NTAP,25,1.4493573441659426,-0.02099982410524403,-0.3755201429402031,0.05592196450720884,-0.0011743514182710852,-1.1743514182710852
MDLZ,25,0.2120359819437181,0.005406965416187921,0.23640173157581246,0.022871936597697647,0.00012366777018499398,0.12366777018499397
XRAY,25,0.9663877650138508,-0.003296852788424736,-0.11949123573713988,0.027590749799234177,-9.096264041033442e-05,-0.09096264041033442
DIS,25,0.8299013196609671,0.011919041624105647,0.47949077782127314,0.02485770775042599,0.0002962800533571809,0.29628005335718094
MSI,25,0.5357112088609602,0.0025052643637297417,0.10393227650951124,0.024104777147842763,6.0388839184137516e-05,0.06038883918413752
DRI,25,0.45360775908679773,0.003420084286390422,0.1044164834861899,0.03275425653309577,0.00011202231808124168,0.11202231808124168
ESS,25,0.4935685444872133,-0.00010961727185610035,-0.00333678534196694,0.032851160809608475,-3.6010546252553217e-06,-0.0036010546252553217
AET,25,0.4446119584538347,0.0030731543210901742,0.06428654550716185,0.04780400466140787,0.00014690908349062042,0.14690908349062043
PNC,25,1.140532442532484,-0.00051555531251532,-0.015305241231722425,0.0336848864196112,-1.7366422145105713e-05,-0.01736642214510571
HBAN,25,1.3264805801992596,0.0039241755824181565,0.10867657319931341,0.036108753403745975,0.00014169708841853845,0.14169708841853845
AEE,25,0.04526059813288558,0.002362981563595477,0.14822654963995735,0.015941689051894987,3.766991732219971e-05,0.03766991732219971
ARG,25,0.5433807982333979,0.007074423958369436,0.20670098706995216,0.03422539997825601,0.00024212498959095107,0.24212498959095108
NRG,25,0.846019258937528,-0.002142857437094951,-0.03990754893385345,0.05369554117810457,-0.00011506188975233957,-0.11506188975233957
