Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.21938534570228427,-0.006406928103070872,-0.18850187103864754,0.03398867113503236,-0.00021776297228107258,-0.21776297228107258
EMR,25,0.20552926984245778,-0.008127414734723492,-0.23272397057691038,0.0349229807079007,-0.0002838335479858564,-0.2838335479858564
MNST,25,0.10643587649783953,0.02558078045385954,0.5445351261534405,0.04697728250252735,0.0012017155500160894,1.2017155500160894
FE,25,0.07853819039291075,0.00868001403495317,0.23154331723917732,0.03748764653823706,0.0003253932980892613,0.32539329808926126
PAYX,25,0.1995055812561389,-0.0008476467996341156,-0.029601894758327352,0.028634883224684896,-2.4272267123300775e-05,-0.024272267123300776
URBN,25,0.508502759240355,-0.01489499739650204,-0.23056091658962835,0.06460330578496704,-0.0009622660714725092,-0.9622660714725092
MDT,25,0.20740748589646948,2.3671324256462458e-05,0.0005060352804664269,0.0467780116727117,1.1072974823773444e-06,0.0011072974823773444
TDC,25,0.021426836641107304,0.014095831542549904,0.3026475016198981,0.04657507981101122,0.0006565144790968312,0.6565144790968311
XRX,25,0.46043701823962685,-0.0161105120221223,-0.43157401109048965,0.03732966213932737,-0.0006013999706773973,-0.6013999706773973
AES,25,0.4692324280980473,-0.008393366783766752,-0.1869650768160998,0.04489269828729848,-0.0003768008826382736,-0.3768008826382736
WFC,25,0.3784645726780011,-0.0026223028724563797,-0.055427619354824396,0.04731040053640939,-0.0001240621992236882,-0.12406219922368819
FSLR,25,0.13259572661438085,-0.030302460838166987,-0.35924117923896026,0.08435130099049802,-0.0025560519949130024,-2.5560519949130023
WDC,25,0.4968526287712917,-0.005013956059398367,-0.08715224587172485,0.05753100231952904,-0.00028845791768326417,-0.2884579176832642
XOM,25,0.3894100280291211,0.004148800059830314,0.14885177442938452,0.027872022861229043,0.00011563545011425892,0.11563545011425892
CAG,25,0.20154045253816613,0.0038427634879028938,0.1326512032072843,0.028968930510928647,0.00011132074845099272,0.11132074845099273
BIIB,25,0.3472818747802249,0.019332460708839292,0.3686937130075673,0.05243501591371725,0.0010136978849193017,1.0136978849193017
NDAQ,25,0.26324052575902745,0.007310449963937705,0.14332847637884266,0.051004867620408414,0.0003728685326562621,0.3728685326562621
PRU,25,0.39183772039673054,-0.010204785286334587,-0.22779895247721116,0.04479733192520043,-0.000457147153697332,-0.457147153697332
HD,25,0.12372953099723234,0.0029216473732306394,0.05944289340523338,0.04915049059461524,0.00014360040173875486,0.14360040173875485
CMCSA,25,0.39638324373006995,0.005345339652942302,0.11276134118364992,0.04740400918286844,0.0002533905299936277,0.2533905299936277
CL,25,-0.06071504861478559,0.007507944903243396,0.3092369452005727,0.02427893891647941,0.0001822849356941393,0.1822849356941393
AXP,25,0.23430433727871322,0.0029454174825589968,0.06467017936243129,0.04554521901125377,0.00013414968432272524,0.13414968432272525
XEC,25,0.7626561460522824,-0.010704661265259787,-0.16426102727936243,0.06516860050469628,-0.0006976077935338116,-0.6976077935338116
ETR,25,0.09484747836418343,-0.0047399283171116295,-0.1524972903957275,0.031082049424036376,-0.00014732668621885323,-0.14732668621885323
AMAT,25,0.2873985433765191,-0.0059086685474255,-0.13371396399583108,0.04418886682328646,-0.0002610973675451269,-0.2610973675451269
AVGO,25,0.2651546069477504,0.015388505879059617,0.32065781762558365,0.047990427905387975,0.0007385009819606495,0.7385009819606495
IP,25,0.7307513596866124,0.002624685200229796,0.062259871875041964,0.04215693224518103,0.00011064867615101692,0.11064867615101692
FAST,25,0.14324635591567236,0.010445349818125962,0.2735259414462373,0.038187784905875335,0.0003988847721212183,0.3988847721212183
LRCX,25,0.10715727410098258,-0.005070304461954702,-0.08241244620649152,0.06152352824536497,-0.0003119430197776702,-0.3119430197776702
MTB,25,0.27764067629509565,-0.005025284501651477,-0.10936278294955325,0.045950590924240975,-0.0002309147924133152,-0.2309147924133152
ORCL,25,0.31113138567431187,0.001557616033358064,0.03318195597255061,0.046941658130297804,7.311707933616478e-05,0.07311707933616478
CMS,25,0.03163875767502916,0.004842003318065888,0.20310943965912714,0.023839381006575008,0.0001154303619344731,0.1154303619344731
F,25,0.8181939330259176,-0.014122867495797591,-0.30072810467818856,0.046962246880485545,-0.0006632415899980311,-0.6632415899980311
GLW,25,0.2881048797131989,-0.017633681803073908,-0.35777489093133197,0.049287085958355736,-0.000869112790790397,-0.869112790790397
VFC,25,-0.002330476791363996,0.01924307686746157,0.440562778456334,0.043678399103270656,0.0008405067913919018,0.8405067913919018
DIS,25,0.4609796032970072,-0.006416084449849146,-0.20125177849613554,0.031880883228926835,-0.00020455043913257388,-0.20455043913257387
EQR,25,0.22197801939892672,0.004163343808815724,0.14422323870011747,0.028867357621004067,0.00012018473462827671,0.12018473462827671
DE,25,0.3756084209071631,-0.0041430761063790495,-0.10659839502429158,0.038866214687706395,-0.00016102568541803483,-0.16102568541803483
RRC,25,0.48489938690916434,0.014023891858865108,0.27738593288992947,0.05055732896314529,0.0007090105140522184,0.7090105140522184
CHRW,25,0.19851838598125557,-0.0015266227725062532,-0.04790435384107632,0.03186814245675572,-4.8650631991956655e-05,-0.048650631991956655
NOC,25,0.33832669267742693,-0.002711052265730342,-0.06481814832664697,0.04182551238687297,-0.00011339115012176447,-0.11339115012176447
