Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.4664586996373201,-0.0009418402190042026,-0.03199827605684467,0.02943409255333104,-2.7722212176619275e-05,-0.027722212176619274
EMR,25,0.3940898129206235,-0.0033606046425167417,-0.1039906569995268,0.03231640937254617,-0.00010860267536685021,-0.10860267536685021
MNST,25,0.04317550828293018,0.02672513699874113,0.5637686185879793,0.04740444238573829,0.0012668902171077865,1.2668902171077865
FE,25,0.28360913290557715,0.01159619864875626,0.3276004986559226,0.0353973778926866,0.00041047502568868706,0.41047502568868705
PAYX,25,0.39956447341481743,0.003919561268679076,0.15670818907000122,0.025011847127709555,9.803546725989236e-05,0.09803546725989236
URBN,25,0.1449469868088155,-0.009932458741036201,-0.13852555327410265,0.07170127464773732,-0.0007121699521183559,-0.7121699521183559
MDT,25,0.5439871814193831,0.006037982174536053,0.14612699296658005,0.04132010145392487,0.0002494900360288196,0.24949003602881958
TDC,25,0.16102035097591902,0.015579789080319855,0.33884044936048957,0.04597972027756534,0.0007163543438965739,0.7163543438965738
XRX,25,0.5750088641288182,-0.007965116520140113,-0.20573429814663638,0.038715550065760086,-0.0003083738674150973,-0.3083738674150973
AES,25,0.905028234721754,0.0025331187801188827,0.07705115815663471,0.03287580408550629,8.327831674050508e-05,0.08327831674050508
WFC,25,0.6709869367063458,0.005705252832962882,0.13404126692090965,0.042563405763161255,0.0002428349913108244,0.2428349913108244
FSLR,25,0.8925879102604062,-0.021973952938729828,-0.2980490168964316,0.07372597020296667,-0.0016200509996021873,-1.6200509996021872
WDC,25,0.552400260181826,0.0032153435446133716,0.053531120369604675,0.06006494021446009,0.00019312941777615235,0.19312941777615236
XOM,25,0.6032589206014164,0.012000131944830971,0.5015000514148762,0.02392847600109938,0.00028714486925191397,0.28714486925191396
CAG,25,0.42379050726080925,0.008824424319949103,0.35898433594787504,0.024581641693776912,0.00021691883678683985,0.21691883678683985
BIIB,25,0.5359528275264361,0.026317588592341228,0.5169485403799721,0.0509094939565881,0.0013398151173937677,1.3398151173937678
NDAQ,25,0.47080347709930326,0.013136406190455566,0.26889393566501557,0.04885348625645736,0.0006417592392846624,0.6417592392846624
PRU,25,0.847349948741963,-0.0003267146559085771,-0.01016595226706061,0.03213812610228236,-1.049999681105364e-05,-0.01049999681105364
HD,25,0.39991180709856655,0.00712996064665476,0.15467840263024324,0.04609538581607182,0.00032865828686096007,0.32865828686096005
CMCSA,25,0.778862495027871,0.014693491855178582,0.37544072054481936,0.03913664941260548,0.0005750540393830982,0.5750540393830982
CL,25,-0.025630681554203744,0.006846916870351948,0.2789494221121131,0.024545370334555096,0.00016806011023270153,0.16806011023270154
AXP,25,0.28901206502727256,0.007060811872815308,0.15385088927709725,0.04589386454632865,0.00032404794367809486,0.32404794367809486
XEC,25,1.3686651066884292,0.006212561199304976,0.12639926421415362,0.04915029559649384,0.00030534921935714785,0.30534921935714787
ETR,25,0.20074354514369466,-0.002384777935650384,-0.07892826551917508,0.030214498189764714,-7.205486861969935e-05,-0.07205486861969934
AMAT,25,0.745431425602042,0.002356423460812376,0.07248261676133534,0.03251018749187007,7.660776852125169e-05,0.07660776852125169
AVGO,25,0.43094806576561373,0.020900662646141065,0.44856072573220696,0.04659494567212482,0.0009738652405083515,0.9738652405083514
IP,25,0.9350997099865903,0.01573737045772737,0.3562559164537353,0.04417434133973487,0.0006951879743895084,0.6951879743895084
FAST,25,0.28577913036967556,0.01385909561891023,0.37587633734556714,0.03687142350269493,0.000511004583929183,0.511004583929183
LRCX,25,0.4244651006166167,-0.0007827861047917974,-0.013356614931018765,0.05860662367183262,-4.58764506590726e-05,-0.0458764506590726
MTB,25,0.5636963746041733,0.0016718847944667894,0.040356742515748216,0.04142764480592996,6.926224942160537e-05,0.06926224942160537
ORCL,25,0.6821826780647615,0.009478143428254,0.23984718601261532,0.03951742601539413,0.0003745518316893215,0.3745518316893215
CMS,25,0.2186138007222281,0.006875629195212101,0.318046622368271,0.02161830597040803,0.00014863945568116551,0.14863945568116552
F,25,0.8334154175889135,-0.0011987497611032029,-0.020851069516983973,0.05749104429040326,-6.891737560869457e-05,-0.06891737560869457
GLW,25,0.7860353764931313,-0.009029204216162844,-0.24143701860969907,0.037397762232805006,-0.00033767203242749853,-0.33767203242749855
VFC,25,-0.0042715356537995275,0.01919064776111348,0.4393645940216976,0.04367818441047566,0.0008382126518663964,0.8382126518663965
DIS,25,0.7758175547792137,0.0033858838755995418,0.14729410407879712,0.022987232902331338,7.783210122865493e-05,0.07783210122865493
EQR,25,0.4139988376397288,0.009215934832146859,0.3613908598480881,0.02550129473673133,0.00023501827042908562,0.23501827042908563
DE,25,0.711616460980783,0.0044976657190844965,0.14575305829795882,0.030858122440834464,0.00013878951945745318,0.1387895194574532
RRC,25,0.548659633597667,0.022133794688972336,0.4170207071884687,0.053076008714764304,0.0011747734798026996,1.1747734798026996
CHRW,25,0.260097237299209,0.00208552450474431,0.06524950938137664,0.03196230170183557,6.665816342720884e-05,0.06665816342720884
NOC,25,0.711306177953148,0.005650754189486979,0.1713413787599013,0.03297950693746498,0.00018635908699409512,0.18635908699409512
GE,25,0.7187984468208688,0.005234280649522973,0.15854977304937415,0.033013485600467934,0.0001728018488518346,0.17280184885183458
ABC,25,0.2687294890461955,0.012072064353602693,0.3812407657433554,0.031665198054211745,0.00038226430868001893,0.3822643086800189
CAM,25,0.5183721894542469,0.0059611008211668285,0.10941221297353902,0.054482956327814164,0.00032477839570532947,0.32477839570532946
NSC,25,0.5335350640078499,0.007195806488944429,0.26195663405667335,0.027469456976560645,0.00019766489675971492,0.1976648967597149
TGNA,25,0.9771184071040888,-0.001864209599203531,-0.025163509123129885,0.0740838485634732,-0.00013810782163796746,-0.13810782163796745
CMG,25,0.20741492545212473,0.026776509114129057,0.42178073422994516,0.06348442909090087,0.001699891394157787,1.699891394157787
AME,25,0.5898456440702095,0.00971446112100675,0.3135754134499917,0.030979664553821888,0.00030095074684993365,0.30095074684993367
STX,25,0.5704432883367188,0.003005379475114204,0.035165812505361944,0.08546310353716284,0.0002568490572501493,0.2568490572501493
MOS,25,0.9019235207769193,0.0060587311260246295,0.10751773104285828,0.05635099501504103,0.00034141552748008784,0.34141552748008785
MU,25,0.9379486510642379,0.0036096448114937953,0.05119864511215632,0.07050274091407042,0.0002544898529365656,0.2544898529365656
VNO,25,0.5396783726527772,0.002687195341403651,0.11768257638826042,0.022834266752777478,6.136013524243191e-05,0.06136013524243191
A,25,0.9350716639409804,0.007465704420861637,0.17453543228700913,0.04277472100097648,0.0003193434236781132,0.3193434236781132
TSN,25,0.08974702152938717,0.004727969662159103,0.1341643984068847,0.035240121211742303,0.0001666142239799271,0.1666142239799271
XEL,25,0.18775979453309444,0.006160274585670407,0.2823317606598804,0.02181927591593767,0.0001344127309026812,0.1344127309026812
SYMC,25,0.5827697177029217,0.007853446757398507,0.21563280224374629,0.03642046421360862,0.000286026176581313,0.28602617658131296
TWX,25,0.6768131663118393,0.006806912280411671,0.18996655783626512,0.03583216097582105,0.00024390637658000416,0.24390637658000416
NVDA,25,0.6514766261468649,0.011485300078255767,0.11828881545819526,0.09709540190902338,0.0011151698271439814,1.1151698271439814
NUE,25,0.843960231560938,0.0016472966473337234,0.04851340464013474,0.033955494559763974,5.5934772346857676e-05,0.055934772346857675
AFL,25,1.0236633324698425,-0.008972871996788395,-0.27033386317934555,0.033191816560678496,-0.0002978259213398494,-0.2978259213398494
FTI,25,0.6126080458008805,0.010894912947588181,0.24012944580573295,0.04537099942504457,0.0004943130890809341,0.4943130890809341
SPG,25,0.3959748858147781,0.012385393433851269,0.5592679538509108,0.022145723438237546,0.00027428349765983343,0.27428349765983345
EL,25,0.4289346971796392,0.019490431340497386,0.5555182323048036,0.03508513349711862,0.0006838243854977755,0.6838243854977755
EXPD,25,0.45597028669673045,-0.0006490678708262298,-0.017771125361403753,0.03652373485788969,-2.3706382818832213e-05,-0.023706382818832212
TXT,25,1.1089414193532068,0.0037080337777842965,0.05346026774307055,0.06936055381550024,0.00025719127639370034,0.2571912763937003
FOSL,25,0.9607434526956902,0.03084149176838283,0.42615600932655895,0.07237136422673161,0.0022320408340653786,2.2320408340653786
CCI,25,0.210085108498768,-0.0005984482664303944,-0.01731169029401954,0.034569025685327395,-2.0687773493571955e-05,-0.020687773493571954
CVS,25,0.33516139673240136,0.007072584836052604,0.2028193794607814,0.03487134639133539,0.00024663055570009636,0.24663055570009637
KR,25,0.29981525054107033,0.003952412007186285,0.11000029228381523,0.03593092277417356,0.00014201381060192672,0.14201381060192672
WEC,25,0.14996858940292826,0.005457066315829124,0.23974686865711511,0.022761783486039168,0.00012421256194985997,0.12421256194985997
UHS,25,1.1539116242260437,0.005926553568018729,0.11162966451225569,0.053091206480944494,0.00031464787920006067,0.31464787920006065
EBAY,25,0.41334693859506855,0.013969166286373232,0.2279042858222292,0.06129400434913065,0.0008562261391106901,0.85622613911069
PVH,25,0.38633136270281565,0.006524201760728476,0.10602254262623954,0.06153598658474165,0.00040147319202433535,0.40147319202433535
