Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.24697487253318734,0.008691778122046205,0.2750222674737866,0.03160390684683251,0.00027469414610248506,0.27469414610248505
EMR,25,0.36478004772340833,0.000179526941074073,0.0038758220376907803,0.04631970697525508,8.315635304714947e-06,0.008315635304714948
MNST,25,-0.3227132965119253,0.014659043964085107,0.24574563829617,0.0596512884856096,0.0008744308604248748,0.8744308604248748
FE,25,0.09550676095562316,-0.0007911971934754037,-0.025662748623659668,0.030830570999162678,-2.4393061247781683e-05,-0.02439306124778168
PAYX,25,0.3655940547292913,0.0034647353607551775,0.1055248211776718,0.03283336870025692,0.00011375893354849241,0.11375893354849241
URBN,25,0.8927884852653208,0.0026854900185581156,0.042633316579507176,0.06299040830074587,0.0001691601127565533,0.1691601127565533
MDT,25,0.3352196574406924,0.005023712413047518,0.19812952190983374,0.025355698457364403,0.00012737973708175135,0.12737973708175135
TDC,25,0.29838454868647385,0.008094147811847953,0.12009408928485521,0.06739838621573765,0.0005455325003101962,0.5455325003101962
XRX,25,0.5568670042351609,-0.008118483342554923,-0.1725440927222276,0.04705164468090236,-0.0003819879935817187,-0.3819879935817187
AES,25,0.4907814336160199,-0.005572936591450716,-0.1562772095384117,0.0356605842138545,-0.00019873417463789952,-0.19873417463789952
WFC,25,0.49110191548532167,0.005700740467621831,0.14481949751211004,0.0393644541346729,0.0002244065366713733,0.2244065366713733
FSLR,25,-0.43479630673150527,-0.03146025691513902,-0.19097579541092585,0.16473426303812716,-0.00518258223790557,-5.18258223790557
WDC,25,0.23597247911070712,0.012725989959122108,0.15914966397526473,0.07996240545691632,0.001017600768951968,1.0176007689519682
XOM,25,0.3502324729485904,0.003281933392310645,0.1023191466089662,0.03207545704865222,0.00010526951356159757,0.10526951356159757
CAG,25,0.09782575414586651,0.0047168403876408655,0.18198079766033745,0.025919440118318024,0.0001222578619751214,0.1222578619751214
BIIB,25,0.7167340765361953,0.00476001522641958,0.17920759573918507,0.026561459109954274,0.00012643294979930341,0.12643294979930342
NDAQ,25,0.2699645783730287,-0.004770317685073078,-0.14192757711770163,0.033610928770502556,-0.00016033480792565987,-0.16033480792565988
PRU,25,0.8047824617018878,-0.008828404294320354,-0.15886101090538063,0.05557313430152254,-0.0004906220975164034,-0.4906220975164034
HD,25,0.2078350359414581,0.020783470954861563,0.6388955186465656,0.03253031262277314,0.000676092807547972,0.676092807547972
CMCSA,25,0.2814319191463543,0.01661210247510745,0.43073915124527734,0.038566502318355456,0.0006406706886189898,0.6406706886189898
CL,25,0.06051240737304756,0.007423900620650081,0.335450501038799,0.02213113588341731,0.00016429935342059305,0.16429935342059304
AXP,25,0.611812911881185,-0.0025372215505537997,-0.06873931112421086,0.03691077942240474,-9.365082499826304e-05,-0.09365082499826304
XEC,25,0.7626037524156675,-0.013226036434364055,-0.15448053267079434,0.0856162016384899,-0.001132363002242527,-1.132363002242527
ETR,25,0.2011131982187378,-0.00043203026170302635,-0.018536198384810954,0.02330738227624081,-1.0069494464416795e-05,-0.010069494464416795
AMAT,25,0.6078155484877754,-0.007646793896700423,-0.1295780072765517,0.05901305366102955,-0.00045126065856081535,-0.4512606585608154
AVGO,25,-0.01847662433976755,0.0035622396853244786,0.055372998323495466,0.06433171027715462,0.00022916497137407679,0.2291649713740768
IP,25,0.856122282385622,0.002151714004682285,0.059813291131665135,0.0359738440064397,7.740542395091217e-05,0.07740542395091217
FAST,25,0.7402152131955563,-0.004225982768010736,-0.09007330134248091,0.046917151975395095,-0.00019827107577216055,-0.19827107577216055
LRCX,25,0.38493160108252455,-0.014905296646478376,-0.22994359776501913,0.06482153359064251,-0.0009661841872481892,-0.9661841872481892
MTB,25,0.5014551962852938,0.003308016135263268,0.09641343296289351,0.03431073900808427,0.00011350047825154958,0.11350047825154957
ORCL,25,0.31367996764728184,-0.002702335464907749,-0.045935224399676636,0.058829264474579826,-0.00015897640776409462,-0.1589764077640946
CMS,25,0.26009740067492865,0.003078656395433748,0.13048110501937585,0.02359465299574664,7.263982934339544e-05,0.07263982934339544
F,25,0.7403010027426614,-0.013050522528944467,-0.22018782198293851,0.05926995603760366,-0.0007735038965582947,-0.7735038965582947
GLW,25,0.6443247097032742,-0.009201876702432082,-0.1655078168975844,0.05559783746121289,-0.0005116044452399405,-0.5116044452399405
VFC,25,0.4795163347872947,0.0022369594528994265,0.062115621401224654,0.03601283223828979,8.055924550112357e-05,0.08055924550112356
DIS,25,0.4347171416951958,0.014111255889320369,0.4239842637121966,0.03328249913279608,0.00046965786189896876,0.46965786189896874
EQR,25,0.5345233552694185,-0.0054295098447388205,-0.15240173411482502,0.03562629963677467,-0.0001934333446094831,-0.1934333446094831
DE,25,0.5847728313383288,-0.0013089999475446815,-0.03040567984237017,0.043051165253690404,-5.635397305881815e-05,-0.05635397305881815
RRC,25,0.4820671845599124,-0.002387600214025447,-0.032661615802530373,0.07310110523804746,-0.0001745362145118588,-0.1745362145118588
CHRW,25,-0.0239441780363928,-0.004442937489569444,-0.08948947494269244,0.04964759813838026,-0.0002205811750360878,-0.22058117503608782
NOC,25,0.3606044204665377,0.0038009059135372695,0.14024104644366295,0.027102663663196164,0.00010301467459005397,0.10301467459005396
GE,25,0.4306249118675624,0.008838213520112955,0.19403740406442382,0.04554901959613165,0.00040257196082242065,0.40257196082242064
ABC,25,0.492610256524964,-0.007564521992740551,-0.25096664148759795,0.03014154370438259,-0.0002280063702469526,-0.22800637024695258
CAM,25,0.5846758180899535,0.00051483721937284,0.010564984940082976,0.04873052089450461,2.5088285875916832e-05,0.025088285875916834
NSC,25,0.6649618658002666,-0.010395803214903698,-0.20521250922521522,0.050658720826295155,-0.000526638092828908,-0.526638092828908
TGNA,25,0.7060877631104391,0.013290042750223165,0.17951442267058748,0.07403328686637428,0.0009839055473936495,0.9839055473936494
CMG,25,0.5205629308596897,-0.00829218679560148,-0.09654788271506942,0.08588678034580262,-0.0007121892259001892,-0.7121892259001892
AME,25,0.4695834113263978,0.010249973938446257,0.238504699492958,0.04297598311579137,0.00044050270691596793,0.44050270691596793
STX,25,1.4342581501958218,0.017921163264530186,0.17709534985944556,0.10119499624780433,0.001813532049310421,1.813532049310421
MOS,25,0.8183722125237265,-0.00967824215500354,-0.17587131224495262,0.055030249285476056,-0.0005325960784350478,-0.5325960784350479
MU,25,0.5581547235969305,-0.004122854068286681,-0.051547962211508334,0.0799809321534389,-0.00032974971151416654,-0.32974971151416654
VNO,25,0.5209219499021679,-0.005727594179549984,-0.16190736179457116,0.03537574892250535,-0.00020261793362576325,-0.20261793362576325
A,25,1.0606727859165093,-0.012814743027715588,-0.26382590320178095,0.04857272493790929,-0.0006224469882352201,-0.6224469882352202
TSN,25,0.29833896181787467,-0.008055819909294538,-0.17007374145661258,0.04736662955903545,-0.00038157703743785693,-0.3815770374378569
