Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.8160110633660501,-0.0037260540468128673,-0.1306098550666807,0.02852812327913994,-0.00010629732919221574,-0.10629732919221574
EMR,25,1.0072055483934015,-0.0020280657337691,-0.05564029410434171,0.03644958687612053,-7.392215815349994e-05,-0.07392215815349994
MNST,25,0.25037920437696864,0.02482737075148265,0.6140460297106334,0.040432426154082365,0.0010038308345093467,1.0038308345093467
FE,25,0.4968290517069885,0.008594472813797502,0.22931820059697702,0.037478371936565766,0.0003221068487142057,0.3221068487142057
PAYX,25,0.5980262802860848,0.0018667434702235501,0.07775821080582311,0.024007027050624404,4.481496098623324e-05,0.044814960986233235
URBN,25,0.5096260479257334,-0.008728138157200017,-0.12128248983943941,0.07196536094167276,-0.0006281236128316858,-0.6281236128316857
MDT,25,0.8803765203814965,0.001176505258549687,0.0340990370236655,0.03450259483085009,4.059248425210438e-05,0.04059248425210438
TDC,25,0.4698150007699962,0.015387673600408647,0.37008270304328933,0.04157901321480761,0.0006398042839765373,0.6398042839765373
XRX,25,0.9772783615348211,-0.005291607481385355,-0.12510277526722197,0.04229808227741054,-0.0002238248486273989,-0.2238248486273989
AES,25,1.220003700706456,-0.0022986065140295896,-0.06578790616008416,0.034939651498199456,-8.031251053168497e-05,-0.08031251053168498
WFC,25,1.0148212301224113,-0.0008576633222395578,-0.019589819081281375,0.043781074173322984,-3.754942152670869e-05,-0.03754942152670869
FSLR,25,0.9832625680669673,-0.013934014328306023,-0.2287133445324544,0.060923486370200786,-0.0008489087320127344,-0.8489087320127344
WDC,25,0.9133351370877092,0.002119837034456939,0.033496512343447395,0.06328530602594579,0.00013415453545074076,0.13415453545074077
XOM,25,0.9246565621905591,0.007286177843463689,0.24443250574048533,0.029808547031790627,0.00021719037492887817,0.21719037492887816
CAG,25,0.6039227731148067,0.004308162001147936,0.18924190810254882,0.02276536970243068,9.807690069409635e-05,0.09807690069409634
BIIB,25,0.9025702875653699,0.018996320487776844,0.3551592786486296,0.05348676391070866,0.001016051709101878,1.016051709101878
NDAQ,25,0.7046578492693469,0.007225587090521205,0.1588236438420375,0.04549440445849243,0.0003287237815462332,0.3287237815462332
PRU,25,0.9251191630046074,-0.0035346829972656346,-0.10043621709781186,0.0351933107339488,-0.00012439719706877498,-0.12439719706877497
HD,25,1.1192063070310636,0.006027886342472045,0.16082121328299478,0.037481910622480255,0.0002259366971310066,0.22593669713100661
CMCSA,25,1.1040616400617935,0.005458202125084565,0.15152448234617422,0.036021915670463776,0.00019661489666214236,0.19661489666214235
CL,25,0.36972043029863616,0.006792160349600696,0.25937217256391576,0.026186927774323743,0.00017786581250661893,0.17786581250661893
AXP,25,0.8946053691066984,0.005229201770346201,0.11058471870221584,0.04728683883012329,0.0002472724213245562,0.24727242132455618
XEC,25,1.3151269670373058,-0.0046268365746526905,-0.0717455871423124,0.06448949348585072,-0.0002983823471411605,-0.2983823471411605
ETR,25,0.4825692400507876,-0.007864079781313323,-0.2772782359833398,0.028361691473635292,-0.00022303860448166175,-0.22303860448166174
AMAT,25,0.7243217528868733,0.0015467788137793047,0.037459104162156955,0.041292466768117146,6.38703127656096e-05,0.0638703127656096
AVGO,25,0.7349591598208709,0.017294139784167554,0.29567642767616764,0.05849008634231924,0.0010115357291920985,1.0115357291920986
IP,25,1.2686031782209495,0.007640833336653767,0.16973027865518125,0.04501750304774227,0.00034397123802010167,0.34397123802010166
FAST,25,0.7201823133851727,0.012307518763091866,0.3573309121429136,0.03444291648120693,0.0004239068408480604,0.4239068408480604
LRCX,25,0.7917641923915134,-0.0015026137856007718,-0.025459743343746684,0.05901920397676898,-8.868306951067696e-05,-0.08868306951067696
MTB,25,0.8837163263045922,-0.007266671989707731,-0.1763671728176017,0.04120195313910768,-0.00029940107879720436,-0.29940107879720435
ORCL,25,0.9025664573928474,0.005171186500546402,0.13844386280440216,0.037352226352224925,0.00019315532867797912,0.19315532867797913
CMS,25,0.5361021979814857,0.004453944286239053,0.21868954854584077,0.02036651644239613,9.071132953920397e-05,0.09071132953920397
F,25,0.9488411884416578,-0.005993038798595209,-0.11992164754430663,0.04997462027346649,-0.0002994998382439474,-0.2994998382439474
GLW,25,1.070354052553327,-0.005931682058956934,-0.14324562916977598,0.04140916615282308,-0.0002456260079450674,-0.2456260079450674
VFC,25,0.47970857133477035,0.017309207922448878,0.4939559900381465,0.03504200429093318,0.0006065493382911082,0.6065493382911082
DIS,25,1.0119801806505428,-0.002027126083036709,-0.060278856880643175,0.033629139435251344,-6.817050569927639e-05,-0.06817050569927639
EQR,25,0.5500567811007665,0.010043342218024394,0.4485516282564351,0.022390604749477485,0.00022487650596752473,0.22487650596752473
DE,25,1.0074920988690945,0.004580511999629051,0.15739375033106207,0.029102248278565068,0.00013330319745615118,0.13330319745615118
RRC,25,0.7572307400706023,0.02168945130196473,0.38684276275128987,0.0560678740574226,0.001216081423973159,1.216081423973159
CHRW,25,0.7519185999380361,0.00011279645074206202,0.004091759705580451,0.027566733840266137,3.1094297357331136e-06,0.0031094297357331137
NOC,25,1.1017588557460998,0.0006100071799537924,0.028280218269836177,0.021570101550610347,1.3157916818204742e-05,0.013157916818204742
GE,25,0.9719887975223818,0.001829215242204835,0.04973554909639177,0.03677882873394357,6.727639411057074e-05,0.06727639411057074
ABC,25,0.6918060939687506,0.011817526049348881,0.4370625314000909,0.027038524696895178,0.0003195284699415218,0.3195284699415218
CAM,25,0.6420697499058609,0.007168531412252101,0.15551339758797497,0.046095908927697465,0.00033043997112451134,0.33043997112451134
NSC,25,0.6278331426521016,0.006900445598018844,0.22743354315588493,0.030340492006006425,0.00020936291450457297,0.20936291450457298
TGNA,25,1.487251737937727,-0.009403717511360599,-0.14441566329786512,0.06511563425059318,-0.000612329030065655,-0.6123290300656551
CMG,25,0.4587580212824865,0.025487635521631132,0.4473252498955419,0.05697786013104096,0.0014522309318224498,1.4522309318224498
AME,25,1.0097252324580666,0.007588380579216904,0.24289763684169713,0.031241063840248287,0.0002370690821194156,0.23706908211941558
STX,25,1.1028438291610028,-9.529973315284103e-05,-0.0012216263523270278,0.07801054141580062,-7.434383780034453e-06,-0.007434383780034453
MOS,25,0.9388370399831315,0.003988474282706159,0.0707598883796144,0.056366316765632724,0.00022481560483059515,0.22481560483059515
MU,25,1.4341270798040666,-0.013132757479779617,-0.1897234430870628,0.06922053103238847,-0.0009090564466699168,-0.9090564466699168
VNO,25,0.8876417159282495,-0.000539287978887286,-0.020920995423648867,0.02577735752848933,-1.3901419042593976e-05,-0.013901419042593975
A,25,1.2798935510654208,0.0040453444782263225,0.08375261477535899,0.04830111261692227,0.00019539463921705425,0.19539463921705424
TSN,25,0.3427737502202464,0.0014889761665505424,0.03202171506982861,0.04649895120556739,6.923583011468646e-05,0.06923583011468645
XEL,25,0.5962548328040275,0.003586187222826097,0.17439840296547637,0.020563188434334533,7.374344362377589e-05,0.07374344362377588
SYMC,25,0.8262261843530644,0.004630692941800615,0.16197212941447833,0.028589442878477634,0.00013238893134737825,0.13238893134737825
TWX,25,0.9279822327736794,-0.0017573519844021376,-0.04632833654222647,0.037932550908672924,-6.666084361279147e-05,-0.06666084361279147
NVDA,25,1.0144073536917457,0.008017761466908717,0.0784242846167309,0.10223569785931105,0.0008197014388389061,0.8197014388389061
NUE,25,0.9305982443406638,-0.004221363858282421,-0.10572555936501843,0.03992756230031496,-0.0001685487684438693,-0.1685487684438693
AFL,25,1.0931164286134825,-0.01219619123608709,-0.32648895328238065,0.0373556015095512,-0.00045559605974955004,-0.45559605974955003
FTI,25,0.8843784914077194,0.009099095473334847,0.18349272376985656,0.049588317653114534,0.00045120883668774495,0.4512088366877449
SPG,25,0.669531016458306,0.009504307210474933,0.3711971263586308,0.025604474107087726,0.0002433527878764126,0.2433527878764126
EL,25,0.6539998441159129,0.0184789716544368,0.5830204905455804,0.031695235337517044,0.0005856953553826811,0.5856953553826811
EXPD,25,0.9427156369848634,0.0013163948737525033,0.029746533965611995,0.04425372298077822,5.82553740763598e-05,0.0582553740763598
TXT,25,1.5237368048172766,-0.008041259809589236,-0.15834650056787591,0.050782680897594676,-0.0004083567309250231,-0.4083567309250231
FOSL,25,1.5450569841733464,0.02478404781621377,0.40115420673063684,0.061781846981491396,0.0015312042497632851,1.5312042497632852
CCI,25,0.4528198377203845,-0.00015504815312126867,-0.0052120890881561,0.029747794118408024,-4.612340537490903e-06,-0.004612340537490903
CVS,25,0.5729388145501308,0.008306960856707547,0.2696755552017638,0.030803536681300273,0.00025588377345971646,0.25588377345971647
KR,25,0.41189596794207917,0.003918856538849205,0.09503345309993148,0.04123660049191699,0.00016160032147766125,0.16160032147766124
WEC,25,0.4766665896349637,0.004627158563118577,0.21970613513010667,0.021060670701700902,9.745106278239586e-05,0.09745106278239586
EBAY,25,0.739808377731415,0.007451984791147716,0.14760984270528418,0.05048433528939021,0.0003762084987677378,0.37620849876773776
PVH,25,0.876884919757638,0.007513407618695878,0.13344451386065997,0.05630360815388203,0.0004230319584634446,0.4230319584634446
WM,25,0.9804968233603775,-0.001218899717393252,-0.039306880910351956,0.03100983057325822,-3.7797873722157074e-05,-0.03779787372215707
GMCR,25,-0.37661090596312474,0.045452774512547596,0.386837609296643,0.11749833371990606,0.005340625268170958,5.3406252681709585
DISCA,25,0.6328041259068152,-0.0006090447299943908,-0.014651369237282061,0.04156913392398901,-2.531746194683656e-05,-0.02531746194683656
HSY,25,0.21562330885580527,0.008385882617780659,0.3016773603525343,0.027797520529817283,0.00023310674422839578,0.23310674422839578
LUV,25,0.8836162314721764,-0.013937666472235339,-0.2646386852214836,0.052666776441133364,-0.0007340519642042985,-0.7340519642042985
JNJ,25,0.4955199799374246,0.005171847475907455,0.20184715522240504,0.025622592848578228,0.00013251614215012373,0.13251614215012372
NTAP,25,0.7712560561771785,-0.0050899685612903495,-0.09971487625151619,0.05104522767948534,-0.0002598186040924883,-0.2598186040924883
