Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.5135769282268906,-0.004097081918721096,-0.0978188136111913,0.04188439593027691,-0.000171603801242493,-0.171603801242493
EMR,25,1.0501446502149374,-0.004175708525021735,-0.129458632336604,0.03225515710813721,-0.00013468813451236394,-0.13468813451236394
MNST,25,0.13931461825483565,0.02478768417044766,0.594814357244748,0.04167297555705819,0.0010329765565511436,1.0329765565511435
FE,25,0.2293815981216079,0.008706765163028499,0.2016597048507218,0.043175532610610856,0.0003759192232292675,0.37591922322926746
PAYX,25,0.617916401762198,0.0006143375746913387,0.02770133576551858,0.02217718235291886,1.362427642017973e-05,0.01362427642017973
URBN,25,0.6659932018644322,-0.01036136978842584,-0.15098457760362152,0.06862535202520785,-0.0007110526491940767,-0.7110526491940767
MDT,25,0.7504373672154374,-2.0862300833182114e-05,-0.0005126285751001948,0.0406967185336957,-8.490271849732978e-07,-0.0008490271849732978
TDC,25,0.5910521674941229,0.013975048670572188,0.3738284793625546,0.03738358483120971,0.0005224374174966199,0.5224374174966199
XRX,25,0.9916624383864878,-0.007264698889544786,-0.1787102866851968,0.04065070357333015,-0.0002953151211083858,-0.29531512110838576
AES,25,1.1101983635339097,-0.004243109412113752,-0.10159305221749691,0.04176574401003163,-0.00017721662151289877,-0.17721662151289877
WFC,25,0.9010566695158618,-0.0023840970579741662,-0.048874046039556,0.04878043156166378,-0.00011629728337287278,-0.11629728337287278
FSLR,25,0.993834440466521,-0.015903354661062963,-0.26533557344501063,0.05993676028653146,-0.0009531955560718236,-0.9531955560718236
WDC,25,1.0441986808333281,-0.0002008176784618768,-0.003486565913675504,0.05759755686080713,-1.156660765386323e-05,-0.01156660765386323
XOM,25,0.8930199381713795,0.005603002423822526,0.17993400554227612,0.03113920799426699,0.00017447305786779172,0.17447305786779171
CAG,25,0.4640188907761394,0.0036928784941193614,0.125966257861203,0.029316410257962822,0.00010826194096641115,0.10826194096641115
