Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
RTN,25,0.6540147298961178,0.006479053723632549,0.19707941710231605,0.03287534446212043,0.0002130011229530041,0.2130011229530041
EMR,25,0.7671035134451073,0.0012893713021700616,0.0443531905973353,0.029070542272274003,3.7482722944391754e-05,0.037482722944391755
MNST,25,0.1321963221159406,-0.0023047028155300806,-0.03743510343916419,0.061565285087977775,-0.00014188968588117447,-0.14188968588117448
FE,25,0.11694492905694803,-0.0054026804358686,-0.14326995462038844,0.03770979372600259,-0.00020373396480411466,-0.20373396480411465
PAYX,25,0.5137698243406094,0.0033030631413243543,0.15480457671977682,0.02133698635605246,7.047741317961752e-05,0.07047741317961752
URBN,25,0.4161479240258957,0.0016164476986969632,0.03547117616505462,0.045570738652005845,7.36627156219556e-05,0.0736627156219556
MDT,25,0.4294785185109016,0.0071486145698484195,0.24908678731688938,0.028699292511063297,0.0002051601805889287,0.2051601805889287
TDC,25,1.2397143163451516,-0.020406044985197526,-0.38005750696818497,0.053691992951229194,-0.0010956412235076914,-1.0956412235076913
XRX,25,0.7125920131771042,0.007063390365918008,0.18423623476589351,0.038338768564681984,0.0002708016885209349,0.2708016885209349
AES,25,0.3015204125152225,0.002827718589612741,0.07362082819937954,0.03840922003695379,0.00010861046551102039,0.10861046551102038
WFC,25,0.5998184552154422,0.003859064693033482,0.17789161852218827,0.02169334747242262,8.371603130453326e-05,0.08371603130453326
FSLR,25,0.9438308473055966,0.006814708574319521,0.0527468383677383,0.12919653168231635,0.0008804367122278249,0.8804367122278248
WDC,25,0.8566108878555115,0.008397868436068516,0.149832463950939,0.056048390413030294,0.0004706870087420323,0.4706870087420323
XOM,25,0.3494851472622347,-0.0014522532523087977,-0.08088325353868366,0.017954931197398424,-2.607510722640256e-05,-0.02607510722640256
CAG,25,0.4034267974786036,0.009814885749333445,0.33396714387685467,0.029388776498781976,0.00028844748364824087,0.28844748364824085
BIIB,25,0.3107250344559897,0.011840130567168502,0.2774800920015354,0.042670198361844956,0.0005052207199312238,0.5052207199312239
NDAQ,25,0.9260598017457695,0.0034688846911012094,0.08646691304939343,0.04011805867430055,0.00013916491957198128,0.13916491957198127
PRU,25,0.5908902757128263,0.010521204816091515,0.2321307855046404,0.045324469967302945,0.00047686803170678295,0.47686803170678294
HD,25,0.23186170167091502,0.010037572599417332,0.34529989718574045,0.029069144477671293,0.000291783648097577,0.291783648097577
CMCSA,25,0.2343278875411248,0.007274998506496102,0.2674904566185157,0.02719722639253413,0.00019785978138652218,0.1978597813865222
CL,25,0.5312681993075651,-0.00043858177775631633,-0.01819431426094602,0.02410543049142167,-1.057220255850903e-05,-0.01057220255850903
AXP,25,0.5905242878981322,0.004675053440777749,0.17675078224337856,0.026449973128494515,0.00012365503788284727,0.12365503788284728
XEC,25,0.5775114145850904,0.010660105373201815,0.2562278565320479,0.041604006361691176,0.00044350309176298657,0.4435030917629866
ETR,25,0.04296469515976521,-0.0021891508163730533,-0.06758762188455353,0.032389818658101976,-7.090619795755909e-05,-0.07090619795755909
AMAT,25,0.7597481995321346,0.0050515354972180855,0.1144789864513033,0.044126312206361915,0.0002229056324717649,0.2229056324717649
AVGO,25,0.13705206653637303,0.001867891542449801,0.04255609216582808,0.04389245927871382,8.198635346403183e-05,0.08198635346403182
IP,25,0.26547176839534337,0.011522295016990362,0.3447019795625705,0.033426831582494085,0.00038515381497674766,0.38515381497674767
FAST,25,-0.05088167715554982,0.0014020993008678011,0.03561782734178268,0.03936509903912701,5.5193777841351725e-05,0.055193777841351724
LRCX,25,0.4832279695349499,0.008229279019581481,0.17368178357323114,0.04738135946255809,0.0003899144273444778,0.3899144273444778
MTB,25,-0.06131315958520199,0.011976657901031012,0.39356818507046426,0.030430960518027433,0.00036446120372419605,0.36446120372419605
ORCL,25,0.7059710353930567,-0.005187571885156798,-0.12179262107992218,0.04259348258670477,-0.0002209567527577053,-0.2209567527577053
CMS,25,0.5233418295995516,0.0032257107181184923,0.12501604993070026,0.025802372734593598,8.323099028286693e-05,0.08323099028286693
F,25,0.27698910542453636,0.020335556906479483,0.48805171381164714,0.04166680769884059,0.0008473177390711103,0.8473177390711103
GLW,25,0.8659541410886772,0.002123870959695397,0.042627222342835884,0.04982428699233188,0.00010582035623054279,0.10582035623054278
VFC,25,0.5001971030293286,0.00470223415214651,0.20589414965999234,0.022838114438470662,0.00010739016168320707,0.10739016168320707
DIS,25,0.3249616899934076,0.006092853425165915,0.18863951772913887,0.03229892388674593,0.00019679260903253311,0.19679260903253312
EQR,25,0.3310872651209836,-0.007728635413371186,-0.22501699288059995,0.034346896714028206,-0.0002654546422834408,-0.26545464228344084
DE,25,-0.14608854159016108,0.007339517287087879,0.213161784633365,0.03443167498204116,0.0002527118737540823,0.2527118737540823
RRC,25,0.6866049818845789,0.0005839807230999415,0.014514748012784455,0.04023361084777887,2.3495653155807554e-05,0.023495653155807553
CHRW,25,0.3555820669236805,-0.0009751022801281436,-0.02394618293825965,0.040720572570678425,-3.9706723161792075e-05,-0.03970672316179207
NOC,25,0.28970915235673855,0.011769245085403206,0.35787671604303145,0.0328863112848841,0.0003870470574666622,0.3870470574666622
GE,25,0.769672905792639,-0.0005965979301425332,-0.01997591278529379,0.029865865783202,-1.7817913708173022e-05,-0.01781791370817302
ABC,25,0.32451513283916283,0.014763160118724958,0.6044253824958934,0.024425116062734613,0.000360591899352592,0.360591899352592
CAM,25,0.8130996704230076,-0.004293730599769643,-0.10481742796834424,0.04096389963953691,-0.00017588794936817227,-0.17588794936817226
NSC,25,0.9375399315925933,-0.00679841989422049,-0.1583025121489914,0.04294574862982555,-0.0002919632318571984,-0.29196323185719836
TGNA,25,0.5872325435277623,0.016111856833379252,0.28384236480753494,0.05676339698023662,0.0009145637255218446,0.9145637255218446
CMG,25,0.8991295703433686,0.005297461950893254,0.09026871006828999,0.05868547303806185,0.0003108840604893046,0.31088406048930456
AME,25,0.4753831857308355,0.005714033859265015,0.22832032819516007,0.0250263912303983,0.00014300164686570894,0.14300164686570893
STX,25,0.17797286046839003,0.006023048488230844,0.08126650249549619,0.0741147742707968,0.00044639687912729294,0.4463968791272929
MOS,25,0.31772244817273654,-0.014432156271897686,-0.21448803134996092,0.06728653426983079,-0.000971089777576597,-0.9710897775765971
MU,25,1.283077815941027,0.019893175468422803,0.2513372927283164,0.07914931864061406,0.0015745312839238433,1.5745312839238432
VNO,25,0.39083366999130376,-0.0010016495415847045,-0.030338511972040953,0.03301577686169296,-3.3070237758577644e-05,-0.03307023775857765
A,25,0.4242893561351207,0.006378325004665796,0.17554909216187953,0.03633356872494752,0.00023174730990707594,0.23174730990707595
TSN,25,0.5712267836581896,0.019991775456152168,0.43132356087017354,0.04634983402209647,0.000926615474199675,0.9266154741996749
XEL,25,0.22108752252732894,-0.0003485051033941136,-0.01290890007099065,0.02699727331357123,-9.408687527505285e-06,-0.009408687527505285
SYMC,25,0.9577530169470263,0.0069996441709182615,0.16161715892932108,0.043310031046761364,0.0003031548063587521,0.3031548063587521
TWX,25,0.2947325914680638,0.014091701517728414,0.5940096993843177,0.02372301585703778,0.00033429765855771455,0.33429765855771454
NVDA,25,0.8554195621685746,-0.004704325274729394,-0.17655104458662504,0.026645694936238168,-0.00012535001615127426,-0.12535001615127425
NUE,25,0.3322721761711067,0.005710811389903645,0.17441982370191225,0.032741756462634435,0.000186981995732264,0.18698199573226398
AFL,25,0.575388769640775,0.005320023009564299,0.1490594681478037,0.035690607753202874,0.00018987485447237326,0.18987485447237326
FTI,25,1.2272780010954485,-0.004158475630196044,-0.1101164109624715,0.03776435858968636,-0.00015704216488519537,-0.15704216488519537
SPG,25,0.557015280367263,-0.006910370758675993,-0.2692367473958108,0.02566652147419128,-0.00017736517947218087,-0.17736517947218086
EL,25,0.16128087735322535,0.0028121588969661653,0.08843177559207534,0.03180032152626111,8.942755710645985e-05,0.08942755710645985
EXPD,25,0.1632305915981045,0.0031866929484953826,0.08133150764271907,0.039181530514523305,0.00012485950700188807,0.12485950700188807
TXT,25,0.9249179449332257,-0.006925518303151331,-0.1519916600002969,0.04556512050159727,-0.00031556207601910786,-0.31556207601910785
FOSL,25,0.24772348269035493,0.008956055013466097,0.18400254528941293,0.048673538724039636,0.0004359228905125714,0.4359228905125714
CCI,25,0.3429614668197614,0.0016759781263204782,0.0466465590043824,0.035929298153868576,6.021671779993047e-05,0.06021671779993047
CVS,25,0.37597482691240425,0.006894466233720099,0.2607646896811247,0.026439416479857664,0.0001822856641596414,0.1822856641596414
KR,25,0.13870040170307926,0.0194555247682151,0.48143003058116496,0.04041194676769352,0.0007862356312706515,0.7862356312706514
WEC,25,0.44618852697502537,0.0004305082428652197,0.017990371520925533,0.023929925091567637,1.0302030003067116e-05,0.010302030003067116
EBAY,25,0.7257170909461742,-0.0030398080960452726,-0.07066897155761932,0.043014749317057656,-0.00013075658322334973,-0.13075658322334974
PVH,25,1.112080170791843,0.003697646188874233,0.08494695743609378,0.04352888320521661,0.0001609544090897208,0.1609544090897208
WM,25,0.4901635275389712,0.00493019596994607,0.1795445658168777,0.027459455247308952,0.00013538049559719704,0.13538049559719703
GMCR,25,0.7599207184702254,0.04335300329684057,0.3571236883409946,0.12139492481788425,0.005262834575849449,5.262834575849449
DISCA,25,0.12133334871993554,0.01415428486099317,0.37078515924873756,0.038173817122755735,0.0005403230817869433,0.5403230817869433
HSY,25,0.2239516030164828,0.008143165963936033,0.36540397679854303,0.02228537859735877,0.00018147353648744047,0.18147353648744047
LUV,25,0.7031071071945594,0.008676323826308728,0.24461423000690494,0.03546941576564787,0.000307744137112741,0.307744137112741
JNJ,25,0.26428910346402856,0.00904744913644296,0.3976291091867302,0.0227534879298643,0.00020586102472211606,0.20586102472211606
NTAP,25,0.6691525018106119,0.0018183035341480351,0.03623280728143232,0.05018389880818961,9.124956056025854e-05,0.09124956056025854
STT,25,0.42126510608976014,0.016763337263945306,0.4697008328462426,0.03568939225073253,0.0005982733190442655,0.5982733190442655
AEP,25,0.3430625280621774,-0.001007036552886143,-0.03692066017569448,0.027275691932212326,-2.746761878099948e-05,-0.02746761878099948
CLX,25,0.4037912139499436,0.003087934432042619,0.13340857034462117,0.023146447218989483,7.147471134697475e-05,0.07147471134697475
PKI,25,0.47011902572460024,0.008038284159514845,0.18331275194023702,0.043850109031888074,0.00035247963682402477,0.3524796368240248
PM,25,0.7311135410177367,-0.008400210650759372,-0.2915738196479702,0.028809893360457785,-0.00024200917305375918,-0.24200917305375919
