Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.4986529041904643,-0.0009894018595465706,-0.02105657993964885,0.046987775905789876,-4.648979285714605e-05,-0.04648979285714605
NRG,25,0.470932472609118,-0.014782808471330735,-0.24273495312093588,0.06090102921422122,-0.00090028825058075,-0.90028825058075
LRCX,25,0.4286644192914385,-0.012742374386367902,-0.21613017648910612,0.05895694249345219,-0.0007512514339271305,-0.7512514339271306
SBUX,25,0.5759656451392973,0.013283810384510507,0.37857819132173104,0.03508868363001235,0.00046611141998316186,0.46611141998316186
CAG,25,0.19596189963765676,0.003758163753405987,0.12471555624021455,0.03013388118293271,0.00011324806001114044,0.11324806001114043
KSU,25,0.7814034331182398,0.005450880257273721,0.12108226026036406,0.04501799227692524,0.0002453876853243926,0.24538768532439262
GILD,25,0.4922349595726742,0.000611825954348894,0.011989300116588235,0.051030998340126615,3.122208926082479e-05,0.031222089260824794
CI,25,0.5355651261308849,-0.0008071893048737346,-0.017442317215980014,0.04627764160453505,-3.7354817357960464e-05,-0.037354817357960465
L,25,0.3839152574307263,-0.005875342282662508,-0.23048134121655353,0.025491617896922114,-0.00014977198048326282,-0.14977198048326282
OKE,25,0.5583608499846837,0.005884281406844164,0.13195478109262196,0.04459316561416488,0.00026239873529575295,0.26239873529575297
ISRG,25,0.5095089896954852,0.015321642174151676,0.29199715929715203,0.05247188777805727,0.0008039554887376362,0.8039554887376361
WHR,25,0.6011223732887475,-0.0070898423541208904,-0.09697508078112506,0.07310994017239154,-0.0005183379503414659,-0.5183379503414659
PFG,25,0.6614915826395079,-0.006658550495362554,-0.15674607734492058,0.042479854093639476,-0.00028285425351813213,-0.28285425351813215
CHRW,25,0.4349454605814788,-0.007073441674300564,-0.1396854667479084,0.05063835085339312,-0.0003581874212442444,-0.3581874212442444
FIS,25,0.22188225538981204,-0.0007687574670139786,-0.01828778322780893,0.0420366677271734,-3.2316002203650084e-05,-0.032316002203650086
SRCL,25,0.4418863376787313,-0.004593879512459436,-0.1026371110343257,0.04475846471285684,-0.00020561499405353167,-0.20561499405353167
MUR,25,0.7902633514031746,-0.015440857930717993,-0.25541330682947166,0.06045439888152414,-0.000933467784416571,-0.933467784416571
AMZN,25,0.4352849880865748,0.002118339008382429,0.02874769470090399,0.07368726537630221,0.00015609460866764893,0.15609460866764893
BWA,25,0.6607649160868747,-0.0014158628946482205,-0.024141810173119883,0.0586477519496313,-8.303717584001579e-05,-0.0830371758400158
IP,25,0.8004444484458008,0.0027374473368127258,0.052754548114937745,0.0518902622547079,0.00014204686021566406,0.14204686021566407
TXT,25,0.9096702098083324,-0.005798438942151655,-0.0697825648412194,0.0830929467173527,-0.0004818093780640304,-0.4818093780640304
MO,25,0.16813118429262608,0.007366169242333131,0.3143314401900914,0.023434401719021336,0.0001726217691551336,0.1726217691551336
AIG,25,0.631615699700994,-0.012582975700327658,-0.22797378204367058,0.055194836825215574,-0.0006945152905552378,-0.6945152905552378
AZO,25,0.1873312384267868,0.011628062502522258,0.3715325846048279,0.03129755769575414,0.0003639299570625256,0.3639299570625256
BBBY,25,0.39138497637946484,0.010149498372165047,0.21096188225531512,0.04811057933149122,0.0004882982466088875,0.4882982466088875
BEN,25,0.5608443718332321,-0.002232472069759118,-0.04238210617486834,0.0526748732247508,-0.00011759518325235855,-0.11759518325235854
PM,25,0.29590028330666707,0.010836435649457363,0.3173582885577526,0.034145746432853466,0.0003700181839223049,0.3700181839223049
URBN,25,0.2071746424328316,-0.0026701894926639555,-0.04329821869752634,0.06166973083390392,-0.0001646698672881046,-0.1646698672881046
FLR,25,0.6979662570927628,-0.012640064103823949,-0.20320063826790083,0.062204844490494265,-0.0007862732219282475,-0.7862732219282474
PLL,25,0.5985911412108161,-0.002212427658446889,-0.039808311555473694,0.05557702831389435,-0.00012296015461594573,-0.12296015461594573
LNC,25,0.9949068598637735,-0.011936655694024698,-0.22230860730655863,0.05369407796956919,-0.0006409277215308641,-0.6409277215308642
EQT,25,0.556027834928795,-0.0036141706881974013,-0.040739123619948144,0.0887149837073987,-0.00032063109371919044,-0.3206310937191904
EIX,25,0.32863243766967953,0.005198854445565585,0.14506364740235508,0.0358384373939379,0.0001863188195675979,0.1863188195675979
BRCM,25,0.3764191663651139,-0.004281999070309956,-0.0687388825322511,0.06229369626864264,-0.0002667415495084985,-0.26674154950849854
MAC,25,0.6327953802959576,0.0030761046947328317,0.06185744152887412,0.04972893509177796,0.00015297141069988245,0.15297141069988246
SWK,25,0.6586049737022925,-0.002948853627254392,-0.08097793090827562,0.03641552203395494,-0.00010738404423819027,-0.10738404423819027
TGT,25,0.20384053469380126,0.0052186315384901635,0.1229619025938356,0.04244104416412785,0.0002214841716013715,0.2214841716013715
PCG,25,0.2068368594188901,-0.0004978987238031265,-0.014513704749770638,0.03430541907716531,-1.7080624378052037e-05,-0.017080624378052037
KR,25,0.21094262096687622,-0.0008531131331006102,-0.03335115231198824,0.025579719858553566,-2.1822394952366532e-05,-0.02182239495236653
XEL,25,0.273164243135696,0.003587921569489178,0.11704332843014105,0.030654644033219536,0.00010998645853180111,0.10998645853180111
DTV,25,0.47834825472213055,-0.0020816967985061224,-0.04867521497322632,0.04276707970681084,-8.902809290712428e-05,-0.08902809290712428
NDAQ,25,0.42786668906725545,-0.001962155348573289,-0.03873687911969994,0.0506534184777787,-9.938987598969453e-05,-0.09938987598969452
STI,25,0.8021223835817145,-0.01409775519914799,-0.25833581299981645,0.05457143179431342,-0.0007693346863032319,-0.7693346863032319
GME,25,0.24240639501258995,0.00037786379326729754,0.007840589422885411,0.04819328916323233,1.8210499053246712e-05,0.01821049905324671
GPS,25,0.4399134505325208,0.004186450321220909,0.059694654085601415,0.07013107597905818,0.0002936002655600961,0.2936002655600961
NUE,25,0.5911128326706273,-0.006114015568901005,-0.1543403193022422,0.03961385849492785,-0.00024219974758223021,-0.2421997475822302
ZBH,25,0.4566043728309055,-0.0013452126300559394,-0.028530625484019818,0.04714977702852682,-6.342647556309567e-05,-0.06342647556309566
AAPL,25,0.44781537338093413,0.019291252934231125,0.3751913357578155,0.05141710667509537,0.0009919004100156083,0.9919004100156082
CB,25,0.31590587219502025,0.0037263421005324098,0.12980082249442773,0.028708154762982177,0.00010697640572190051,0.10697640572190051
UAA,25,0.8452576992289261,0.007454448220849402,0.10272092322785364,0.07256991065310116,0.00054096864135521,0.5409686413552101
MOS,25,0.6378720133724681,-0.017397634872964744,-0.2120577023538344,0.08204198517597568,-0.0014273365023448111,-1.427336502344811
A,25,0.8924378743518794,-0.006235981247604514,-0.11315658225970598,0.05510931068324683,-0.0003436606279891383,-0.3436606279891383
AES,25,0.7009228343255193,-0.0050073330835477626,-0.10842202875420355,0.04618372429554476,-0.00023125729058652984,-0.23125729058652983
INTU,25,0.4548698864831578,0.0020305856334028247,0.05548997898664438,0.0365937358507841,7.430671429114009e-05,0.0743067142911401
CAH,25,0.3799072068617943,-0.0006292678393833894,-0.016051325955519717,0.03920348020638116,-2.4669489285778947e-05,-0.024669489285778945
SPLS,25,0.40211236457221566,-0.00994605040628406,-0.14983915826993122,0.0663781785824405,-0.0006602007100582781,-0.6602007100582781
CMA,25,0.7330250608229903,-0.010106573553771933,-0.2362672091215588,0.04277603138983256,-0.00043231910757979985,-0.43231910757979986
HBI,25,0.560577841934071,-0.001339856540554362,-0.02270481935921704,0.05901198857195251,-7.906759885924984e-05,-0.07906759885924984
IRM,25,0.4294750975401209,-0.004817599872827177,-0.09015369730708742,0.053437629478657475,-0.0002574411169805661,-0.2574411169805661
URI,25,1.3038543816454415,0.00026160438641474604,0.0027869810262274052,0.09386658321419096,2.4555909906597125e-05,0.024555909906597125
OXY,25,0.710216868915154,-0.006683709335553018,-0.11997747589997247,0.05570803424073828,-0.0003723363085201296,-0.3723363085201296
REGN,25,0.9814574240005352,0.030797932343583204,0.2451721501934301,0.1256175806235944,0.003868761749210069,3.868761749210069
DISCK,25,0.48388846941652497,0.006944139197846983,0.17322465329458242,0.04008747638269431,0.0002783730160918327,0.27837301609183274
DE,25,0.6365666753355836,-0.009625583992061124,-0.20953946262364115,0.04593685538532599,-0.00044216905984262073,-0.4421690598426207
FLIR,25,0.5052290881969392,-0.015467799908022883,-0.25828742626917445,0.059885996509574976,-0.0009263046113026625,-0.9263046113026625
KLAC,25,0.4755512622974913,0.0029565172948188005,0.0459652811971683,0.06432066154750159,0.00019016514827937503,0.19016514827937503
ARG,25,0.45834932599041245,0.008488664479681976,0.2509419446772502,0.033827204497835946,0.00028714778926771837,0.2871477892677184
SEE,25,0.5203459454749342,-0.014762559880493473,-0.36111186613034013,0.04088084957907492,-0.0006035059898765398,-0.6035059898765398
ADP,25,0.37651852134429914,0.0017596375625509061,0.055365839736299216,0.031782008020321675,5.592481512585218e-05,0.05592481512585218
DUK,25,0.17452451755323672,0.006611709493187124,0.22935269391852914,0.028827694936671384,0.00019060034427949258,0.19060034427949257
CTAS,25,0.6076275406590878,0.007682066753651539,0.18229368176400282,0.04214115749550077,0.00032373118495657984,0.3237311849565798
APD,25,0.5253816506184934,-0.0024956188796115986,-0.09005573956437644,0.027711935870868096,-6.915843034992431e-05,-0.0691584303499243
CAM,25,0.7573324899204552,-0.010501784145845277,-0.18420533411510454,0.05701129229668788,-0.0005987202855755078,-0.5987202855755077
DFS,25,0.5456071947834796,0.008433211482513484,0.13609522722983883,0.06196551968917617,0.0005225683321626758,0.5225683321626757
MRO,25,0.7902072113574911,-0.004566581380906566,-0.07222120714877986,0.06323047704670935,-0.0002887471191873429,-0.2887471191873429
HAS,25,0.3642211862244442,-0.011001856849712827,-0.22526727620741618,0.04883912583726898,-0.0005373210711267445,-0.5373210711267444
BKNG,25,0.48164009463097585,0.01110942077545005,0.1461331892178877,0.07602257115517863,0.0008445667313944712,0.8445667313944711
CMI,25,0.7823603707314535,-0.0008899596908797831,-0.01680781871987115,0.05294914859044872,-4.712260791190345e-05,-0.047122607911903445
ROK,25,0.8619518989936992,-0.01170686698663121,-0.21912030769722016,0.05342666368836853,-0.0006254588453392099,-0.6254588453392099
SPG,25,0.4125652337349365,0.010233597464802843,0.21735255948594698,0.04708293975928312,0.0004818278529560647,0.48182785295606473
JWN,25,0.487159145637167,0.005535251217107595,0.08679599444648245,0.06377311824591832,0.00035300023038946593,0.35300023038946593
V,25,0.39449642601774176,0.01646646781169398,0.3035503730136474,0.05424624469479292,0.000893244042172083,0.893244042172083
HSIC,25,0.38634862394350394,0.001005540761222484,0.02907240541453603,0.03458746350309629,3.477910437965833e-05,0.03477910437965833
PSA,25,0.4085810500156819,0.006945898831898096,0.13992001201173615,0.04964192564045443,0.0003448077933192046,0.3448077933192046
GS,25,0.4139274930003091,-0.011851937056492168,-0.2612795716154637,0.04536113169205272,-0.0005376172776254609,-0.537617277625461
WFC,25,0.5642824010035867,-0.0009215715399435551,-0.02652512528152186,0.03474334353419802,-3.201847660359883e-05,-0.03201847660359883
NEE,25,0.24680862383020427,0.003819522505103137,0.11454636606248562,0.033344772395656516,0.0001273611085927519,0.1273611085927519
JNPR,25,0.9572001118516231,-0.03257642280484533,-0.39794588751662086,0.08186143851903664,-0.0026667528326089892,-2.666752832608989
ADM,25,0.5928264258168201,-0.008415413374934382,-0.192005684562661,0.04382898034556896,-0.0003688389874098372,-0.36883898740983717
JPM,25,0.5123811964767884,-0.0032648958835121778,-0.08135296526514972,0.040132475477335866,-0.0001310283539811073,-0.1310283539811073
GD,25,0.447448442752142,-0.0035953397289674996,-0.10473279643877535,0.03432869025959086,-0.00012342330393372663,-0.12342330393372664
MCD,25,0.13112076480536314,0.010151843223220915,0.40346609335987427,0.025161577119606704,0.00025543638616722976,0.25543638616722975
LLY,25,0.1846206240016907,0.006091574143110965,0.19717041534638233,0.030894970385945037,0.00018819900275520178,0.18819900275520177
BXP,25,0.5096320146031592,0.0008923694210877134,0.0179493960169304,0.04971584671963358,4.4364901356084915e-05,0.04436490135608492
BA,25,0.47674931444278557,-0.0020954544243816913,-0.05624202900712546,0.03725780277443782,-7.807202766643618e-05,-0.07807202766643619
FMC,25,0.7266879307796789,0.0035731591713372753,0.08059483483319588,0.044334840796342714,0.00015841544300122996,0.15841544300122995
GOOG,25,0.4214014827741044,0.0010738690783847825,0.017336773785267382,0.06194169063319876,6.651726623386846e-05,0.06651726623386846
