Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.27217555431887097,0.0026093504762554733,0.08766995116695529,0.029763338994980463,7.766298278150538e-05,0.07766298278150538
NRG,25,0.08885507218303204,0.004883357570985943,0.13664408961451227,0.035737788474879684,0.0001745203999190979,0.1745203999190979
LRCX,25,0.24615687470107855,0.006107906694207358,0.14974983542544867,0.040787401714695797,0.0002491256439725151,0.24912564397251513
SBUX,25,0.17235318601052455,0.0070383702935741515,0.19624072010757723,0.035866003190957445,0.0002524382114084706,0.2524382114084706
CAG,25,0.21088856593704847,-0.010134667097484801,-0.270074135430668,0.03752550047535566,-0.0003803084549842373,-0.38030845498423727
KSU,25,0.2262079885284092,-0.01001503337764022,-0.19118535079833526,0.05238389518768206,-0.0005246264587554427,-0.5246264587554428
GILD,25,0.4831059470090459,0.005467231080917196,0.10184438383529887,0.05368220489957223,0.0002934930191191067,0.29349301911910675
CI,25,0.0791103956000674,0.0082710865092145,0.1865948198503686,0.04432645298431719,0.00036662792727991676,0.3666279272799168
L,25,0.19612206489587053,-0.004834279300953882,-0.20817729547892522,0.023221933447796564,-0.00011226131219481155,-0.11226131219481154
OKE,25,0.26680870563892306,0.00836570936796901,0.1748647498950637,0.04784102784002648,0.00040022413477457575,0.40022413477457575
ISRG,25,-0.2064975034981076,-0.0013802545967366176,-0.026935836655723525,0.051242313887559565,-7.07274392907247e-05,-0.0707274392907247
WHR,25,0.5970668366409477,-0.004686781328705227,-0.090998129975688,0.051504149919975234,-0.00024138868819577474,-0.24138868819577475
PFG,25,0.2870841584124699,0.007402099057995568,0.198178456844971,0.03735067461841226,0.00027647339340844835,0.27647339340844834
CHRW,25,0.3576554008761989,-0.013103127484069832,-0.4697795133581199,0.02789207939359655,-0.00036547347209009277,-0.3654734720900928
FIS,25,0.23610736870046004,0.006925492026465719,0.25215388379133513,0.027465339507507926,0.00019021098976342002,0.19021098976342002
SRCL,25,0.1529371596611499,-0.0011737989352090445,-0.0512605641952977,0.022898673739465414,-2.6878438853083812e-05,-0.026878438853083813
MUR,25,0.3265750308739623,-0.001683568751308047,-0.04510212809930474,0.03732792270025945,-6.28441242093991e-05,-0.0628441242093991
AMZN,25,0.4291948368141816,0.0009116745153706467,0.01873955767382141,0.04864973502785651,4.435272360443146e-05,0.04435272360443146
BWA,25,0.20442565863674883,0.013531885705682142,0.42421712970444736,0.03189848961334924,0.00043164671563173084,0.43164671563173085
IP,25,0.13345863717235049,-0.003158689668893471,-0.08287868825034002,0.038112206353368684,-0.00012038463246712177,-0.12038463246712178
TXT,25,0.4216257306670683,0.0007551980392377644,0.013297523948789152,0.05679238045715506,4.2889494364888634e-05,0.04288949436488863
MO,25,0.18609943258796172,0.0012471815638390457,0.04431212036260696,0.02814538220318356,3.510240179101412e-05,0.03510240179101412
AIG,25,0.2515884499645409,0.0047162043063002255,0.12984576011665147,0.03632158879938212,0.00017130003350731199,0.171300033507312
AZO,25,0.18287043343734308,0.00709111213422025,0.30188667401824737,0.02348931815980599,0.00016656538902756033,0.16656538902756032
BBBY,25,0.057786606734079246,0.0004750824423647021,0.010482082052330435,0.04532328978087699,2.1532299205102185e-05,0.021532299205102187
BEN,25,0.52312712337467,-0.00839457235680938,-0.21171014310279446,0.039651252574768946,-0.00033285530877702214,-0.33285530877702213
PM,25,0.14722938910350744,-0.007136275959187721,-0.23340872333032814,0.030574161313963465,-0.00021818565235716473,-0.21818565235716472
