Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,1.11281455268605,0.004703035225074038,0.1884386021564872,0.024957918235715013,0.00011737796860708539,0.1173779686070854
OMC,25,0.759922313794153,0.007002508729920532,0.2529480591038413,0.027683583557547017,0.0001938545355372075,0.1938545355372075
JCI,25,0.4234566832749069,0.005356990695260328,0.12667921071054453,0.04228784395808067,0.00022653558660605882,0.22653558660605883
CELG,25,0.458378558588372,0.0008612620854364077,0.021564077624307662,0.03993966727635815,3.439852113007247e-05,0.03439852113007247
MU,25,1.4423127381400545,-0.00641498597993968,-0.10752565886091446,0.059660048102914025,-0.0003827183721427204,-0.38271837214272036
USB,25,0.9896052872914988,-0.0004830412529705152,-0.012258372034495207,0.03940500839844241,-1.9034244630097298e-05,-0.0190342446300973
SYMC,25,0.7636238319605906,0.012939860166743908,0.3482948809129189,0.037152025125454395,0.00048074201003473616,0.48074201003473616
CERN,25,-0.02021371671316404,-0.00926645903145319,-0.06790267600266367,0.1364667724006884,-0.001264563755605626,-1.264563755605626
CAT,25,1.3656287869393953,0.00937272765007669,0.2294632141929187,0.040846319019120295,0.00038284142367436217,0.3828414236743622
WBA,25,0.7631927515349677,0.009897555298063587,0.2671355823268701,0.03705068120035326,0.0003667111660114213,0.3667111660114213
IBM,25,0.5909542566097629,0.011776071653586188,0.5651204380835458,0.020838162734870415,0.00024539169749492355,0.24539169749492354
NEE,25,0.4374838185810599,0.001572408158098186,0.07624224265545465,0.020623844516274734,3.242910136873893e-05,0.03242910136873893
RSG,25,0.6958793424242568,-0.006306323805713859,-0.2217204740155447,0.028442676905298905,-0.00017936873046611428,-0.1793687304661143
INTC,25,0.9874567999207369,0.0002737290196509158,0.006759747645815147,0.04049397018842517,1.1084374761451031e-05,0.011084374761451032
CI,25,0.5933403079588658,0.016442064445418247,0.5765429061718226,0.02851837091291545,0.000468900892428497,0.468900892428497
GD,25,1.0009437518059239,0.000387873521975151,0.018071151345600053,0.021463686212200867,8.325195565695839e-06,0.008325195565695838
VAR,25,0.7108951339562123,0.002177205062070218,0.05788953339458944,0.03760964952385862,8.188391932603175e-05,0.08188391932603176
IVZ,25,1.2086099108177706,0.0006973051681994687,0.021479760307814632,0.03246335891121557,2.2636867945904897e-05,0.022636867945904898
EMR,25,0.9297025182703081,-0.003334138079062649,-0.11334128407388956,0.029416801709155286,-9.807967874272986e-05,-0.09807967874272987
DLTR,25,0.28243120481371276,0.01530509541302419,0.3910275452561082,0.03914070913597643,0.0005990522878595468,0.5990522878595468
A,25,0.9243915811912122,0.011914371239050712,0.28762914888480606,0.041422683637054994,0.0004935252305696246,0.49352523056962455
