Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.3099075579261097,0.01082077015646481,0.631534135086646,0.017134101793215357,0.00018540417734185492,0.1854041773418549
OMC,25,0.3213121173955737,0.005774161747633382,0.18819880877681933,0.03068118116773432,0.00017715810267094123,0.17715810267094123
JCI,25,0.0631794474706139,0.010364745780388075,0.383949912401572,0.026995046607922183,0.00027979679542084086,0.27979679542084085
CELG,25,0.4989642372686367,0.02278508326013176,0.47856212681209453,0.047611547139998045,0.0010848330657285436,1.0848330657285437
MU,25,0.25120797264027706,0.025519744259198496,0.359499776343093,0.07098681539885972,0.0018115653747538337,1.8115653747538336
USB,25,0.067695104040594,0.004464302850152008,0.20714247933052551,0.02155184617168057,9.62139682902712e-05,0.0962139682902712
SYMC,25,0.6745480326550806,0.008964801973259478,0.2175202273331992,0.041213647499214516,0.0003694721884261788,0.36947218842617885
CERN,25,1.6448677908899478,-0.038555955091998675,-0.2856894305252358,0.13495758320885068,-0.005203418517525121,-5.2034185175251215
CAT,25,0.6415621525668003,-0.008910725362476397,-0.30523134722160433,0.02919334938428531,-0.0002601339187741858,-0.2601339187741858
WBA,25,0.2332662096845073,0.010791194664628224,0.2085108109668104,0.051753645840195345,0.0005584836668657748,0.5584836668657748
IBM,25,0.5753218260267534,-0.007264795880284136,-0.2165115090194601,0.03355385546562873,-0.00024376191095434893,-0.24376191095434893
NEE,25,0.01858889200815548,0.008818828078263575,0.3275337835455061,0.026924941857297983,0.00023744643325675368,0.2374464332567537
RSG,25,0.2831894768655051,0.004558015334486531,0.18692755658379415,0.024383859810649725,0.00011114200693091129,0.1111420069309113
INTC,25,0.25710400873015576,-0.0058136990185638,-0.14129522588383062,0.04114575692276877,-0.00023920904663996548,-0.23920904663996548
CI,25,-0.05466349716332024,0.025336186368607818,1.2292427752535675,0.02061121438227,0.0005222095688725226,0.5222095688725226
GD,25,0.45606909198619344,0.006993236564718835,0.23022583710255284,0.030375550601663078,0.00021242341114101744,0.21242341114101743
VAR,25,0.344615389324904,0.006338665978011619,0.1444313247799317,0.04388705834880189,0.00027818540363056134,0.2781854036305613
IVZ,25,0.9327335569937317,0.0031918402272948336,0.11845289924664665,0.026946070949674904,8.600755322471306e-05,0.08600755322471307
EMR,25,0.3372703356784717,0.005916951086531334,0.18739993948795747,0.031573922076487994,0.00018682135253653132,0.18682135253653132
DLTR,25,0.26961522452115283,-0.002181074624594282,-0.044431292322666044,0.04908870551761186,-0.00010706612995864455,-0.10706612995864455
A,25,0.44880999561343127,0.00074796570519064,0.01821761293653539,0.041057283838246236,3.070944025928611e-05,0.030709440259286114
YUM,25,0.513673196821213,-0.002382493762062122,-0.06771271249464565,0.03518532450240443,-8.382881614311008e-05,-0.08382881614311008
FDX,25,0.263555393578503,0.001829418961024109,0.0492211447136409,0.03716733878635523,6.799463430656506e-05,0.06799463430656506
MMC,25,0.3079077548111975,0.005366446920676235,0.27987314845874894,0.019174568729544293,0.0001028993053139578,0.1028993053139578
HOG,25,0.7800190223881659,1.933194649840486e-05,0.00043852246180702486,0.04408427887306724,8.522349205948957e-07,0.0008522349205948957
PEG,25,0.0034116484797035466,0.0020440553092896776,0.0634172966975021,0.032231826579422605,6.588363624777292e-05,0.06588363624777292
NWL,25,0.43918401495221115,0.011365223125051139,0.4005488508877022,0.028374124903525165,0.0003224782605066336,0.3224782605066336
ADBE,25,0.13694048007274937,0.015075018571730435,0.4794350075984785,0.03144329957722986,0.0004740083250832239,0.4740083250832239
FAST,25,0.27194648149348427,0.0013560748167012922,0.03476170483508875,0.0390105958017473,5.290128655126267e-05,0.05290128655126267
MSI,25,0.06097751570302634,0.005122188751455686,0.16052771742769928,0.03190843820328217,0.0001634410432413708,0.16344104324137082
