Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,1.2008274409976365,0.0033371606152827913,0.1916475023879312,0.0174130138598297,5.811002404639705e-05,0.058110024046397056
OMC,25,1.2002514718642603,0.0021292434390592883,0.10021177824918985,0.021247436940642274,4.524096570268852e-05,0.04524096570268852
JCI,25,0.6286468201818121,0.006987148722987871,0.3059084134362024,0.02284065562140889,0.00015959105775733288,0.15959105775733287
CELG,25,0.618305394562696,0.004612374700722164,0.11035928897594693,0.041794168334370496,0.00019277036466317386,0.19277036466317385
MU,25,0.7360456768290967,-0.009183605593957181,-0.09690216773978749,0.09477193140423879,-0.0008703480393940935,-0.8703480393940936
USB,25,1.0973846136561833,0.010047284474402332,0.3332811425608791,0.030146573542087027,0.0003028912003058391,0.3028912003058391
SYMC,25,1.1553610494843207,-0.009696983597747136,-0.22389107921706372,0.04331116555271884,-0.00041998766196402535,-0.41998766196402537
CERN,25,0.659019953321418,0.005807332323181003,0.09753810582088053,0.05953911319382824,0.0003457634165440513,0.3457634165440513
CAT,25,1.363341927181117,-0.007240574411661838,-0.19746860449337372,0.03666696501065719,-0.0002654898886094644,-0.2654898886094644
WBA,25,0.7131785158375422,-0.004010992515914415,-0.09232661780248202,0.04344351186453391,-0.0001742516009536846,-0.1742516009536846
IBM,25,0.646608425615909,0.0026475776530646487,0.09117700154397049,0.029037779354784368,7.687977571434911e-05,0.07687977571434912
NEE,25,0.24639535033465992,0.01121136802066888,0.5360831961273184,0.020913485260609082,0.00023446877985152262,0.23446877985152262
RSG,25,0.6686978911148632,-0.0019064824118154625,-0.04664913993362478,0.04086854365435506,-7.791515967354036e-05,-0.07791515967354036
INTC,25,0.8949263415113244,0.005844048048898503,0.19059413457338922,0.03066226598200074,0.00017919175568691838,0.1791917556869184
CI,25,0.7054491451122645,-0.009693010192891708,-0.2590280821190065,0.03742069243456932,-0.0003627191531933461,-0.3627191531933461
GD,25,0.8915912758599188,-0.0028134565466019414,-0.10696866669847248,0.026301688461095103,-7.399865758755276e-05,-0.07399865758755277
VAR,25,0.995201668516034,-0.007119124590045296,-0.18225217345559347,0.039061946176350545,-0.000278086861559083,-0.278086861559083
