Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,1.2837326412189125,-0.0030920634334891447,-0.05951532397376774,0.051954072111781116,-0.00016064528659769653,-0.16064528659769653
AIV,25,1.3068052965177412,0.00225818477687364,0.08197061610427997,0.027548710552582175,6.221007879233927e-05,0.06221007879233927
HON,25,1.0349963357894953,0.0020898267490622405,0.07531273189651101,0.027748651475475894,5.7989874103854934e-05,0.057989874103854935
FISV,25,0.5265548048339583,0.009401572009059781,0.3834404256004149,0.02451899012561916,0.00023051705125543424,0.23051705125543423
ORLY,25,0.3861187564026271,0.005942843740066362,0.11427454861450356,0.05200496359092251,0.0003090573723286929,0.3090573723286929
PNW,25,1.0971412101623368,-0.0008914121781605829,-0.055614245781374944,0.01602848632821187,-1.4287987910448466e-05,-0.014287987910448467
FLS,25,0.41472108213143155,0.013038528216751782,0.32885732951511126,0.039647978155076063,0.0005169512819121175,0.5169512819121176
MUR,25,1.572412401030933,-0.0028586207960642623,-0.056284046119472124,0.0507891843808878,-0.0001451870186863481,-0.1451870186863481
EBAY,25,1.2447692421548404,0.01624940193514071,0.39951542550051256,0.040672777314626776,0.0006609083064038436,0.6609083064038436
HIG,25,1.1397932770446924,0.004243197321991915,0.06432777069662493,0.0659621385296124,0.000279890369561711,0.27989036956171104
KLAC,25,1.054266239032068,-0.002702467220250787,-0.06117923160208645,0.04417295133465884,-0.00011937595300364875,-0.11937595300364875
XEC,25,1.850096258961078,-0.012557434356134491,-0.14906525418583158,0.08424118970393878,-0.001057853209789884,-1.0578532097898838
C,25,0.808871931026347,0.008649037035270698,0.11289763689662845,0.07660954890659001,0.0006625988257484788,0.6625988257484788
ETN,25,-0.006044771911105686,0.009552753052714403,0.17628921759377225,0.05418795989399111,0.0005176441992976892,0.5176441992976892
MAR,25,0.8444678618456121,0.003132753694977789,0.06471295469665289,0.04840999317158088,0.00015165658498211953,0.15165658498211954
UTX,25,0.7930440029778477,-0.0009003189814490295,-0.02854223335612597,0.03154339641946048,-2.8399118535811622e-05,-0.028399118535811622
RIG,25,0.8953615883361373,-0.0012213689835183662,-0.020183139135590257,0.06051432214350868,-7.391031612472015e-05,-0.07391031612472015
CCL,25,-0.0246133005961141,0.008831682034479791,0.17347900548322379,0.05090922679594134,0.00044961410368297235,0.44961410368297233
AMAT,25,0.6977071490026312,-0.0013189007686205088,-0.027022824699350998,0.048806917237345086,-6.4371480658332e-05,-0.064371480658332
EL,25,1.2393338000384198,-0.004715265529209036,-0.09866864520093291,0.04778889503962149,-0.00022533732945931588,-0.2253373294593159
TGT,25,0.5531220077708344,0.005158563338311027,0.17991090784694094,0.028672877037003622,0.000147910852286987,0.147910852286987
PNC,25,1.3378205594989137,-0.003148250640748815,-0.07381818025277223,0.04264871648106745,-0.00013426884898863517,-0.13426884898863517
ROK,25,-0.4982088620831152,0.008066793037915949,0.1643305167871729,0.049088831433320344,0.00039598944364573817,0.3959894436457382
XOM,25,1.2809426158033506,-0.0007988238400445146,-0.036010400056193444,0.02218314261429941,-1.7720423167409767e-05,-0.017720423167409766
IBM,25,0.6406398494447807,-0.0005776643000009215,-0.019068312263304077,0.030294464031439473,-1.750003035862458e-05,-0.017500030358624578
CMG,25,0.9099778537800465,-0.011561328705362622,-0.12752448984202636,0.09065967422951043,-0.0010481462940884628,-1.0481462940884627
RL,25,0.7553377914810865,0.0018485838305260759,0.039362068880598206,0.0469635840568648,8.681612211107248e-05,0.08681612211107248
ROP,25,0.525632529798387,0.009107452459668982,0.3165777069403431,0.028768457980476874,0.00026200736339517785,0.26200736339517783
NFX,25,1.6155212726884913,-0.03182863128431282,-0.43201852429379023,0.07367422805848957,-0.0023449498400300384,-2.3449498400300386
ITW,25,0.5298436243946604,0.012017103228893909,0.3428234301055231,0.03505333117166167,0.00042123949920646296,0.421239499206463
UPS,25,0.765755687975877,-0.0006572111346811434,-0.029307410590923486,0.022424742460348302,-1.4737790437297922e-05,-0.014737790437297922
SLB,25,1.1470409179557353,-0.005854589141839701,-0.135171140665295,0.043312419448590614,-0.0002535764206105253,-0.25357642061052527
ADP,25,0.9198162744684074,0.001437864768324552,0.07372300480284207,0.019503610469619945,2.804355434939239e-05,0.028043554349392392
GLW,25,0.6388633066118774,-0.005649227899672303,-0.094251996301901,0.059937488024944495,-0.000338600529586791,-0.33860052958679104
SEE,25,0.4342134311636284,-0.0003521232781988964,-0.0055764124302476155,0.06314512827080487,-2.2234869569005622e-05,-0.02223486956900562
PPG,25,1.1360801457874958,0.009778244556195668,0.283427094847729,0.03450003452016125,0.0003373497747353294,0.3373497747353294
SCHW,25,0.9546135866640303,0.0022132123186342275,0.03856353321271406,0.0573913263192531,0.00012701919039252772,0.12701919039252774
UNP,25,1.1073165307758235,0.0031222357510649473,0.10063998723402647,0.03102380909294588,9.686364588420942e-05,0.09686364588420943
AAP,25,0.46647414748616695,0.003305480323490624,0.04600266204232628,0.07185410966976882,0.00023751234567535824,0.23751234567535823
D,25,0.7727138052493487,-0.0026777542841641454,-0.16942835967458353,0.015804640317047487,-4.2320943318647284e-05,-0.04232094331864728
WU,25,2.9191779084422667,-0.026604568015022225,-0.4222522884809577,0.0630063323297347,-0.0016762562538435205,-1.6762562538435206
ETFC,25,0.37530431975243456,-0.002906571073261053,-0.031261384509647015,0.09297640264026401,-0.00027024252241006396,-0.27024252241006397
DGX,25,0.7745778492806981,-0.0032853979135096956,-0.10899023299254355,0.030143966328932084,-9.903492408197999e-05,-0.09903492408197999
PM,25,1.0048007553951517,0.0033635214568858646,0.12471865763902343,0.026968871543029235,9.071037810297743e-05,0.09071037810297743
URBN,25,0.44649216974931744,0.012675280924246479,0.20075278466970337,0.06313875518639005,0.0008003014591947182,0.8003014591947182
CAH,25,0.335829237695727,-0.002018562703994703,-0.07406314489176108,0.02725461775819422,-5.5015154918322576e-05,-0.055015154918322574
ED,25,1.0349110369681316,-0.006046262721164329,-0.3171821484282631,0.019062430692034386,-0.00011525646406802626,-0.11525646406802625
APH,25,0.877300486499757,0.00989170926233212,0.2540573256781434,0.038934949960323484,0.0003851332051509694,0.38513320515096944
MSI,25,0.5339129269754159,0.005130807107000731,0.18821923779645414,0.02725973798995689,0.00013986445741384862,0.13986445741384862
LEG,25,1.0583522606270175,0.005785401804969231,0.15597472912527924,0.037091917629312784,0.00021459164720239623,0.21459164720239624
AMP,25,1.4739750019345905,0.006631720694561624,0.17355982523490043,0.03820999868826832,0.0002533980390401615,0.2533980390401615
T,25,0.6325124750476889,0.00644288885896319,0.26324509575715926,0.02447486757704571,0.00015768885163674722,0.15768885163674723
MCO,25,0.707455437149208,0.01237122452418789,0.2936808366156,0.04212472514977419,0.0005211344328475608,0.5211344328475608
MCHP,25,1.115132005578112,-0.007997429817353435,-0.2759071816862212,0.028985942911948594,-0.00023181304412812215,-0.23181304412812215
MNST,25,-0.17739582164090814,0.0066637258762264565,0.09575448533615831,0.06959178834111633,0.00046374060074157153,0.46374060074157153
MHK,25,1.6378700432828388,0.010815446050664495,0.21068499923612358,0.05133467541532545,0.0005552074124828254,0.5552074124828253
AN,25,1.2589995984755438,-0.0022027248224803404,-0.052177007778385916,0.04221638833403569,-9.299108649884988e-05,-0.09299108649884988
XLNX,25,0.41208320546298155,0.0020535132716600455,0.05734424939029416,0.03581027380240876,7.353687251502644e-05,0.07353687251502644
WHR,25,0.5709105042413283,0.02928818623897881,0.40075048744059566,0.07308334526560065,0.002140478627106502,2.140478627106502
RCL,25,0.12670160317241042,0.013059794365144936,0.1820740614379771,0.07172792358231493,0.0009367519322238631,0.9367519322238631
AES,25,0.6998415703693787,-0.008317877066964212,-0.2379883333496204,0.03495077657754217,-0.0002907162629669279,-0.29071626296692793
CMI,25,0.44769619904551633,0.0030884612633999223,0.04507557341328971,0.06851740376284034,0.00021161334739026446,0.21161334739026447
EMN,25,1.2226026555504201,0.013255314753462508,0.23693274823850044,0.055945473354825095,0.0007415748583496567,0.7415748583496568
VMC,25,2.652178125291813,0.004611334121357297,0.05376621218656922,0.08576639368523727,0.00039549749766649766,0.39549749766649767
HBAN,25,1.3243013309009741,0.003014010473778382,0.06403360513166162,0.04706919854943627,0.00014186705742035515,0.14186705742035516
GNW,25,0.7320018148994667,-0.006064804567078225,-0.05526028385125355,0.10974979034496306,-0.0006656110297200096,-0.6656110297200096
KSS,25,0.85881225890294,-0.005019864208881805,-0.14385328512069948,0.034895721739478594,-0.00017517178460310732,-0.1751717846031073
GT,25,1.3006953309195006,-0.010285201459909677,-0.13986580073693494,0.07353621404030343,-0.0007563347760035594,-0.7563347760035594
BBBY,25,-0.6581284484077398,0.003732841767805807,0.06601407534416971,0.05654614941350515,0.00021107782833931985,0.21107782833931985
DISCK,25,0.24047185372651708,0.015186614659011471,0.4312439969352152,0.03521582854936047,0.0005348092180769525,0.5348092180769525
BXP,25,1.6304690951694951,-0.003546599955101263,-0.1811247244637124,0.019580981920620175,-6.944590960051016e-05,-0.06944590960051016
NEM,25,-0.06301959262848995,-0.01151227749907979,-0.17606838514937495,0.06538526203504888,-0.0007527332808975292,-0.7527332808975292
AZO,25,0.23733680558549164,0.005512906199137471,0.17490903202268418,0.03151870509707295,0.00017375966471843926,0.17375966471843926
COF,25,0.49517318840912394,0.010766601410865946,0.18604730533985614,0.057870235697305004,0.0006230657613057489,0.623065761305749
STX,25,1.3642042044471179,0.011376568777786455,0.12156106614064227,0.09358727377912372,0.001064702056873732,1.064702056873732
HAS,25,-0.19188785167262506,0.0067371296158485455,0.14828002113628408,0.045435181113553075,0.0003061027042815609,0.3061027042815609
EMC,25,0.6698508115746509,0.0004069606965611495,0.008788242376999076,0.04630740472364105,1.884529368227203e-05,0.01884529368227203
NRG,25,1.279857815945651,-0.0032774504956542133,-0.0601360045248142,0.05450063604245313,-0.00017862313661080789,-0.1786231366108079
OI,25,1.4674208421407104,-0.004748090779017516,-0.06679679044279015,0.07108261860402024,-0.00033750672594216744,-0.33750672594216746
JBHT,25,0.06132028073528713,0.011826976028942967,0.2813321087360867,0.04203919731052693,0.0004971965788676056,0.49719657886760565
PH,25,0.6819251504733252,-0.000887648854138179,-0.020602922466569012,0.0430836380410841,-3.824314193927236e-05,-0.03824314193927236
AAPL,25,0.6476140000950784,0.01452240946516807,0.27767917637960454,0.05229923847553856,0.0007595109558582433,0.7595109558582432
CSCO,25,0.9290572556800947,-0.0016435633250226713,-0.028378743246519306,0.05791529634506478,-9.518745703056804e-05,-0.09518745703056804
CCI,25,0.6651328388544622,0.016072398435828313,0.6512160699561111,0.02468059247510817,0.00039667631589224454,0.39667631589224456
LM,25,0.41813944303939643,-0.0005737158027814087,-0.010636512866162712,0.05393833580613959,-3.094527562771257e-05,-0.03094527562771257
AMGN,25,1.0594424523281813,0.012321535942826756,0.5078980420223085,0.024259861081105633,0.00029891875027882704,0.29891875027882703
GS,25,0.945030079229325,0.007137140444409719,0.11706127724690071,0.06096926850846129,0.0004351462321378149,0.4351462321378149
ORCL,25,0.19390154422685701,0.0019153030778994503,0.035757480173300944,0.05356370383530411,0.00010259072681945254,0.10259072681945254
EA,25,0.2903043570027671,-0.01630915977303053,-0.21158475960785508,0.07708097597982691,-0.0012571259527161254,-1.2571259527161254
PSA,25,0.4978539876146116,0.0031261742431471138,0.08866783930672426,0.035257137961069454,0.00011021995658097968,0.11021995658097967
SNA,25,1.0065560973284498,0.013613829784576963,0.40216121940504246,0.03385167223412857,0.0004608509037187165,0.4608509037187165
VAR,25,0.3028228341722074,0.004624929211586712,0.08671351236856376,0.05333573840175096,0.0002466740145558052,0.24667401455580518
TDC,25,0.5451389467374217,0.0031717720682444047,0.0555754781241273,0.057071431057422156,0.00018101757092266782,0.18101757092266782
CCE,25,0.9084434313550807,0.0038977825602901656,0.1498888756221398,0.026004481947787938,0.00010135981622546827,0.10135981622546826
FITB,25,0.8920778470602577,0.00667035542291545,0.17597000383316672,0.037906207180852636,0.00025284787463095696,0.252847874630957
PGR,25,0.44725723121217087,0.0072386910094351786,0.19814916195586682,0.03653152472604164,0.0002644404195953565,0.2644404195953565
RAI,25,0.37640060326209734,0.0004997055052559131,0.017805058770558997,0.0280653667980128,1.4024418295993514e-05,0.014024418295993513
HSIC,25,0.39021182711102564,0.00780349553613102,0.2484516066284089,0.03140851307837242,0.0002450961916035919,0.24509619160359192
MMM,25,0.802390081010332,0.0030680706377461692,0.13439506157387296,0.022828745355793763,7.004020332269507e-05,0.07004020332269506
AIG,25,0.9105480430388448,0.012215368409683479,0.2310083172642745,0.052878478811258754,0.0006459300996231674,0.6459300996231674
USB,25,1.2043306814656758,0.005094657559176801,0.16467949487532282,0.030936805842366195,0.00015761243174159596,0.15761243174159595
CVS,25,0.6660278208467768,0.0046836576818599426,0.17241857477618194,0.027164461183720137,0.00012722903729671704,0.12722903729671703
WEC,25,0.7753887783327033,0.002185723296250622,0.11739622766982016,0.018618343533133137,4.0694547197966206e-05,0.040694547197966204
SO,25,0.8903487698287339,-0.0037971579596455074,-0.21795235022476606,0.017421963817915435,-6.615394858385363e-05,-0.06615394858385362
BBY,25,0.42027222452786195,-0.030526903267694815,-0.30577488608140413,0.09983456672621528,-0.0030476401612233974,-3.047640161223397
