Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,0.5111330391858688,-0.002613602331168942,-0.10367010832966986,0.025210761069697295,-6.589090390230406e-05,-0.06589090390230407
CBRE,25,1.0770996913484747,-0.006019427204935944,-0.12096413654172034,0.04976208136582576,-0.0002995392263476876,-0.2995392263476876
K,25,0.39683529575971976,-0.0028062079306405427,-0.11290650499258174,0.024854262655857766,-6.974622897509115e-05,-0.06974622897509114
PKI,25,0.5617682149400715,-0.00033427751335598707,-0.009192141621426696,0.03636557476190238,-1.215619390316997e-05,-0.012156193903169969
FFIV,25,-0.2823187708178671,0.004017813297705795,0.05480220627152837,0.0733148092213431,0.0002945652154082758,0.2945652154082758
UNP,25,0.23916244630145825,0.007492326516757931,0.3305268759245702,0.022667828435433374,0.00016983477206411693,0.16983477206411693
LEN,25,1.6266495189708667,-0.02509745600567739,-0.4484131277496363,0.05596949431794985,-0.0014046919213047569,-1.4046919213047568
AN,25,0.8905356653553713,-0.008936648801266902,-0.2178741435298432,0.04101748218710868,-0.00036655883301841126,-0.36655883301841125
ADSK,25,0.4842305480298546,0.004757657193948105,0.10060717256123229,0.04728944341470748,0.00022498696065978487,0.22498696065978488
TPR,25,0.8968987417125646,-0.012882862063053058,-0.27791118755451627,0.04635603977089227,-0.0005971984661578068,-0.5971984661578068
WAT,25,0.35678490858181056,-6.751121772610811e-05,-0.0027255641344456284,0.024769630944618988,-1.6722279476975173e-06,-0.0016722279476975173
XOM,25,0.7559870502370533,-0.0066148286476345785,-0.2984805107049985,0.02216167692828798,-0.00014659569542486162,-0.14659569542486162
ABC,25,0.8959163296374764,0.005225101338850969,0.24908043210452382,0.020977566542273837,0.00010960991102587032,0.10960991102587031
NI,25,0.5762083467321596,0.002823439733101959,0.09315011349099095,0.03031064190141893,8.558027068029131e-05,0.08558027068029131
CSCO,25,0.23743813799894747,0.0006620695302354323,0.01439345594513809,0.045997954400872725,3.0453844061976642e-05,0.030453844061976643
CF,25,0.4249616184540885,-0.004186841315331648,-0.09751921425333022,0.042933501334980965,-0.00017975575720114478,-0.17975575720114478
FTI,25,0.22243798672679763,-0.001144615754150886,-0.026810218966385857,0.042693263922461186,-4.886738248177072e-05,-0.04886738248177072
HPQ,25,0.45586687971429074,0.017536990224175375,0.24246503227196406,0.07232791491560227,0.0012684139368099052,1.2684139368099052
ROP,25,0.4622422500938792,-0.00021593954148480064,-0.008761147892211487,0.024647402845096044,-5.322348869161211e-06,-0.005322348869161211
SYY,25,0.3702105010700448,0.0013959830678446083,0.04727697863945506,0.029527755538074695,4.1220246762607135e-05,0.04122024676260713
AGN,25,0.48235029312153194,-0.00291120409638332,-0.0631644463051405,0.04608928387212662,-0.0001341753120079087,-0.13417531200790872
DD,25,0.4220653155809161,0.0049881830980911535,0.1302451698623354,0.03829841139877578,0.0001910394884231149,0.1910394884231149
PWR,25,1.0125499284949055,-0.011041761172240126,-0.3477643100039982,0.0317507025724209,-0.0003505836748555018,-0.3505836748555018
BEN,25,1.5135603957932817,-0.012131589168445063,-0.40232742344862693,0.0301535228805852,-0.0003658101515685678,-0.36581015156856783
WY,25,0.9860927610598309,-0.01104473687605233,-0.34613180925600534,0.03190904904057357,-0.00035242705061818515,-0.35242705061818513
EMN,25,0.400934608264139,-0.0030777195912793038,-0.07230074627757371,0.042568296314168926,-0.00013101327953350027,-0.13101327953350028
CTXS,25,0.8642076297771525,-0.01703363169082059,-0.2862222042806879,0.05951191569371157,-0.0010137040531418486,-1.0137040531418486
