Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,1.2550833415820128,0.004389756544824969,0.24105397240110923,0.0182106791317278,7.994044790420958e-05,0.07994044790420958
CBRE,25,1.7384196028325525,-0.011137447508797384,-0.1108570143818285,0.10046678210578812,-0.0011189435120809996,-1.1189435120809996
K,25,0.707324883427651,-0.001297938584303804,-0.04905957457715992,0.026456376670417964,-3.433875208141048e-05,-0.034338752081410476
PKI,25,2.0924208305152305,-0.00900485257048835,-0.16601244396631598,0.05424203364125788,-0.0004884415160629966,-0.48844151606299663
FFIV,25,1.676569444730213,-0.0014111104002011935,-0.013195724564914194,0.10693693955640467,-0.00015089982757372902,-0.15089982757372902
UNP,25,1.3532344840653798,0.004327124515688803,0.09000171971012941,0.04807824261164422,0.00020804054227607977,0.20804054227607977
LEN,25,1.1659411463622682,0.001390294012804143,0.01751623436074164,0.07937174076182421,0.00011035005596700674,0.11035005596700674
AN,25,2.051856076637129,0.003458607564259599,0.05134080891082911,0.0673656616954878,0.00023299138711136723,0.23299138711136724
ADSK,25,1.5228092272848197,-0.008407282150139334,-0.10856309914863839,0.07744143466859364,-0.0006510719913704487,-0.6510719913704487
TPR,25,1.8322720998152544,0.005371816806497264,0.06461320843017376,0.08313806011200453,0.00044660242856924573,0.4466024285692457
WAT,25,1.9496585238836954,-0.0008306197810933188,-0.014794327193532039,0.056144478233282495,-4.6634714219727706e-05,-0.04663471421972771
XOM,25,1.2159091838418825,0.0008356561290236049,0.023620153946545742,0.0353789450701617,2.9564632286270074e-05,0.029564632286270074
ABC,25,1.355474204532884,-0.0006199995236831905,-0.01702904200551254,0.03640836187276349,-2.2573167019198597e-05,-0.022573167019198596
NI,25,1.2010454522947485,0.006628260338246402,0.27455943083497053,0.024141441137494387,0.00016001575679976414,0.16001575679976413
CSCO,25,1.0868449473152932,-0.005014475845703155,-0.10162022235055235,0.04934525559691318,-0.0002474405922907696,-0.24744059229076956
CF,25,2.2846782326993185,0.003481480602959188,0.034215689251755756,0.10175100017254624,0.00035424413343241673,0.35424413343241673
FTI,25,1.6216984389751246,0.0006908325019513465,0.012260529565191126,0.05634605734426752,3.892568777023438e-05,0.03892568777023438
HPQ,25,0.38470825334201375,-0.020076016521180823,-0.2905417607624109,0.06909855735884346,-0.001387223779125902,-1.387223779125902
ROP,25,1.3237601084349293,0.004800545389816968,0.09420776070262334,0.05095700560137919,0.0002446214183185783,0.24462141831857828
SYY,25,0.96582759268317,-8.057899867023894e-06,-0.0002918863104306191,0.027606295941512624,-2.2244876839613684e-07,-0.00022244876839613685
AGN,25,1.3438837590816153,0.005859433876052389,0.18392988025844173,0.03185688952670028,0.00018666333767840618,0.18666333767840618
DD,25,2.0296963456851254,-0.0071841324368920245,-0.09183888511206621,0.07822538816891779,-0.0005619815485327919,-0.5619815485327919
PWR,25,1.2561922347622652,-0.006941375913452959,-0.1251152794404798,0.055479841826634214,-0.00038510643773757874,-0.38510643773757874
BEN,25,2.2267774046430073,-0.010816990457689813,-0.20003078425947804,0.05407662874359436,-0.0005849463771034948,-0.5849463771034948
WY,25,1.947410893422081,-0.008746018523798714,-0.141228079429841,0.06192832586202196,-0.000541626285137087,-0.541626285137087
EMN,25,1.736529516924156,-0.003523264725850168,-0.056281080296756214,0.06260122775314306,-0.0002205606975375615,-0.2205606975375615
CTXS,25,1.4296899032850128,-0.0037635972366451315,-0.0453896194437128,0.08291757637034894,-0.0003120683612967569,-0.3120683612967569
JNJ,25,0.8669522666358459,0.0023049678871019472,0.10808714751740488,0.02132508758019344,4.9153642061982454e-05,0.04915364206198245
AEP,25,0.9098865373497158,0.004759024456381906,0.24175994700522505,0.019684916857956838,9.368100074886106e-05,0.09368100074886106
HIG,25,1.7114089688018177,-0.022907468119488066,-0.3249166592817463,0.0705025964815926,-0.001615035981243214,-1.615035981243214
QCOM,25,1.2222881671866352,-0.00034607571041994764,-0.0064098626439417685,0.053991127367922366,-1.868501776022761e-05,-0.018685017760227608
CPB,25,0.7639734701456506,-0.004400281749105452,-0.17686972676033183,0.024878659732810438,-0.00010947311236449049,-0.10947311236449049
A,25,2.3304843112290663,-0.005786406749518986,-0.07135182545435267,0.08109682846475791,-0.0004692592355930586,-0.4692592355930586
ITW,25,1.944704562584602,-0.006306676525809512,-0.12203508785434374,0.05167920666666715,-0.00032592403955712814,-0.3259240395571281
NKE,25,1.4855656815417768,0.004976076155585469,0.11091495430184342,0.04486388861544855,0.00022324612638617594,0.22324612638617594
NRG,25,1.560868728606941,-0.013200963313746802,-0.32014957101999825,0.04123373731749339,-0.0005443250536169027,-0.5443250536169028
