Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,0.49807790746706604,0.000880884291763551,0.03973581712269664,0.02216852088491217,1.9527901819151346e-05,0.019527901819151344
CBRE,25,1.3391269594495334,0.008666669401214168,0.22645538187460876,0.03827098004680239,0.00033168193172610026,0.3316819317261003
K,25,0.20782787823716767,-0.003698356849267335,-0.1746632710104553,0.021174210398509898,-7.830978605515671e-05,-0.07830978605515672
PKI,25,0.9165328534010747,0.001556551458504276,0.03796447621786829,0.041000208973558085,6.381893507677194e-05,0.06381893507677194
FFIV,25,-0.06170909410651908,0.0321786554508541,0.3697064155014399,0.08703840155765101,0.0028007787347167344,2.8007787347167343
UNP,25,0.8823665372385862,0.008985557745726167,0.3681677321762939,0.02440615230620893,0.00021930289089842819,0.2193028908984282
LEN,25,0.7637064916143863,0.0038304633893463417,0.056635459245533384,0.06763365990800958,0.00025906825816513217,0.2590682581651322
AN,25,0.8216588700778803,0.011440844788121655,0.2332147832372843,0.049057116488542545,0.0005612548554982189,0.5612548554982189
ADSK,25,1.0723079501464179,0.01090016738404712,0.20053141618814657,0.05435640754573911,0.0005924939406440382,0.5924939406440382
TPR,25,0.5494374891501732,0.01208287141508433,0.2664599034354339,0.04534592732077657,0.0005479090090147028,0.5479090090147027
WAT,25,0.704190790337469,0.005285819722143119,0.1794866360070114,0.02944965619577736,0.00015566557352997428,0.1556655735299743
XOM,25,0.7772829577387906,0.0008954741138531563,0.03462039918486638,0.02586550516276528,2.316189031499148e-05,0.023161890314991482
ABC,25,0.34764649814643334,0.008326224101271543,0.2381562492257814,0.034961182535999544,0.00029109464064019317,0.2910946406401932
NI,25,0.8353856773075913,0.003183986878121747,0.12972675555187688,0.02454379487544103,7.814712082271602e-05,0.07814712082271602
CSCO,25,1.167385585092086,-0.013886312034555974,-0.35042789559381915,0.039626731231042156,-0.0005502691547837358,-0.5502691547837358
CF,25,0.8025906995973151,0.00580336377413238,0.07293432392288747,0.079569720564877,0.0004617720338440435,0.46177203384404353
FTI,25,0.5164898582517352,0.015350245763846172,0.2831050309170218,0.054221027843003373,0.0008323061029584479,0.8323061029584479
HPQ,25,0.9479899595004403,-0.010002746068150404,-0.29070634472995954,0.0344084202133327,-0.0003441786900001805,-0.34417869000018053
ROP,25,0.833003259078856,0.008709406611986747,0.3181968437170839,0.027371128230707656,0.00023838628519006237,0.23838628519006236
SYY,25,0.45980039514574295,-0.0012081327047955863,-0.0432232940017484,0.027950963310355677,-3.37684729057822e-05,-0.0337684729057822
AGN,25,0.7201591215154162,0.0004203017517313747,0.010077302196831488,0.041707764987292555,1.7529846684959558e-05,0.017529846684959556
DD,25,0.80747613556827,0.0015187521190388447,0.038622906149058896,0.039322574877650715,5.9721243921495666e-05,0.059721243921495665
PWR,25,0.48123311265915586,0.005336142057199167,0.09067289619951793,0.05885046448122098,0.000314034438603949,0.314034438603949
BEN,25,1.2522609870501071,-0.004437432452566068,-0.12466537413019876,0.0355947470059463,-0.00015794928550506499,-0.15794928550506498
WY,25,1.107531687366248,0.006024932411922864,0.09309879772892286,0.0647154695752973,0.0003899063301970167,0.3899063301970167
EMN,25,1.1653690797654201,0.007063710914290797,0.23160991908634704,0.03049830914908855,0.00021543123920383163,0.21543123920383164
CTXS,25,0.7366983964074063,0.009778120872469117,0.15168048716097116,0.06446525229110103,0.0006303490289766026,0.6303490289766026
JNJ,25,0.5503002798154835,-0.0056188768261426335,-0.2579001898824969,0.021787020896350158,-0.00012241858682518722,-0.12241858682518722
AEP,25,0.5793043527829084,-0.0014399626896615314,-0.06903621836258636,0.020858076004376103,-3.003485122442606e-05,-0.03003485122442606
HIG,25,1.3952264517217503,-0.006979089317503095,-0.16563931909952215,0.04213425505154246,-0.0002940587293311708,-0.2940587293311708
QCOM,25,0.8073064712151288,0.0056494082985035846,0.14386628463350704,0.03926846594318607,0.0002218435973689408,0.2218435973689408
CPB,25,0.3049175055824178,-0.00018245295103155434,-0.011017238041270102,0.016560679759127776,-3.0215448931413934e-06,-0.0030215448931413934
A,25,0.7948550660842969,0.007183021406880841,0.1793649914495726,0.040046953136338784,0.0002876581216586753,0.2876581216586753
ITW,25,0.9513278089851016,0.0010785368924080621,0.029923898798976122,0.036042659402556375,3.8873337866155374e-05,0.03887333786615537
NKE,25,0.5374243731137842,0.00550317921417294,0.1913630400349792,0.028757795722554446,0.00015825930366579312,0.1582593036657931
NRG,25,0.5800721117759106,-0.009915180759343122,-0.2347961051100314,0.042228897939753374,-0.00041870715634050704,-0.41870715634050704
TSS,25,0.920247171330684,-0.0009044029170969664,-0.030814688091664863,0.02934973459431512,-2.6543985583120345e-05,-0.026543985583120346
PNW,25,0.5101706213156727,0.0028347248905656796,0.2159160585777641,0.01312882844026503,3.7216616763585866e-05,0.03721661676358587
LVLT,25,0.9353847395709567,-0.014076078810292467,-0.1330924324524596,0.10576167668526472,-0.0014887096961304575,-1.4887096961304576
CVC,25,0.35889057393445073,0.007459204473439396,0.13332204798229072,0.05594876906203997,0.00041733330847099623,0.41733330847099626
KDP,25,0.2051633920148436,0.008580583242182208,0.15591867629991873,0.055032427453892384,0.00047221032478747706,0.47221032478747704
BBBY,25,0.6505408879526746,0.003671256505148275,0.09054667068939623,0.040545461000348074,0.00014885278745176356,0.14885278745176356
FDX,25,0.8486526610813042,-0.0019090561083725133,-0.06170032751422624,0.030940777549881605,-5.90676803793966e-05,-0.0590676803793966
AIZ,25,0.97397557829338,0.00031365900925234107,0.007741494239855495,0.040516597898830956,1.2708395955222802e-05,0.012708395955222803
HRL,25,0.2020685421780084,0.008962285296042679,0.3569709137885728,0.025106486130550325,0.00022501149148313062,0.22501149148313063
AON,25,0.796353119384812,-0.0006890415351924464,-0.022456061094678566,0.030683989159422494,-2.1142542996236857e-05,-0.021142542996236857
HD,25,0.6245026814081353,0.006683628776022959,0.14872433900403503,0.044939710747960535,0.0003003603439412173,0.3003603439412173
USB,25,1.0996402745260494,-0.007818668851316149,-0.19062775615776067,0.04101537472248026,-0.0003206856327677162,-0.32068563276771617
VZ,25,0.7235530605277536,0.006198676506367524,0.2712653943586077,0.022850966747984782,0.00014164575072851877,0.14164575072851876
MDT,25,0.7708657819933935,-0.011780331954873696,-0.37606480936602615,0.03132527070196517,-0.00036902208744542904,-0.369022087445429
MMC,25,0.9530730447423,0.002736363893171152,0.12004083682850746,0.022795275053608396,6.237616759159911e-05,0.06237616759159911
TSCO,25,0.6412122477804589,0.02234666493957023,0.5046249301966856,0.04428371172795656,0.0009895932682651618,0.9895932682651618
ATI,25,0.882758360441603,0.007490522161663337,0.1542915308354595,0.048547850430309264,0.0003636487495493485,0.3636487495493485
CMG,25,0.07375887786644288,0.031647787236718704,0.5715668616815304,0.05537022762938352,0.0017523451832634131,1.7523451832634132
MRK,25,0.4648549818300421,-0.00855440900197596,-0.23654549604792788,0.03616390565408483,-0.0003093608400739126,-0.3093608400739126
CCE,25,1.16131382226282,-0.0024983676827408027,-0.028089672144320836,0.08894257184293702,-0.00022221124711224594,-0.22221124711224594
BMY,25,0.761925300864267,-0.0024799487529718325,-0.08349694825126909,0.029701070576961346,-7.365713293926367e-05,-0.07365713293926367
RL,25,0.4450841643984629,0.005281364289183952,0.12190770428938945,0.04332264576688964,0.00022880267426621728,0.22880267426621728
ESRX,25,0.3705939038421764,0.008389424002810666,0.18258446037590312,0.04594818192927592,0.0003854787803629787,0.38547878036297867
ROST,25,0.4968626509910971,0.010176194885585091,0.2341907937767219,0.04345258291957924,0.0004421819520716844,0.44218195207168437
JCI,25,0.6977359182616791,0.003153928528462433,0.09293620324574367,0.033936489960997816,0.00010703326384386997,0.10703326384386998
MKC,25,0.2635608303203567,0.00686951475249621,0.3173653963435608,0.021645443490819913,0.00014869369338451043,0.14869369338451044
DOV,25,1.058695465896207,0.0029724106105652338,0.08895042778189825,0.033416484717234046,9.932751374129745e-05,0.09932751374129745
UNM,25,1.2047387730444725,-0.0016097482546498336,-0.04453507402976267,0.03614562880425534,-5.818536288087079e-05,-0.05818536288087079
UPS,25,0.6509552776234834,0.003606074227353058,0.141773983451099,0.025435373540145138,9.17218449862153e-05,0.0917218449862153
DG,25,-0.36377878524395896,0.011774880130432906,0.2782636906133643,0.04231554646773375,0.0004982604873113285,0.4982604873113285
