Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,0.09796017994298786,0.007982583706032496,0.35003444474381307,0.022805137682592565,0.00018204392047889108,0.1820439204788911
CBRE,25,0.9391094075513556,0.00351402128957061,0.08123418996212022,0.04325791013868927,0.00015200921716968644,0.15200921716968643
K,25,0.08324547219989846,0.00803379875648302,0.3253618795858369,0.02469188697431146,0.0001983696508694427,0.1983696508694427
PKI,25,0.6668085170823783,0.013582353362963345,0.46088790564664067,0.02946997132395319,0.000400271564118329,0.400271564118329
FFIV,25,0.6554515516301824,-0.007915776313363855,-0.12274754239973157,0.06448826720771206,-0.0005104746980526861,-0.5104746980526861
UNP,25,0.41681742719935083,0.0057500803426956725,0.19711000930620842,0.029171934814142188,0.00016774096893319853,0.16774096893319854
LEN,25,0.709247167581887,0.023734259942222693,0.350349782217869,0.06774446894750251,0.0016078648356478578,1.6078648356478578
AN,25,0.17510410064623946,0.007741478049070609,0.16452189377999452,0.04705439422805839,0.0003642705600288288,0.3642705600288288
ADSK,25,0.8285918027511556,3.7100146983912e-05,0.0007635589316057924,0.04858845263703357,1.802638734554792e-06,0.001802638734554792
TPR,25,1.186749163271222,-0.014614252109924827,-0.2777306730616062,0.0526202307754574,-0.0007690053186349596,-0.7690053186349596
WAT,25,0.30563494789960877,0.001698392696291379,0.05345381540334899,0.031773086420038246,5.396317791442775e-05,0.05396317791442775
XOM,25,0.2937583445024731,0.002727316267657832,0.10512795121119807,0.02594282715715402,7.075429453474155e-05,0.07075429453474155
ABC,25,-0.10910411280443984,0.007425055519246523,0.2947076025569094,0.025194652105429517,0.00018707169067091548,0.18707169067091547
NI,25,0.22378764270950602,0.007951484161491152,0.2915614798206576,0.02727206682577613,0.00021685340741628715,0.21685340741628714
CSCO,25,0.6172033554390649,0.00101057143086807,0.022690866182492036,0.04453648541842855,4.500729979513627e-05,0.04500729979513627
CF,25,0.5663916677015985,0.008514053950390486,0.16802194064535458,0.05067227480940228,0.00043142648151626376,0.4314264815162638
FTI,25,0.34375724065946167,-0.0052296784645381195,-0.1103256803966043,0.047402186378893915,-0.0002478981932777237,-0.24789819327772372
HPQ,25,0.9031723952161164,-0.023329798933613123,-0.3136012186621339,0.07439320240253296,-0.0017355784540786785,-1.7355784540786785
