Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,0.3818858766544201,0.003336624000480778,0.14223847597664965,0.02345795662931969,7.827038109162525e-05,0.07827038109162525
CBRE,25,1.0549339295678244,0.015086447967092867,0.354357211257949,0.04257412432369244,0.0006422923113539288,0.6422923113539288
K,25,0.11978806198395418,-0.0024173937009012497,-0.11113474653738727,0.02175191626579186,-5.258294536345668e-05,-0.05258294536345668
PKI,25,0.7690596488334004,0.0056456815763301195,0.13489869652553513,0.04185126855737588,0.00023627893584042103,0.23627893584042103
FFIV,25,0.728457492324108,0.026848411053455142,0.32368582345954483,0.08294589724844942,0.002226965544524024,2.226965544524024
UNP,25,0.75315623617354,0.012839550693286014,0.5091694048294194,0.025216657897163885,0.00032377055738588677,0.3237705573858868
LEN,25,1.126029300942972,0.004094250608700639,0.06927305516425074,0.05910307548862852,0.00024198280279539712,0.24198280279539713
AN,25,0.5677592156328619,0.015895099220924774,0.30790650823043325,0.051623134932338256,0.0008205548518447043,0.8205548518447043
ADSK,25,1.180066213241837,0.013868334828724252,0.29027159901598376,0.04777709867495715,0.0006625888015693035,0.6625888015693036
TPR,25,0.7785693093778505,0.012476961965937138,0.3156234079756723,0.039531168001642136,0.0004932288796255602,0.49322887962556017
WAT,25,0.7788258479761213,0.007209962417352767,0.3021082064962146,0.02386549674029827,0.0001720693345690055,0.1720693345690055
XOM,25,0.5897143046057293,0.004768264964906375,0.1663061675427097,0.02867160632320999,0.00013671381591855028,0.13671381591855028
ABC,25,0.2041695682512726,0.010444398334281095,0.29083536601479726,0.03591172035710987,0.0003750763122789668,0.3750763122789668
NI,25,0.5206246378905776,0.008079477267295219,0.2619411008186903,0.030844633553279786,0.0002492085156117754,0.2492085156117754
CSCO,25,0.89929702922602,-0.008158066273087728,-0.18798021158644657,0.0433985375600882,-0.0003540481455702865,-0.35404814557028647
CF,25,0.5260490881130054,0.01033911326378983,0.12708785523461813,0.08135406207542564,0.0008411288622672145,0.8411288622672145
FTI,25,0.892170072221729,0.014682242049051513,0.3158646928132492,0.04648269459395449,0.000682470173120578,0.682470173120578
HPQ,25,0.7071100068391064,-0.005200906956636345,-0.13732508104003402,0.037872957490701485,-0.0001969737280817819,-0.1969737280817819
ROP,25,0.8388039668628371,0.011519926277737055,0.5032683413516951,0.022890226408433422,0.0002636937207058629,0.2636937207058629
SYY,25,0.35530742243192515,0.0010409385643477156,0.03615745018696947,0.028789047871601636,2.9967630160402666e-05,0.029967630160402665
AGN,25,0.4414160790071066,0.004688473903959485,0.10463942806063875,0.04480599704006892,0.00021007174786324905,0.21007174786324906
DD,25,0.8156351215041979,0.004226714042280804,0.11593335927120134,0.03645813481858409,0.0001540981103930761,0.1540981103930761
PWR,25,0.0942307593968692,0.009488788389152599,0.1562895315066322,0.060712885230895575,0.0005760917204508762,0.5760917204508762
BEN,25,0.8332848324304475,0.002558564956118045,0.05810783881702149,0.044031321904344625,0.00011265699719600902,0.11265699719600902
WY,25,0.8624496217734142,0.011399480931140186,0.17090438789316326,0.06670092600703907,0.0007603559341066344,0.7603559341066344
EMN,25,0.8209157446034067,0.013279806984744453,0.3528719323101146,0.037633503174386095,0.000499765658315615,0.49976565831561504
CTXS,25,0.8382307563691235,0.01163914982346185,0.18934023972153816,0.06147214052638518,0.0007154834535554981,0.7154834535554981
JNJ,25,0.45569301589202377,-0.00312442624330238,-0.13870250468963355,0.02252609821497979,-7.038113242208975e-05,-0.07038113242208975
AEP,25,0.32045593549439627,0.0022177250115663714,0.08770884962642302,0.02528507694505508,5.6075347560428863e-05,0.05607534756042886
HIG,25,1.0609274760557952,-4.2880720592505285e-05,-0.0009016606795100813,0.04755749204435153,-2.0392995284341307e-06,-0.0020392995284341307
QCOM,25,0.5429575309000401,0.010122288643675531,0.2377269403739207,0.04257947638477231,0.00043100175026323124,0.43100175026323123
