Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
DTE,25,0.2998675212085602,0.0009848846861891607,0.046580453478588336,0.021143733318137042,2.0824139153900702e-05,0.020824139153900703
CBRE,25,1.0655423941573972,0.007309172622621445,0.16388273255735308,0.04460001678372977,0.00032598922164409457,0.32598922164409455
K,25,0.12649274977582362,-0.0010822136440345642,-0.06407615411294386,0.0168894912470402,-1.827803786834925e-05,-0.01827803786834925
PKI,25,0.8113017738250089,0.002772205793783589,0.06928124598781893,0.04001379816799196,0.00011092648311259446,0.11092648311259445
FFIV,25,1.1632458476717533,0.02606001352802681,0.32479026164631547,0.08023643749640867,0.0020909626465970875,2.0909626465970876
UNP,25,0.9148785040759951,0.006658109588665974,0.2998082556918057,0.02220789275232741,0.00014786258367833672,0.1478625836783367
LEN,25,1.227052555868834,0.0043621680771663875,0.06182407792053488,0.07055775393485476,0.0003077847818111845,0.3077847818111845
AN,25,0.7359990153325594,0.009377455589427888,0.1741022496628156,0.053861771502604,0.0005050863702335816,0.5050863702335816
ADSK,25,1.5872095612575523,0.0030987360079092093,0.06611727134160258,0.04686727000422066,0.00014522929715448177,0.14522929715448177
TPR,25,1.0157001506019332,0.009253379782010672,0.2261450916432554,0.04091788910726352,0.000378628767787707,0.378628767787707
WAT,25,0.9641778588690215,0.0015136257518259828,0.05791353303784227,0.026135959462824324,3.956006129161088e-05,0.03956006129161088
XOM,25,0.613115870626322,-0.0017483172966242066,-0.08838478184471657,0.01978075026191533,-3.4583027823110377e-05,-0.034583027823110374
ABC,25,0.29081057178328895,0.008032433486952801,0.26329598008768984,0.03050723935958926,0.0002450473710264493,0.24504737102644927
NI,25,0.42598956855303455,0.0037812559999005017,0.13902847343188235,0.02719770926459281,0.00010284150134029102,0.10284150134029102
CSCO,25,1.3487474986156645,-0.01937097454121718,-0.471829939890793,0.04105499228323805,-0.000795275210308472,-0.795275210308472
CF,25,0.5928207529309218,0.011079670739364318,0.14918542450767125,0.0742677830352964,0.0008228625825736311,0.8228625825736311
FTI,25,1.204119995700894,0.005891625125933716,0.10583957365901056,0.055665616576603974,0.00032796094527331234,0.3279609452733123
HPQ,25,0.8894617752357709,-0.015892601327056027,-0.5793361828002382,0.027432433531492335,-0.00043597272954697136,-0.43597272954697136
ROP,25,0.9323598611875029,0.007594666141897782,0.25917273622067,0.02930349176632291,0.00022255023675707303,0.22255023675707303
SYY,25,0.6810617496447523,-0.002935402610549553,-0.14011639745682494,0.02094974366903816,-6.149593225643858e-05,-0.06149593225643858
AGN,25,0.3696646875735673,0.00014921416173958738,0.0033201530255513754,0.044941953154345196,6.705975866865423e-06,0.006705975866865423
DD,25,1.3078153663652066,-0.0038141793752769527,-0.11890824857470701,0.032076659281383674,-0.00012234613225883966,-0.12234613225883965
PWR,25,0.35470865436807286,-0.005854881734845961,-0.08597107274024143,0.06810292751070211,-0.0003987345863719483,-0.3987345863719483
BEN,25,1.170668582843838,-0.008637843422380768,-0.24058458303804994,0.03590356170501017,-0.00031012934431366414,-0.3101293443136641
WY,25,1.3131703455950003,-0.004926972961315913,-0.09967030442749358,0.049432707059705046,-0.00024355361108781702,-0.243553611087817
EMN,25,1.1003193887568499,0.00407563677945676,0.13064003395284496,0.031197456523379942,0.00012714950123219053,0.12714950123219054
CTXS,25,0.6597907089757052,0.013127878697735976,0.17842954982087966,0.07357457725424224,0.0009658781254308966,0.9658781254308966
JNJ,25,0.2317179946854491,-0.002294973098437382,-0.09534211520961403,0.024070927033575645,-5.5242129996505237e-05,-0.05524212999650523
AEP,25,0.2792996594541652,0.000854744196086056,0.03627534815796138,0.023562673812641675,2.0140058685624374e-05,0.020140058685624372
HIG,25,1.2016925644035867,-0.005886639664447641,-0.11126390135504147,0.052907003913726346,-0.00031144446776562807,-0.31144446776562806
QCOM,25,0.9141712065868726,-0.004666115188335811,-0.08355507299144874,0.05584478621439723,-0.0002605782051443652,-0.26057820514436525
CPB,25,0.08021347584283248,0.0013837246628915201,0.07910059681948686,0.01749322658145396,2.4205809054307357e-05,0.02420580905430736
A,25,1.0443320448797657,0.002551512600817712,0.07402948644688148,0.03446616643286461,8.794085795533452e-05,0.08794085795533452
ITW,25,0.9351776483529946,-0.0028643122226438633,-0.08250614634982986,0.03471634962199116,-9.943846454784695e-05,-0.09943846454784695
NKE,25,0.7274893194541535,0.005329683078560247,0.2285799922497543,0.023316489890929968,0.0001242695016231105,0.1242695016231105
NRG,25,0.5881875326900426,-0.012942997853655873,-0.3385087143241647,0.03823534611065086,-0.0004948800026439435,-0.4948800026439435
TSS,25,1.0742461332834945,-0.013550265118670846,-0.43144438370764115,0.031406748193651045,-0.00042556976453930837,-0.4255697645393084
PNW,25,0.25709412934898557,0.0047505369430568024,0.26843069394188834,0.01769744313996085,8.407235743403119e-05,0.08407235743403119
LVLT,25,0.9848742180297068,-0.02834507617641191,-0.3153198143277277,0.08989310182376123,-0.002548026818928464,-2.5480268189284643
CVC,25,0.9152623641396475,0.0023991441774726813,0.042842581070715535,0.05599905788852166,0.00013434981367720235,0.13434981367720236
KDP,25,0.17488492709599715,0.0075683060162647885,0.13572163402928783,0.055763446044508995,0.00042203482418631436,0.4220348241863144
BBBY,25,0.7964323003960068,0.002701575637286128,0.07671993809952528,0.03521347519573721,9.513186669298301e-05,0.09513186669298301
FDX,25,0.9538621933737298,-0.003518451909017408,-0.09609507840742412,0.036614277935232725,-0.00012882557609851354,-0.12882557609851353
AIZ,25,0.5380480138822464,0.005682464194102494,0.13435566535393292,0.042294191161445914,0.0002403352268934426,0.24033522689344258
HRL,25,0.0278673009154204,0.01219291404853151,0.4828934304114242,0.02524969958308021,0.0003078674167677389,0.3078674167677389
