Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,1.0850727466357102,0.009352713368602586,0.3273357975252225,0.028572229005542613,0.00026722786819091297,0.267227868190913
OMC,25,0.7406230317759678,0.007696554139724831,0.24260690166340954,0.0317243824761546,0.00024416842727706156,0.24416842727706156
JCI,25,0.43237982040082823,0.010977557407050755,0.25780498108683064,0.04258085844878781,0.00046743381806307036,0.4674338180630704
CELG,25,1.2702369227693968,-0.0017138478266703339,-0.03648511829241322,0.046973887077315965,-8.050609427771564e-05,-0.08050609427771564
MU,25,2.1732453860205614,-0.0217639738274841,-0.278075682140308,0.0782663685654566,-0.0017033871970308218,-1.7033871970308219
USB,25,0.8100230910242766,-0.0013042399671843877,-0.03165801421489039,0.04119778196861561,-5.373179380281678e-05,-0.05373179380281678
SYMC,25,0.974801441757127,0.006211397332060775,0.12513649628532003,0.04963697655317399,0.00030831498373394816,0.30831498373394817
CERN,25,0.9170925707214818,-0.016029709585398913,-0.11542940605618396,0.13887024228121414,-0.0022260496538218477,-2.2260496538218475
CAT,25,1.357840736984579,0.012464658516198235,0.2836034198494898,0.04395101625647995,0.0005478344090768999,0.5478344090769
WBA,25,0.6887446658466178,0.013463800564149545,0.35100716071601806,0.038357623635611286,0.0005164393947445791,0.5164393947445791
IBM,25,0.967175126233515,0.00643811953269777,0.3018434264881956,0.021329334905855736,0.00013732080767684218,0.13732080767684218
NEE,25,1.3010761623244096,-0.002222630202288591,-0.14456895886676024,0.01537418696040444,-3.417113227382634e-05,-0.03417113227382634
RSG,25,1.0798604712048798,-0.005682146354445674,-0.18088975907334595,0.03141220588469973,-0.00017848875115284351,-0.17848875115284352
INTC,25,1.2008737505680518,-0.0034722891722582406,-0.08104179239002084,0.042845661107142594,-0.00014877252514057724,-0.14877252514057723
CI,25,0.7224759286847742,0.016055166997409942,0.5524497231549216,0.029061770373822137,0.0004665915765920952,0.46659157659209516
GD,25,1.0305648840680823,0.0021767358994926496,0.06604531310384013,0.03295821909527878,7.174133868803748e-05,0.07174133868803749
VAR,25,0.9521159371697734,0.004594683332358626,0.16740016934400667,0.027447303968471923,0.00012611167006211873,0.12611167006211874
IVZ,25,1.702171578176876,-0.0004785217747008911,-0.011446598870168778,0.04180471248520613,-2.000446520928134e-05,-0.020004465209281338
EMR,25,1.1148260194587722,0.0015322864270028973,0.03796917985996654,0.04035605806219928,6.183704001604881e-05,0.06183704001604881
DLTR,25,0.061319766207580145,0.01787649218723006,0.49071648304958787,0.036429369716980964,0.0006512293431313255,0.6512293431313254
A,25,0.7509333558033219,0.017470155571453615,0.43073263492637004,0.040559163979854894,0.0007085749045761628,0.7085749045761628
YUM,25,0.5558234752489943,0.010505948082579732,0.4580825954807478,0.02293461525547367,0.00024094987716794748,0.24094987716794747
FDX,25,1.162428884067144,0.0020585785866681326,0.05326077496467132,0.03865093191065318,7.956598078603865e-05,0.07956598078603865
MMC,25,0.5169080314235021,0.009563621449412129,0.35087311813331523,0.027256637670881368,0.0002606721646680957,0.26067216466809573
HOG,25,0.937433812565886,0.01598900767558934,0.2898062503377405,0.05517136934402117,0.0008821354479143289,0.882135447914329
PEG,25,1.068490576685075,-0.00523049743194663,-0.2767546614928066,0.018899401382197065,-9.885327039491034e-05,-0.09885327039491035
NWL,25,1.170329330912145,-0.005637283096710483,-0.11055219914517388,0.05099204846488644,-0.00028745661287774606,-0.28745661287774604
ADBE,25,1.4629427621153008,-0.005368684990368298,-0.09872915665023198,0.054377907930358925,-0.00029193785811334723,-0.2919378581133472
FAST,25,0.5762144311008182,0.011055511006914107,0.25994332306144874,0.0425304673215271,0.0004701960496023436,0.47019604960234357
MSI,25,1.2873553619363536,0.012394720069875784,0.2957378281749217,0.04191117567328793,0.0005194772902697916,0.5194772902697916
NVDA,25,0.6119639673352921,0.011338211836563836,0.10215731783273817,0.11098775963487856,0.001258402730005882,1.258402730005882
RRC,25,0.46666327813836594,0.0082643827453953,0.1459528248407282,0.056623657366096564,0.0004679595769175439,0.4679595769175439
CMCSA,25,1.451624423974892,0.003056377883750674,0.06971047041365454,0.043843885511236004,0.00013400348201423834,0.13400348201423834
AN,25,1.2723787183049469,0.015390332409583398,0.25903342808398544,0.05941446447056033,0.0009144083581393059,0.9144083581393059
XOM,25,0.85017180499864,0.008156063573662388,0.28813410638308823,0.028306484352180465,0.0002308694859232635,0.23086948592326348
VRTX,25,2.0998831091338315,0.002082610907220124,0.028116919764950937,0.074069667823863,0.00015425829810414854,0.15425829810414854
BMY,25,0.6236794073663652,0.002485707391392527,0.11541827909719626,0.021536514067232438,5.353347220174881e-05,0.05353347220174881
DISCA,25,0.8810753047030858,-0.001727787140777935,-0.0365639775747431,0.04725380703579197,-8.164452014924328e-05,-0.08164452014924328
GLW,25,1.45883993145169,-0.007371040750283813,-0.15280067632302125,0.04823958196821985,-0.0003555759244644047,-0.3555759244644047
PLD,25,1.2791712130502446,0.007124953384206826,0.15484627017430452,0.046013077203516356,0.0003278410301389638,0.3278410301389638
WMB,25,0.8607657731404137,0.014565676638483948,0.3418494223987732,0.04260845765447232,0.00062062101625958,0.62062101625958
WU,25,0.30658720890193586,0.008885550151643976,0.34580843302548214,0.025695007128380853,0.00022831427448607753,0.22831427448607752
SWKS,25,1.4776069175385989,0.0025441809016199125,0.03255205370138655,0.07815730844384615,0.0001988463314648501,0.1988463314648501
PCAR,25,1.7387937688323243,-0.0036502567378752498,-0.08309544764895865,0.043928480333795934,-0.000160350231323059,-0.160350231323059
EL,25,0.9285231729272648,0.017130709639504638,0.44208050289158346,0.03875020392769007,0.0006638184919568507,0.6638184919568507
DOV,25,1.1694975526928577,0.010792411715139498,0.23279319853778993,0.046360511316173775,0.0005003417254485311,0.5003417254485311
GPS,25,-0.10194497518103636,-0.0025968529750887144,-0.04147736097846966,0.06260892481652114,-0.00016258617267688857,-0.16258617267688857
