Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.1257194092949542,0.013833992775235903,0.5840676725778666,0.023685599160415072,0.0003276664076623157,0.3276664076623157
OMC,25,0.10111246422500188,0.01034116539566953,0.35629199547688567,0.029024411232781707,0.00030014623707012416,0.30014623707012417
JCI,25,-0.015301403757120063,0.010019909470239747,0.3602262096543407,0.02781560364487212,0.0002787098303816894,0.2787098303816894
CELG,25,0.2566393797516106,0.021584447825110663,0.48605411630185613,0.04440749929109949,0.0009585113514923757,0.9585113514923757
MU,25,0.37847859328324834,0.02923755720084244,0.4395213728705805,0.06652135483170599,0.0019449219169695405,1.9449219169695404
USB,25,-0.05956236873263387,0.006201603253221822,0.2880044013883353,0.021533015548813757,0.00013353921927919946,0.13353921927919946
SYMC,25,0.2569349518825196,0.014793508439500114,0.2630822831950337,0.056231488718429125,0.0008318610029217367,0.8318610029217367
CERN,25,0.27120022989807796,0.003443040723107705,0.07938583663899038,0.04337096979609905,0.0001493280152086433,0.1493280152086433
CAT,25,0.3887570387858271,-0.003865903905541981,-0.12343613150495808,0.031319062404241815,-0.00012107648566647147,-0.12107648566647147
WBA,25,0.06298703185575688,0.016587557193307567,0.2823810090662967,0.05874175904447307,0.0009743822877856891,0.9743822877856891
IBM,25,0.2415017616749829,-0.0025214039463673805,-0.0620371722502726,0.04064343771497904,-0.00010247852424848497,-0.10247852424848497
NEE,25,0.02487905203592704,0.00794816000797249,0.3160891341123407,0.025145312350875207,0.00019985896601520305,0.19985896601520306
RSG,25,0.11909664060819179,0.010063162931790132,0.37892507603761144,0.02655713112739807,0.00026724873753592213,0.26724873753592215
INTC,25,0.3087031295843423,-0.00517102603890978,-0.12784336751178993,0.0404481369628573,-0.00020915836946032426,-0.20915836946032426
CI,25,0.1102600905584867,0.018949894112876363,0.755703573655262,0.025075829694992224,0.0004751843175126234,0.4751843175126234
GD,25,0.3266929501058556,0.005010510072026179,0.16626654853367423,0.030135406768315713,0.00015099375913725177,0.15099375913725177
VAR,25,0.25730711153912367,0.0017247909340508578,0.036806722212129765,0.04686075886112042,8.08250120464039e-05,0.0808250120464039
IVZ,25,0.6184022939113112,0.008875698696016744,0.2819400056962102,0.031480806259117027,0.0002794141510636007,0.27941415106360074
EMR,25,0.16231305298904705,0.005968005265292124,0.16870223716728033,0.035375969907111664,0.00021112397467045816,0.21112397467045815
DLTR,25,0.05662557445838427,-0.0028020723087018107,-0.05651421674559993,0.049581724211368,-0.0001389315764303644,-0.13893157643036438
A,25,0.31973357667943153,0.0008306270348126029,0.01923497886726591,0.04318315297066243,3.586909430588038e-05,0.03586909430588038
YUM,25,-0.01291374245461484,0.003859807858246892,0.0973748636180839,0.039638647129566516,0.00015299756168097645,0.15299756168097645
FDX,25,0.14502980613607722,0.001799600896053906,0.04885863187687563,0.03683281391482519,6.628436492530618e-05,0.06628436492530618
MMC,25,0.04832530242237952,0.009164759892027424,0.40895025665571955,0.022410451498366228,0.0002053864070544527,0.2053864070544527
HOG,25,0.4061612996120531,0.003971234662449372,0.08216143137658151,0.04833453599715759,0.00019194778474531914,0.19194778474531915
PEG,25,0.02543727112005416,0.0017635867991825124,0.057799508643000874,0.030512141722091796,5.381081035586706e-05,0.05381081035586706
NWL,25,0.3873640869713324,0.012077129497292614,0.4150588471011875,0.029097390843829722,0.000351412957254268,0.35141295725426797
ADBE,25,0.3168464480952926,0.010658922220838762,0.3374668453728877,0.0315850945566551,0.0003366630662172244,0.3366630662172244
FAST,25,0.13372000489778593,0.004913621041364377,0.11996856857983017,0.04095756996629269,0.00020124997758952943,0.20124997758952942
MSI,25,-0.07009532887378214,0.008720322440192985,0.285429914708261,0.030551536439710814,0.00026641924879758393,0.26641924879758394
NVDA,25,0.31099420724870713,-0.0015928783511447112,-0.03494258060109459,0.04558559567563289,-7.261230847575159e-05,-0.07261230847575159
RRC,25,0.04987222555009364,0.008531776925733854,0.1906609122826555,0.04474843230103433,0.00038178364216872815,0.3817836421687281
CMCSA,25,0.06310141916071867,0.010614129989441879,0.37810499784904156,0.02807191137335765,0.00029795891636891,0.29795891636891
AN,25,0.3196039766873271,0.005237285944957867,0.0903054301739132,0.057995249398311126,0.000303737704548101,0.303737704548101
XOM,25,0.09193890607739685,0.00234295766130011,0.1439564161256664,0.016275465341224045,3.813272621244528e-05,0.03813272621244528
VRTX,25,0.570318757091921,0.008930811879057024,0.07846380635039557,0.11382078303944018,0.0010165120012522045,1.0165120012522044
BMY,25,0.14489910888396382,0.008887602171155789,0.2162310219157421,0.04110234550257542,0.00036530129512828466,0.3653012951282847
DISCA,25,0.5714388240347762,0.00888332655711747,0.2689751925090371,0.033026564547654354,0.0002933857579365323,0.29338575793653227
GLW,25,0.7949708857716538,-0.002602434664975127,-0.05135970743712679,0.05067074550922938,-0.00013186730461335126,-0.13186730461335125
PLD,25,0.42662330856636976,0.0022243921062303417,0.07478622085096814,0.029743341499539697,6.616085404448944e-05,0.06616085404448944
WMB,25,0.1870415762730915,0.004598745127069464,0.12093634098826576,0.03802616392632279,0.00017487263605732157,0.17487263605732156
WU,25,0.6615659763881798,-0.00442505024331986,-0.05641278198466935,0.07844056059001672,-0.0003471034217249997,-0.3471034217249997
SWKS,25,0.5161286878797715,-0.013773978774679426,-0.1790793358300275,0.0769155118363458,-0.0010594326274774313,-1.0594326274774313
PCAR,25,0.22690680315416967,0.011827278966304701,0.3293520811619443,0.035910746106654054,0.0004247264120915379,0.42472641209153794
EL,25,0.48566074012173455,0.003894042479991011,0.10525688948271651,0.03699560664511584,0.00014406246384911881,0.1440624638491188
DOV,25,0.24613326769312793,0.013332860695869777,0.4153851325961094,0.032097587635216814,0.00042795266461381797,0.427952664613818
GPS,25,0.11070989104377675,0.01629892768240848,0.3319042554474876,0.0491073175920374,0.0008003966181096834,0.8003966181096834
LEG,25,0.0786446155323157,0.016325561817584995,0.5075198987983892,0.03216733345084126,0.0005251497907585787,0.5251497907585787
R,25,0.16798620696717176,0.02034761531486129,0.42376954624706925,0.04801575642955257,0.0009770061408806133,0.9770061408806132
VNO,25,0.06824285455178551,0.0007032378723887745,0.023852804034900005,0.029482398436671792,2.0733139149523202e-05,0.020733139149523204
CCL,25,0.2783346386182748,-0.0009663693896834937,-0.026183190372058626,0.03690800761677821,-3.56667687950597e-05,-0.0356667687950597
EW,25,-0.1345071830875693,-0.01591949048371057,-0.20923532159597918,0.07608414469546469,-0.0012112208174407083,-1.2112208174407082
PRU,25,0.5923727586579206,0.012616679453174653,0.3251825511512611,0.038798759061662906,0.0004895115062619563,0.4895115062619563
NFLX,25,1.0741037711111665,0.034809846670191796,0.2256771825214553,0.15424619485792454,0.005369286392464879,5.369286392464879
FISV,25,0.2144129462860165,0.005596781861801686,0.26825285108652763,0.02086382992438872,0.00011677030488853402,0.11677030488853403
NTRS,25,0.2316004378466413,0.007932309585543022,0.3287139857288763,0.024131341926186253,0.00019141727487310343,0.19141727487310342
SYY,25,0.06140554158502518,0.006236366847134201,0.30245274871909505,0.020619309540235876,0.00012858957842752495,0.12858957842752494
PCG,25,-0.06526232267428708,0.002729650019714107,0.10093862471293713,0.027042671004058695,7.381702743935094e-05,0.07381702743935094
