Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.5326137066296229,0.007932116423966162,0.29393897919769857,0.026985588796752096,0.00021405283210511455,0.21405283210511455
OMC,25,0.5677579321470704,0.0030170307069794303,0.11762805074143026,0.02564890506951833,7.738353419513718e-05,0.07738353419513719
JCI,25,0.18713245441202328,0.010867512525562697,0.2550650299831905,0.04260683060425373,0.00046303026526625543,0.4630302652662554
CELG,25,0.5915390372753384,-0.0027962100510906442,-0.06032515304618122,0.04635230761785284,-0.00012961078845228556,-0.12961078845228555
MU,25,0.6633476627089887,-0.017280957339406745,-0.20803168278435644,0.08306887252995984,-0.001435509642422853,-1.4355096424228528
USB,25,0.3784933456450834,-0.002017566688440493,-0.0493395394351548,0.04089147794117756,-8.250128373521909e-05,-0.08250128373521909
SYMC,25,0.11104851783576979,0.011610119879445156,0.22168189713311626,0.05237288217753511,0.0006080554405132393,0.6080554405132393
CERN,25,0.20823541589281194,-0.012835538511404223,-0.09196554045512034,0.13956899995241187,-0.0017914432738873568,-1.7914432738873567
CAT,25,0.7527370061227774,0.009120410540569807,0.22831193603544925,0.039947147306191255,0.0003643343833570815,0.3643343833570815
WBA,25,-0.026785470610254433,0.01919019237553578,0.47686876915291265,0.04024208255370621,0.0007722533057978145,0.7722533057978145
IBM,25,0.3346231301093718,0.007717322239505883,0.3237355288322858,0.023838354311441406,0.00018396826188090773,0.18396826188090773
NEE,25,0.035588768212614634,0.007029127700022179,0.2538037684363048,0.02769512739439968,0.00019467258712361785,0.19467258712361785
RSG,25,0.23718922935959072,-0.0017756574523875258,-0.04996952976219812,0.03553480412639,-6.30976397661554e-05,-0.0630976397661554
INTC,25,0.3673543385755694,-0.001009765874039027,-0.022186652179364948,0.04551231370446128,-4.5956781227323736e-05,-0.04595678122732374
CI,25,0.23284086623676487,0.017321754580801756,0.5707129400752747,0.03035108084025059,0.000525733973576895,0.525733973576895
GD,25,0.5161847785250657,0.0006399075759841791,0.0203410546593054,0.03145891826663183,2.0130800131084786e-05,0.020130800131084786
VAR,25,0.5785228683886449,0.0013285884424694902,0.059565857654511306,0.022304529721966785,2.9633540403322303e-05,0.029633540403322303
IVZ,25,0.7541021702756286,-0.0012279844282547941,-0.029438985948053883,0.04171286437724504,-5.122274791316102e-05,-0.05122274791316102
EMR,25,0.6613689375469809,-0.0020009478928398,-0.05523138212900477,0.036228459540740006,-7.249125977887565e-05,-0.07249125977887565
DLTR,25,0.39262167881818766,0.011210554848102756,0.3412772017035745,0.03284882433441887,0.0003682535468966953,0.36825354689669526
A,25,0.6209994970042632,0.011901873759724221,0.3437230574942748,0.03462634670623592,0.0004121184072580625,0.4121184072580625
YUM,25,0.3124974971516108,0.009057626260283518,0.4198906064667594,0.02157139531293745,0.00019538563665741905,0.19538563665741904
FDX,25,0.5879920563893554,0.0002204742220107709,0.005978184817196398,0.03687979357489438,8.131043796342667e-06,0.008131043796342666
MMC,25,0.29361251003361444,0.008162308826394477,0.31127045292301664,0.026222562243687096,0.00021403665125232574,0.21403665125232574
HOG,25,0.6434399529835174,0.011431918141310365,0.22203004977913976,0.0514881573583488,0.0005886084001675505,0.5886084001675504
PEG,25,0.10854029639014245,0.0009265540798781007,0.03508544209042991,0.02640850519967746,2.446890823624319e-05,0.02446890823624319
NWL,25,0.6838611802168914,-0.009156860278387963,-0.19197695837440293,0.04769770474501322,-0.0004367612179498886,-0.4367612179498886
ADBE,25,0.48294876175902585,-0.0030123156767349456,-0.052812360161055616,0.057038081001277774,-0.0001718167055710267,-0.17181670557102668
FAST,25,0.7413694545857337,0.001971345684732062,0.06158444366070448,0.032010448865838,6.310366023800608e-05,0.06310366023800608
MSI,25,0.02810697931827167,0.021678009124039867,0.45431533179209216,0.047715777142120205,0.0010343830522475347,1.0343830522475348
NVDA,25,0.14664323711285582,0.013329934541286443,0.11969976045629975,0.11136141367762356,0.0014844403547478427,1.4844403547478426
RRC,25,0.39084240713892765,0.0047145227094267175,0.08567914415541168,0.05502532449291439,0.00025941814191541906,0.25941814191541906
CMCSA,25,0.6066072782199933,0.003080234934889804,0.06904115856641305,0.04461447343654902,0.00013742305968097147,0.13742305968097146
