Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.799231362634295,-0.00016012392403956695,-0.0070324531422077344,0.022769284174611423,-3.6459071296107934e-06,-0.0036459071296107933
OMC,25,0.9592523682621716,-0.0034784489699097552,-0.16403588669686978,0.021205414497729738,-7.37619522161374e-05,-0.0737619522161374
JCI,25,1.1327638212391389,0.00034936229809491744,0.014544063517189964,0.024020955194674315,8.392016109246463e-06,0.008392016109246463
CELG,25,1.038297844811935,-0.001173163908829128,-0.030199909001653615,0.03884660409953191,-4.557343391014448e-05,-0.045573433910144484
MU,25,-0.2506569834770409,0.03575312418157937,0.5266913190431141,0.06788250136063602,0.00242701150090305,2.42701150090305
USB,25,0.5181588249238902,0.0028005325748705987,0.174157399721614,0.01608046846902386,4.503387576668086e-05,0.04503387576668086
SYMC,25,0.48308850992394586,-0.005132108572339852,-0.0939646213290452,0.05461745601430394,-0.0002803027142104041,-0.2803027142104041
CERN,25,-0.7612660977784766,-0.017113026276522482,-0.12080067835879149,0.1416633292877287,-0.0024242882765205583,-2.4242882765205582
CAT,25,0.3662554464972995,0.005533756016888446,0.22031992380383866,0.0251169114501665,0.00013899085986301317,0.13899085986301318
WBA,25,1.079148518311743,0.00502016915412961,0.11642594237411676,0.04311899093758737,0.0002164646282620703,0.2164646282620703
IBM,25,0.5812442804698423,-0.008411648080572095,-0.2766135526670823,0.030409385221612465,-0.00025579304683075394,-0.25579304683075393
NEE,25,0.26134141172701364,0.00813294243088343,0.30441011517942973,0.026717057105969017,0.00021728828736547107,0.21728828736547107
RSG,25,0.5070105439701683,-0.0027108752209470677,-0.12352125369386477,0.021946629748963723,-5.9494574769765524e-05,-0.059494574769765524
INTC,25,0.5123926821703848,0.0007400383828892456,0.0245585793561433,0.030133599022865543,2.230001989151437e-05,0.02230001989151437
CI,25,0.48884425571764395,0.00620734465744517,0.14862272397844303,0.04176578447280723,0.00025925461911128643,0.25925461911128644
GD,25,0.6935988354076151,0.01101452689989729,0.4479784357505815,0.024587181035717953,0.0002708161669105599,0.27081616691055993
VAR,25,0.43346948589370266,0.0033073672421408376,0.10612163508667771,0.03116581495789672,0.00010307679546637054,0.10307679546637054
IVZ,25,0.8683812145170189,-0.004797620424101933,-0.18709641858832002,0.025642502728277436,-0.00012302299481427336,-0.12302299481427335
EMR,25,0.8417314226666155,-0.0002508902667238029,-0.01024952181903287,0.02447824114661737,-6.141352450204399e-06,-0.006141352450204399
DLTR,25,1.0056662616830958,-0.006717800094699525,-0.21864002918205735,0.03072538967283864,-0.00020640702565387521,-0.20640702565387523
A,25,0.56718426943674,0.0033018213152567815,0.10281043409339749,0.032115624687055234,0.00010604005414450588,0.10604005414450587
YUM,25,0.9169653861533396,-0.004220624769585802,-0.10287533144584173,0.04102659704972841,-0.0001731578717198995,-0.17315787171989952
FDX,25,1.0342662644460476,0.006905497648358348,0.3067339282533032,0.0225129893118825,0.00015546339475072123,0.15546339475072124
MMC,25,0.7333565015295573,0.002980130918725883,0.17713194616783862,0.016824355985464678,5.0138783459934156e-05,0.05013878345993415
HOG,25,0.6397166479557613,0.00418723480405061,0.14641318260358413,0.02859875545078212,0.00011974970417604698,0.11974970417604698
PEG,25,0.16775005687223413,0.0041443140449680844,0.1285041246452663,0.032250435979455136,0.00013365593478599996,0.13365593478599996
NWL,25,0.9786474563901497,-0.00452470436294036,-0.1747033473022731,0.02589935701181318,-0.00011718693366870111,-0.11718693366870112
ADBE,25,0.7832765970276395,0.009666267014988376,0.23003023468265568,0.04202172391956967,0.00040619320383668435,0.40619320383668434
