Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,1.2017655781304881,-0.0018475676120366872,-0.06759503594985873,0.027332888962544422,-5.0499360390592124e-05,-0.05049936039059212
OMC,25,0.9289977795047761,0.00258462076748396,0.08250480638280497,0.03132691149521475,8.096818603166405e-05,0.08096818603166404
JCI,25,1.008508040891246,0.004376119210408046,0.13109854133013465,0.03338038063587623,0.0001460765249513907,0.1460765249513907
CELG,25,0.6141769152104171,0.005373771676925641,0.16118943055417964,0.03333823848406355,0.00017915208172425312,0.17915208172425312
MU,25,2.368907731394603,-0.02546964303871317,-0.29173966970129606,0.08730263890677196,-0.0022235670492931543,-2.223567049293154
USB,25,0.9172716687657084,0.007708995023678458,0.25646259052425563,0.030058945470058177,0.00023172426104570062,0.23172426104570062
SYMC,25,0.9599813827982642,-0.011332660709938448,-0.33677431155439314,0.03365060909079488,-0.0003813509355087487,-0.38135093550874866
CERN,25,0.5551576875110688,-0.017370068016919864,-0.12090657541367707,0.14366520561424276,-0.002495474393184174,-2.4954743931841743
CAT,25,1.7666085197473371,-0.007010144315483179,-0.1652921600230285,0.0424106280328512,-0.0002973046230205634,-0.2973046230205634
WBA,25,0.5873951534408188,-0.013139677469842148,-0.35488741457351575,0.03702491812969105,-0.00048649548257145164,-0.48649548257145164
IBM,25,0.5107049428310546,0.0062751858652581516,0.2704218632939549,0.023205172055326302,0.00014561676768246707,0.14561676768246706
NEE,25,0.42181799345999565,0.006038545081982462,0.22847471829953292,0.026429817386035077,0.00015959764379413666,0.15959764379413666
RSG,25,0.7855110062691547,-0.006589660681570627,-0.15855300535463904,0.04156124740008167,-0.0002738745178693476,-0.27387451786934763
INTC,25,0.9396769531623316,0.005853155801681697,0.19728541248690093,0.029668467262222574,0.00017365416128288156,0.17365416128288155
CI,25,0.9810894480781825,-0.005880687064331775,-0.17155200565723058,0.0342793256295801,-0.0002015859868038884,-0.2015859868038884
GD,25,0.835023150008963,-0.004688927745103592,-0.13486480853304855,0.034767615036909894,-0.00016302283477764767,-0.16302283477764767
VAR,25,0.9154707825269588,-0.004884046216954844,-0.10268063647952393,0.0475654065304591,-0.000232311643823008,-0.232311643823008
IVZ,25,1.6423301068131304,-0.0059381789676063975,-0.2068729991758723,0.028704465982813336,-0.00017045225617551545,-0.17045225617551546
EMR,25,1.1764622482603255,-0.005368870924994104,-0.17144961215036092,0.03131457025569481,-0.00016812388577448507,-0.16812388577448506
DLTR,25,0.36014492263153364,0.018538846291570127,0.6139033131011774,0.03019831607996997,0.0005598419400708138,0.5598419400708138
A,25,1.6621404678660805,-0.009735407553923643,-0.18040345649235892,0.053964639831255067,-0.0005253677622579693,-0.5253677622579693
YUM,25,0.7170170410312393,0.009401729732740005,0.38012087173767634,0.024733526706284613,0.000232537933429995,0.23253793342999501
