Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.8590781719883999,0.004082925372320542,0.20410788292356208,0.020003761314057567,8.167386461100974e-05,0.08167386461100974
OMC,25,0.5184744486137249,0.0030471102412251098,0.10555120213940165,0.02886855080248907,8.796565679959181e-05,0.08796565679959181
JCI,25,0.82976026654543,0.007447256336133107,0.24917100200393688,0.029888134157824035,0.0002225845964820514,0.2225845964820514
CELG,25,0.35553525152667387,0.006465045295869797,0.141410728060684,0.04571820953425425,0.0002955702954850201,0.2955702954850201
MU,25,-0.352310687802432,0.0346541081518327,0.5131577582280034,0.06753110051672527,0.002340230060918883,2.340230060918883
USB,25,0.26229963459532296,0.006375100030189876,0.32821821561681397,0.019423358384327565,0.00012382585262231543,0.12382585262231544
SYMC,25,0.30401094267439993,-0.0019657073401630008,-0.03551499610655351,0.055348657064903155,-0.00010879926146064486,-0.10879926146064485
CERN,25,-0.8119142070050516,-0.02117228880882866,-0.14982907064308257,0.14130961847360402,-0.002991848053788534,-2.991848053788534
CAT,25,0.4746639212037832,0.007251789154434375,0.30727887763676914,0.023600024870588834,0.00017114240440091762,0.1711424044009176
WBA,25,0.9763680846441806,0.01126248565442798,0.25721784553823324,0.043785786444408684,0.0004931367916979999,0.49313679169799995
IBM,25,0.4032398575173146,-0.004706599909579218,-0.1472945292770404,0.031953664081622216,-0.00015039311247728784,-0.15039311247728784
NEE,25,0.8468343006139354,0.00793836500396621,0.49622074544644923,0.015997648378896518,0.0001269951720367889,0.1269951720367889
RSG,25,0.5798520111103516,-0.00011669588688813497,-0.005786646321545773,0.020166410802338837,-2.353337193929396e-06,-0.002353337193929396
INTC,25,0.42333124051413046,0.0038165106009477507,0.1240849426831703,0.0307572419217097,0.00011738533985011963,0.11738533985011963
CI,25,-0.3899836345650877,0.011361630899464226,0.268795724702895,0.04226864438421576,0.0004802407361141708,0.4802407361141708
