Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.6677562911893744,0.0066762935178205,0.25655896678685086,0.026022452465546308,0.0001737335307135189,0.17373353071351888
OMC,25,1.17638769453598,-0.0030285696377052324,-0.11192302227613579,0.027059398291025095,-8.195127207877146e-05,-0.08195127207877147
JCI,25,0.9855373420427389,-0.0012688643122663011,-0.042140388741185045,0.030110408332000096,-3.8206022560240805e-05,-0.038206022560240804
CELG,25,1.2494104439887,0.008884654707802359,0.1664251460004383,0.05338529015187981,0.00047430986947529386,0.47430986947529385
MU,25,2.605907614159599,-0.0036446514120778914,-0.060645313104198545,0.06009782496820134,-0.00021903562263316496,-0.21903562263316495
USB,25,0.5398437882526765,0.00011549478024452248,0.004844683789681533,0.023839487830043613,2.7533364080728553e-06,0.0027533364080728553
SYMC,25,0.7574952138136545,0.00773152303728104,0.12467629763975152,0.062012773748070765,0.000479453188838906,0.47945318883890603
CERN,25,0.6886698966358712,-0.0006022140245724398,-0.014606941207319238,0.04122793513200989,-2.4828040740659158e-05,-0.024828040740659158
CAT,25,0.7255394419920486,-0.009323572833218082,-0.1896711206455282,0.04915652315168571,-0.0004583144238325126,-0.4583144238325126
WBA,25,0.901977306673994,0.009286826202957902,0.219032910427499,0.04239922751714468,0.0003937542570913929,0.3937542570913929
IBM,25,0.5240295406929029,-0.0028282497954880614,-0.09577562425590957,0.029529954176347243,-8.351808686002591e-05,-0.0835180868600259
NEE,25,0.4813990117292379,0.002314314435207781,0.11537469819227009,0.020059115832754014,4.6423101329247563e-05,0.04642310132924756
RSG,25,0.6406298328309604,0.0039616335659175056,0.1338007920894382,0.029608446288340202,0.00011729781465055413,0.11729781465055412
INTC,25,0.8466154474154262,-0.011143694304952679,-0.2924536450137887,0.03810413887789729,-0.00042462087540875,-0.42462087540875
CI,25,0.8053642137994845,0.008068989088135754,0.26450567837610006,0.03050592009091947,0.00024615193633717046,0.24615193633717045
GD,25,1.2252392247395474,-0.0051743030706069264,-0.17599799814939454,0.029399783662395745,-0.00015212339087951365,-0.15212339087951365
VAR,25,0.3469235967483278,4.4658347566991184e-05,0.0009815582870385654,0.045497397512407285,2.0318385915026447e-06,0.002031838591502645
IVZ,25,1.4928529951402651,0.0022290985236545838,0.0569091272788841,0.03916943784308711,8.731253606840545e-05,0.08731253606840546
EMR,25,0.596034519599377,0.0020790298110541523,0.05621224853580163,0.036985352217853665,7.689364983325558e-05,0.07689364983325557
DLTR,25,0.5461890337075868,-0.006899350211028387,-0.12911276379466333,0.053436623988631256,-0.0003686779829926076,-0.36867798299260757
A,25,1.5343325730645851,-0.012808618737598244,-0.2957740630586359,0.04330541564443733,-0.0005546825582628201,-0.5546825582628201
YUM,25,0.18027800817606737,-0.0015504544247630094,-0.03467687093422233,0.044711485869184296,-6.932312110360556e-05,-0.06932312110360557
FDX,25,0.8771664338065166,-0.007030781568895557,-0.17816233467383458,0.03946278309479359,-0.000277454208040198,-0.277454208040198
MMC,25,0.3008176158942542,0.006534901646426925,0.26513774382362804,0.02464719489645352,0.00016106699450863941,0.16106699450863943
HOG,25,0.8186205987589725,-0.002170707861076427,-0.042087853620636995,0.05157563701495248,-0.0001119556407083817,-0.11195564070838171
PEG,25,0.45162105528372193,0.0008736343225629198,0.027876379618566503,0.031339590524913544,2.7379341937632143e-05,0.027379341937632144
NWL,25,0.6366974432365882,0.008451468140169466,0.25316143313105194,0.03338371107969857,0.00028214137059069487,0.2821413705906949
ADBE,25,0.8329969216093486,0.002363751893126157,0.07766956314203904,0.03043343875648458,7.193709847497939e-05,0.0719370984749794
FAST,25,0.8319083315270029,-0.002385883245783838,-0.05467267790573707,0.04363940705259428,-0.00010411853014272575,-0.10411853014272575
MSI,25,0.19463506056708926,0.00636889673010079,0.21545729465482305,0.02955990299750207,0.00018826396954288747,0.18826396954288746
NVDA,25,1.250369455009765,-0.007740565157274587,-0.1968203137559291,0.03932808057034919,-0.0003044215701653326,-0.3044215701653326
RRC,25,0.2739407509885942,0.006479152234177109,0.1347602262889654,0.04807911364206164,0.0003115118965712188,0.3115118965712188
CMCSA,25,0.6623854072901916,0.0077642546430737175,0.26606329402924855,0.02918198345022439,0.0002265763504975051,0.2265763504975051
AN,25,1.144609509253383,-0.003091192823555692,-0.058307814921097774,0.053015068867504275,-0.00016387980042354,-0.16387980042354
XOM,25,0.5634322118929834,-0.0009100950175310943,-0.048151906199189125,0.01890049822256923,-1.720124926121556e-05,-0.01720124926121556
VRTX,25,2.606446908651294,-0.023500707402437364,-0.25143548410289995,0.09346615290314275,-0.002196520711408229,-2.1965207114082292
BMY,25,0.9504355454856644,0.004889058189127705,0.12956189494860998,0.03773530937523662,0.00018449012332026805,0.18449012332026804
DISCA,25,1.1279391467015825,0.005382310199681684,0.1633050926239581,0.032958618210857056,0.00017739350696371043,0.17739350696371042
GLW,25,1.8114851652038968,-0.01241240430683202,-0.26296223917563255,0.047202230806004705,-0.0005858931729485319,-0.5858931729485319
PLD,25,1.0700103439328523,0.0005030463478697851,0.01909527014231031,0.026344028867921646,1.3252267510184173e-05,0.013252267510184173
WMB,25,0.7284460628364242,-0.00031516689015237756,-0.0069628180837068825,0.04526427178815337,-1.4265799774484296e-05,-0.014265799774484297
WU,25,1.0725394923261429,-0.012675347474488152,-0.138564913992578,0.09147588021573112,-0.0011594885672690481,-1.159488567269048
SWKS,25,0.8170275158304617,-0.014348462404441018,-0.17203794953996393,0.08340289129700369,-0.0011967032501967385,-1.1967032501967385
PCAR,25,0.6394067734240183,0.007497216885157037,0.1804269980627987,0.04155263328466833,0.00031152910388455374,0.31152910388455374
EL,25,0.7261642133702675,0.0022739243428846496,0.061668414149689155,0.03687340390114623,8.384733073583423e-05,0.08384733073583422
DOV,25,0.22048311532069642,0.01087676755726767,0.28172769700113676,0.038607377524630754,0.0004199234713310888,0.4199234713310888
GPS,25,0.5465797247374358,0.010172390674813531,0.20339072022591206,0.05001403536756622,0.0005087623069828247,0.5087623069828248
LEG,25,0.39526019569237486,0.016020737577385112,0.5275873042737225,0.030366040743606,0.000486486370017496,0.48648637001749595
R,25,0.5574497305986875,0.009477893438255145,0.14191473593998197,0.06678583006533936,0.0006329889805447032,0.6329889805447032
