Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.5163777977702589,0.009983831968254808,0.43417911896353334,0.02299473082005436,0.0002295755286626728,0.2295755286626728
OMC,25,0.722474756187181,0.004469066311075709,0.1808826071138418,0.024706998546648658,0.00011041721485262402,0.11041721485262403
JCI,25,0.44887498360984934,0.006407940761066569,0.2022372067922761,0.031685271284667006,0.0002030373413904698,0.2030373413904698
CELG,25,0.6288345946242404,0.01808348362466236,0.3342491111719836,0.054101815143968286,0.0009783492882204606,0.9783492882204606
MU,25,1.2491205906877187,0.016098671914924895,0.25068379381081785,0.06421903733862425,0.0010338412128068233,1.0338412128068233
USB,25,0.26195823417145303,0.004177099028742033,0.17219220661722257,0.024258351239017352,0.00010132953539938248,0.10132953539938248
SYMC,25,0.9515608842076635,0.008219451997893893,0.1492941084242387,0.055055434435076614,0.00045252550056230673,0.4525255005623067
CERN,25,-0.2676487888221695,0.009949487883824493,0.23602972129668737,0.04215353824579605,0.0004194061180368801,0.4194061180368801
CAT,25,1.168497452855008,-0.011150273089193792,-0.3398765494273963,0.03280683268080456,-0.0003658051435824585,-0.3658051435824585
WBA,25,0.23289258557113568,0.017900447407011272,0.3996472121601178,0.04479062248491176,0.0008017721821184595,0.8017721821184595
IBM,25,0.42751123832182386,-0.0004314157025359874,-0.015648577526488995,0.027569004390700185,-1.189370139743164e-05,-0.011893701397431641
NEE,25,0.14133510152691262,0.006759507435705094,0.31628519263328864,0.021371558306057935,0.0001444612072824036,0.14446120728240358
RSG,25,0.5881559464620203,0.006307109008571289,0.2515558496443135,0.025072400492730355,0.00015813436301420684,0.15813436301420683
INTC,25,0.370109116839945,-0.004410771394633713,-0.11251662441239012,0.0392010639998191,-0.00017290693172960752,-0.17290693172960753
CI,25,0.31901404387145776,0.014768875788087471,0.45974671288665486,0.03212393993065604,0.0004744344786598423,0.47443447865984234
GD,25,0.6547165547083093,0.0035070480460656457,0.1179028632553945,0.029745232212629792,0.00010431795851107221,0.10431795851107221
VAR,25,0.16457555419477526,0.0026884237580187065,0.05895149651288088,0.045603995098432944,0.00012260286388319578,0.12260286388319577
IVZ,25,0.9427358229606092,0.011512544592008086,0.3211929077451118,0.03584308468337684,0.0004126451107324979,0.4126451107324979
EMR,25,0.7793478701078329,0.0021897819810489686,0.07685685327461975,0.028491694465093264,6.239059914921386e-05,0.06239059914921386
DLTR,25,-0.04787093655302628,2.2285816233790228e-06,4.102150317465128e-05,0.05432715651327343,1.2107250265591715e-07,0.00012107250265591716
A,25,0.9412509878894109,-0.0030202331076342034,-0.07389746153428213,0.04087059345378288,-0.00012343871947777282,-0.12343871947777281
YUM,25,0.42906492778180627,-0.0032422384743610692,-0.07629899182942863,0.04249385734492147,-0.0001377752192077151,-0.1377752192077151
FDX,25,0.721272935567617,-0.0030693230945725504,-0.08735478919842771,0.035136288722539724,-0.00010784462243366023,-0.10784462243366023
MMC,25,0.256243701386618,0.007814136707660953,0.3288706172623571,0.0237605194793891,0.0001856679474569875,0.1856679474569875
