Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.6176330869414643,0.004385230738524206,0.19338580720332654,0.022676073295873043,9.943981364609036e-05,0.09943981364609036
OMC,25,0.5427055107980278,0.0026519358101711843,0.09942228683680616,0.026673454157457952,7.07362882611222e-05,0.0707362882611222
JCI,25,0.6456877879389026,0.007572252322135337,0.24756290403698195,0.030587184907978637,0.00023161388194702418,0.23161388194702417
CELG,25,0.37113178829756477,0.006197526105637273,0.13743059469648627,0.045095679890816386,0.00027948165337479637,0.27948165337479636
MU,25,-0.5741160256134217,0.03562054470699079,0.543161928616222,0.0655799731725287,0.0023359943662753153,2.3359943662753153
USB,25,0.2434499489737913,0.0062809097713714,0.32966538538567897,0.019052378714323612,0.00011966627163466366,0.11966627163466366
SYMC,25,0.2577762925796642,-0.0019919877466382965,-0.036021217224395656,0.05530040071186731,-0.00011015772060222741,-0.11015772060222741
CERN,25,-0.14915552147083622,-0.02293501171763886,-0.16055790604517797,0.14284573262424946,-0.0032761685515518687,-3.276168551551869
CAT,25,0.5199950730166422,0.006811332465100062,0.32845442505517347,0.020737526869841687,0.00014125019001443755,0.14125019001443756
WBA,25,0.9346608567742566,0.010815155565533781,0.26509798520879735,0.04079682294460108,0.00044122398672539863,0.44122398672539864
IBM,25,0.6459764677613864,-0.005774905465179444,-0.21888999491714714,0.026382683536382394,-0.00015235750334035441,-0.15235750334035442
NEE,25,0.16592400608203867,0.009741712848855982,0.3612313132869559,0.026968074168911633,0.00026271523464018755,0.26271523464018753
RSG,25,0.3302821848791867,0.0003816929720360741,0.016632664267244166,0.022948396354501546,8.759241608011504e-06,0.008759241608011505
INTC,25,0.5960242009776417,0.0029741475491106813,0.1125904016479473,0.026415640281756688,7.856401180217605e-05,0.07856401180217605
CI,25,-0.028991288328441302,0.010369983231883638,0.23841541923134565,0.04349543861431696,0.000451046969093891,0.45104696909389097
GD,25,0.4509579799269813,0.015248180443156832,0.5806877422622855,0.026258829545379867,0.0004003993711340501,0.4003993711340501
VAR,25,0.26105719496415186,0.006023819408837237,0.18895115712348332,0.03188029912354838,0.0001920411646199675,0.1920411646199675
IVZ,25,0.6187743110683802,0.0003187463461849587,0.011850953429061183,0.026896261814962626,8.573085179553363e-06,0.008573085179553363
