Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HON,25,0.9505103519726459,0.005479089920854555,0.25919586217667695,0.02113880165694858,0.00011582139509753054,0.11582139509753053
OMC,25,0.7916258889629565,0.0029828975143071593,0.10146408558559766,0.029398555134966566,8.769287703631374e-05,0.08769287703631375
JCI,25,0.269307885782189,0.010214721127007158,0.22495798230932765,0.045407240152791926,0.0004638222953078114,0.46382229530781144
CELG,25,0.4607439069545616,0.0011580258757682782,0.03239545376954989,0.03574655518042982,4.139543586851633e-05,0.04139543586851633
MU,25,1.4712467159379592,-0.008816417977948812,-0.12605249215660563,0.06994243292703355,-0.0006166417230793775,-0.6166417230793776
USB,25,0.6706360134327147,-0.003050531462725311,-0.10714991778530283,0.028469750847944522,-8.684787069760537e-05,-0.08684787069760537
SYMC,25,0.6090503233886152,0.007642541632284675,0.15110605646817077,0.05057733495873816,0.0003865393880721635,0.38653938807216354
CERN,25,0.43160844628866385,0.011414309130660116,0.3489167601534335,0.0327135593189641,0.00037340267883084326,0.37340267883084327
CAT,25,0.9516543081748946,0.014525747996887202,0.5545298571766237,0.026194708560589905,0.00038049773540303284,0.38049773540303283
WBA,25,0.7014659676734105,0.006674426129786296,0.14247359617049982,0.04684675834109594,0.00031267522796759483,0.31267522796759484
IBM,25,0.46388325383571166,0.008228404398554302,0.3020343262786534,0.027243275623456357,0.0002241686889710755,0.2241686889710755
NEE,25,0.41341771729608506,0.0038965039059058776,0.14955349686698594,0.02605424806195912,0.00010152047933886435,0.10152047933886435
RSG,25,0.5367378187245639,-0.0008061495386086142,-0.026490220906014557,0.030431967384068868,-2.4532716465619514e-05,-0.024532716465619515
INTC,25,0.7357293557382608,-0.0031804879929989397,-0.07414957625581976,0.04289286808634073,-0.0001364202519338941,-0.1364202519338941
CI,25,0.4764216562418921,0.011335043137066465,0.2937686356708406,0.038584933041548586,0.0004373618804667744,0.4373618804667744
GD,25,0.716785721878225,-0.0036236762830764227,-0.11058652184638416,0.03276779324075383,-0.00011873987521527157,-0.11873987521527157
