Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,1.106706106911442,0.0009416230986925983,0.020580691886941158,0.045752742612607505,4.308183927256836e-05,0.04308183927256836
NRG,25,0.5757420007484466,-0.003159464171647425,-0.06943318425721655,0.045503662340231,-0.00014376719084270207,-0.14376719084270206
LRCX,25,0.7842976759754526,-0.011493670390963258,-0.17286289572449345,0.06649009518666003,-0.000764215238339243,-0.764215238339243
SBUX,25,0.6243903418014406,0.017354981123801277,0.5221517958243513,0.03323742494536854,0.0005768348825306327,0.5768348825306326
CAG,25,0.6375522914347127,0.008421367181351459,0.36118472033261645,0.023315956371565742,0.0001963522297893262,0.1963522297893262
KSU,25,0.8948939951048924,0.01030034056115298,0.26742165331774076,0.03851722713311658,0.0003967405569423828,0.3967405569423828
GILD,25,0.7308760012025542,0.006777525252290748,0.12376786489253006,0.05475997552495391,0.0003711371169351984,0.3711371169351984
CI,25,0.9260323961484069,0.003838571403380675,0.09903227781186903,0.0387608110021743,0.00014878614068478932,0.14878614068478932
L,25,0.8092981043358249,-0.002417715816543238,-0.07208213027978011,0.03354112603441516,-8.109291091807571e-05,-0.08109291091807572
OKE,25,0.6828528876180695,0.013008094781802496,0.4811847005232796,0.027033475436056942,0.00035165401075375825,0.35165401075375824
ISRG,25,0.9263912337547859,0.017722591327074096,0.4295385229248317,0.041259608582710314,0.0007312271812264137,0.7312271812264137
WHR,25,1.702613735212485,-0.0024424774803883343,-0.03887671932545153,0.06282622409420516,-0.00015345163752792707,-0.15345163752792707
PFG,25,1.3132612624719477,-0.0050203160852240825,-0.09395388544280557,0.05343383151812492,-0.0002682547238655961,-0.2682547238655961
CHRW,25,0.7908417757760159,-0.0011972425046944898,-0.035286090269791265,0.033929587991771926,-4.062194491052111e-05,-0.04062194491052111
FIS,25,0.8887319007516935,0.00026102344306475154,0.006490283163180932,0.040217573948934174,1.0497729623862053e-05,0.010497729623862053
SRCL,25,0.7349467260181971,0.0024990712625003724,0.06243004161654874,0.04002994708621061,0.00010003769040255945,0.10003769040255946
MUR,25,1.3465718192868483,-0.0029684493952473147,-0.052859505835744024,0.05615734290955148,-0.00016670023059855418,-0.16670023059855418
AMZN,25,0.6623914804826008,0.0012078145765193188,0.02024902032378804,0.05964804998987574,7.204378423872492e-05,0.07204378423872491
BWA,25,1.371175567140467,0.0036808914386786762,0.06308378419033943,0.05834924911245834,0.00021477725151137724,0.21477725151137725
IP,25,1.1402128152417077,0.00931958218428663,0.18910295765246646,0.049283111697354644,0.0004592980097608743,0.4592980097608743
TXT,25,1.316858359768237,0.002686987097331555,0.03697031675036561,0.07267958009326449,0.00019528909395007701,0.19528909395007701
MO,25,0.4144638847781856,0.009875358415199967,0.4978557826945162,0.019835781281382598,0.00019588544959916763,0.19588544959916762
AIG,25,1.3491637306972322,-0.011064592243330878,-0.18496946661915334,0.059818479479710814,-0.0006618670840590555,-0.6618670840590555
AZO,25,0.3566537719493614,0.014022207485699052,0.6256558902165225,0.02241201226579414,0.00031426588616299757,0.31426588616299755
BBBY,25,0.5352449630035054,0.010008778405770807,0.19972147364678647,0.050113681934230256,0.0005015767375769904,0.5015767375769904
BEN,25,1.1776324098789444,0.0005411728334857197,0.011261051232935455,0.048057043902165995,2.60071666174828e-05,0.026007166617482803
PM,25,0.3434574309338318,0.013204009966187055,0.5120976939944034,0.025784162125774692,0.0003404543336785118,0.3404543336785118
URBN,25,0.6947071434308282,-0.00918885552458759,-0.14607842603495885,0.06290357703052299,-0.0005780118813132421,-0.5780118813132421
FLR,25,1.116788435962749,-0.0013536674224291655,-0.02327600246781454,0.05815721253256361,-7.872552398462055e-05,-0.07872552398462054
PLL,25,1.2780259169681554,0.007275368380375023,0.17393864691730845,0.041827210394673124,0.0003043083639446983,0.3043083639446983
LNC,25,1.6309234710639566,-0.0065364871099981535,-0.09923648343830839,0.06586778252840492,-0.0004305439114610803,-0.4305439114610803
EQT,25,0.5284965824912364,0.005575829083170378,0.0893254440060512,0.062421509853258075,0.00034805167005520267,0.34805167005520266
EIX,25,0.45030243337360626,0.00798038161527722,0.2990066851421023,0.026689642780008613,0.0002129935345598971,0.2129935345598971
BRCM,25,0.31698944018621805,-0.004768755037854916,-0.07471468676950048,0.06382620665421279,-0.0003043715445294462,-0.3043715445294462
MAC,25,0.7387960236712787,0.006771525284666095,0.17556513869964765,0.03856987403547493,0.00026117687725760484,0.26117687725760486
SWK,25,1.2954854047931486,0.0027539957140273645,0.07349044422098801,0.037474201485924015,0.00010320379027883263,0.10320379027883263
TGT,25,0.26030109744155555,0.002837761484064839,0.08425628114546528,0.03368011791507331,9.55761413981572e-05,0.0955761413981572
PCG,25,0.41734061998828015,-0.0015737407606822725,-0.05035728929546633,0.03125149869462804,-4.9181757328144975e-05,-0.049181757328144976
KR,25,0.5640278054000364,0.0016851439803100313,0.062142778213636056,0.02711729389562854,4.56965445705164e-05,0.0456965445705164
XEL,25,0.3766329061008795,0.006377081976471254,0.31361867451124237,0.02033387197496957,0.00012967076848345238,0.12967076848345238
DTV,25,0.5911821536217626,0.00040795208483340885,0.011800875289528513,0.03456964630372837,1.4102759281559535e-05,0.014102759281559534
NDAQ,25,0.628406949258588,-0.002337259591972512,-0.053202999367808,0.0439309741883977,-0.00010267809080652936,-0.10267809080652937
STI,25,1.4558985140646445,-0.011042797323819388,-0.22397261139282545,0.049304230794770844,-0.000544456627873469,-0.5444566278734689
GME,25,1.1987216922539579,0.008191792299884088,0.12910679075248813,0.06344973995665845,0.0005197670912066025,0.5197670912066025
GPS,25,0.8999671583210375,0.0034519857424297803,0.05744279705218183,0.0600943185147121,0.00020744473071382014,0.20744473071382014
NUE,25,1.2979647934736602,0.00023747429371180108,0.0071581989279348,0.03317514588551877,7.878244337949535e-06,0.007878244337949534
ZBH,25,1.0212095840217479,0.0009237154992728376,0.025083173404389477,0.036826101880362165,3.401684108469112e-05,0.03401684108469112
AAPL,25,0.2537420818139675,0.01608552733645567,0.3727113902167432,0.043158131891546,0.0006942213103318225,0.6942213103318224
CB,25,0.5334559410243993,0.007514402775409361,0.17953715616482105,0.041854304345284886,0.0003145101007350368,0.31451010073503677
UAA,25,1.3009229071754473,0.010531076311931892,0.12300669147519779,0.08561384901613507,0.0009016059773471335,0.9016059773471335
MOS,25,0.8736548767166947,-0.013364297523589743,-0.19216714995896803,0.06954517214020876,-0.0009294223718110144,-0.9294223718110144
A,25,1.6857566490047091,0.003129322427176437,0.05577997473058143,0.05610118043780293,0.0001755586821350887,0.1755586821350887
AES,25,0.8829644783324477,0.005786137746665721,0.17393261871314594,0.03326654764054559,0.0001924848270042143,0.1924848270042143
INTU,25,1.059018695514423,0.006132086144634532,0.1544614580336905,0.03969978156814386,0.00024344248049903235,0.24344248049903233
CAH,25,0.5679041131788043,0.0017786951250006924,0.05834785705000424,0.030484326501937282,5.422232293792525e-05,0.054222322937925255
