Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.2772384289295893,0.012607902710649483,0.5196759359146337,0.024261086264191694,0.0003058814152736034,0.3058814152736034
NRG,25,0.6357960171979878,0.0002924036513668412,0.006012964958811319,0.04862886335939091,1.4219257208105097e-05,0.014219257208105098
LRCX,25,0.49949845112323943,0.021993547201469923,0.6641401437832348,0.033115822627713766,0.0007283344080781284,0.7283344080781284
SBUX,25,0.14495546392953867,0.011988537974586143,0.37608765759648405,0.03187697796626182,0.00038215836086357563,0.38215836086357563
CAG,25,-0.11143560640077835,0.008696569680733427,0.23921465150254337,0.03635466985867696,0.00031616091964604346,0.3161609196460435
KSU,25,0.5761054080679928,0.013702728405478173,0.36906503806551694,0.03712822129482134,0.0005087579325814279,0.5087579325814279
GILD,25,0.09316187194616378,0.009440167338814335,0.12996385095311802,0.07263686994177862,0.0006857042072180833,0.6857042072180832
CI,25,0.19988507974189457,0.01864527657387062,0.5912497001400107,0.03153536749271134,0.0005879856487602518,0.5879856487602517
L,25,0.38364885581458014,0.0014498687519397383,0.06237293129481149,0.0232451597486544,3.37024307534214e-05,0.0337024307534214
OKE,25,1.398120728513865,-0.0010650812250119178,-0.032577751619786294,0.03269351542250185,-3.48212494561443e-05,-0.0348212494561443
ISRG,25,0.11015373467672333,0.006830933871782312,0.10897308722063834,0.06268459530702004,0.0004281943253216898,0.4281943253216898
WHR,25,0.2295194556712578,0.018268662536875493,0.5081013494050692,0.03595476091190485,0.0006568453936936315,0.6568453936936315
PFG,25,0.37011897680065575,0.009411320312421999,0.32294638919610447,0.029142051520839617,0.0002742651814237263,0.2742651814237263
CHRW,25,0.35511300842917937,0.0166715479422296,0.4940896964048138,0.03374194617604491,0.0005625304733380634,0.5625304733380634
FIS,25,0.23220889008993206,0.010482053050399086,0.4305489245733826,0.024345788485676565,0.00025519384646065696,0.25519384646065696
SRCL,25,0.0812226085530339,0.007294024881955836,0.3619458826354149,0.020152252676135695,0.00014699103244719485,0.14699103244719486
MUR,25,0.8911215224234115,0.00012009877447260921,0.004000732454705303,0.03001919669268556,3.6052687334437394e-06,0.0036052687334437394
AMZN,25,0.4464733356421939,0.004613437089158493,0.06818390215986991,0.06766167589442779,0.0003121528850859743,0.3121528850859743
BWA,25,0.4860661535844756,0.003223281104660021,0.08151699000701967,0.03954121839364352,0.0001274524621034664,0.1274524621034664
IP,25,0.262415649442808,0.009106828170086238,0.2966902398352993,0.030694734599768708,0.00027953167372649437,0.27953167372649435
TXT,25,0.627416884348398,0.009917726210398402,0.25122440547062186,0.039477558686304384,0.0003915276185057021,0.39152761850570206
MO,25,0.0803403114882902,0.02044385706866707,0.8603521828869461,0.023762195848759157,0.00048579093556970623,0.4857909355697062
AIG,25,0.355869236599904,0.007300128619793217,0.2840472602541281,0.025700401451723292,0.00018761623617790036,0.18761623617790035
AZO,25,0.056381414537049215,0.007352024799250791,0.2532766894221413,0.02902764094091985,0.00021341193606139029,0.21341193606139028
BBBY,25,0.17361782280609506,0.005452671001725473,0.17276867839022636,0.031560529677779454,0.00017208918497312422,0.17208918497312423
BEN,25,0.3750606794451032,0.004153344582693523,0.18499706051223325,0.022450867982407086,9.324619091149795e-05,0.09324619091149795
PM,25,0.12305178621601395,0.004520897664976153,0.188935560869989,0.02392825174974387,0.00010817717746237862,0.10817717746237862
URBN,25,0.2712460840653626,0.001985043734744044,0.03338229172038084,0.05946397423434288,0.00011803858949686359,0.11803858949686359
FLR,25,0.760937925156776,-0.006318052790635585,-0.21648209983525585,0.029185104890629112,-0.00018439303339923152,-0.18439303339923152
PLL,25,0.29241397422658366,0.00931479445704294,0.29318861902588006,0.03177065497286821,0.0002959371208378965,0.29593712083789653
LNC,25,0.5244523810717303,0.010041052036601664,0.29313274739826845,0.03425428283165942,0.00034394903638916324,0.34394903638916324
EQT,25,1.033168549364023,-0.002074921682248574,-0.05646949332343748,0.03674411722386368,-7.624116552287803e-05,-0.07624116552287803
EIX,25,-0.0698405930365624,0.009932828058450907,0.33372927495658883,0.029763130788400146,0.000295632060602365,0.295632060602365
BRCM,25,0.5909879718797616,0.01987657014358634,0.3813410898390461,0.05212281255076842,0.001036022739746351,1.0360227397463508
MAC,25,-0.08832163162781848,0.013689466393715601,0.41250078606440044,0.03318652195629604,0.00045430577704501954,0.4543057770450195
SWK,25,0.3913447137868674,0.011182592042078242,0.41482382679804974,0.026957448728041133,0.000301454151620925,0.301454151620925
TGT,25,0.0014392859958409661,0.01086280793494914,0.3230708099229091,0.03362361315632698,0.00036524685179620904,0.365246851796209
PCG,25,0.008791445175952378,0.011095090296612972,0.32887344513454614,0.03373665603215193,0.0003743112449824984,0.37431124498249835
KR,25,-0.004772740744331342,0.024475714127614352,1.074848430426144,0.022771316805952343,0.0005573442404518299,0.5573442404518298
XEL,25,-0.10139729260090269,0.008719827331213067,0.3043727357245183,0.028648516466025422,0.00024981011687915603,0.24981011687915602
DTV,25,0.19086556382801242,0.007243702578674508,0.2763116509968024,0.026215697211980162,0.0001898987134961708,0.18989871349617082
NDAQ,25,0.21592034797312137,0.012946585117594323,0.36633142054190626,0.035341181213565345,0.0004575476107377492,0.4575476107377492
