Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.6131504667949156,0.004784328150964982,0.23065931349972085,0.020741968223064063,9.92363824760265e-05,0.0992363824760265
NRG,25,0.4764403023180396,0.00445735875517524,0.11766070810764395,0.03788315425653692,0.000168858809299029,0.168858809299029
LRCX,25,0.7288726463066104,0.0033482675248122746,0.10822121101175904,0.03093910605425087,0.00010359240404817101,0.10359240404817101
SBUX,25,0.6829381658999124,0.007261389098139601,0.2757512642999341,0.026333112620805257,0.00019121497690479763,0.19121497690479763
CAG,25,0.4335606495284872,-0.009183725597781573,-0.25509552667696755,0.03600112364734292,-0.00033062444078900264,-0.33062444078900266
KSU,25,1.0009223863170427,-0.009596697904254051,-0.23119477400821284,0.041509147191679786,-0.00039835074586176634,-0.39835074586176633
GILD,25,0.6460282962299381,0.021953066683580883,0.4423659779348502,0.0496264807390184,0.0010894534409351133,1.0894534409351133
CI,25,0.36269090322731234,0.009577199640059063,0.19523454305834576,0.04905484188418912,0.00046980801403641027,0.46980801403641026
L,25,0.43498774145200203,-0.002535727244631018,-0.11440093501508475,0.022165266781225698,-5.620507086166887e-05,-0.05620507086166887
OKE,25,0.39726378145967517,0.016054335767804337,0.302838995520792,0.05301277578270826,0.0008510849023989247,0.8510849023989246
ISRG,25,-0.47309553405179094,-0.0065010983918182205,-0.10281133890705084,0.06323328205749466,-0.0004110857882933665,-0.4110857882933665
WHR,25,1.0541068218290797,0.0019164416725302464,0.039487305759856185,0.048533107935628025,9.301087054524595e-05,0.09301087054524595
PFG,25,1.140833133393343,0.0065876574692808575,0.22002403252028635,0.02994062691162372,0.00019723859450930946,0.19723859450930945
CHRW,25,0.33626016461372216,-0.0037131378213056667,-0.1124535787596817,0.033019294381380314,-0.00012260519080032893,-0.12260519080032893
FIS,25,0.5917956474597029,0.011651271602164077,0.601773045849521,0.01936157108152961,0.00022558692331550717,0.22558692331550717
SRCL,25,0.29189406316726024,0.005300222388163814,0.24283571346790983,0.02182637105750191,0.00011568462053134232,0.11568462053134232
MUR,25,0.5884331432046599,0.000822314885675246,0.027356763122427706,0.030058924807558583,2.471790131664835e-05,0.02471790131664835
AMZN,25,0.4915472099586803,0.008136303310341628,0.18575888774428262,0.04380034467875442,0.0003563728894038539,0.35637288940385387
BWA,25,0.5977727814823033,0.015964430943808137,0.4286581271714858,0.037242804771135306,0.0005945601849225178,0.5945601849225178
IP,25,0.6145185946413163,0.0014173383591654497,0.03981358307653694,0.035599367091396494,5.0456348540648416e-05,0.05045634854064841
TXT,25,0.7075737569373926,0.007631177284046925,0.1554061616750264,0.04910472790650775,0.00037472688413944707,0.37472688413944705
