Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.551478304083495,0.011140123346090302,0.5544640190265344,0.020091697502119032,0.00022382398840594046,0.22382398840594045
NRG,25,0.7173893796029359,-0.0032045809652074104,-0.059842701337782064,0.05355007199824013,-0.00017160554141104666,-0.17160554141104667
LRCX,25,0.8364827108548756,0.019311484848570645,0.6482644235173604,0.02978951820892804,0.0005752798295379332,0.5752798295379332
SBUX,25,0.38702878209191055,0.011244704143390438,0.38015260460644873,0.029579447851032,0.0003326121398097009,0.3326121398097009
CAG,25,-0.012764214409450135,0.009336502736338018,0.25332158046769654,0.036856325935991884,0.0003441091879527541,0.3441091879527541
KSU,25,0.790717728845166,0.010567697123575052,0.2714389650634391,0.038932130179266014,0.00041142296011007894,0.41142296011007895
GILD,25,0.43537189691138883,0.009006745395475232,0.1268159423298216,0.0710221856180399,0.0006396787432918681,0.6396787432918681
CI,25,0.43699822547440653,0.017596448464355992,0.6022644900364877,0.029217144220622944,0.0005141179725538481,0.5141179725538482
L,25,0.6077373196250407,-0.0006184460171376341,-0.02834746328999463,0.021816626440642313,-1.3492405729594838e-05,-0.013492405729594838
OKE,25,1.4931878698450687,-0.008775154462574448,-0.1413742695206846,0.06207037880602839,-0.0005446771615734065,-0.5446771615734065
ISRG,25,0.41479930920368485,0.006294548367242828,0.10304457920737392,0.06108568170845019,0.0003845067780598402,0.3845067780598402
WHR,25,0.6778180737854059,0.017106438185483908,0.595696882012032,0.028716682430341124,0.0004912401528868023,0.4912401528868023
PFG,25,0.6186209177176962,0.007423676158087635,0.2735678216393841,0.02713651084254161,0.00020145266855546272,0.20145266855546273
CHRW,25,0.4349595890837989,0.014726563905075908,0.41546231408641626,0.035446208731251566,0.0005220008580734358,0.5220008580734358
FIS,25,0.5450843327703102,0.009272565869358321,0.4962974870730059,0.018683483416458074,0.00017324383064817135,0.17324383064817134
SRCL,25,0.2669255596998155,0.006889206937439119,0.37990508015050206,0.018134021621163662,0.00012492902755619167,0.12492902755619167
MUR,25,1.0294974541549955,-0.004775475211822269,-0.11186233353552683,0.04269064537533187,-0.00020386811876659233,-0.20386811876659233
AMZN,25,0.9218996471273156,0.0022577591532924003,0.03563002803278521,0.0633667520894148,0.00014306686454428657,0.14306686454428658
BWA,25,0.9341639427830379,0.0006420849302937015,0.01954118717505505,0.03285803081162558,2.1097646423270907e-05,0.021097646423270906
IP,25,0.5938818138968378,0.007734717817130764,0.2994019634020916,0.025833891432245466,0.0001998178603468108,0.19981786034681082
TXT,25,1.26379499941693,0.00659976829114917,0.2794965518095757,0.023613058008836077,0.0001558407115037823,0.1558407115037823
MO,25,0.11794291074341366,0.020008499153726624,0.841817171492015,0.023768224064928584,0.00047556649108870835,0.47556649108870835
AIG,25,0.6512405015109957,0.005402507094748867,0.25174933580644127,0.021459866328714414,0.00011593708009324193,0.11593708009324193
AZO,25,0.3764884123462066,0.007116744222933047,0.27716805172750525,0.025676639780726956,0.00018273407782382143,0.18273407782382142
BBBY,25,0.43185496762035824,0.004554175442248767,0.157876692847697,0.028846407662226372,0.000131371601372408,0.131371601372408
BEN,25,0.5910827548558515,0.0021306006464866067,0.10072491359604584,0.021152667899337348,4.506788790124465e-05,0.04506788790124465
PM,25,0.23827107236703365,0.003867871462017599,0.16638474125357935,0.02324655153397001,8.991467326856405e-05,0.08991467326856405
URBN,25,0.44344911728993847,0.0005260039533748493,0.008907090432401878,0.05905452036967896,3.1062911179106696e-05,0.031062911179106697
FLR,25,1.1585739683013843,-0.010431594651740168,-0.3811419817943854,0.02736931419265091,-0.0002855055915538535,-0.2855055915538535
PLL,25,0.7058128634396803,0.007796362692779671,0.32199023698259216,0.024213040637009027,0.0001887736467011353,0.18877364670113528
LNC,25,0.8191026040381233,0.007210848346655269,0.21949298577157822,0.03285229512600211,0.00023689291799316328,0.23689291799316328
EQT,25,1.47379291010943,-0.007683851801723175,-0.1937894504529667,0.039650516494901096,-0.00030466869260860026,-0.30466869260860024
EIX,25,0.06346471291110364,0.010350988013240504,0.34601869780806593,0.029914533748641878,0.0003096449802538706,0.3096449802538706
BRCM,25,1.1244244678435698,0.016735475805246085,0.3708481062285178,0.045127575209818194,0.0007552314430733354,0.7552314430733353
MAC,25,0.043690754279602194,0.014209533163974514,0.4242200877458413,0.03349566315795901,0.00047595773649233787,0.47595773649233786
SWK,25,0.6899003777966022,0.009089522214087159,0.39294621638447613,0.02313172092028382,0.00021025629115498443,0.21025629115498443
TGT,25,0.23814032235298893,0.010911457108098219,0.3361868133200813,0.03245652915514414,0.0003541480257540946,0.3541480257540946
PCG,25,0.16092091533871716,0.011082849486539622,0.3336794614836163,0.03321405949668793,0.0003681064222387643,0.3681064222387643
KR,25,0.14835324336475775,0.024538733254098992,1.110056056502694,0.022105850520206985,0.0005424495692703446,0.5424495692703446
XEL,25,-0.022272088038966995,0.009299565195384827,0.31884976309902485,0.029165978061262258,0.00027123091446787194,0.27123091446787195
DTV,25,0.05159163750432478,0.0061547430289458456,0.21869429833001036,0.028143134393281345,0.00017321376021973444,0.17321376021973445
NDAQ,25,0.44960020690774305,0.011808247080865374,0.353977750711757,0.03335872680450132,0.0003939080884106382,0.3939080884106382
STI,25,0.5435688109812711,0.004285491201867564,0.1454026551945031,0.0294732664691365,0.00012630742414378274,0.12630742414378274
GME,25,0.9426399930430676,0.0005397381560949704,0.008465806613705678,0.06375507742182107,3.441104792934578e-05,0.03441104792934578
GPS,25,0.6974531969809392,-0.002778739866259143,-0.07205413088294513,0.03856461568835407,-0.00010716103504019225,-0.10716103504019225
NUE,25,0.590874472312835,0.0005684571527450801,0.014895622862754733,0.038162697725548624,2.1693858490136517e-05,0.021693858490136518
ZBH,25,0.642316122892054,0.010339814394099183,0.3802138020095278,0.027194737117512836,0.00028118853429140255,0.28118853429140256
AAPL,25,0.6512571438397889,0.02414156256343768,0.8494928614307544,0.02841879391755849,0.0006860740913381805,0.6860740913381804
