Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
APH,25,0.6269179611314769,0.006907334762688126,0.2355052323600049,0.029329856893069935,0.00020259114010216992,0.20259114010216991
NRG,25,0.9891995129056035,0.009062406538157083,0.1828053523936036,0.049574076576513734,0.000449260435690098,0.449260435690098
LRCX,25,0.8940781645705351,-0.0022378588036955542,-0.05961478222778395,0.03753865601898621,-8.40062118509874e-05,-0.0840062118509874
SBUX,25,0.8095058430497291,0.0016582186323267785,0.026702324248784142,0.06210016090274552,0.00010297564387942356,0.10297564387942355
CAG,25,0.3323296253592727,0.009828981469178736,0.35980543787393526,0.027317490050338008,0.0002685031034892468,0.26850310348924683
KSU,25,1.2260106005469253,0.009371111881383357,0.27130412740115517,0.03454098531839533,0.0003236874379119025,0.3236874379119025
GILD,25,0.22362505608720448,0.024226035936103826,0.5778944440394048,0.041921212750839196,0.0010155848065868842,1.0155848065868842
CI,25,0.5873724744924658,0.008315302412550301,0.26717806359035096,0.031122698850380492,0.0002587946528356454,0.2587946528356454
L,25,0.7947494897957539,0.0007276140021994846,0.04313504235354326,0.016868280694749705,1.2273597226531136e-05,0.012273597226531137
OKE,25,0.5757597289818044,0.0015868639234402414,0.05114836312468359,0.031024725455474834,4.923201755993112e-05,0.04923201755993112
ISRG,25,0.9292427197332227,0.0006916633241665772,0.015191255487218861,0.04553035953799257,3.149167982854736e-05,0.03149167982854736
WHR,25,0.9667053698542634,0.012365144334272226,0.272045340514739,0.045452512845381016,0.0005620268816884987,0.5620268816884987
PFG,25,1.3463527671300461,0.0009865310578541448,0.038097307158936625,0.025895033833716264,2.5546255121144976e-05,0.025546255121144976
CHRW,25,0.6905707108276935,-0.008749326136950807,-0.21137991634173717,0.04139147317480153,-0.0003621474980951892,-0.3621474980951892
FIS,25,0.48952064287630104,0.006055732544148072,0.2014833180741396,0.030055751523407764,0.0001820095926391284,0.18200959263912841
SRCL,25,0.3870912136450518,0.001700948515834754,0.08233026910680327,0.020660062626883823,3.51417028622511e-05,0.0351417028622511
MUR,25,1.0016784006659225,-0.0032931912948328157,-0.07303412585460155,0.04509113043112197,-0.00014849371820994193,-0.14849371820994192
AMZN,25,1.0351248828000787,0.011207958494141612,0.25378569586834226,0.04416308198849798,0.0004949779899004583,0.4949779899004583
BWA,25,1.4643372133957944,-0.010045220372556694,-0.2500038365250562,0.04018026487985487,-0.0004036196153458424,-0.4036196153458424
IP,25,0.8043908688609378,0.007680275544970699,0.20962895808131576,0.03663747420807909,0.0002813858971898046,0.2813858971898046
TXT,25,1.2855909715611262,-0.003710492251347952,-0.10539957628219777,0.03520405282667785,-0.00013062436522943215,-0.13062436522943216
