Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
BDX,25,0.9284799361196454,-0.0018691986380275248,-0.10135779368095191,0.018441587668248563,-3.447099055255541e-05,-0.03447099055255541
MUR,25,0.5358225309631255,0.0021155186476542872,0.05572610958928236,0.0379627909295351,8.031099212843253e-05,0.08031099212843253
AIG,25,0.9196429393488867,-0.00028329616534507156,-0.011129155185077294,0.025455316296149215,-7.2113934943449826e-06,-0.0072113934943449825
GME,25,-0.09236105913795131,0.007272373794186596,0.07268052929075294,0.1000594501051859,0.0007276697228056751,0.7276697228056751
NFX,25,1.4453349834789684,-0.00017816410198599232,-0.0029479667047848123,0.06043626669759062,-1.0767573183562166e-05,-0.010767573183562166
ICE,25,0.3789152350343057,0.0053008990697276295,0.14810621056703735,0.03579120044617091,0.00018972554114954248,0.1897255411495425
TAP,25,0.8751873385108546,-0.002846000563997051,-0.09785659658246679,0.02908337979646204,-8.277131530367141e-05,-0.0827713153036714
V,25,1.0803937685990312,-0.0040051344063020845,-0.16100352862959094,0.0248760660116736,-9.96319878767958e-05,-0.0996319878767958
PEG,25,0.4053055402941609,0.0015598979013348464,0.05015309196822804,0.03110272647443234,4.851707775325878e-05,0.04851707775325878
UAA,25,0.6978855229908132,0.014802867402574589,0.23051956354329828,0.06421523264681256,0.0009505695740962452,0.9505695740962452
MDT,25,0.7644586781120315,0.0016548770873451371,0.0707780534742757,0.023381217850906324,3.869304169568998e-05,0.03869304169568998
CMCSA,25,0.8856412218898381,-0.00015431242402234348,-0.004650624204403015,0.03318101339520122,-5.12024260853135e-06,-0.00512024260853135
R,25,0.8793492932218805,0.005983509886942098,0.18692718840902245,0.032009842644449095,0.00019153120994252194,0.19153120994252193
WAT,25,0.5250786625699737,0.0010878808365713012,0.038382646565116155,0.028343038688739493,3.083384863967868e-05,0.03083384863967868
D,25,0.7938718246050692,1.555373820748794e-05,0.0006003838699468854,0.025906322581357735,4.029401593491714e-07,0.0004029401593491714
ETFC,25,1.2096822547403003,0.01862245858767702,0.42773722215533894,0.04353714762965848,0.0008107687287588958,0.8107687287588958
IFF,25,0.8896005621235495,0.0003539267007847506,0.013049678747800547,0.027121487633893136,9.599018638638209e-06,0.009599018638638209
INTC,25,0.6845965581450144,-0.0014958001636243522,-0.05216214366902566,0.02867597185260182,-4.289352338920912e-05,-0.04289352338920912
XRAY,25,0.6816810547354939,-0.004782495350031242,-0.25819122058358995,0.018523075026413996,-8.858652018210477e-05,-0.08858652018210476
NOV,25,0.7749086928294521,0.002028593264150497,0.06588703655522422,0.030788958954774067,6.24582747458608e-05,0.062458274745860805
ES,25,0.511932103537766,-0.0021719950917093527,-0.08349160675334176,0.02601453219275144,-5.650343623577107e-05,-0.056503436235771066
USB,25,0.6205190844409866,0.0021406531265157954,0.12376386202192198,0.01729626961815903,3.702531363517229e-05,0.03702531363517229
