Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,0.6819234921831199,-0.007744539237817445,-0.16822808758995716,0.04603594648649966,-0.0003565271939147608,-0.3565271939147608
AIV,25,0.3901468634083781,0.010155323578522482,0.2784523467738069,0.03647059791804118,0.00037037072295989656,0.37037072295989654
HON,25,0.8531192602521779,0.009369212625398004,0.4153419147362173,0.022557830772625898,0.00021134911287647818,0.21134911287647817
FISV,25,0.6795348756793541,0.018170532424309726,0.8795634184993878,0.02065858133949027,0.00037537742206944784,0.37537742206944785
ORLY,25,0.5079917687232492,0.01938623853606248,0.6670901809039157,0.029060896249130632,0.0005633814667574098,0.5633814667574099
PNW,25,0.35042357111427236,0.007459363160683805,0.1959413964859803,0.038069357953246626,0.0002839731662673329,0.2839731662673329
FLS,25,1.145706688772072,-0.009370343361137132,-0.21806550011568876,0.04297031559859744,-0.00040264661149528485,-0.40264661149528486
MUR,25,1.292380805314675,-0.017746237850590183,-0.2742348288141671,0.06471183083245699,-0.001148391541699937,-1.148391541699937
EBAY,25,0.3785979225921633,0.013364026744822387,0.30122719889654304,0.044365272438138245,0.000592898687404611,0.592898687404611
HIG,25,0.4266087785668564,0.009642692990552582,0.41276977398338605,0.02336094742959716,0.0002252624440320439,0.2252624440320439
KLAC,25,0.830320682186235,0.009235521951799712,0.15582390723605638,0.05926896658937511,0.0005473798419966576,0.5473798419966576
XEC,25,1.6974555750692017,0.01129908149525326,0.18351217071954018,0.061571292252444294,0.0006956990489284237,0.6956990489284237
C,25,0.6668234154771759,0.0044068288820162714,0.15362242738835985,0.028686103695495842,0.00012641475027782477,0.12641475027782478
ETN,25,0.9152986127994915,-0.0016634964708634598,-0.053205636627821386,0.031265418032675366,-5.200991255742625e-05,-0.05200991255742625
MAR,25,0.9501980800337144,0.008747880727830736,0.25969031343944576,0.03368581835791328,0.0002946795212143964,0.2946795212143964
UTX,25,0.7206884447873927,0.001976141374308693,0.06082478456417778,0.03248908135833372,6.420301788548452e-05,0.06420301788548452
RIG,25,1.9445835958569913,-0.012121277766890334,-0.10728128859323353,0.112985944947485,-0.0013695340224630453,-1.3695340224630452
CCL,25,0.5181444741186572,0.016794201321486582,0.42258345903238875,0.039741738495730844,0.0006674307571631771,0.6674307571631771
AMAT,25,0.837821241806309,-0.004865728857003355,-0.11525778013949353,0.04221605561997193,-0.0002054118800589561,-0.20541188005895608
EL,25,0.36936521365486324,0.007415757039162413,0.19995013434709819,0.03708803229053712,0.0002750358365272335,0.2750358365272335
TGT,25,0.2828055088592828,0.01116222908268873,0.34353663931938067,0.03249210653280968,0.00036268433649834866,0.36268433649834864
PNC,25,0.6168879781696439,0.00712251761868575,0.30996075186961763,0.02297877255660348,0.0001636667123901809,0.16366671239018088
ROK,25,0.7001169162682954,0.003974327578832981,0.10843505320243442,0.03665168652993989,0.0001456658085866814,0.1456658085866814
XOM,25,0.6177668568570914,-0.0008405877556405938,-0.03209028398090142,0.02619446297642211,-2.201874484356129e-05,-0.02201874484356129
IBM,25,0.5814171378508384,-0.0018343064240484387,-0.058985135281037195,0.0310977743004031,-5.704284717283785e-05,-0.05704284717283785
CMG,25,0.6384053336388549,0.00519405773189652,0.11358654408011153,0.04572775564184081,0.00023751260275377799,0.23751260275377797
RL,25,0.9212079938345258,-0.008064380416779735,-0.13991263427889403,0.05763868615828253,-0.0004648202919037668,-0.4648202919037668
ROP,25,0.8853879517010745,0.012897598934914899,0.39101631284160915,0.03298481038088912,0.0004254248552369254,0.4254248552369254
NFX,25,2.2008615332249764,0.021744314586624867,0.2439177622873842,0.08914608916838819,0.0019384206070447445,1.9384206070447445
ITW,25,0.6039790714018807,0.005278977201811658,0.21038839939022042,0.025091579274864922,0.00013245787494946184,0.13245787494946185
UPS,25,0.6055169950163825,0.005247414205852609,0.20006303469467,0.02622880440587663,0.00013763340084192653,0.13763340084192655
