Name of the Stock,Trading Days,β10,α10,ShM10,Volatality10,mod_ShM10,mod_ShM_1000
HST,25,0.821856177050686,-0.01448202174002567,-0.33792026137727676,0.042856328534431894,-0.0006206462815333252,-0.6206462815333251
AIV,25,0.46784818646594656,0.006307196553700478,0.1791076397398871,0.03521455903757226,0.00022210514540185777,0.22210514540185777
HON,25,0.9337031368076572,0.0012034976372198051,0.07268548898848498,0.016557605293272035,1.992703884847103e-05,0.01992703884847103
FISV,25,0.7218084443774702,0.01172734579042952,0.6619705116719438,0.01771581299114016,0.00020775946490568417,0.20775946490568417
ORLY,25,0.5437098874293154,0.014558115531005004,0.5224606897906895,0.02786451845178503,0.00040565487883690714,0.40565487883690715
PNW,25,0.3743789555987048,0.0041307255717184235,0.10971692454130083,0.03764893692552867,0.00015551742650629527,0.15551742650629527
FLS,25,1.1078943936054313,-0.019929763806717567,-0.468504131222088,0.04253914208767166,-0.0008477950543476946,-0.8477950543476945
MUR,25,1.0785180379892159,-0.029180521285940893,-0.43083788150606905,0.06772970190999753,-0.0019763880082751145,-1.9763880082751144
EBAY,25,0.7791537339522603,0.008723985311693529,0.23035717341534112,0.037871559119905994,0.00033039092549299297,0.330390925492993
HIG,25,0.33445670189079807,0.0059283442987532395,0.24083013535304504,0.024616289361223755,0.00014593383869107088,0.14593383869107088
KLAC,25,1.1613825831761246,0.0005842377045738962,0.011234205417241488,0.05200525385420212,3.0383430137561816e-05,0.030383430137561816
XEC,25,1.3282061638462797,-0.0034729416293517467,-0.050378841303606016,0.06893651262088794,-0.00023941248446341382,-0.23941248446341382
C,25,0.7758824908414566,-0.002104086659400045,-0.08577177080049844,0.024531225597452834,-5.16158245183334e-05,-0.0516158245183334
ETN,25,0.8760064112741512,-0.010074050973470075,-0.32313877851492284,0.03117561754664133,-0.0003140647602942728,-0.3140647602942728
MAR,25,1.1503355845420131,-0.0006545439656430543,-0.027351086989102356,0.023931186570531834,-1.5664013760419712e-05,-0.01566401376041971
UTX,25,0.9618776980104567,-0.0054042663637720355,-0.23075260083925486,0.023420175305138662,-0.00012656886563520533,-0.12656886563520534
RIG,25,1.518873376124825,-0.029036390797254685,-0.2450829679038633,0.11847575964007646,-0.003440108456910874,-3.440108456910874
CCL,25,0.7254682151369576,0.011393508500085716,0.3205347712972313,0.03554531214811805,0.00040498581609778306,0.40498581609778306
AMAT,25,0.9003121323333501,-0.012838638976488018,-0.32200089183530356,0.03987143918549984,-0.0005118950131756299,-0.5118950131756299
EL,25,0.4154730126154993,0.003849089199980211,0.10589362361264,0.036348639971564484,0.00013990915754851787,0.13990915754851788
TGT,25,0.20155476845074788,0.008756097385527259,0.26499998843851363,0.0330418783680773,0.00028931790479163136,0.28931790479163133
PNC,25,0.5641319418462293,0.00152721297583054,0.06456748431606396,0.023652973195528074,3.612312758118243e-05,0.036123127581182427
ROK,25,0.7612728521196895,-0.0027130490857694696,-0.0785222273209711,0.03455135161512274,-9.373951291150823e-05,-0.09373951291150823
XOM,25,0.6934736389782205,-0.006801948769127055,-0.2936753884545351,0.023161453211732408,-0.00015754301816473714,-0.15754301816473715
IBM,25,0.6190776624485839,-0.00735131737373957,-0.24748464763285963,0.029704134959697207,-0.00021836452340112702,-0.21836452340112703
CMG,25,0.24635612984226954,0.0003436722986848959,0.006959489980413635,0.0493818224686157,1.6971164441038596e-05,0.016971164441038595
RL,25,0.853192100940642,-0.016449922850903288,-0.28328795009633495,0.058067852322378426,-0.0009552116908207704,-0.9552116908207704
ROP,25,1.0877976423244027,0.004092126475797066,0.17269411295097192,0.02369580760960176,9.696624168464496e-05,0.09696624168464496
NFX,25,1.905497321754608,0.002080528329347728,0.022156421590510043,0.09390182078133286,0.0001953653983128962,0.1953653983128962
ITW,25,0.7660526787520722,-0.0007946439875347478,-0.042842318729007456,0.01854810876510086,-1.4739143110327952e-05,-0.014739143110327953
UPS,25,0.46050559114736966,1.496346955908996e-05,0.0005212205095806475,0.028708520259743714,4.2957906899319247e-07,0.0004295790689931925
SLB,25,0.967764977682914,-0.011220021418662945,-0.28351450417784335,0.039574770437934406,-0.0004440297719522932,-0.4440297719522932
ADP,25,0.8087543859231364,0.004608398498063957,0.17414354580233085,0.026463217323568905,0.00012195305096787502,0.12195305096787502
GLW,25,0.8275050102130407,-0.004830203382199832,-0.12571928347495057,0.038420544952932734,-0.00018557904617761637,-0.18557904617761636
SEE,25,0.6943765697052339,0.012306076167120832,0.24381016416858808,0.05047400796060133,0.0006211369864230231,0.6211369864230232
PPG,25,1.0591004468494531,0.00033841386205743637,0.011181394719586579,0.03026580051454877,1.0242366440388395e-05,0.010242366440388395
SCHW,25,0.825001027913011,0.0011027319453218074,0.02528378149035236,0.04361420168666548,4.809477346959428e-05,0.04809477346959428
UNP,25,0.8088574956029675,-0.011123575076621832,-0.36632214875593744,0.0303655542379801,-0.0003377735223094039,-0.3377735223094039
AAP,25,0.5675327140417444,0.009964781808285438,0.2765305332258277,0.036035014622228835,0.00035908105816888564,0.35908105816888564
D,25,0.48575192662312056,0.001292904361990985,0.037636448894175153,0.03435245353849212,4.441443702500911e-05,0.04441443702500911
WU,25,0.8377415502263651,0.005184102378742703,0.12949845672093127,0.040032155672051185,0.00020753079344567875,0.20753079344567874
